scope_slot_ordinal	assignment_source	selector_rule	source_geometry	head_kind	head_event_id	head_atom_position_zero_based	head_root	duplicate_mode	duplicate_role	scope_pair_ordinal	scope_pair_id	event_id	scope	scope_atom_position_zero_based	scope_root	placement	head_identity	head_nominal_de	route	attachment_topology	rendered_fragment_de	root_expression_de	root_expression_start	root_expression_end	root_expression_shared	scope_marker_de	scope_marker_start	scope_marker_end	guard
14	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	ORDINARY_ACTION_HEAD	G407-E2953	0	CHD	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	7	GDT579-P07	G407-E2954	INNER	1	AL	CONTEXT_HEAD	ORDINARY_ACTION_HEAD:G407-E2953@0:CHD	Bearbeiten	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	zur Zielstation im äußeren und im inneren Zweig	zur Zielstation	54	69	YES	inneren	88	95	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
15	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E3849	0	S	SINGLE	SINGLE	8	GDT579-P08	G407-E3849	OUTER	1	AL	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E3849@0:S	ersten Wählen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim ersten Wählen: zum Zielgefäß im äußeren Zweig	zum Zielgefäß	58	71	NO	äußeren	75	82	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
16	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E3849	2	S	SINGLE	SINGLE	8	GDT579-P08	G407-E3849	INNER	3	AL	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E3849@2:S	zweiten Wählen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim zweiten Wählen: zum Zielgefäß im inneren Zweig	zum Zielgefäß	111	124	NO	inneren	128	135	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
17	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	OWNER_ONLY	VISIBLE_OWNER	OWNER::G407-S671	-1	OWNER	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	9	GDT579-P09	G407-E4142	OUTER	0	AL	CONTEXT_HEAD	VISIBLE_OWNER:OWNER::G407-S671@-1:OWNER	sichtbaren Owner	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	zum Zielgefäß im äußeren und im inneren Zweig	zum Zielgefäß	47	60	YES	äußeren	64	71	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
18	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	OWNER_ONLY	VISIBLE_OWNER	OWNER::G407-S671	-1	OWNER	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	9	GDT579-P09	G407-E4142	INNER	1	AL	CONTEXT_HEAD	VISIBLE_OWNER:OWNER::G407-S671@-1:OWNER	sichtbaren Owner	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	zum Zielgefäß im äußeren und im inneren Zweig	zum Zielgefäß	47	60	YES	inneren	79	86	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
19	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E4497	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	10	GDT579-P10	G407-E4497	OUTER	1	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E4497@0:OK	Ansetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	vom Ausgangsmaterial im äußeren und im inneren Zweig	vom Ausgangsmaterial	50	70	YES	äußeren	74	81	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
20	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E4497	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	10	GDT579-P10	G407-E4497	INNER	2	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E4497@0:OK	Ansetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	vom Ausgangsmaterial im äußeren und im inneren Zweig	vom Ausgangsmaterial	50	70	YES	inneren	89	96	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
21	GDT577_EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ORDINARY_ACTION_HEAD	G515-E0069	0	P	ANALYTICAL_SCOPE_SLOT	CANDIDATE_LOCAL_HEAD	11	GDT579-P11	G515-E0069	OUTER	1	O	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0069@0:P	Einsetzen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Einsetzen: zur Ausführung im äußeren Zweig	zur Ausführung	59	73	NO	äußeren	77	84	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
22	GDT577_EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ORDINARY_ACTION_HEAD	G515-E0069	4	CH	ANALYTICAL_SCOPE_SLOT	CANDIDATE_LOCAL_HEAD	11	GDT579-P11	G515-E0069	INNER	3	O	PRE_HEAD	ORDINARY_ACTION_HEAD:G515-E0069@4:CH	Nehmen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Nehmen: zur Ausführung im inneren Zweig	zur Ausführung	126	140	NO	inneren	144	151	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
23	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0157	0	CH	SINGLE	SINGLE	12	GDT579-P12	G515-E0157	OUTER	1	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0157@0:CH	Nehmen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Nehmen: auf Grad I im äußeren Zweig	auf Grad I	71	81	NO	äußeren	85	92	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
24	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0157	4	K	SINGLE	SINGLE	12	GDT579-P12	G515-E0157	INNER	5	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0157@4:K	Zugeben	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Zugeben: auf Grad I im inneren Zweig	auf Grad I	131	141	NO	inneren	145	152	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
25	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0198	0	CH	SINGLE	SINGLE	13	GDT579-P13	G515-E0198	OUTER	1	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0198@0:CH	ersten Nehmen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim ersten Nehmen: auf Grad I im äußeren Zweig	auf Grad I	70	80	NO	äußeren	84	91	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
26	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0198	3	K	SINGLE	SINGLE	13	GDT579-P13	G515-E0198	INNER	4	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0198@3:K	Zugeben	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Zugeben: auf Grad I im inneren Zweig	auf Grad I	113	123	NO	inneren	127	134	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
27	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0222	0	SH	SINGLE	SINGLE	14	GDT579-P14	G515-E0222	OUTER	1	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0222@0:SH	ersten Halten	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim ersten Halten: auf Grad I im äußeren Zweig	auf Grad I	60	70	NO	äußeren	74	81	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
28	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0222	3	SH	SINGLE	SINGLE	14	GDT579-P14	G515-E0222	INNER	4	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0222@3:SH	zweiten Halten	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim zweiten Halten: auf Grad I im inneren Zweig	auf Grad I	127	137	NO	inneren	141	148	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
29	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0310	0	SH	SINGLE	SINGLE	15	GDT579-P15	G515-E0310	OUTER	1	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0310@0:SH	Festhalten	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Festhalten: auf Grad I im äußeren Zweig	auf Grad I	68	78	NO	äußeren	82	89	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
30	GDT515_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G515-E0310	2	K	SINGLE	SINGLE	15	GDT579-P15	G515-E0310	INNER	3	E	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0310@2:K	Zuordnen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Zuordnen: auf Grad I im inneren Zweig	auf Grad I	112	122	NO	inneren	126	133	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
31	EXPLICIT_G515_E0385_ACTIVE_R_CONTEXT_CARD	SAME_PAGE_OWNER_ACTIVE_R_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ORDINARY_ACTION_HEAD	G515-E0383	3	R	ANALYTICAL_SCOPE_SLOT	EXPLICIT_CONTEXT_HEAD	16	GDT579-P16	G515-E0385	OUTER	0	D_ADDR	CONTEXT_HEAD	ORDINARY_ACTION_HEAD:G515-E0383@3:R	Kennzeichnen	INTERRUPTED_SLOT_EXPLICIT	ACTIVE_CONTEXT_HEAD	beim fortgeführten Kennzeichnen: an der D-Stelle im äußeren Zweig	an der D-Stelle	92	107	NO	äußeren	111	118	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
32	EXPLICIT_G515_E0385_ACTIVE_R_CONTEXT_CARD	SAME_PAGE_OWNER_ACTIVE_R_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ORDINARY_ACTION_HEAD	G515-E0383	3	R	ANALYTICAL_SCOPE_SLOT	EXPLICIT_CONTEXT_HEAD	16	GDT579-P16	G515-E0385	INNER	2	D_ADDR	CONTEXT_HEAD	ORDINARY_ACTION_HEAD:G515-E0383@3:R	Kennzeichnen	INTERRUPTED_SLOT_EXPLICIT	ACTIVE_CONTEXT_HEAD	beim fortgeführten Kennzeichnen: an der D-Stelle im inneren Zweig	an der D-Stelle	182	197	NO	inneren	201	208	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
33	GDT577_EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ORDINARY_ACTION_HEAD	G515-E0472	0	T	ANALYTICAL_SCOPE_SLOT	CANDIDATE_LOCAL_HEAD	17	GDT579-P17	G515-E0472	OUTER	1	O	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0472@0:T	Festlegen	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Festlegen: zur Ausführung im äußeren Zweig	zur Ausführung	71	85	NO	äußeren	89	96	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
34	GDT577_EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ORDINARY_ACTION_HEAD	G515-E0472	2	SH	ANALYTICAL_SCOPE_SLOT	CANDIDATE_LOCAL_HEAD	17	GDT579-P17	G515-E0472	INNER	4	O	POST_HEAD	ORDINARY_ACTION_HEAD:G515-E0472@2:SH	Festhalten	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	beim Festhalten: zur Ausführung im inneren Zweig	zur Ausführung	133	147	NO	inneren	151	158	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
