edition_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_context_recipe	state_status	state_marker_sequence	gdt578_attachment_voice_clause_de	mixed_scope_voice_working_clause_de	gdt578_source_roundtrip_de	scope_voice_status	scope_pair_id	scope_route	guard
14	G407-E0014	G407-S001	14	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
15	G407-E0015	G407-S001	15	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	NONSTATE_CARD	NOT_APPLICABLE	Ordne denselben laufenden Eintrag zu; entlang der Lesebahn.	Ordne denselben laufenden Eintrag zu; entlang der Lesebahn.	Ordne denselben laufenden Eintrag zu; entlang der Lesebahn.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
16	G407-E0016	G407-S001	16	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege ihn fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
17	G407-E0017	G407-S001	17	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	NONSTATE_CARD	NOT_APPLICABLE	Halte denselben Kennwert fest; von der Ausgangszeile.	Halte denselben Kennwert fest; von der Ausgangszeile.	Halte denselben Kennwert fest; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
18	G407-E0018	G407-S001	18	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben Kennwert; auf Grad I; an der A-Stelle.	Wähle denselben Kennwert; auf Grad I; an der A-Stelle.	Wähle denselben Kennwert; auf Grad I; an der A-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
19	G407-E0019	G407-S001	19	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
20	G407-E0020	G407-S001	20	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
21	G407-E0021	G407-S001	21	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang lege den Teilwert fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
22	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	NONSTATE_CARD	NOT_APPLICABLE	Wähle den laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
23	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
24	G407-E0024	G407-S001	24	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
25	G407-E0025	G407-S001	25	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag und den Kennwert zu.	Ordne den laufenden Eintrag und den Kennwert zu.	Ordne den laufenden Eintrag und den Kennwert zu.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
26	G407-E0026	G407-S001	26	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Halte denselben Kennwert fest; als Ausführung; an der D-Stelle.	Halte denselben Kennwert fest; als Ausführung; an der D-Stelle.	Halte denselben Kennwert fest; als Ausführung; an der D-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
27	G407-E0027	G407-S001	27	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und lege ihn fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege ihn fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege ihn fest; von der Ausgangszeile; als Ausführung.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
28	G407-E0028	G407-S001	28	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag, lege ihn fest und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest und wähle ihn; auf Grad I.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
29	G407-E0029	G407-S001	29	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der D-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
30	G407-E0030	G407-S001	30	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
31	G407-E0031	G407-S001	31	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe.	Wähle denselben laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe.	Wähle denselben laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
32	G407-E0032	G407-S001	32	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	STATE_CARD	OT	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
33	G407-E0033	G407-S001	33	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	STATE_CARD	OT	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der S-Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der S-Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der S-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
34	G407-E0034	G407-S001	34	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	STATE_CARD	OL+OT	Weiter: kennzeichne den laufenden Eintrag; eröffne danach den nächsten Gang.	Weiter: kennzeichne den laufenden Eintrag; eröffne danach den nächsten Gang.	Weiter: kennzeichne den laufenden Eintrag; eröffne danach den nächsten Gang.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
35	G407-E0035	G407-S001	35	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der i-Variante.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der i-Variante.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der i-Variante.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
36	G407-E0036	G407-S001	36	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang lege den Kennwert fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
37	G407-E0037	G407-S001	37	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Trage den Kennwert ein.	Trage den Kennwert ein.	Trage den Kennwert ein.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
38	G407-E0038	G407-S001	38	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang trage die Eintragseinheit ein.	Im laufenden Gang trage die Eintragseinheit ein.	Im laufenden Gang trage die Eintragseinheit ein.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
39	G407-E0039	G407-S001	39	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okan	OK+AN	NONSTATE_CARD	NOT_APPLICABLE	Trage dieselbe Eintragseinheit ein; in der bezeichneten Klasse.	Trage dieselbe Eintragseinheit ein; in der bezeichneten Klasse.	Trage dieselbe Eintragseinheit ein; in der bezeichneten Klasse.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
40	G407-E0040	G407-S001	40	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	S+AIR	NONSTATE_CARD	NOT_APPLICABLE	Wähle dieselbe Eintragseinheit; entlang der Lesebahn.	Wähle dieselbe Eintragseinheit; entlang der Lesebahn.	Wähle dieselbe Eintragseinheit; entlang der Lesebahn.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
41	G407-E0041	G407-S001	41	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
42	G407-E0042	G407-S001	42	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chear	CH+E+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; auf Grad I.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; auf Grad I.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; auf Grad I.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
43	G407-E0043	G407-S001	43	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege ihn fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
44	G407-E0044	G407-S001	44	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben Kennwert und setze ihn ein; von der Ausgangszeile.	Entnimm denselben Kennwert und setze ihn ein; von der Ausgangszeile.	Entnimm denselben Kennwert und setze ihn ein; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
45	G407-E0045	G407-S001	45	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert; bei der f-Kennmarke.	Entnimm den Kennwert; bei der f-Kennmarke.	Entnimm den Kennwert; bei der f-Kennmarke.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
46	G407-E0046	G407-S001	46	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
47	G407-E0047	G407-S002	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	NONSTATE_CARD	NOT_APPLICABLE	Von der Ausgangszeile; als Ausführung; an der D-Stelle.	Von der Ausgangszeile; als Ausführung; an der D-Stelle.	Von der Ausgangszeile; als Ausführung; an der D-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
48	G407-E0048	G407-S002	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	STATE_CARD	OL	Weiter: halte fest.	Weiter: halte fest.	Weiter: halte fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
49	G407-E0049	G407-S002	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und setze ihn ein; als Ausführung.	Entnimm den laufenden Eintrag und setze ihn ein; als Ausführung.	Entnimm den laufenden Eintrag und setze ihn ein; als Ausführung.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
50	G407-E0050	G407-S002	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der D-Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der D-Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der D-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
51	G407-E0051	G407-S002	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	SH	NONSTATE_CARD	NOT_APPLICABLE	Halte denselben laufenden Eintrag fest.	Halte denselben laufenden Eintrag fest.	Halte denselben laufenden Eintrag fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
52	G407-E0052	G407-S002	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	S	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben laufenden Eintrag.	Wähle denselben laufenden Eintrag.	Wähle denselben laufenden Eintrag.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
53	G407-E0053	G407-S002	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert; als Ausführung; bei der f-Kennmarke.	Entnimm den Kennwert; als Ausführung; bei der f-Kennmarke.	Entnimm den Kennwert; als Ausführung; bei der f-Kennmarke.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
