component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
AL+Y	ZIELORT · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	9	7	5	aly|chealdy|chealy|daly|tealy	9	0	9	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang setze den Stationsposten im Stationsgang an; zur Zielstation.	Im laufenden Gang nimm den Positionsposten auf; zur Zielposition.	Im laufenden Gang setze den Drogenposten als Ansatz an; zum Zielgefäß.
AM_ADDR	HIER	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	9	7	1	am	9	9	9	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle den Materialanteil [wie zuvor] ein; an der bezeichneten Stelle.	Im laufenden Gang halte die Stationseinheit [wie zuvor]; an der bezeichneten Stelle.	Im laufenden Gang wähle den Sektoranteil [wie zuvor]; an der bezeichneten Stelle.	NONE
AR	AUSGANG	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	39	15	2	ar|char	39	39	39	FULLY_CONTEXT_BOUND	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang stelle die Arbeitseinheit [wie zuvor] ein; vom Ausgangsmaterial.	Im laufenden Gang halte den Stationsanteil [wie zuvor]; von der Ausgangsstation.	Im laufenden Gang wähle den Sektoranteil [wie zuvor]; von der Ausgangsposition.	Im laufenden Gang halte die Ansatzeinheit [wie zuvor]; vom Ausgangsgefäß.
AR+CH+EE+Y	AUSGANG · NEHMEN · GRAD II · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	archeey|darchey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten; von der Ausgangsstation; auf Grad II.	NONE	Nimm den Drogenposten; vom Ausgangsgefäß; auf Grad II.
AR+OL	AUSGANG · FORTSETZEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	4	4	2	arol|darolg	4	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter im laufenden Gang wähle den Stationsanteil [wie zuvor]; von der Ausgangsstation.	Weiter im laufenden Gang ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition.	Weiter im laufenden Gang setze den Drogenposten [wie zuvor] ein; vom Ausgangsgefäß.
A_ADDR+S	HIER · WÄHLEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	4	3	1	as	0	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Wähle den Stationsanteil [wie zuvor]; an der bezeichneten Stelle.	NONE	Wähle den Drogenposten [wie zuvor]; an der bezeichneten Stelle.
A_ADDR+Y	HIER · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	ajy|ay	2	0	2	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang halte den Stationsposten; an der bezeichneten Stelle.	Im laufenden Gang setze den Positionsposten; an der bezeichneten Stelle.	NONE
CARRIER_Q+O+AIIN	BEGINNMARKER · AUSFÜHRUNG · WERT	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	6	5	2	qoaiin|qodaiin	5	0	5	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an; als neuen Einsatz und als Ausführung.	Bezug: den Stationswert; als neuen Einsatz und als Ausführung.	NONE	Im laufenden Gang setze den Mengenwert als Ansatz an; als neuen Einsatz und als Ausführung.
CARRIER_Q+O+CH+EE+Y	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	qocheey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	NONE	Nimm den Positionsposten auf; als neuen Einsatz, als Ausführung und auf Grad II.	Nimm den Drogenposten; als neuen Einsatz, als Ausführung und auf Grad II.
CARRIER_Q+O+CH+K+OL	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · FORTSETZEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	3	3	1	qockhol	0	3	3	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; als neuen Einsatz und als Ausführung.	NONE	Weiter nimm den Mengenwert [wie zuvor] und gib den Mengenwert [wie zuvor] zu; als neuen Einsatz und als Ausführung.
CARRIER_Q+O+CH+T+OL+Y	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	2	qoctholy|qopcholy	0	0	0	FULLY_SELF_CONTAINED	NONE	Weiter nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	NONE	NONE	Weiter nimm den Drogenposten und stelle den Drogenposten ein; als neuen Einsatz und als Ausführung.
CARRIER_Q+O+DY	BEGINNMARKER · AUSFÜHRUNG · SCHLUSS	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	3	3	1	qody	3	3	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; als neuen Einsatz und als Ausführung; schließe den Schritt.	Im laufenden Gang halte den Stationsposten [wie zuvor]; als neuen Einsatz und als Ausführung; schließe den Schritt.	NONE	Im laufenden Gang nimm den Drogenposten [wie zuvor]; als neuen Einsatz und als Ausführung; schließe den Schritt.
CARRIER_Q+O+OL	BEGINNMARKER · AUSFÜHRUNG · FORTSETZEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	qool	2	2	2	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; als neuen Einsatz und als Ausführung.	Weiter im laufenden Gang halte den Stationsposten [wie zuvor]; als neuen Einsatz und als Ausführung.	NONE	NONE
CH	NEHMEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	ch	0	2	2	FULLY_CONTEXT_BOUND	NONE	Nimm den Materialanteil [wie zuvor].	Entnimm den Stationswert [wie zuvor].	NONE	NONE
CH+AIIN	NEHMEN · WERT	2	HERBAL|PHARMA	TWO_REGISTERS	5	4	2	chaiin|chtaii	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Arbeitswert.	NONE	NONE	Nimm den Mengenwert.
CH+AL	NEHMEN · ZIELORT	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	FOUR_REGISTERS	8	7	1	chal	0	6	6	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	Nimm; zur Zielstelle.	Entnimm den Stationsanteil [wie zuvor]; zur Zielstation.	Nimm auf; zur Zielposition.	NONE
CH+AL+Y	NEHMEN · ZIELORT · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	3	3	2	chaldy|chaly	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten; zur Zielstation.	NONE	Nimm den Drogenposten; zum Zielgefäß.
CH+AM_ADDR	NEHMEN · HIER	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	cham|cheamy	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Entnimm den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	NONE	Nimm den Drogenanteil [wie zuvor]; an der bezeichneten Stelle.
CH+CH+K+D_ADDR+Y	NEHMEN · NEHMEN · GEBEN · HIER · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	chckhdy	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; an der bezeichneten Stelle.	NONE	NONE
CH+CH+P+E+Y	NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	3	3	2	chcphey|cheocphey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	NONE	Nimm den Drogenposten, nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.
CH+CH+P+Y	NEHMEN · NEHMEN · EINSETZEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	2	2	chcphdy|chcphy	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.	NONE	NONE
CH+CH+S	NEHMEN · NEHMEN · WÄHLEN	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	chchs	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Nimm, nimm und wähle.	NONE	Nimm den Positionswert [wie zuvor] auf, nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].	NONE
CH+CH+T+Y	NEHMEN · NEHMEN · EINSTELLEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	13	9	1	chcthy	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	NONE	NONE
CH+E+AR	NEHMEN · GRAD I · AUSGANG	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	7	6	2	chear|ycheary	0	7	7	FULLY_CONTEXT_BOUND	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Nimm den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial; auf Grad I.	Entnimm den Stationsposten [wie zuvor]; von der Ausgangsstation; auf Grad I.	NONE	Nimm die Ansatzeinheit [wie zuvor]; vom Ausgangsgefäß; auf Grad I.
CH+E+CH+K+Y	NEHMEN · GRAD I · NEHMEN · GEBEN · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	7	7	2	checkhy|chekackhy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Nimm den Positionsposten auf, nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	Nimm den Drogenposten, nimm den Drogenposten und gib den Drogenposten zu; auf Grad I.
CH+E+O	NEHMEN · GRAD I · AUSFÜHRUNG	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	6	3	1	cheo	0	4	4	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Entnimm; auf Grad I und als Ausführung.	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	Nimm; auf Grad I und als Ausführung.
CH+E+O+K+Y	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	4	3	1	cheoky	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und als Ausführung.	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I und als Ausführung.	Nimm den Drogenposten und gib den Drogenposten zu; auf Grad I und als Ausführung.
CH+E+O+L	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	29	11	1	cheol	0	29	29	FULLY_CONTEXT_BOUND	NONE	Nimm den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; auf Grad I und als Ausführung.	Entnimm den Stationswert [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Nimm den Drogenposten [wie zuvor]; über die Gefäßverbindung; auf Grad I und als Ausführung.
CH+E+O+R	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	16	8	1	cheor	0	15	15	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Entnimm den Stationsposten [wie zuvor] und markiere den Stationsposten [wie zuvor]; auf Grad I und als Ausführung.	Nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Nimm den Mengenwert [wie zuvor] und markiere den Mengenwert [wie zuvor]; auf Grad I und als Ausführung.
CH+E+O+S	NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	4	4	1	cheos	0	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Nimm den Mengenwert [wie zuvor] und wähle den Mengenwert [wie zuvor]; auf Grad I und als Ausführung.
CH+E+O+Y	NEHMEN · GRAD I · AUSFÜHRUNG · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	13	4	2	cheody|cheoy	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten; auf Grad I und als Ausführung.	NONE	NONE	Nimm den Drogenposten; auf Grad I und als Ausführung.
CH+E+P+Y	NEHMEN · GRAD I · EINSETZEN · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	chepy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	NONE	Nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.
CH+E+S	NEHMEN · GRAD I · WÄHLEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	6	5	1	ches	0	6	6	FULLY_CONTEXT_BOUND	NONE	NONE	Entnimm den Stationswert [wie zuvor] und wähle den Stationswert [wie zuvor]; auf Grad I.	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; auf Grad I.	NONE
CH+E+T+E+Y	NEHMEN · GRAD I · EINSTELLEN · GRAD I · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	1	chetey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I und auf Grad I.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	NONE
CH+E+Y	NEHMEN · GRAD I · POSTEN	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	5	5	1	dchey	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten; auf Grad I.	Entnimm den Stationsposten; auf Grad I.	NONE	Nimm den Drogenposten; auf Grad I.
CH+EE+D_ADDR+Y	NEHMEN · GRAD II · HIER · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	12	8	1	cheedy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten; auf Grad II; an der bezeichneten Stelle.	Nimm den Positionsposten auf; auf Grad II; an der bezeichneten Stelle.	Nimm den Drogenposten; auf Grad II; an der bezeichneten Stelle.
CH+EE+LOCAL_CHAR_B	NEHMEN · GRAD II · VARIANTE	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	cheeb	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Entnimm den Stationsposten [wie zuvor]; auf Grad II; mit der lokalen Variante.	NONE	Nimm die Ansatzeinheit [wie zuvor]; auf Grad II; mit der lokalen Variante.
CH+EE+OR	NEHMEN · GRAD II · EINHEIT	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	cheeor	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	NONE	Nimm die Positionseinheit auf; auf Grad II.	Nimm die Ansatzeinheit; auf Grad II.
CH+K+AIIN	NEHMEN · GEBEN · WERT	2	CELESTIAL|PHARMA	TWO_REGISTERS	3	2	2	chekaiin|chkaiin	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	NONE	Nimm den Positionswert auf und ordne den Positionswert zu.	Nimm den Mengenwert und gib den Mengenwert zu.
CH+K+AIN	NEHMEN · GEBEN · ANTEIL	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	4	3	2	chekain|chkain	0	0	0	FULLY_SELF_CONTAINED	Entnimm den Teilwert und ordne den Teilwert zu.	NONE	Entnimm den Stationsanteil und führe den Stationsanteil zu.	NONE	NONE
CH+K+AL	NEHMEN · GEBEN · ZIELORT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	3	3	3	chekal|chkal|ckhal	0	3	3	FULLY_CONTEXT_BOUND	NONE	NONE	Entnimm den Stationsanteil [wie zuvor] und führe den Stationsanteil [wie zuvor] zu; zur Zielstation.	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	NONE
CH+K+AR	NEHMEN · GEBEN · AUSGANG	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	4	3	3	chekar|chkar|ckhar	0	4	4	FULLY_CONTEXT_BOUND	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	NONE	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; von der Ausgangsstation.	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; von der Ausgangsposition.	NONE
CH+K+E+Y	NEHMEN · GEBEN · GRAD I · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	13	8	2	cheky|ckhey	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	Nimm den Drogenposten und gib den Drogenposten zu; auf Grad I.
CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	6	2	cheeky|chkeey	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad II.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	NONE	NONE
CH+K+O	NEHMEN · GEBEN · AUSFÜHRUNG	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	2	chckho|ckho	0	2	2	FULLY_CONTEXT_BOUND	NONE	Nimm den Pflanzenposten [wie zuvor] und gib den Pflanzenposten [wie zuvor] zu; als Ausführung.	NONE	NONE	Nimm den Drogenposten [wie zuvor] und gib den Drogenposten [wie zuvor] zu; als Ausführung.
CH+K+OL	NEHMEN · GEBEN · FORTSETZEN	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	4	3	chckhol|chekol|ckhol	0	5	5	FULLY_CONTEXT_BOUND	NONE	Weiter nimm die Arbeitseinheit [wie zuvor] und gib die Arbeitseinheit [wie zuvor] zu.	NONE	Weiter nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu.	Weiter nimm den Drogenposten [wie zuvor] und gib den Drogenposten [wie zuvor] zu.
CH+K+OR	NEHMEN · GEBEN · EINHEIT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	3	chkor|chkorol|ckhor	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm die Arbeitseinheit und gib die Arbeitseinheit zu.	Entnimm die Stationseinheit und führe die Stationseinheit zu.	NONE	NONE
CH+K+Y	NEHMEN · GEBEN · POSTEN	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	29	14	5	chchky|chckhy|chky|ckhy|qckhsy	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	Nimm den Positionsposten auf und ordne den Positionsposten zu.	Nimm den Drogenposten und gib den Drogenposten zu.
CH+O+CH+LOCAL_CHAR_F+Y	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	chcfhdy|chocfhy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten und entnimm den Stationsposten; als Ausführung; an der bezeichneten Stelle.	Nimm den Positionsposten auf und nimm den Positionsposten auf; als Ausführung; an der bezeichneten Stelle.	NONE
CH+O+CH+T+Y	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	2	2	1	chocthy	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	NONE	NONE	NONE
CH+O+D_ADDR+AIIN	NEHMEN · AUSFÜHRUNG · HIER · WERT	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	5	4	1	chodaiin	0	0	0	FULLY_SELF_CONTAINED	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Stationswert; als Ausführung; an der bezeichneten Stelle.	NONE	Nimm den Mengenwert; als Ausführung; an der bezeichneten Stelle.
CH+O+D_ADDR+Y	NEHMEN · AUSFÜHRUNG · HIER · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	8	6	1	chody	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm den Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	NONE	NONE	Nimm den Drogenposten; als Ausführung; an der bezeichneten Stelle.
CH+O+S	NEHMEN · AUSFÜHRUNG · WÄHLEN	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	3	1	chos	0	5	5	FULLY_CONTEXT_BOUND	NONE	Nimm den Arbeitswert [wie zuvor] und wähle den Arbeitswert [wie zuvor]; als Ausführung.	NONE	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; als Ausführung.	Nimm den Drogenposten [wie zuvor] und wähle den Drogenposten [wie zuvor]; als Ausführung.
