page	panel_id	record_id	locus	position	word	mention	model	identity	patient	patient_slot	patient_trigger	destination	destination_trigger	issues	implicit_agent	reading
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	5	chedy	f83r.22:5	L0	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	9	chedy	f83r.23:9	L0	REUSE	F83_P3:A	A	f83r.23:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	1	qokeedy	f83r.25:1	L0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT|MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [[Teilnehmer fehlt]] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	5	chedy	f83r.25:5	L0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_P4	Erwärme [[Teilnehmer fehlt]].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	2	chedy	f83r.27:2	L0	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P4	Erwärme [Flüssigkeit F83_P4:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	3	qokeedy	f83r.27:3	L0	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.30	3	qokeedy	f83r.30:3	L0	REUSE	F83_P4:A	A	f83r.28:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P5	f83r.42	5	chedy	f83r.42:5	L0	REUSE	F83_P5:C	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_P5	f83r.43	3	chedy	f83r.43:3	L0	REUSE	F83_P5:C	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_Q1	f83r.49	3	chedy	f83r.49:3	L0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_Q1	Erwärme [[Teilnehmer fehlt]].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	10	chedy	f83r.2:10	L1	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.2:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	2	chedy	f83r.4:2	L1	REUSE	F83_P1:C	C	f83r.3:7	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	9	chedy	f83r.4:9	L1	REUSE	F83_P1:A	A	f83r.4:7	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	6	chedy	f83r.6:6	L1	REUSE	F83_P1:A	A	f83r.5:6	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	7	qokeedy	f83r.6:7	L1	REUSE	F83_P1:A	A	f83r.5:6	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Fülle [Flüssigkeit F83_P1:A] in [Gefäß F83_P1:B] ein.
f83r	F83_UPPER_SPRAY	F83_P1	f83r.8	5	chedy	f83r.8:5	L1	REUSE	F83_P1:C	C	f83r.6:8	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C].
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	2	qokeedy	f83r.14:2	L1	REUSE	F83_P2:A	A	f83r.13:3	F83_P2:B	f83r.11:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Fülle [Flüssigkeit F83_P2:A] in [Gefäß F83_P2:B] ein.
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.16	5	chedy	f83r.16:5	L1	REUSE	F83_P2:C	C	f83r.15:9	F83_P2:B	f83r.14:7	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Erwärme [Zusatzstoff F83_P2:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.21	5	chedy	f83r.21:5	L1	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	3	qokeedy	f83r.22:3	L1	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P3	Fülle [Zusatzstoff F83_P3:C] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	5	chedy	f83r.22:5	L1	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	9	chedy	f83r.23:9	L1	REUSE	F83_P3:A	A	f83r.23:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	1	qokeedy	f83r.25:1	L1	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT|MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [[Teilnehmer fehlt]] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	5	chedy	f83r.25:5	L1	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_P4	Erwärme [[Teilnehmer fehlt]].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	2	chedy	f83r.27:2	L1	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P4	Erwärme [Flüssigkeit F83_P4:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	3	qokeedy	f83r.27:3	L1	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.30	3	qokeedy	f83r.30:3	L1	REUSE	F83_P4:A	A	f83r.28:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P5	f83r.42	5	chedy	f83r.42:5	L1	REUSE	F83_P5:C	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_P5	f83r.43	3	chedy	f83r.43:3	L1	REUSE	F83_P5:C	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_Q1	f83r.49	3	chedy	f83r.49:3	L1	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_Q1	Erwärme [[Teilnehmer fehlt]].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	10	chedy	f83r.2:10	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.2:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	2	chedy	f83r.4:2	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	9	chedy	f83r.4:9	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	6	chedy	f83r.6:6	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	7	qokeedy	f83r.6:7	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Fülle [Flüssigkeit F83_P1:A] in [Gefäß F83_P1:B] ein.
f83r	F83_UPPER_SPRAY	F83_P1	f83r.8	5	chedy	f83r.8:5	T0	REUSE	F83_P1:A	A	f83r.1:6	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	2	qokeedy	f83r.14:2	T0	REUSE	F83_P2:A	A	f83r.11:2	F83_P2:B	f83r.11:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Fülle [Flüssigkeit F83_P2:A] in [Gefäß F83_P2:B] ein.
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.16	5	chedy	f83r.16:5	T0	REUSE	F83_P2:A	A	f83r.11:2	F83_P2:B	f83r.14:7	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Erwärme [Flüssigkeit F83_P2:A].
f83r	F83_LOWER_DRIP	F83_P3	f83r.21	5	chedy	f83r.21:5	T0	REUSE	F83_P3:A	A	f83r.18:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A].
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	3	qokeedy	f83r.22:3	T0	REUSE	F83_P3:A	A	f83r.18:4	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P3	Fülle [Flüssigkeit F83_P3:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	5	chedy	f83r.22:5	T0	REUSE	F83_P3:A	A	f83r.18:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A].
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	9	chedy	f83r.23:9	T0	REUSE	F83_P3:A	A	f83r.18:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	1	qokeedy	f83r.25:1	T0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT|MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [[Teilnehmer fehlt]] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	5	chedy	f83r.25:5	T0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_P4	Erwärme [[Teilnehmer fehlt]].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	2	chedy	f83r.27:2	T0	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P4	Erwärme [Flüssigkeit F83_P4:A].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	3	qokeedy	f83r.27:3	T0	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.30	3	qokeedy	f83r.30:3	T0	REUSE	F83_P4:A	A	f83r.26:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P5	f83r.42	5	chedy	f83r.42:5	T0	REUSE	F83_P5:C	C	f83r.32:3	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_P5	f83r.43	3	chedy	f83r.43:3	T0	REUSE	F83_P5:C	C	f83r.32:3	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C].
f83r	F83_LOWER_COUPLED	F83_Q1	f83r.49	3	chedy	f83r.49:3	T0	REUSE	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_Q1	Erwärme [[Teilnehmer fehlt]].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	10	chedy	f83r.2:10	L0	FRESH	F83_P1:B@f83r.2:3	B	f83r.2:3	F83_P1:B@f83r.2:3	f83r.2:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B@f83r.2:3].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	2	chedy	f83r.4:2	L0	FRESH	F83_P1:B@f83r.3:8	B	f83r.3:8	F83_P1:B@f83r.3:8	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B@f83r.3:8].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	9	chedy	f83r.4:9	L0	FRESH	F83_P1:A@f83r.4:7	A	f83r.4:7	F83_P1:B@f83r.3:8	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A@f83r.4:7].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	6	chedy	f83r.6:6	L0	FRESH	F83_P1:B@f83r.6:5	B	f83r.6:5	F83_P1:B@f83r.6:5	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B@f83r.6:5].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	7	qokeedy	f83r.6:7	L0	FRESH	F83_P1:B@f83r.6:5	B	f83r.6:5	F83_P1:B@f83r.6:5	f83r.6:5	CONTAINER_AS_FILL_MATERIAL|SELF_FILL	ADDRESSEE:F83_P1	Fülle [Gefäß F83_P1:B@f83r.6:5] in [Gefäß F83_P1:B@f83r.6:5] ein.
f83r	F83_UPPER_SPRAY	F83_P1	f83r.8	5	chedy	f83r.8:5	L0	FRESH	F83_P1:C@f83r.6:8	C	f83r.6:8	F83_P1:B@f83r.6:5	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C@f83r.6:8].
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	2	qokeedy	f83r.14:2	L0	FRESH	F83_P2:A@f83r.13:3	A	f83r.13:3	F83_P2:B@f83r.11:3	f83r.11:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Fülle [Flüssigkeit F83_P2:A@f83r.13:3] in [Gefäß F83_P2:B@f83r.11:3] ein.
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.16	5	chedy	f83r.16:5	L0	FRESH	F83_P2:C@f83r.15:9	C	f83r.15:9	F83_P2:B@f83r.14:7	f83r.14:7	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Erwärme [Zusatzstoff F83_P2:C@f83r.15:9].
f83r	F83_LOWER_DRIP	F83_P3	f83r.21	5	chedy	f83r.21:5	L0	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C@f83r.19:11].
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	3	qokeedy	f83r.22:3	L0	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P3	Fülle [Zusatzstoff F83_P3:C@f83r.19:11] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	5	chedy	f83r.22:5	L0	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C@f83r.19:11].
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	9	chedy	f83r.23:9	L0	FRESH	F83_P3:A@f83r.23:4	A	f83r.23:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A@f83r.23:4].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	1	qokeedy	f83r.25:1	L0	FRESH	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT|MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [[Teilnehmer fehlt]] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.25	5	chedy	f83r.25:5	L0	FRESH	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_P4	Erwärme [[Teilnehmer fehlt]].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	2	chedy	f83r.27:2	L0	FRESH	F83_P4:A@f83r.26:5	A	f83r.26:5	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P4	Erwärme [Flüssigkeit F83_P4:A@f83r.26:5].
f83r	F83_LOWER_COUPLED	F83_P4	f83r.27	3	qokeedy	f83r.27:3	L0	FRESH	F83_P4:A@f83r.26:5	A	f83r.26:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A@f83r.26:5] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P4	f83r.30	3	qokeedy	f83r.30:3	L0	FRESH	F83_P4:A@f83r.28:5	A	f83r.28:5	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P4	Fülle [Flüssigkeit F83_P4:A@f83r.28:5] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_COUPLED	F83_P5	f83r.42	5	chedy	f83r.42:5	L0	FRESH	F83_P5:C@f83r.41:2	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C@f83r.41:2].
f83r	F83_LOWER_COUPLED	F83_P5	f83r.43	3	chedy	f83r.43:3	L0	FRESH	F83_P5:C@f83r.41:2	C	f83r.41:2	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P5	Erwärme [Zusatzstoff F83_P5:C@f83r.41:2].
f83r	F83_LOWER_COUPLED	F83_Q1	f83r.49	3	chedy	f83r.49:3	L0	FRESH	MISSING	MISSING	MISSING	MISSING	MISSING	MISSING_PATIENT	ADDRESSEE:F83_Q1	Erwärme [[Teilnehmer fehlt]].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	10	chedy	f83r.2:10	L1	FRESH	F83_P1:A@f83r.1:6	A	f83r.1:6	F83_P1:B@f83r.2:3	f83r.2:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A@f83r.1:6].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	2	chedy	f83r.4:2	L1	FRESH	F83_P1:C@f83r.3:7	C	f83r.3:7	F83_P1:B@f83r.3:8	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C@f83r.3:7].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	9	chedy	f83r.4:9	L1	FRESH	F83_P1:A@f83r.4:7	A	f83r.4:7	F83_P1:B@f83r.3:8	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A@f83r.4:7].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	6	chedy	f83r.6:6	L1	FRESH	F83_P1:A@f83r.5:6	A	f83r.5:6	F83_P1:B@f83r.6:5	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A@f83r.5:6].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	7	qokeedy	f83r.6:7	L1	FRESH	F83_P1:A@f83r.5:6	A	f83r.5:6	F83_P1:B@f83r.6:5	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Fülle [Flüssigkeit F83_P1:A@f83r.5:6] in [Gefäß F83_P1:B@f83r.6:5] ein.
f83r	F83_UPPER_SPRAY	F83_P1	f83r.8	5	chedy	f83r.8:5	L1	FRESH	F83_P1:C@f83r.6:8	C	f83r.6:8	F83_P1:B@f83r.6:5	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C@f83r.6:8].
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	2	qokeedy	f83r.14:2	L1	FRESH	F83_P2:A@f83r.13:3	A	f83r.13:3	F83_P2:B@f83r.11:3	f83r.11:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Fülle [Flüssigkeit F83_P2:A@f83r.13:3] in [Gefäß F83_P2:B@f83r.11:3] ein.
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.16	5	chedy	f83r.16:5	L1	FRESH	F83_P2:C@f83r.15:9	C	f83r.15:9	F83_P2:B@f83r.14:7	f83r.14:7	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Erwärme [Zusatzstoff F83_P2:C@f83r.15:9].
f83r	F83_LOWER_DRIP	F83_P3	f83r.21	5	chedy	f83r.21:5	L1	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C@f83r.19:11].
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	3	qokeedy	f83r.22:3	L1	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P3	Fülle [Zusatzstoff F83_P3:C@f83r.19:11] in [[Teilnehmer fehlt]] ein.
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	5	chedy	f83r.22:5	L1	FRESH	F83_P3:C@f83r.19:11	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C@f83r.19:11].
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	9	chedy	f83r.23:9	L1	FRESH	F83_P3:A@f83r.23:4	A	f83r.23:4	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Flüssigkeit F83_P3:A@f83r.23:4].
