surface	default_de	rival_1_de	rival_2_de	rival_2_mechanism_de	display_hypothesis_not_exportable	confidence_0_100_not_probability	confidence_label	display_scope	lineage_decision	basis_de	counterevidence_de
dykeedy	erhitzte Fertigzubereitung	gebrauchsfertige Arzneimischung	Zubereitung der höchsten Reifestufe	gelernte Ganzwortkarte ohne dy-Export	PREPARATION|HOT|END_STAGE	25	C0_LEARNED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_NO_DY_EXPORT	1/1 reader-exakt; die vollständige Endsequenz gehört formal zur keedy-Familie.	Singleton ohne keey-Schwester; dy ist nur Strukturspur und darf weder CLOSED noch einen Vorgang liefern.
keedy	heißer Endzustand	vollständig ausgekochte Zubereitung	höchste Reife- oder Gütestufe	übernommene Ganzwortkarte ohne innere Zerlegung	HOT|END_STAGE	72	C1_WORKING_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_GDT647	59 rohe und 22 reader-exakte Vorkommen; GDT647-Qualitätsraster und die späteren HOT|END-Ganzwortrelationen tragen den Kern.	Keine historische Wortidentität; GDT689, GDT719 und GDT750 tragen keinen frei gesprochenen CLOSED-Baustein.
lkeedy	erhitzte Droge, Endstufe	ausgekochtes Pflanzenmaterial	lagerfertiger Drogenposten	übernommene Ganzwortkarte nach Patientenkorrektur	MATERIAL|HOT|END_STAGE	56	C1_AXIS_CORE_C0_CARRIER	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT_KEEP_AXES	37 rohe und 23 reader-exakte Vorkommen; lkeey-Schwester und breite HOT|END-Familie stützen den Zustandskern.	Die frühere Holzidentität ist nach der H1-H4-Korrektur unzulässig; keine exakte l keedy-Brücke und Drogen-Träger nur C0.
lokeedy	erhitzter Zubereitungsansatz, Endstufe	eingedickter Arzneiextrakt	abgemessene Fertigdosis	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	20	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Zwei rohe Vorkommen; okeedy ist ein starker HOT|END-Zubereitungsrest und GDT737 führt lokeedy als gehaltene Form zum Körper okeedy.	Kein reader-exaktes Ganzwortvorkommen; H4-Form und Körperkandidat hatten keine Renderer-Lizenz.
oekeedy	erhitzter Endansatz	reduzierte Abkochung	ausgereifte Fertigzubereitung	gelernte Ganzwortkarte mit Schwesteranalogie	PREPARATION|HOT|END_STAGE	28	C0_LEARNED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; oekeey ist als formale Schwester belegt und der unmittelbare Kontext enthält HOT|END-Ganzwörter.	Singleton; keine oe keedy-Brücke und keine sichere Ansatzrolle.
okeedy	heißer Ansatz an der Endstufe	eingekochter Arzneiansatz	Fertigzubereitung höchster Güte	übernommene Ganzwortkarte ohne innere Zerlegung	PREPARATION|HOT|END_STAGE	76	C1_WORKING_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_GDT647	94 rohe und 49 reader-exakte Vorkommen; direkte GDT647-Ganzwortkarte und späterer GDT750-HOT|END-Donor.	Ansatz bleibt eine Arbeitsrolle; CLOSED wird nach den Schwester- und Transferaudits nicht mehr gesprochen.
okokeedy	erhitzte Endzubereitung	erneut erhitzter Extrakt	abgeschlossene Arzneicharge	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	16	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; die vollständigen Nachbarfamilien okeedy und qokeedy liefern einen konkreten Wärme-/Endstufenrivalen.	Kein reader-exaktes Ganzwortvorkommen; keine sichere innere Grenze oder Trägerrolle; keine Renderer-Lizenz.
olkchokeedy	heiß-trockene Endzubereitung	geröstete Arzneimischung	getrockneter Extraktrückstand	gelernte lange Ganzwortkarte ohne innere Zerlegung	DRY|PREPARATION|HOT|END_STAGE	24	C0_LEARNED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_LONG_WHOLE	1/1 reader-exakt; die vollständige Form endet in der beobachteten keedy-Familie und erhält deshalb denselben ausdrücklich nicht exportierbaren C0-Anzeigeprior.	Langer Singleton ohne keey-Schwester oder getrennte Brücke; innere Ähnlichkeit ist keine Kompositionslizenz oder unabhängige Bedeutungsstütze.
olkeedy	vollständig erhitzter Ansatz	eingekochte Abkochung	Fertigarzneibasis, Form II	übernommene Ganzwortkarte nach Patientenkorrektur	PREPARATION|MATERIAL|HOT|END_STAGE	68	C1_INHERITED_FORM_SPECIFIC_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT689_REMOVE_RETIRED_PATIENT	42 rohe und 25 reader-exakte Vorkommen; die ältere GDT689-Ganzwortkarte, olkeey-Schwester und Endpunktvergleich tragen den formgebundenen Wert; die Splitbrücke gibt keinen Zusatzkredit.	Die frühere Holzidentität ist unzulässig; GDT689 zeigt ausdrücklich keine zusätzliche gesprochene CLOSED-Last; GDT787 erhöht die ältere Konfidenz nicht.
oykeedy	heißes Endstufenfeld	höchste Temperaturstufe	Reife- oder Gütefeld	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	HOT|END_STAGE	15	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; ykeedy und okeedy geben einen konkreten formgebundenen HOT|END-Rivalen vor.	Kein reader-exaktes Ganzwortvorkommen, keine keey-Schwester und keine sichere innere Grenze; keine Renderer-Lizenz.
pcholkeedy	getrocknetes Gut, heiß bis Endstufe	geröstete Pflanzendroge	getrocknete Fertigportion	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	DRY|MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; cholkeedy und die vollständige chol-Trockenkarte liefern eine konkrete Ganzformanalogie.	Kein reader-exaktes Ganzwortvorkommen; p erhält keinen Material-, Befehls- oder Lautwert; keine Renderer-Lizenz.
polkeedy	vollständig erhitzter Ansatz	eingekochte Abkochung, Form II	fertiger Materialposten, Form II	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; GDT737 führt polkeedy als gehaltene Form zum Körper olkeedy, dessen Endpunktkern unabhängig stärker ist.	Kein reader-exaktes Ganzwortvorkommen; H1-Rolle und Körperkandidat hatten keine Renderer-Lizenz; keine freie p- oder ol-Bedeutung.
qoeekeedy	erhitzte Endzubereitung	eingedickter Arzneiextrakt	abgeschlossenes Gütefeld	gelernte Ganzwortkarte ohne innere Zerlegung	PREPARATION|HOT|END_STAGE	24	C0_LEARNED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_NO_INTERNAL_EXPORT	1/1 reader-exakt; die vollständige Endsequenz liegt in der keedy-Familie und die Stelle steht in einem Qualitätsfeld.	Singleton ohne keey-Schwester oder getrennte Brücke; der Abschlussrival bleibt ungesprochen.
qokeedy	heiß am Gradende	höchste Temperaturstufe	Abschlussgrad ohne Temperaturwert	übernommene Ganzwortkarte ohne CLOSED-Komponente	HOT|END_STAGE	82	C1_WORKING_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT689_NO_CLOSE	292 rohe und 201 reader-exakte Vorkommen; stärkste Familie; GDT689 zeigt mit qokeey denselben Endpunkt ohne zusätzliche semantische d-Last.	Keine historische Wortidentität; ein anderer Leser trennt nur ein nicht-reader-exaktes Einzelvorkommen; kein freier qo- oder keedy-Export.
qolkeedy	erhitztes Drogenmaterial, Endstufe	ausgekochter Pflanzenstoff	verarbeiteter Drogenposten höchster Güte	nominale Ganzwortkarte ohne q-Handlung	MATERIAL|HOT|END_STAGE	46	C0_PLUS_SHORTENED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	REMOVE_OLD_Q_IMPERATIVE_KEEP_NOMINAL_CORE	7 rohe und 5 reader-exakte Vorkommen; qolkeey-Schwester und wiederholte HOT|END-Materialgeometrie erhalten einen nominalen Kern.	Der frühere q-Imperativ war Analystenkomposition; keine exakte qol keedy-Brücke und Stoffidentität offen.
qoolkeedy	erhitzte Endzubereitung	erneut erhitzte Abkochung	fertiger Materialposten	gelernte Ganzwortkarte mit Schwesteranalogie	PREPARATION|HOT|END_STAGE	28	C0_LEARNED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; qoolkeey ist eine reader-exakte formale Schwester.	Singleton; die alte Handlungslesung von qoolkeey ist nicht unabhängig und keine getrennte qool keedy-Brücke liegt vor.
rokeedy	erhitzte Zubereitung, Endstufe	eingedickter Arzneiextrakt	Fertigergebnis, Form II	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	18	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; GDT737 führt rokeedy als gehaltene Form zum starken Körper okeedy.	Kein reader-exaktes Ganzwortvorkommen; H3-Form und Körperkandidat hatten keine Renderer-Lizenz; keine freie r-Bedeutung.
rolkeedy	erhitztes Materialergebnis, Form II	ausgekochter Drogenrückstand	fertige Arzneidosis, Form II	gehaltene Ganzwortanalogie nach Patientenkorrektur	MATERIAL|HOT|END_STAGE|LEVEL_II	30	C0_REPAIRED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT	1/1 reader-exakt; GDT737 erhält für den Körper olkeedy den Kandidaten erhitztes Materialergebnis, Form II.	Die frühere Wurzelidentität ist quarantänisiert; Singleton und der gehaltene Kandidat besitzt keine automatische Renderer-Lizenz.
salkeedy	erhitzte Fertigdroge	getrocknete Fertigdroge	erhitztes Fertigsalz	formgebundene Ganzwortkarte ohne sal-Export	MATERIAL|PREPARATION|HOT|END_STAGE	60	C1_FORM_SPECIFIC_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT786_FORM_SPECIFIC	1/1 reader-exakt; GDT786 wählt die konkrete Ganzwortkarte wegen des starken keedy-Restwerts und der anschließenden Qualitätsreihe.	Singleton; weder sal noch keedy wird daraus frei exportiert und die spezifische Stoffidentität bleibt offen.
sheokeedy	heiße Feuchtzubereitung, Endstufe	heißer Aufguss, gebrauchsfertig	gereifte Feuchtarznei	übernommene Ganzwortkarte ohne CLOSED-Komponente	MOIST|PREPARATION|HOT|END_STAGE	42	C0_SHORTENED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_REMOVE_CLOSE	1/1 reader-exakt; sheo ist eine starke vollständige Feuchtzubereitungskarte und der alte Ganzwortkern trägt HOT|MOIST|PREPARATION|END_STAGE.	Singleton ohne keey-Schwester oder getrennte Brücke; CLOSED hatte keine spätere unabhängige Stütze.
sheolkeedy	feuchtes Material, heiß bis Endstufe	ausgekochte Feuchtdroge	eingeweichtes Material, pressfertig	formgebundene Kompositionshypothese; kein Komponentenexport	MOIST|MATERIAL|HOT|END_STAGE	36	C0_FORM_SPECIFIC_COMPOSITE	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	1/1 reader-exakt; sheol ist eine starke vollständige Feuchtmaterialkarte; HOT|END stammt nur aus dem ausdrücklich nicht exportierbaren C0-Familienprior.	Singleton ohne exakte sheol keedy-Brücke oder keey-Schwester; keine Komponenten werden exportiert.
shkakeedy	erhitzte Feuchtzubereitung, Endstufe	fertiger heißer Aufguss	eingeweichte Arzneicharge	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MOIST|PREPARATION|HOT|END_STAGE	15	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; benachbarte sheo-, shol- und keedy-Ganzformfamilien erlauben einen konkreten Feucht-/Wärmerivalen.	Kein reader-exaktes Ganzwortvorkommen und keine sichere innere Grenze; keine Renderer-Lizenz.
shkeedy	erhitzte Feuchtform, Endstufe	gebrauchsfertiger Aufguss	gereiftes Feuchtmaterial	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MOIST|HOT|END_STAGE	16	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; sholkeedy und sheokeedy liefern eine konkrete formgebundene Feucht-/Wärmeanalogie.	Kein reader-exaktes Ganzwortvorkommen, keine keey-Schwester und keine getrennte Brücke; keine Renderer-Lizenz.
sholkeedy	erhitzte Feuchtdroge	ausgekochtes Frischmaterial	mazerierte Droge, pressfertig	übernommene Ganzwortkarte ohne innere Zerlegung	MOIST|MATERIAL|HOT|END_STAGE	44	C0_PLUS_SHORTENED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_WHOLE	2 rohe und 1 reader-exaktes Vorkommen; shol ist eine vollständige Feuchtkarte und der alte Ganzwortkern bewahrt MOIST|MATERIAL|HOT|END_STAGE.	Nur ein reader-exaktes Ziel; keine getrennte shol keedy-Brücke und die genaue Drogenidentität bleibt offen.
sokeedy	erhitzte Zubereitung, Endstufe	eingedickter Extrakt, Form II	fertige Arzneidosis, Form II	gehaltene Ganzwortanalogie nach Patientenkorrektur	PREPARATION|HOT|END_STAGE	30	C0_REPAIRED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT	2 rohe und 1 reader-exaktes Vorkommen; GDT737 bewahrt für den Körper okeedy einen erhitzten Zubereitungsergebnis-Kandidaten.	Die frühere Samenidentität ist quarantänisiert; Singleton und der gehaltene Körperkandidat besitzt keine Renderer-Lizenz.
solkeedy	erhitzter Stoffansatz, Endstufe	eingekochter Materialauszug, Form II	abgeschlossene Arzneicharge	gehaltene Ganzwortanalogie mit formaler Grenzspur	MATERIAL|PREPARATION|HOT|END_STAGE	34	C0_REPAIRED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT_KEEP_FORMAL_BRIDGE	3/3 reader-exakt; exakte sol keedy-Brücke; GDT737 bewahrt den olkeedy-Körperkandidaten und GDT754 die Wärme-/Endstufenachsen nur als Hypothese.	Die frühere Saat-/Samenidentität ist quarantänisiert; GDT754 erteilt weder Komponentenexport noch automatische Renderer-Lizenz.
tsheokeedy	heiße Feuchtzubereitung, Endstufe	gebrauchsfertiger Aufguss	gedämpfte Pflanzendroge	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MOIST|PREPARATION|HOT|END_STAGE	16	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; sheokeedy liefert eine konkrete vollständige Feucht-/Wärmeanalogie.	Kein reader-exaktes Ganzwortvorkommen; initiale Formdifferenz und Trägerrolle bleiben offen; keine Renderer-Lizenz.
ykeedy	heißes Endstufenfeld	höchste Temperaturstufe	abgeschlossenes Prozess- oder Gütefeld	übernommene Ganzwortkarte ohne y- oder CLOSED-Komponente	HOT|END_STAGE	62	C1_WORKING_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_REMOVE_CLOSE_AND_Y_GLOSS	26 rohe und 19 reader-exakte Vorkommen; ykeey-Schwester und GDT750 behandeln ykeedy als vollständigen HOT|END-Donor.	Der alte Eintrags- und Abschlusswortlaut ist nicht unabhängig; y und sichtbares d erhalten keinen freien Bedeutungswert.
