event_serial	statement_id	record_unit_id	page	workflow_phase	visible_surface	master_card_id	atomic_card_value_de	event_position_in_clause	teaching_layer	terminal_status	complete_clause_translation_de
49	H3-S003	H3	f11r	II_SECOND_PORTION	kchy	MC117	Bearbeiten	3/5	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.
50	H3-S003	H3	f11r	II_SECOND_PORTION	dy	MC123	dies	4/5	SHARED_DECK	NONCLOSE	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.
51	H3-S003	H3	f11r	II_SECOND_PORTION	daiin	MC039	Sollmaß	5/5	SHARED_DECK	NONCLOSE	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.
52	H3-S004	H3	f11r	II_SECOND_PORTION	qotchy	MC107	Folgeposten	1/4	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.
53	H3-S004	H3	f11r	II_SECOND_PORTION	okchol	MC041	Weiterverarbeitung	2/4	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.
54	H3-S004	H3	f11r	II_SECOND_PORTION	cthy	MC161	bereit	3/4	SHARED_DECK	NONCLOSE	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.
55	H3-S004	H3	f11r	II_SECOND_PORTION	dy	MC123	dies	4/4	SHARED_DECK	NONCLOSE	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.
167	B2-S001	B2	f82r	III_UPPER_DOUBLE_BASIN	dchedy	MC025	überführen; Schluss	1/1	SHARED_DECK	TERMINAL	Überführe den bereiteten Ansatz in die obere Doppelbecken- und Zylinderstation; schließe den Schritt.
168	B2-S002	B2	f82r	III_UPPER_DOUBLE_BASIN	qolchedy	MC028	weiterführen; Schluss	1/1	SHARED_DECK	TERMINAL	Führe den Ansatz in derselben oberen Station weiter; schließe den Schritt.
169	B2-S003	B2	f82r	III_UPPER_DOUBLE_BASIN	qokain	MC017	Anteil zugeben	1/3	SHARED_DECK	NONCLOSE	Gib eine Portion zum laufenden Posten und lasse sie länger einwirken; schließe den Schritt.
170	B2-S003	B2	f82r	III_UPPER_DOUBLE_BASIN	dy	MC123	dies	2/3	SHARED_DECK	NONCLOSE	Gib eine Portion zum laufenden Posten und lasse sie länger einwirken; schließe den Schritt.
171	B2-S003	B2	f82r	III_UPPER_DOUBLE_BASIN	qokeedy	MC082	lange einwirken; Schluss	3/3	SHARED_DECK	TERMINAL	Gib eine Portion zum laufenden Posten und lasse sie länger einwirken; schließe den Schritt.
172	B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	qokal	MC040	dorthin einsetzen	1/5	SHARED_DECK	NONCLOSE	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.
173	B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	lcheckhy	MC168	Abführpassage	2/5	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.
174	B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	lched	MC127	Abführung	3/5	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.
175	B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	qokeey	MC002	lange einwirken	4/5	SHARED_DECK	NONCLOSE	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.
176	B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	lcheckhedy	MC133	Trennabzug; Schluss	5/5	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.
177	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	qokaly	MC054	Zieleinsatz	1/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
178	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	solkaiin	MC036	Sollsammlung	2/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
179	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	chckhy	MC035	durchleiten	3/8	SHARED_DECK	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
180	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	qokaiin	MC120	bemessen	4/8	SHARED_DECK	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
181	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	qokaiin	MC120	bemessen	5/8	SHARED_DECK	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
182	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	octheol	MC112	Fortsetzung vorbereiten	6/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
183	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	chkeey	MC166	Langwärmen	7/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
184	B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	ldy	MC004	abziehen; Schluss	8/8	SHARED_DECK	TERMINAL	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.
185	B2-S006	B2	f82r	III_UPPER_DOUBLE_BASIN	oteey	MC063	Langfolge	1/4	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Im langen Folgeschritt setze den Posten dort ein, führe ihn kurz durch und bringe ihn in den laufenden Arbeitsgang.
186	B2-S006	B2	f82r	III_UPPER_DOUBLE_BASIN	qokal	MC040	dorthin einsetzen	2/4	SHARED_DECK	NONCLOSE	Im langen Folgeschritt setze den Posten dort ein, führe ihn kurz durch und bringe ihn in den laufenden Arbeitsgang.
187	B2-S006	B2	f82r	III_UPPER_DOUBLE_BASIN	sheckhy	MC132	Kurzpassage	3/4	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Im langen Folgeschritt setze den Posten dort ein, führe ihn kurz durch und bringe ihn in den laufenden Arbeitsgang.
188	B2-S006	B2	f82r	III_UPPER_DOUBLE_BASIN	qoky	MC026	einsetzen	4/4	SHARED_DECK	NONCLOSE	Im langen Folgeschritt setze den Posten dort ein, führe ihn kurz durch und bringe ihn in den laufenden Arbeitsgang.
189	B2-S007	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	dshedy	MC138	Kurzabsetzen; Schluss	1/1	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	An der mittleren linken Gerätestation lasse den Posten kurz absetzen; schließe den Schritt.
190	B2-S008	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	sotaiin	MC060	Folgemaß	1/3	SHARED_DECK	NONCLOSE	Nimm für den Folgeschritt das bemessene Gut aus der Quelle und lasse es kurz absetzen.
191	B2-S008	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	qokar	MC044	Quelleinsatz	2/3	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm für den Folgeschritt das bemessene Gut aus der Quelle und lasse es kurz absetzen.
192	B2-S008	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	shedy	MC128	kurz absetzen; Schluss	3/3	SHARED_DECK	TERMINAL	Nimm für den Folgeschritt das bemessene Gut aus der Quelle und lasse es kurz absetzen.
193	B2-S009	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	solshedy	MC149	Folgeabsetzen; Schluss	1/1	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Lasse eine weitere Absetzung folgen; schließe den Schritt.
194	B2-S010	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	qokeey	MC002	lange einwirken	1/4	SHARED_DECK	NONCLOSE	Lasse den Posten länger einwirken, setze ihn ein, leite ihn zum Auslass und behalte den klaren Auszug.
195	B2-S010	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	qoky	MC026	einsetzen	2/4	SHARED_DECK	NONCLOSE	Lasse den Posten länger einwirken, setze ihn ein, leite ihn zum Auslass und behalte den klaren Auszug.
196	B2-S010	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	ls	MC065	Auslass	3/4	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Lasse den Posten länger einwirken, setze ihn ein, leite ihn zum Auslass und behalte den klaren Auszug.
197	B2-S010	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	cheey	MC119	Klarauszug	4/4	SHARED_DECK	NONCLOSE	Lasse den Posten länger einwirken, setze ihn ein, leite ihn zum Auslass und behalte den klaren Auszug.
198	B2-S011	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	okain	MC017	Anteil zugeben	1/4	SHARED_DECK	NONCLOSE	An der mittleren rechten Liege- oder Linienstation gib eine Portion zu, nimm davon eine zweite Portion und lasse beide länger einwirken.
199	B2-S011	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	char	MC055	davon	2/4	SHARED_DECK	NONCLOSE	An der mittleren rechten Liege- oder Linienstation gib eine Portion zu, nimm davon eine zweite Portion und lasse beide länger einwirken.
200	B2-S011	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	okain	MC017	Anteil zugeben	3/4	SHARED_DECK	NONCLOSE	An der mittleren rechten Liege- oder Linienstation gib eine Portion zu, nimm davon eine zweite Portion und lasse beide länger einwirken.
201	B2-S011	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	qokeedy	MC082	lange einwirken; Schluss	4/4	SHARED_DECK	TERMINAL	An der mittleren rechten Liege- oder Linienstation gib eine Portion zu, nimm davon eine zweite Portion und lasse beide länger einwirken.
202	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	lchy	MC008	Abführgut	1/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
203	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	cheey	MC119	Klarauszug	2/8	SHARED_DECK	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
204	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	qcthey	MC073	kurz vorbereiten	3/8	SHARED_DECK	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
205	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	qokeey	MC002	lange einwirken	4/8	SHARED_DECK	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
206	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	lcheey	MC066	Klarabzug	5/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
207	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	daiin	MC039	Sollmaß	6/8	SHARED_DECK	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
208	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	chey	MC123	dies	7/8	SHARED_DECK	NONCLOSE	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
209	B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	qokeeedy	MC140	Volleinsatz; Schluss	8/8	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.
210	B2-S013	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	lchedy	MC155	abführen; Schluss	1/1	SHARED_DECK	TERMINAL	Führe den verbrauchten Posten aus dem unteren Feld ab; schließe den Schritt.
211	B2-S014	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	lar	MC029	Quellabzug	1/1	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm den Abzug aus der Quelle für den nächsten Schritt auf.
212	B2-S015	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	tshey	MC141	Klarlauf	1/2	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	An den Randstationen führe den Abzug bis zum klaren Lauf und lasse ihn länger einwirken.
213	B2-S015	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	qokeedy	MC082	lange einwirken; Schluss	2/2	SHARED_DECK	TERMINAL	An den Randstationen führe den Abzug bis zum klaren Lauf und lasse ihn länger einwirken.
214	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	cheal	MC154	dorthin	1/8	SHARED_DECK	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
215	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	lchedar	MC011	Quellabführung	2/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
216	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	ches	MC152	Teilen	3/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
217	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	aiin	MC039	Sollmaß	4/8	SHARED_DECK	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
218	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	oteey	MC063	Langfolge	5/8	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
219	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	qokaiin	MC120	bemessen	6/8	SHARED_DECK	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
220	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	okey	MC007	kurz einwirken	7/8	SHARED_DECK	NONCLOSE	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
221	B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	pchedy	MC070	Zuführung; Schluss	8/8	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.
222	B2-S017	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	rsheal	MC102	Kurzhalt am Ziel	1/2	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Halte den Posten kurz am Ziel und schließe dort ab.
223	B2-S017	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	daldy	MC079	Zielschluss	2/2	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Halte den Posten kurz am Ziel und schließe dort ab.
224	B2-S018	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	qokeedy	MC082	lange einwirken; Schluss	1/1	SHARED_DECK	TERMINAL	Lasse den nächsten Posten länger einwirken; schließe den Schritt.
225	B2-S019	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	rshedy	MC084	Waschschluss	1/1	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Schließe den Waschgang ab.
226	B2-S020	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	qoteedy	MC173	lange Folgestufe; Schluss	1/1	SHARED_DECK	TERMINAL	Halte die folgende Stufe länger; schließe den Schritt.
227	B2-S021	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	qokeedy	MC082	lange einwirken; Schluss	1/1	SHARED_DECK	TERMINAL	Lasse den letzten behandelten Posten länger einwirken; schließe den Schritt.
228	B2-S022	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	lochedy	MC167	Abführung; Schluss	1/1	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Führe den Rest ab und schließe die Stationsfolge.
