selection_id	source_recipe	mutation_family	neutral_selection_class	neighbor_id	target_recipe	target_is_exact_catalog_key	neutral_execution_decision	neutral_blocked_factor_rules	selection_rule
G454-V00011	AIIN+OR	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00030	OR+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00012	AIIN+OR	ATOM_DELETION	NEUTRAL_READABLE	G447-N00031	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00013	AIIN+OR	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00033	AIIN+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00014	AIIN+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00039	Y+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00015	AIIN+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00040	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00016	AIIN+Y	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00042	AIIN+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00017	AIN	ATOM_DELETION	NEUTRAL_STOP	G447-N00048	EMPTY_RECIPE	NO	STOP	EMPTY_RECIPE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00018	AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00049	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00019	AIN+AIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00052	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00020	AIN+AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00053	AIIN+AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00021	AIN+AL	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00059	AL+AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00022	AIN+AL	ATOM_DELETION	NEUTRAL_READABLE	G447-N00060	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00023	AIN+AL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00062	AIIN+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00024	AIN+D_ADDR	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00068	D_ADDR+AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00025	AIN+D_ADDR	ATOM_DELETION	NEUTRAL_READABLE	G447-N00069	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00026	AIN+D_ADDR	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00071	AIIN+D_ADDR	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00027	AIN+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00074	Y+AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00028	AIN+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00075	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00029	AIN+Y	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00077	AIIN+Y	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00030	AIR	ATOM_DELETION	NEUTRAL_STOP	G447-N00083	EMPTY_RECIPE	NO	STOP	EMPTY_RECIPE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00031	AIR	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00084	AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00032	AIR+AIIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00087	AIIN+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00033	AIR+AIIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00088	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00034	AIR+AIIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00090	AIR+AIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00035	AIR+AIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00096	AIN+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00036	AIR+AIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00097	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00037	AIR+AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00099	AIR+AIIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00038	AIR+AL	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00105	AL+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00039	AIR+AL	ATOM_DELETION	NEUTRAL_READABLE	G447-N00106	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00040	AIR+AL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00108	AIR+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00041	AIR+CHD	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00114	CHD+AIR	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00042	AIR+CHD	ATOM_DELETION	NEUTRAL_READABLE	G447-N00115	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00043	AIR+CHD	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00117	AIR+CH	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00044	AIR+CHD+DY	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00128	AIR+DY+CHD	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00045	AIR+CHD+DY	ATOM_DELETION	NEUTRAL_READABLE	G447-N00130	AIR+CHD	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00046	AIR+CHD+DY	ATOM_DELETION	NEUTRAL_STOP	G447-N00131	AIR+DY	YES	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00047	AIR+CHD+DY	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00133	AIR+CH+DY	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00048	AIR+DY	ADJACENT_SWAP	NEUTRAL_STOP	G447-N00144	DY+AIR	NO	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00049	AIR+DY	ATOM_DELETION	NEUTRAL_READABLE	G447-N00145	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00050	AIR+DY	ATOM_DELETION	NEUTRAL_STOP	G447-N00146	DY	NO	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00051	AIR+DY	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	G447-N00147	AL+DY	YES	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00052	AIR+K+AIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00150	AIR+AIN+K	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00053	AIR+K+AIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00152	AIR+AIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00054	AIR+K+AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00155	AIR+CH+AIN	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00055	AIR+O	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00169	O+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00056	AIR+O	ATOM_DELETION	NEUTRAL_READABLE	G447-N00170	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00057	AIR+O	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00172	AL+O	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00058	AIR+OL	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00175	OL+AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00059	AIR+OL	ATOM_DELETION	NEUTRAL_READABLE	G447-N00176	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00060	AIR+OL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00178	AIR+OT	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00061	AIR+OL+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00182	AIR+Y+OL	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00062	AIR+OL+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00184	AIR+OL	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00063	AIR+OL+Y	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00187	AIR+OL+AIIN	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00064	AIR+OR	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00194	OR+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00065	AIR+OR	ATOM_DELETION	NEUTRAL_READABLE	G447-N00195	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00066	AIR+OR	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00197	AIR+AIIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00067	AIR+SH+E+DY	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00203	AIR+E+SH+DY	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00068	AIR+SH+E+DY	ATOM_DELETION	NEUTRAL_READABLE	G447-N00207	AIR+SH+DY	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00069	AIR+SH+E+DY	ATOM_DELETION	NEUTRAL_STOP	G447-N00206	AIR+E+DY	NO	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00070	AIR+SH+E+DY	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00210	AIR+CH+E+DY	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00071	AIR+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00223	Y+AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00072	AIR+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00224	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00073	AIR+Y	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00226	AIR+AIIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00074	AIR+Y+DY	ADJACENT_SWAP	NEUTRAL_STOP	G447-N00232	AIR+DY+Y	NO	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00075	AIR+Y+DY	ATOM_DELETION	NEUTRAL_READABLE	G447-N00235	AIR+Y	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00076	AIR+Y+DY	ATOM_DELETION	NEUTRAL_STOP	G447-N00234	AIR+DY	YES	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00077	AIR+Y+DY	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	G447-N00237	AIR+AIIN+DY	NO	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00078	AL	ATOM_DELETION	NEUTRAL_STOP	G447-N00243	EMPTY_RECIPE	NO	STOP	EMPTY_RECIPE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00079	AL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00244	AIR	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00080	AL+AIIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00247	AIIN+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00081	AL+AIIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00248	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00082	AL+AIIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00250	AIR+AIIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00083	AL+AIIN+LOCAL_CHAR_I	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00256	AIIN+AL+LOCAL_CHAR_I	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00084	AL+AIIN+LOCAL_CHAR_I	ATOM_DELETION	NEUTRAL_READABLE	G447-N00258	AIIN+LOCAL_CHAR_I	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00085	AL+AIIN+LOCAL_CHAR_I	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00261	AIR+AIIN+LOCAL_CHAR_I	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00086	AL+AIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00267	AIN+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00087	AL+AIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00268	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00088	AL+AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00270	AIR+AIN	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00089	AL+AL	ATOM_DELETION	NEUTRAL_READABLE	G447-N00276	AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00090	AL+AL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00277	AIR+AL	YES	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00091	AL+AR	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00283	AR+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00092	AL+AR	ATOM_DELETION	NEUTRAL_READABLE	G447-N00284	AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00093	AL+AR	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00286	AIR+AR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00094	AL+CH	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00292	CH+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00095	AL+CH	ATOM_DELETION	NEUTRAL_READABLE	G447-N00293	AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00096	AL+CH	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00295	AIR+CH	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00097	AL+CH+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00306	AL+Y+CH	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00098	AL+CH+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00308	AL+CH	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00099	AL+CH+Y	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00311	AIR+CH+Y	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00100	AL+CHD	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00325	CHD+AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00101	AL+CHD	ATOM_DELETION	NEUTRAL_READABLE	G447-N00326	AL	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00102	AL+CHD	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00328	AIR+CHD	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00103	AL+CHD+DY	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00339	AL+DY+CHD	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00104	AL+CHD+DY	ATOM_DELETION	NEUTRAL_READABLE	G447-N00341	AL+CHD	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00105	AL+CHD+DY	ATOM_DELETION	NEUTRAL_STOP	G447-N00342	AL+DY	YES	STOP	CLOSE:NO_ACTIVE_ACTION	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00106	AL+CHD+DY	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00344	AIR+CHD+DY	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00107	AL+CHD+Y	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00355	AL+Y+CHD	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00108	AL+CHD+Y	ATOM_DELETION	NEUTRAL_READABLE	G447-N00357	AL+CHD	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
