rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v46_translation_de	v46_unknown_tokens	comparison_scope
11	f115r.5	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	Trockne hiervon vollständig und stelle es fertig; abgemessene Trockenfraktion I auf Mittelstufe; Charge vollständig erhitzten Drogenstoffs; Einweichung vollständig abgeschlossen; Stufe II; bis zur Kühlendstufe gebracht; bis zur mittleren Heizstufe gebracht. Erhitze bis zur Endstufe und schließe ab; getrocknete Holzfraktion I; kalt und bis zur mittleren Trockenstufe gebracht; Wurzelansatz.	ro ist ein abschließendes nominales Produkt, kein zusätzlicher Befehl.	trockne hiervon vollständig und stelle es fertig; abgemessene Trockenfraktion I, Mittelstufe; Charge vollständig erhitzten Drogenstoffs; Einweichung vollständig abgeschlossen; Stufe II; bis zur Kühlendstufe gebracht; bis zur mittleren Heizstufe gebracht; erhitze bis zur Endstufe und schließe ab; getrocknete Holzfraktion I; kalt und bis zur mittleren Trockenstufe gebracht; Wurzelansatz	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
12	f11r.6	odl d s y otol chaiin ykchor dair chody cthy s daiin	Miss Holzdroge im Ansatz ab; Dosis; Saatgutposten; hierzu kaltes Zubereitungsgut; trocken auf Stufe III. Erhitze hiervon den Pflanzenteil; abgemessene Fraktion II; Trockenansatz abgeschlossen; Krautdroge; Saatgutposten; drei Maße.	odl trägt Ansatz, Holzdroge und Abmesshandlung; das freie d bleibt als eigene Dosis sichtbar.	Holzdroge im Ansatz abmessen; Dosis; Samen-/Saatgutposten; kaltes Zubereitungsgut; trocken, Grad III; erhitze hiervon den Pflanzenteil; abgemessene Fraktion II; Trockenansatz, abgeschlossen; Krautdroge; Samen-/Saatgutposten; drei Maße	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
13	f17v.13	ykeor chol chol cthol chkor sheol	Erhitze hiervon eine Portion bis zur Mittelstufe; Trockengut; weiteres Trockengut; Krautdrogenstoff beziehungsweise Blatt-/Krautdroge; eine Portion heiß getrockneter Droge; feuchter Drogenstoff.	Beide chol-Vorkommen und beide CTH-Registerlesungen bleiben sichtbar.	erhitze hiervon eine Portion bis zur Mittelstufe; Trockengut; Trockengut; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; eine Portion heiß getrocknete Droge; feuchtes Material	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
14	f19r.10	daiin cthor chol ykchor chordy	Drei Maße; Drogenteil/-portion beziehungsweise Portion Blatt-/Krautdroge; Trockengut. Erhitze hiervon den Pflanzenteil; stelle den Pflanzenteil fertig.	chordy ist die Fertigstellung desselben sichtbaren Pflanzenteils, keine neue Zutat.	drei Maße; Drogenteil/-portion; Portion Blatt-/Krautdroge; Trockengut; erhitze hiervon den Pflanzenteil; Pflanzenteil fertigstellen	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
15	f20r.3	qoteey cho chodaiin sho qochy chey tcheodal daral	Bis zur Kühlendstufe; Trockenansatz; Trockenansatz, Dosis III; feuchter Ansatz. Nimm leicht getrocknete Droge; bis zur mittleren Trockenstufe gebracht. Kühle ab, trockne bis zur Mittelstufe, setze an und miss Rohdroge I ab; miss die erste Fraktion Rohdroge I ab.	tcheodal bewahrt die sichtbare Reihenfolge Kühlen, Trocknen, Ansetzen und Abmessen.	bis zur Kühlendstufe; Trockenansatz; Trockenansatz, Dosis III; feuchter Ansatz; nimm leicht getrocknete Droge; bis zur mittleren Trockenstufe; abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen; erste Fraktion Rohdroge I abmessen	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
16	f46v.2	ytair aiin otchdy okaly daiin qokedy otar ar oldy otedy saim okey tody daiin	Kühle hiervon die zweite Fraktion; drei Teile; kalt-trockener Ansatz am Gradanfang, abgeschlossen. Erhitze den Rohstoff-I-Ansatz leicht und schließe ab; drei Maße; bis zur mittleren Heizstufe gebracht; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; fertiger Holzdrogenansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; Samendroge, Mengenklasse II; Ansatz bis zur mittleren Heizstufe; stelle den kalten Ansatz fertig; drei Maße.	ytair ist der erste ausdrückliche Kühlbefehl; alle späteren Zustände und Mengen bleiben erhalten.	kühle hiervon die zweite Fraktion; drei Teile; kalt-trockener Ansatz am Anfang des Grades, abgeschlossen; Rohstoff-I-Ansatz leicht erhitzen und abschließen; drei Maße; bis zur mittleren Heizstufe gebracht; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; fertiger Holzdrogenansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; Samendroge: Mengenklasse II; Ansatz bis zur mittleren Heizstufe; kalten Ansatz fertigstellen; drei Maße	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
17	f49r.3	dsho dchor dchor daiin dor cheoraiin	Miss eine Dosis Feuchtansatz ab; abgemessener Pflanzenteil; nochmals abgemessener Pflanzenteil; Menge III. Miss eine Portion Droge ab; drei Portionen bis zur Mittelstufe getrockneter Droge.	Die beiden dchor-Karten werden nicht zusammengezogen; dsho und dor sind getrennte Messhandlungen.	eine Dosis Feuchtansatz abmessen; abgemessener Pflanzenteil; abgemessener Pflanzenteil; Menge/Portion III; miss eine Portion Droge ab; drei Portionen bis zur Mittelstufe getrockneter Droge	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
18	f19r.12	ykchor chor daiin daiinol	Erhitze hiervon den Pflanzenteil; Pflanzenteil; Menge III; miss drei Dosen Drogenstoff ab.	daiinol ist die abschließende konkrete Messanweisung.	erhitze hiervon den Pflanzenteil; Pflanzenteil; Menge/Portion III; drei Dosen Drogenstoff abmessen	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
19	f24r.14	qor cheey qod char cthal	Nimm eine Drogenportion, vollständig getrocknet; schließe die Zubereitung ab; Trockenfraktion I; Kraut- oder Blattdroge aus Rohdroge I.	cthal bleibt nominale Zutat; kein zusätzliches Nehmen oder Zugeben.	nimm eine Drogenportion: vollständig getrocknet; die Zubereitung abschließen; Trockenfraktion I; Kraut- oder Blattdroge aus Rohdroge I	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
20	f56v.7	kchokchy chol shol chol otchyd	Erhitze, trockne und setze an; erhitze erneut, trockne erneut und schließe ab. Trockengut; Feuchtgut; Trockengut. Trockne den kalten Ansatz und schließe den Posten ab.	Die doppelte Heiz-/Trockenfolge von kchokchy und beide chol-Vorkommen bleiben vollständig sichtbar.	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen; Trockengut; Feuchtgut; Trockengut; kalten Ansatz trocknen und den Posten abschließen	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
