rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v45_translation_de	v46_translation_de	status
11	f18v	f18v.3	orshy	eine Portion leicht einweichen und abschließen	eine Portion leicht einweichen und abschließen	PRODUCTIVE_COMPOUND	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchtete Portion	MEDIUM_EXACT_WHOLE	NONE	orshy qoky qoky chkchy qokshy qokam	[orshy:?]; leicht erhitzt; leicht erhitzt; trocknen, erhitzen, erneut trocknen und abschließen; heiß und leicht angefeuchtet; nimm ein Maß und erhitze es	eine Portion leicht einweichen und abschließen; leicht erhitzt; leicht erhitzt; trocknen, erhitzen, erneut trocknen und abschließen; heiß und leicht angefeuchtet; nimm ein Maß und erhitze es	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
12	f19r	f19r.10	chordy	Pflanzenteil fertigstellen	Pflanzenteil fertigstellen	PRODUCTIVE_COMPOUND	CHOR_PLANT_PART+DY_FINISHED	fertig bereiteter Blüten- oder Fruchtteil	MEDIUM_EXACT_WHOLE	NONE	daiin cthor chol ykchor chordy	drei Maße; Drogenteil/-portion; Portion Blatt-/Krautdroge; Trockengut; erhitze hiervon den Pflanzenteil; [chordy:?]	drei Maße; Drogenteil/-portion; Portion Blatt-/Krautdroge; Trockengut; erhitze hiervon den Pflanzenteil; Pflanzenteil fertigstellen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
13	f19r	f19r.12	daiinol	drei Dosen Drogenstoff abmessen	drei Dosen Drogenstoff abmessen	PRODUCTIVE_COMPOUND	D_MEASURE+AIIN_III+OL_MATERIAL	Drogenstoff auf Dosisstufe III	LOW_EXPLORATORY	NONE	ykchor chor daiin daiinol	erhitze hiervon den Pflanzenteil; Pflanzenteil; Menge/Portion III; [daiinol:?]	erhitze hiervon den Pflanzenteil; Pflanzenteil; Menge/Portion III; drei Dosen Drogenstoff abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
14	f20r	f20r.3	tcheodal	abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen	abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen	PRODUCTIVE_COMPOUND	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	abgemessener kalt getrockneter Rohstoff-I-Ansatz	LOW_EXPLORATORY	NONE	qoteey cho chodaiin sho qochy chey tcheodal daral	bis zur Kühlendstufe; Trockenansatz; Trockenansatz, Dosis III; feuchter Ansatz; nimm leicht getrocknete Droge; bis zur mittleren Trockenstufe; [tcheodal:?]; erste Fraktion Rohdroge I abmessen	bis zur Kühlendstufe; Trockenansatz; Trockenansatz, Dosis III; feuchter Ansatz; nimm leicht getrocknete Droge; bis zur mittleren Trockenstufe; abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen; erste Fraktion Rohdroge I abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
15	f23r	f23r.10	yteain	kühle hiervon zwei Teile bis zur Mittelstufe	kühle hiervon zwei Teile bis zur Mittelstufe	PRODUCTIVE_COMPOUND	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	Kühlstufe II dieser Droge	LOW_EXPLORATORY	NONE	qok okaiin chkchy s yteain odal chal dy dar ykain	erhitze Folgendes: Ansatz auf Heizstufe III; trocknen, erhitzen, erneut trocknen und abschließen; Samen-/Saatgutposten; [yteain:?]; abgemessene Rohstoffmenge I im Ansatz; Rohstoff I, trocken am Gradanfang; abgemessene Fraktion I; erhitze hiervon auf Stufe II	erhitze Folgendes: Ansatz auf Heizstufe III; trocknen, erhitzen, erneut trocknen und abschließen; Samen-/Saatgutposten; kühle hiervon zwei Teile bis zur Mittelstufe; abgemessene Rohstoffmenge I im Ansatz; Rohstoff I, trocken am Gradanfang; abgemessene Fraktion I; erhitze hiervon auf Stufe II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
16	f24r	f24r.14	cthal	Kraut- oder Blattdroge aus Rohdroge I	Kraut- oder Blattdroge aus Rohdroge I	PRODUCTIVE_COMPOUND	CTH_HERB+AL_RAW_I	Rohstoff-I-Krautdroge	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qor cheey qod char cthal	nimm eine Drogenportion: vollständig getrocknet; die Zubereitung abschließen; Trockenfraktion I; [cthal:?]	nimm eine Drogenportion: vollständig getrocknet; die Zubereitung abschließen; Trockenfraktion I; Kraut- oder Blattdroge aus Rohdroge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
17	f2v	f2v.2	loeees	Charge Holzdrogenansatz der letzten Stufe	Charge Holzdrogenansatz der letzten Stufe	PRODUCTIVE_COMPOUND	L_WOOD+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	vollständig bereitete Holzdrogencharge	MEDIUM_EXACT_WHOLE	NONE	kcho kchy sho shol qotcho loeees qoty chor daiin	Zubereitung: heiß und trocken; heiß und angetrocknet; feuchter Ansatz; Feuchtgut; kühle, trockne und setze an; [loeees:?]; leicht gekühlt; Pflanzenteil; Menge/Portion III	Zubereitung: heiß und trocken; heiß und angetrocknet; feuchter Ansatz; Feuchtgut; kühle, trockne und setze an; Charge Holzdrogenansatz der letzten Stufe; leicht gekühlt; Pflanzenteil; Menge/Portion III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
18	f38r	f38r.2	chodys	eine Charge Trockenansatz fertigstellen	eine Charge Trockenansatz fertigstellen	PRODUCTIVE_COMPOUND	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	fertige Trockenansatz-Species	LOW_EXPLORATORY	NONE	okshey chodys ytoiin otaiin otaiin cthar	heiß-feuchter Ansatz in der Mitte des Grades; [chodys:?]; kühle hiervon einen Ansatz in Zubereitungsform III; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad III; CTH-Drogenfraktion I; Blatt-/Krautfraktion I	heiß-feuchter Ansatz in der Mitte des Grades; eine Charge Trockenansatz fertigstellen; kühle hiervon einen Ansatz in Zubereitungsform III; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad III; CTH-Drogenfraktion I; Blatt-/Krautfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
19	f46v	f46v.2	ytair	kühle hiervon die zweite Fraktion	kühle hiervon die zweite Fraktion	PRODUCTIVE_COMPOUND	Y_REFERENCE+T_COLD+AIR_FRACTION_II	zweite kalte Fraktion dieser Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ytair aiin otchdy okaly daiin qokedy otar ar oldy otedy saim okey tody daiin	[ytair:?]; drei Teile; kalt-trockener Ansatz am Anfang des Grades, abgeschlossen; Rohstoff-I-Ansatz leicht erhitzen und abschließen; drei Maße; bis zur mittleren Heizstufe gebracht; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; fertiger Holzdrogenansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; Samendroge: Mengenklasse II; Ansatz bis zur mittleren Heizstufe; kalten Ansatz fertigstellen; drei Maße	kühle hiervon die zweite Fraktion; drei Teile; kalt-trockener Ansatz am Anfang des Grades, abgeschlossen; Rohstoff-I-Ansatz leicht erhitzen und abschließen; drei Maße; bis zur mittleren Heizstufe gebracht; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; fertiger Holzdrogenansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; Samendroge: Mengenklasse II; Ansatz bis zur mittleren Heizstufe; kalten Ansatz fertigstellen; drei Maße	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
20	f49r	f49r.3	dsho	eine Dosis Feuchtansatz abmessen	eine Dosis Feuchtansatz abmessen	PRODUCTIVE_COMPOUND	D_MEASURE+SH_MOIST+O_PREP	Feuchtansatz, eine Dosis	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dsho dchor dchor daiin dor cheoraiin	[dsho:?]; abgemessener Pflanzenteil; abgemessener Pflanzenteil; Menge/Portion III; miss eine Portion Droge ab; drei Portionen bis zur Mittelstufe getrockneter Droge	eine Dosis Feuchtansatz abmessen; abgemessener Pflanzenteil; abgemessener Pflanzenteil; Menge/Portion III; miss eine Portion Droge ab; drei Portionen bis zur Mittelstufe getrockneter Droge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
21	f50r	f50r.6	shear	erste Fraktion bis zur Mittelstufe einweichen	erste Fraktion bis zur Mittelstufe einweichen	PRODUCTIVE_COMPOUND	SH_MOIST+E_MIDDLE+AR_FRACTION_I	mäßig eingeweichte Fraktion I	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ykain shear ol kchedy okal qotor cheeor olkeedy daiin qoky	erhitze hiervon auf Stufe II; [shear:?]; Grundansatz; heiß und bis zur mittleren Trockenstufe gebracht; Rohstoff I, leicht erhitzt im Ansatz; kalte Drogenportion; eine Portion vollständig getrocknete Droge; Holzdrogenansatz vollständig erhitzt und abgeschlossen; drei Maße; leicht erhitzt	erhitze hiervon auf Stufe II; erste Fraktion bis zur Mittelstufe einweichen; Grundansatz; heiß und bis zur mittleren Trockenstufe gebracht; Rohstoff I, leicht erhitzt im Ansatz; kalte Drogenportion; eine Portion vollständig getrocknete Droge; Holzdrogenansatz vollständig erhitzt und abgeschlossen; drei Maße; leicht erhitzt	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
22	f51r	f51r.7	eeckhy	Arzneikompositum trocken in Grundform	Arzneikompositum trocken in Grundform	LEARNED_WHOLE	LEARNED_EECKHY_WHOLE	Arzneikompositum vollständig bereiten und abschließen	LOW_EXPLORATORY	NONE	ychos ar eeckhy kcho qokchy qotal	trockne hiervon eine Ansatzcharge; Drogenfraktion I; [eeckhy:?]; Zubereitung: heiß und trocken; heiß und angetrocknet; Rohstoff I, kalt am Gradanfang	trockne hiervon eine Ansatzcharge; Drogenfraktion I; Arzneikompositum trocken in Grundform; Zubereitung: heiß und trocken; heiß und angetrocknet; Rohstoff I, kalt am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
23	f56v	f56v.7	kchokchy	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	LOW_EXPLORATORY	NONE	kchokchy chol shol chol otchyd	[kchokchy:?]; Trockengut; Feuchtgut; Trockengut; kalten Ansatz trocknen und den Posten abschließen	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen; Trockengut; Feuchtgut; Trockengut; kalten Ansatz trocknen und den Posten abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
24	f58v	f58v.36	dalar	erste Fraktion Rohdroge I abmessen	erste Fraktion Rohdroge I abmessen	PRODUCTIVE_COMPOUND	D_MEASURE+AL_RAW_I+AR_FRACTION_I	abgemessene Rohstoff-I-Fraktion	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	tcheody okeor ockhy qokal okal shokey qokeey dalar	abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen; eine Portion Ansatz bis zur Mittelstufe erhitzen; Ansatz eines Arzneikompositums am Gradanfang; Rohstoff I, heiß am Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; heiß-feuchter Ansatz in der Gradmitte; bis zur Heizendstufe; [dalar:?]	abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen; eine Portion Ansatz bis zur Mittelstufe erhitzen; Ansatz eines Arzneikompositums am Gradanfang; Rohstoff I, heiß am Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; heiß-feuchter Ansatz in der Gradmitte; bis zur Heizendstufe; erste Fraktion Rohdroge I abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
25	f76r	f76r.20	alchdy	Rohdroge I trocknen und fertigstellen	Rohdroge I trocknen und fertigstellen	PRODUCTIVE_COMPOUND	AL_RAW_I+CH_DRY+DY_FINISHED	fertig getrockneter Rohstoff I	MEDIUM_EXACT_WHOLE	NONE	dshedy qo chedy lchedy qokey qolchey qotain chckhy shckhy lchar okar alchdy	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; nimm Folgendes: bis zur mittleren Trockenstufe gebracht; getrocknetes Drogenholz; bis zur mittleren Heizstufe; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; kalt im qo-Rahmen, Grad II; Arzneikompositum: trocken, Gradanfang; Arzneikompositum: feucht, Gradanfang; trockene Holzfraktion I; heiße Drogenfraktion I im Ansatz; [alchdy:?]	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; nimm Folgendes: bis zur mittleren Trockenstufe gebracht; getrocknetes Drogenholz; bis zur mittleren Heizstufe; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; kalt im qo-Rahmen, Grad II; Arzneikompositum: trocken, Gradanfang; Arzneikompositum: feucht, Gradanfang; trockene Holzfraktion I; heiße Drogenfraktion I im Ansatz; Rohdroge I trocknen und fertigstellen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
26	f77r	f77r.41	sh	einweichen	einweichen	CONTEXT_SCOPED_SHORT_FORM	SH_MOIST	angefeuchtete Droge	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	NONE	daiin sh qolchey qotedy qotal r ain chl s arol	drei Maße; [sh:?]; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; bis zur mittleren Kühlstufe gebracht; Rohstoff I, kalt am Gradanfang; Wurzel; zwei Teile; trockne Folgendes: Samen-/Saatgutposten; Grundauszug, Fraktion I	drei Maße; einweichen; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; bis zur mittleren Kühlstufe gebracht; Rohstoff I, kalt am Gradanfang; Wurzel; zwei Teile; trockne Folgendes: Samen-/Saatgutposten; Grundauszug, Fraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
27	f79r	f79r.9	psheedy	Pulver vollständig einweichen und fertigstellen	Pulver vollständig einweichen und fertigstellen	PRODUCTIVE_COMPOUND	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	fertiges vollständig angefeuchtetes Pulverpräparat	LOW_EXPLORATORY	NONE	saiin shedy psheedy qokar sheol qolchey qoty qokal qokam	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe gebracht; [psheedy:?]; heiße Drogenfraktion I; feuchtes Material; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; leicht gekühlt; Rohstoff I, heiß am Gradanfang; nimm ein Maß und erhitze es	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe gebracht; Pulver vollständig einweichen und fertigstellen; heiße Drogenfraktion I; feuchtes Material; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; leicht gekühlt; Rohstoff I, heiß am Gradanfang; nimm ein Maß und erhitze es	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
28	f80v	f80v.40	tchar	erste Drogenfraktion abkühlen und trocknen	erste Drogenfraktion abkühlen und trocknen	PRODUCTIVE_COMPOUND	T_COLD+CH_DRY+AR_FRACTION_I	erste kalt getrocknete Fraktion	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qokain ol cheeor olar chey tchar ol chedy qotal olchedy	heiß, Grad II; Grundansatz; eine Portion vollständig getrocknete Droge; erste Holzrohstofffraktion im Ansatz; bis zur mittleren Trockenstufe; [tchar:?]; Grundansatz; bis zur mittleren Trockenstufe gebracht; Rohstoff I, kalt am Gradanfang; Holzdroge im Ansatz fertig getrocknet	heiß, Grad II; Grundansatz; eine Portion vollständig getrocknete Droge; erste Holzrohstofffraktion im Ansatz; bis zur mittleren Trockenstufe; erste Drogenfraktion abkühlen und trocknen; Grundansatz; bis zur mittleren Trockenstufe gebracht; Rohstoff I, kalt am Gradanfang; Holzdroge im Ansatz fertig getrocknet	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
29	f82r	f82r.32	shedaiin	drei Dosen bis zur Mittelstufe eingeweichter Droge	drei Dosen bis zur Mittelstufe eingeweichter Droge	PRODUCTIVE_COMPOUND	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	eingeweichte Droge auf Dosisstufe III	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	taiin shedaiin chckhey lchey lcheckhy sheey lr chey rain	kalt, Grad III; [shedaiin:?]; Arzneikompositum: trocken, Gradmitte; Drogenholz, trocken gebunden, Form I; Holzdroge bis zur Mittelstufe trocknen, als Kompositum bereiten und abschließen; vollständig eingeweicht; Wurzelholz; bis zur mittleren Trockenstufe; Wurzeldroge in Charge II	kalt, Grad III; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum: trocken, Gradmitte; Drogenholz, trocken gebunden, Form I; Holzdroge bis zur Mittelstufe trocknen, als Kompositum bereiten und abschließen; vollständig eingeweicht; Wurzelholz; bis zur mittleren Trockenstufe; Wurzeldroge in Charge II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
30	f82v	f82v.28	olkair	zweite erhitzte Holzdrogenfraktion im Ansatz	zweite erhitzte Holzdrogenfraktion im Ansatz	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+K_HOT+AIR_FRACTION_II	heißes Drogenmaterial der Fraktion II	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	tchal olkair sheeky qolchey qokar shey qokain otshedy	Rohstoff I, kalt-trocken am Gradanfang; [olkair:?]; vollständig einweichen, erhitzen und abschließen; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; heiße Drogenfraktion I; bis zur mittleren Einweichstufe; heiß, Grad II; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen	Rohstoff I, kalt-trocken am Gradanfang; zweite erhitzte Holzdrogenfraktion im Ansatz; vollständig einweichen, erhitzen und abschließen; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; heiße Drogenfraktion I; bis zur mittleren Einweichstufe; heiß, Grad II; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
