card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	revised_components	backread_revision	pre_617_standard_command_de	noun_address_components	noun_address_revision
PROC036	qotchy	OT+Y	CMD121	DANACH · ARBEITSPOSTEN	SEQUENCE_FORMULA	1	H3	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	DANACH · DIES	Y	YES
PROC037	okchol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	H3	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · FORTSETZEN	NONE	NO
PROC038	okaiin|qokaiin	OK+AIIN	CMD077	ANSETZEN · SOLLMASS	ACTION_COMMAND	9	H4|B1|B2|B3	NO	CMD077	ANSETZEN · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · MASS	AIIN	YES
PROC039	ykain	Y+K+AIN	CMD161	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · PORTION	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	K	YES	DIES · ZUDOSIEREN · PORTION	Y	YES
PROC040	ykan	Y+K+AN	CMD163	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · NACHPORTION	SEMANTIC_SPLIT_ADJACENT_SECOND_PORTION	K	YES	DIES · ZUDOSIEREN · NACHPORTION	Y	YES
PROC041	ody	O+DY	CMD074	ARBEITSGANG; SCHLUSS	CLOSE_FORMULA	1	H4	NO	CMD074	GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	O	YES	ARBEITSGANG; SCHLUSS	NONE	NO
PROC042	chdy|chedy	CHD+Y	CMD022	UMSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	11	H4|B1|B3|B4|B5	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	UMSETZEN · DIES	Y	YES
PROC043	talam	TALAM	CMD157	VERWAHREN	ACTION_COMMAND	1	H4	NO	CMD157	VERWAHREN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	VERWAHREN	NONE	NO
PROC044	ykaiin	Y+K+AIIN	CMD160	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	ACTION_COMMAND	1	H4	NO	CMD160	DIES · ZUFUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND	K	YES	DIES · ZUDOSIEREN · MASS	AIIN|Y	YES
PROC045	cheoar	CH+E+O+AR	CMD013	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	ACTION_COMMAND	1	H4	NO	CMD013	ABZIEHEN · KURZ · GANG · QUELLE	UNCHANGED_UNIQUE_COMMAND	CH|O	YES	ABNEHMEN · KURZ · ARBEITSGANG · QUELLE	AR	YES
PROC046	cheeky	CHK+EE+Y	CMD025	WAERMEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	2	H4|B4	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	WAERMEN · LANG · DIES	Y	YES
PROC047	oldy	OL+DY	CMD100	FORTSETZEN; SCHLUSS	CLOSE_FORMULA	2	H4|B4	NO	CMD100	FORTSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN; SCHLUSS	NONE	NO
PROC048	okal|qokal	OK+AL	CMD080	ANSETZEN · ZIELSTELLE	ACTION_COMMAND	6	H4|B1|B2|B3	NO	CMD080	ANSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · ZIEL	AL	YES
PROC049	oltchy	OL+T+Y	CMD104	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H4	NO	CMD104	FORTSETZEN · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · EINTRAGEN · DIES	Y	YES
PROC050	orain	OR+AIN	CMD107	ANSATZ · PORTION	ARGUMENT_OR_OBJECT_FORMULA	1	H4	NO	CMD107	ANSATZ · PORTION	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSATZ · PORTION	NONE	NO
PROC051	chochor	HO+CH+OR	CMD039	ZUTAT · ABNEHMEN · ANSATZ	ACTION_COMMAND	1	H5	NO	CMD039	GABE · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	CH	YES	GABE · ABNEHMEN · ANSATZ	HO	YES
PROC052	cho|sho	HO	CMD037	ZUTAT	ARGUMENT_OR_OBJECT_FORMULA	4	H5	NO	CMD037	GABE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	GABE	HO	YES
PROC053	chodaly	HO+AL+Y	CMD038	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD038	GABE · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	GABE · ZIEL · DIES	AL|HO|Y	YES
PROC054	kchol	K+OL	CMD049	ZUDOSIEREN · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD049	ZUFUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · FORTSETZEN	NONE	NO
PROC055	al|chal|cheal|dal|sal|tal	AL	CMD004	ZIELSTELLE	ARGUMENT_OR_OBJECT_FORMULA	10	H5|B1|B2|B3|B4|B5	NO	CMD004	ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ZIEL	AL	YES
PROC056	choy	HO+Y	CMD040	ZUTAT · ARBEITSPOSTEN	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD040	GABE · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	GABE · DIES	HO|Y	YES
PROC057	cheeckhody	CH+EE+CKH+O+DY	CMD016	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	ACTION_COMMAND	1	H5	NO	CMD016	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	CH|O	YES	ABNEHMEN · LANG · DURCHLASS · ARBEITSGANG; SCHLUSS	CKH	YES
PROC058	sh	SH	CMD131	HALTEN	ACTION_COMMAND	1	H5	NO	CMD131	HALTEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN	NONE	NO
PROC059	kchey	K+E+Y	CMD046	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	H5	NO	CMD046	ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · KURZ · DIES	Y	YES
PROC060	qokokchy	OK+OK+Y	CMD092	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H5	NO	CMD092	ANSETZEN · ANSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · ANSETZEN · DIES	Y	YES
PROC061	chokcheo	OK+CH+E+O	CMD083	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	ACTION_COMMAND	1	H5	NO	CMD083	ANSETZEN · ABZIEHEN · KURZ · GANG	UNCHANGED_UNIQUE_COMMAND	CH|O	YES	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	NONE	NO
PROC062	kchal	K+AL	CMD043	ZUDOSIEREN · ZIELSTELLE	ACTION_COMMAND	1	H5	NO	CMD043	ZUFUEHREN · ZIEL	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · ZIEL	AL	YES
PROC063	kchoar	K+HO+AR	CMD047	ZUDOSIEREN · ZUTAT · VORRAT	ACTION_COMMAND	1	H5	NO	CMD047	ZUFUEHREN · GABE · QUELLE	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · GABE · QUELLE	AR|HO	YES
PROC064	sotodan	OT+O+AIN	CMD119	DANACH · ARBEITSGANG · PORTION	SEQUENCE_FORMULA	1	H5	NO	CMD119	DANACH · GANG · PORTION	UNCHANGED_UNIQUE_COMMAND	O	YES	DANACH · ARBEITSGANG · PORTION	NONE	NO
PROC065	otchey	OT+Y	CMD121	DANACH · ARBEITSPOSTEN	SEQUENCE_FORMULA	2	H5|B4	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	DANACH · DIES	Y	YES
PROC066	keol	K+E+OL	CMD045	ZUDOSIEREN · KURZ · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD045	ZUFUEHREN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · KURZ · FORTSETZEN	NONE	NO
PROC067	qokedy	OK+E+DY	CMD085	ANSETZEN · KURZ; SCHLUSS	ACTION_COMMAND	8	B1|B3|B4	NO	CMD085	ANSETZEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · KURZ; SCHLUSS	NONE	NO
PROC068	kair	K+AIR	CMD042	ZUDOSIEREN · FLUESSIGKEITSLAUF	ACTION_COMMAND	1	B1	NO	CMD042	ZUFUEHREN · LAUF	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · LAUF	AIR	YES
PROC069	chkain|kain	K+AIN	CMD041	ZUDOSIEREN · PORTION	ACTION_COMMAND	3	B1|B3|B4	NO	CMD041	ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · PORTION	NONE	NO
PROC070	olkain|qolkain	OL+K+AIN	CMD101	FORTSETZEN · ZUDOSIEREN · PORTION	ACTION_COMMAND	2	B1|B4	NO	CMD101	FORTSETZEN · ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND	K	YES	FORTSETZEN · ZUDOSIEREN · PORTION	NONE	NO
PROC071	rol	R+OL	CMD128	KUEHLEN · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD128	KUEHLEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KUEHLEN · FORTSETZEN	NONE	NO
PROC072	dl	L	CMD051	WEITERLEITEN	ACTION_COMMAND	2	B1	NO	CMD051	FUEHREN	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN	NONE	NO
PROC073	sheckhal	SH+E+CKH+AL	CMD133	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	ACTION_COMMAND	1	B1	NO	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · DURCHLASS · ZIEL	AL|CKH	YES
PROC074	qokeedal	OK+EE+AL	CMD087	ANSETZEN · LANG · ZIELSTELLE	ACTION_COMMAND	1	B1	NO	CMD087	ANSETZEN · LANG · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · LANG · ZIEL	AL	YES
PROC075	chckhy|shckhy	CKH+Y	CMD026	DURCHLASSKANAL · ARBEITSPOSTEN	ARGUMENT_OR_OBJECT_FORMULA	4	B1|B2	NO	CMD026	DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DURCHLASS · DIES	CKH|Y	YES
PROC076	dchedy|schedy|tchedy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	4	B1|B2|B3	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	UMSETZEN; SCHLUSS	NONE	NO
PROC077	sshkchdy	SH+K+CHD+DY	CMD142	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	NO	CMD142	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	K	YES	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	NONE	NO
PROC078	cheedy|shedy|tedy	SHED+DY	CMD147	ABSETZEN; SCHLUSS	ACTION_COMMAND	12	B1|B2|B3|B4	NO	CMD147	ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ABSETZEN; SCHLUSS	NONE	NO
PROC079	olchedy|qolchedy	OL+CHD+DY	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B2|B3	NO	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC080	okain|qokain	OK+AIN	CMD078	ANSETZEN · PORTION	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD078	ANSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · PORTION	NONE	NO
PROC081	ral	R+AL	CMD126	KUEHLEN · ZIELSTELLE	ACTION_COMMAND	1	B1	NO	CMD126	KUEHLEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KUEHLEN · ZIEL	AL	YES
PROC082	qokchdy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B3|B5	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC083	cheky	CHK+E+Y	CMD023	WAERMEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	3	B1|B4	NO	CMD023	WAERMEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	WAERMEN · KURZ · DIES	Y	YES
PROC084	lsho	LSH+O	CMD070	WASCHEN · ARBEITSGANG	ACTION_COMMAND	1	B1	NO	CMD070	WASCHEN · GANG	UNCHANGED_UNIQUE_COMMAND	O	YES	WASCHEN · ARBEITSGANG	NONE	NO
PROC085	okey|qokey	OK+E+Y	CMD086	ANSETZEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	2	B1|B2	NO	CMD086	ANSETZEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · KURZ · DIES	Y	YES
PROC086	lshedy	LSH+E+DY	CMD069	WASCHEN · KURZ; SCHLUSS	ACTION_COMMAND	2	B1	NO	CMD069	WASCHEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	WASCHEN · KURZ; SCHLUSS	NONE	NO
PROC087	qolky	SOLK+Y	CMD152	AUFFANGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B1	NO	CMD152	AUFFANGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUFFANGEN · DIES	Y	YES
PROC088	lchedal	L+CHD+AL	CMD057	WEITERLEITEN · UMSETZEN · ZIELSTELLE	ACTION_COMMAND	1	B1	NO	CMD057	FUEHREN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · UMSETZEN · ZIEL	AL	YES
PROC089	otar	OT+AR	CMD111	DANACH · VORRAT	SEQUENCE_FORMULA	1	B1	NO	CMD111	DANACH · QUELLE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · QUELLE	AR	YES
PROC090	ytey	T+E+Y	CMD154	EINTRAGEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	B1	NO	CMD154	EINTRAGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	EINTRAGEN · KURZ · DIES	Y	YES
PROC091	okchedy|qokchedy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B1|B3	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC092	okeey|qokeey	OK+EE+Y	CMD090	ANSETZEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD090	ANSETZEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · LANG · DIES	Y	YES
PROC093	teol	E+OL	CMD033	KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B1	NO	CMD033	KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KURZ · FORTSETZEN	NONE	NO
PROC094	dchdy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	UMSETZEN; SCHLUSS	NONE	NO
