form	hypothesis	role	origin	loci	status
cthy	Kraut	MATERIAL	W02 first paragraph authored	f6v.12:4;f6v.13:2;f6v.16:4;f17v.15:2;f17v.22:7;f22v.8:2;f22v.12:3;f22v.15:2;f24r.5:5;f45v.9:2;f93r.22:2	UNCONFIRMED_ASSUMPTION
daiin	Dosis Q	AMOUNT	W02 first paragraph authored	f6v.7:3;f6v.20:4;f9v.7:5;f9v.8:2;f9v.9:1;f17v.21:7;f19v.10:1;f19v.10:3;f19v.11:4;f19v.12:3;f22v.8:4;f22v.9:6;f22v.10:2;f22v.12:2;f22v.14:4;f24r.1:8;f24r.8:5;f24r.18:3;f86v5.18:11;f93r.21:3;f93r.22:4;f99r.49:5;f99r.51:5;f102v2.32:11;f102v2.35:10	UNCONFIRMED_ASSUMPTION
dain	Dosis P	AMOUNT	W02 common extension authored	f17v.19:1;f23r.4:7;f23r.5:11;f93r.29:1	UNCONFIRMED_ASSUMPTION
dair	Teilmenge R	AMOUNT	W02 common extension authored	f106r.8:10	UNCONFIRMED_ASSUMPTION
dal	Maß	AMOUNT	W02 first paragraph authored	f6v.9:2;f24r.9:5;f24r.15:4;f24r.16:3;f24r.16:5;f93r.3:2;f93r.3:7	UNCONFIRMED_ASSUMPTION
dam	Restmenge	AMOUNT	W02 common extension authored	f22v.8:5;f24r.16:4;f93r.3:5	UNCONFIRMED_ASSUMPTION
dar	Teilmenge	AMOUNT	W02 common extension authored	f17v.5:5;f17v.22:2;f45v.5:4;f102v2.32:1;f102v2.38:1	UNCONFIRMED_ASSUMPTION
dchor	Blütenportion	MATERIAL	W02 first paragraph authored	f6v.20:1	UNCONFIRMED_ASSUMPTION
dol	Portion	AMOUNT	W02 first paragraph authored	f6v.7:5;f17v.17:4;f23r.5:10;f24r.9:4;f45v.5:7;f93r.5:4;f93r.15:3;f93r.21:1;f93r.32:1	UNCONFIRMED_ASSUMPTION
dor	abgemessene Menge	AMOUNT	W02 first paragraph authored	f6v.19:4;f9v.7:7;f17v.18:5	UNCONFIRMED_ASSUMPTION
dy	fertig	STATE	W02 first paragraph authored	f6v.11:6;f6v.17:5;f17v.1:6;f17v.8:4;f22v.11:3;f24r.10:7;f45v.6:7;f45v.6:8;f45v.8:4;f99r.51:4	UNCONFIRMED_ASSUMPTION
kaiin	Wärmestufe Q	QUALITY_VALUE	W02 common extension authored	f9v.11:4;f106r.8:4	UNCONFIRMED_ASSUMPTION
kchdy	feines Pulver	MATERIAL	W02 first paragraph authored	f6v.10:3	UNCONFIRMED_ASSUMPTION
kchol	Trockenmaterial	MATERIAL	W02 common extension authored	f9v.10:2;f17v.9:3;f45v.7:2;f93r.13:3	UNCONFIRMED_ASSUMPTION
kchor	trockene Blüten	MATERIAL	W02 common extension authored	f17v.4:1;f93r.22:1	UNCONFIRMED_ASSUMPTION
kchos	zerreibe	ACTION	W02 first paragraph authored	f6v.19:2	UNCONFIRMED_ASSUMPTION
keeor	Feinauszug	MATERIAL	W02 common extension authored	f17v.2:2;f17v.22:4	UNCONFIRMED_ASSUMPTION
lor	mit	RELATION	W02 first paragraph authored	f6v.11:1;f93r.8:1	UNCONFIRMED_ASSUMPTION
m	danach	LINK	W02 first paragraph authored	f6v.11:5	UNCONFIRMED_ASSUMPTION
o	und	LINK	W02 common extension authored	f45v.7:4;f102v2.33:5;f102v2.33:10	UNCONFIRMED_ASSUMPTION
oar	Anteil davon	AMOUNT	W02 common extension authored	f86v5.21:1;f86v5.24:1;f93r.1:8	UNCONFIRMED_ASSUMPTION
ocholy	trockenes Feinmehl	MATERIAL	W02 first paragraph authored	f6v.19:1	UNCONFIRMED_ASSUMPTION
ochy	kühle	ACTION	W02 first paragraph authored	f6v.16:1	UNCONFIRMED_ASSUMPTION
octham	bewahre auf	ACTION	W02 first paragraph authored	f6v.21:3	UNCONFIRMED_ASSUMPTION
odaiin	zusätzliche Dosis Q	AMOUNT	W02 common extension authored	f17v.2:5;f17v.3:2;f17v.20:6;f24r.2:3;f24r.9:1	UNCONFIRMED_ASSUMPTION
odal	abgemessener Anteil	AMOUNT	W02 common extension authored	f17v.1:5;f45v.8:2	UNCONFIRMED_ASSUMPTION
odol	abgemessene Zubereitung	MATERIAL	W02 common extension authored	f9v.6:1;f93r.28:2	UNCONFIRMED_ASSUMPTION
ody	Endprodukt	MATERIAL	W02 common extension authored	f86v5.18:8;f86v5.23:11;f93r.7:3	UNCONFIRMED_ASSUMPTION
oeeo	miss ab	ACTION	W02 first paragraph authored	f6v.9:1	UNCONFIRMED_ASSUMPTION
oees	gemischt	STATE	W02 first paragraph authored	f6v.13:5;f24r.13:1	UNCONFIRMED_ASSUMPTION
okaiin	Dosis des Grundansatzes	MATERIAL_DOSE	W02 common extension authored	f17v.6:3;f86v5.21:4	UNCONFIRMED_ASSUMPTION
okal	Ausgangsmaterial	MATERIAL	W02 common extension authored	f17v.2:6;f17v.3:3;f86v5.24:4	UNCONFIRMED_ASSUMPTION
okchey	zerstoße fein	ACTION	W02 first paragraph authored	f6v.8:3	UNCONFIRMED_ASSUMPTION
okeey	erwärme vorsichtig	ACTION	W02 common extension authored	f17v.20:2;f99r.49:4;f99r.50:2;f99r.51:7;f102v2.36:3;f102v2.36:8	UNCONFIRMED_ASSUMPTION
okeol	warme Flüssigkeit	MATERIAL	W02 common extension authored	f17v.14:5;f17v.16:3;f93r.11:1;f99r.48:2;f99r.49:6;f102v2.32:4	UNCONFIRMED_ASSUMPTION
okeor	warmer Auszug	MATERIAL	W02 common extension authored	f17v.10:2;f17v.23:2	UNCONFIRMED_ASSUMPTION
okey	erwärmt	STATE	W02 common extension authored	f102v2.34:7;f102v2.36:6;f102v2.36:7;f102v2.38:5	UNCONFIRMED_ASSUMPTION
okol	Grundansatz	MATERIAL	W02 first paragraph authored	f6v.20:3;f17v.2:4;f17v.10:4;f24r.3:3;f86v5.23:4	UNCONFIRMED_ASSUMPTION
oky	warm	STATE	W02 common extension authored	f9v.11:3;f19v.9:2;f19v.9:6;f24r.2:5;f24r.17:5;f45v.10:3;f102v2.32:8	UNCONFIRMED_ASSUMPTION
ol	mit	RELATION	W02 common extension authored	f17v.8:3;f17v.9:5;f17v.12:5;f17v.18:3;f23r.5:8;f23r.5:9;f24r.13:2;f24r.15:3;f93r.3:8;f93r.5:1;f93r.31:1;f102v2.32:10;f106r.8:3	UNCONFIRMED_ASSUMPTION
ols	Endzubereitung	MATERIAL	W02 common extension authored	f99r.52:2	UNCONFIRMED_ASSUMPTION
or	Anteil	AMOUNT	W02 first paragraph authored	f6v.13:6;f6v.15:3;f17v.6:2;f17v.6:4;f17v.18:7;f17v.21:4;f19v.12:4;f22v.10:4;f24r.1:2;f24r.1:9;f24r.4:1;f45v.11:1;f86v5.23:2;f86v5.23:9;f99r.50:8;f99r.52:3;f102v2.37:5	UNCONFIRMED_ASSUMPTION
os	zusammen	DISTRIBUTIVE	W02 common extension authored	f17v.7:5;f86v5.18:6	UNCONFIRMED_ASSUMPTION
otaiin	Dosis des kühlen Ansatzes	MATERIAL_DOSE	W02 common extension authored	f17v.6:5;f19v.12:5;f22v.6:4;f22v.9:5;f86v5.20:5;f86v5.24:7;f86v5.24:9	UNCONFIRMED_ASSUMPTION
otal	kühles Ausgangsmaterial	MATERIAL	W02 common extension authored	f9v.7:6;f24r.6:3;f86v5.20:7	UNCONFIRMED_ASSUMPTION
otam	Ansatzmasse	MATERIAL	W02 first paragraph authored	f6v.11:3;f19v.11:6;f24r.17:2	UNCONFIRMED_ASSUMPTION
oteedy	kühle vollständig	ACTION	W02 common extension authored	f106r.8:6	UNCONFIRMED_ASSUMPTION
oteol	kühle Flüssigkeit	MATERIAL	W02 common extension authored	f17v.15:6;f93r.11:2	UNCONFIRMED_ASSUMPTION
otor	kühler Anteil	MATERIAL	W02 common extension authored	f17v.15:5;f17v.18:1;f45v.8:6;f93r.6:2	UNCONFIRMED_ASSUMPTION
oty	kühl	STATE	W02 common extension authored	f9v.10:1;f19v.13:3;f22v.11:2;f45v.5:5;f86v5.19:6;f86v5.19:7	UNCONFIRMED_ASSUMPTION
pchor	nimm	ACTION	W02 common extension authored	f9v.5:1	UNCONFIRMED_ASSUMPTION
por	Zubereitungsmenge	AMOUNT	W02 common extension authored	f24r.1:1;f102v2.35:3	UNCONFIRMED_ASSUMPTION
qo	nimm	ACTION	W02 common extension authored	f9v.7:1;f19v.8:3	UNCONFIRMED_ASSUMPTION
qokain	erwärmte Dosis P	MATERIAL_DOSE	W02 common extension authored	f24r.11:5;f106r.9:3	UNCONFIRMED_ASSUMPTION
qokam	erwärme	ACTION	W02 first paragraph authored	f6v.12:3	UNCONFIRMED_ASSUMPTION
qokar	erwärmter Anteil	MATERIAL	W02 common extension authored	f86v5.23:7;f106r.9:7	UNCONFIRMED_ASSUMPTION
qokcho	verarbeite warm	ACTION	W02 common extension authored	f9v.8:3;f93r.30:2	UNCONFIRMED_ASSUMPTION
qokchod	trockne vollständig	ACTION	W02 first paragraph authored	f6v.10:1	UNCONFIRMED_ASSUMPTION
qokchol	erwärmtes Trockenmaterial	MATERIAL	W02 common extension authored	f22v.7:3;f23r.5:2	UNCONFIRMED_ASSUMPTION
qokchy	mische ein	MIX	W02 common extension authored	f22v.10:1;f22v.15:4;f24r.12:1	UNCONFIRMED_ASSUMPTION
qokeey	erhitze anhaltend	ACTION	W02 common extension authored	f17v.8:1;f23r.4:5;f99r.50:3;f102v2.37:8	UNCONFIRMED_ASSUMPTION
qokeol	erhitzte Flüssigkeit	MATERIAL	W02 common extension authored	f24r.8:6;f102v2.35:9	UNCONFIRMED_ASSUMPTION
qokeor	erhitze den Auszug	ACTION_TYPED	W02 common extension authored	f102v2.33:1;f102v2.36:9;f102v2.38:4	UNCONFIRMED_ASSUMPTION
qokol	erwärmter Grundansatz	MATERIAL	W02 common extension authored	f22v.8:3;f93r.5:5	UNCONFIRMED_ASSUMPTION
qokom	erwärme portionsweise	ACTION	W02 first paragraph authored	f6v.8:4;f45v.9:4	UNCONFIRMED_ASSUMPTION
qokor	erhitze	ACTION	W02 first paragraph authored	f6v.14:1;f93r.12:1;f93r.16:2;f93r.27:1	UNCONFIRMED_ASSUMPTION
qoky	erwärme mäßig	ACTION	W02 common extension authored	f24r.6:5;f102v2.35:6	UNCONFIRMED_ASSUMPTION
qotar	abgeteilter Anteil	AMOUNT	W02 common extension authored	f24r.3:4;f86v5.18:9	UNCONFIRMED_ASSUMPTION
qotchy	seihe ab	ACTION	W02 common extension authored	f22v.8:1;f24r.12:2;f93r.13:2	UNCONFIRMED_ASSUMPTION
qoteedy	vollständig abgekühlt	STATE	W02 common extension authored	f106r.8:9	UNCONFIRMED_ASSUMPTION
qotol	kalter Ansatz	MATERIAL	W02 common extension authored	f19v.11:1;f45v.5:1	UNCONFIRMED_ASSUMPTION
qotor	kühle ab	ACTION	W02 common extension authored	f9v.5:3;f106r.8:7	UNCONFIRMED_ASSUMPTION
r	darauf	LINK	W02 common extension authored	f17v.14:2;f24r.5:3;f93r.13:4;f93r.19:3;f99r.48:7	UNCONFIRMED_ASSUMPTION
s	jeweils	DISTRIBUTIVE	W02 first paragraph authored	f6v.6:4;f6v.9:5;f6v.13:3;f6v.15:2;f6v.15:5;f17v.7:6;f22v.10:3;f24r.7:3;f24r.8:2;f24r.10:4;f24r.13:3;f24r.13:6;f24r.15:5;f24r.18:5;f93r.1:7;f93r.2:2;f93r.2:7;f93r.2:9;f93r.4:6;f93r.6:3;f93r.6:5;f93r.7:5;f93r.8:4;f93r.11:3;f93r.24:4;f93r.28:4;f99r.49:7;f102v2.32:6;f102v2.33:6	UNCONFIRMED_ASSUMPTION
sar	je Teil	DISTRIBUTIVE	W02 common extension authored	f24r.11:1;f99r.50:6;f102v2.37:10	UNCONFIRMED_ASSUMPTION
sham	feuchte Masse	MATERIAL	W02 common extension authored	f24r.16:1;f24r.17:3	UNCONFIRMED_ASSUMPTION
she	lasse stehen	ACTION	W02 common extension authored	f17v.17:3;f24r.1:6	UNCONFIRMED_ASSUMPTION
sheeor	wässriger Auszug	MATERIAL	W02 common extension authored	f102v2.35:4	UNCONFIRMED_ASSUMPTION
sheey	benetze	ACTION	W02 common extension authored	f102v2.30:7	UNCONFIRMED_ASSUMPTION
shekeey	weiche ein	ACTION	W02 common extension authored	f102v2.35:5	UNCONFIRMED_ASSUMPTION
sheo	feuchte Zubereitung	MATERIAL	W02 common extension authored	f93r.2:6;f93r.11:5	UNCONFIRMED_ASSUMPTION
sheol	feuchtes Gemenge	MATERIAL	W02 common extension authored	f17v.13:6;f86v5.23:6;f102v2.35:2	UNCONFIRMED_ASSUMPTION
sho	Flüssigkeit	MATERIAL	W02 common extension authored	f17v.20:5;f22v.15:1;f45v.8:3;f102v2.33:2;f102v2.38:7	UNCONFIRMED_ASSUMPTION
shocthol	benetztes Krautpulver	MATERIAL	W02 first paragraph authored	f6v.6:2	UNCONFIRMED_ASSUMPTION
shodaiin	Dosis Q des feuchten Materials	MATERIAL_DOSE	W02 common extension authored	f93r.13:1;f93r.18:2;f93r.30:1	UNCONFIRMED_ASSUMPTION
shody	benetztes Material	MATERIAL	W02 common extension authored	f22v.9:2;f93r.4:4;f93r.18:3;f93r.23:3;f93r.25:3	UNCONFIRMED_ASSUMPTION
shol	feucht	STATE	W02 common extension authored	f17v.9:2;f22v.14:3;f93r.7:2;f93r.19:2;f93r.21:2	UNCONFIRMED_ASSUMPTION
shor	Samen	MATERIAL	W02 common extension authored	f93r.7:1	UNCONFIRMED_ASSUMPTION
shy	feucht	STATE	W02 first paragraph authored	f6v.12:2;f22v.6:2	UNCONFIRMED_ASSUMPTION
sor	weiterer Bestandteil	LINK	W02 common extension authored	f17v.7:1;f93r.26:3;f102v2.36:4	UNCONFIRMED_ASSUMPTION
sy	abgesetzt	STATE	W02 common extension authored	f17v.8:6;f45v.9:5;f102v2.32:12	UNCONFIRMED_ASSUMPTION
tchalody	fein gesiebt	STATE	W02 first paragraph authored	f6v.14:4	UNCONFIRMED_ASSUMPTION
tchody	Bereitung	HEADING	W02 first paragraph authored	f6v.6:1	UNCONFIRMED_ASSUMPTION
tchol	getrockneter Anteil	MATERIAL	W02 common extension authored	f17v.5:4;f22v.9:4	UNCONFIRMED_ASSUMPTION
tchor	verarbeitetes Blütenmaterial	MATERIAL	W02 common extension authored	f22v.6:3;f93r.19:1;f102v2.37:1	UNCONFIRMED_ASSUMPTION
teody	abgekühlt	STATE	W02 common extension authored	f102v2.35:8	UNCONFIRMED_ASSUMPTION
tod	kalter Rest	MATERIAL	W02 common extension authored	f24r.12:4;f45v.6:5	UNCONFIRMED_ASSUMPTION
tol	kühles Material	MATERIAL	W02 common extension authored	f24r.12:3;f99r.47:1	UNCONFIRMED_ASSUMPTION
y	und	LINK	W02 first paragraph authored	f6v.17:1;f19v.10:5;f24r.1:3	UNCONFIRMED_ASSUMPTION
ychear	vermische	MIX	W02 first paragraph authored	f6v.10:2	UNCONFIRMED_ASSUMPTION
ycheol	danach	LINK	W02 common extension authored	f17v.9:1;f24r.18:1	UNCONFIRMED_ASSUMPTION
ycheor	zum Schluss	LINK	W02 first paragraph authored	f6v.21:1	UNCONFIRMED_ASSUMPTION
ychol	trockne	ACTION	W02 first paragraph authored	f6v.7:2;f17v.5:1	UNCONFIRMED_ASSUMPTION
ychor	ferner	LINK	W01	f6v.8:1;f9v.11:1;f17v.15:1;f19v.9:1;f22v.7:1;f23r.5:1;f24r.8:1;f45v.9:1;f86v5.20:1;f93r.28:1;f99r.52:1;f102v2.35:1;f106r.9:1	UNCONFIRMED_ASSUMPTION
ychos	zerkleinere	ACTION	W02 first paragraph authored	f6v.7:1;f93r.10:1	UNCONFIRMED_ASSUMPTION
ykaiin	erwärmte Dosis Q	MATERIAL_DOSE	W02 common extension authored	f86v5.20:6;f86v5.22:1;f86v5.23:1	UNCONFIRMED_ASSUMPTION
ykeey	erwärme erneut	REPEAT_ACTION	W02 common extension authored	f17v.20:1;f86v5.22:2;f102v2.38:8	UNCONFIRMED_ASSUMPTION
yodaiin	weitere Dosis Q	AMOUNT	W02 first paragraph authored	f6v.13:1	UNCONFIRMED_ASSUMPTION
ytaiin	weitere Dosis des kühlen Ansatzes	MATERIAL_DOSE	W02 common extension authored	f19v.13:7;f86v5.21:6	UNCONFIRMED_ASSUMPTION
ytar	weiterer Teil	AMOUNT	W02 common extension authored	f19v.13:5;f86v5.20:8	UNCONFIRMED_ASSUMPTION
ytchocthol	benetztes Krautmehl	MATERIAL	W02 first paragraph authored	f6v.18:1	UNCONFIRMED_ASSUMPTION
yteey	kühle erneut	REPEAT_COOL	W02 common extension authored	f86v5.21:5;f86v5.21:9	UNCONFIRMED_ASSUMPTION
