paragraph	form	meaning	mentions	all_assumed_operations	SAME_objects	NEW_objects	operation_debts	identity_selected
f22v|f22v.6-f22v.16	otaiin	Dosis des kühlen Ansatzes	f22v.6:4;f22v.9:5	f22v.10:1=mische ein@f22v.9:5	1	2	f22v.10:1:IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False
f24r|f24r.1-f24r.20	char	Blütenanteil	f24r.2:2;f24r.14:4	f24r.14:2=zerreibe fein@f24r.14:4	1	2	f24r.14:2:UNREAD_BETWEEN:f24r.14:3	False
f24r|f24r.1-f24r.20	cheor	Auszug	f24r.7:4;f24r.11:4		1	2		False
f24r|f24r.1-f24r.20	chor	Blüten	f24r.1:4;f24r.10:3	f24r.1:6=lasse stehen@f24r.1:4	1	2	f24r.1:6:UNREAD_BETWEEN:f24r.1:5	False
f24r|f24r.1-f24r.20	cthal	Kräuterstück	f24r.3:2;f24r.14:5		1	2		False
f24r|f24r.1-f24r.20	sham	feuchte Masse	f24r.16:1;f24r.17:3		1	2		False
f6v|f6v.6-f6v.21	chor	Blüten	f6v.8:2;f6v.9:3;f6v.13:4;f6v.21:2	f6v.8:3=zerstoße fein@f6v.8:2;f6v.8:4=erwärme portionsweise@f6v.8:2;f6v.9:1=miss ab@f6v.9:3;f6v.21:3=bewahre auf@f6v.21:2	1	4		False
f6v|f6v.6-f6v.21	cthol	Krautpulver	f6v.7:4;f6v.14:3	f6v.7:2=trockne@f6v.7:4;f6v.14:1=erhitze@f6v.14:3;f6v.15:1=vermische@f6v.14:3	1	2	f6v.15:1:IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False
f6v|f6v.6-f6v.21	cthy	Kraut	f6v.12:4;f6v.13:2;f6v.16:4	f6v.12:3=erwärme@f6v.12:4	1	3		False
f86v5|f86v5.18-f86v5.25	ody	Endprodukt	f86v5.18:8;f86v5.23:11	f86v5.19:3=prüfe@f86v5.18:8	1	2	f86v5.19:3:UNREAD_BETWEEN:f86v5.18:10,f86v5.19:1,f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION	False
f86v5|f86v5.18-f86v5.25	otaiin	Dosis des kühlen Ansatzes	f86v5.20:5;f86v5.24:7;f86v5.24:9		1	3		False
f86v5|f86v5.18-f86v5.25	ykaiin	erwärmte Dosis Q	f86v5.20:6;f86v5.22:1;f86v5.23:1	f86v5.22:2=erwärme erneut@f86v5.22:1	1	3		False
f93r|f93r.1-f93r.32	chodaiin	Dosis Q des Trockenmaterials	f93r.8:3;f93r.28:3	f93r.10:1=zerkleinere@f93r.8:3	1	2	f93r.10:1:UNREAD_BETWEEN:f93r.8:5,f93r.9:1,f93r.9:2,f93r.9:3;IMPLICIT_SUBJECT_CONTINUATION	False
f93r|f93r.1-f93r.32	chody	getrocknetes Material	f93r.3:6;f93r.5:2		1	2		False
f93r|f93r.1-f93r.32	cthol	Krautpulver	f93r.20:2;f93r.30:3;f93r.31:3		1	3		False
f93r|f93r.1-f93r.32	sheo	feuchte Zubereitung	f93r.2:6;f93r.11:5	f93r.12:1=erhitze@f93r.11:5	1	2	f93r.12:1:UNREAD_BETWEEN:f93r.11:7;IMPLICIT_SUBJECT_CONTINUATION	False
f93r|f93r.1-f93r.32	shodaiin	Dosis Q des feuchten Materials	f93r.13:1;f93r.18:2;f93r.30:1	f93r.13:2=seihe ab@f93r.13:1;f93r.30:2=verarbeite warm@f93r.30:1	1	3	f93r.13:2:LIQUID_INPUT_NOT_BOUND	False
f93r|f93r.1-f93r.32	shody	benetztes Material	f93r.4:4;f93r.18:3;f93r.23:3;f93r.25:3		1	4		False
f99r|f99r.47-f99r.52	okeol	warme Flüssigkeit	f99r.48:2;f99r.49:6	f99r.49:4=erwärme vorsichtig@f99r.49:6;f99r.50:2=erwärme vorsichtig@f99r.49:6;f99r.50:3=erhitze anhaltend@f99r.49:6;f99r.51:7=erwärme vorsichtig@f99r.49:6	1	2	f99r.50:2:UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION;f99r.50:3:UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION;f99r.51:7:UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1,f99r.50:4,f99r.50:5,f99r.50:7,f99r.51:1,f99r.51:2,f99r.51:3,f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	False
