model	paragraph	operation	form	meaning	patient	patient_form	rule	coingredient	debts	row_status
A	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	erwärme erneut	f17v.19:4	cthor	PARAGRAPH_CARRY		UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f17v|f17v.1-f17v.23	f17v.20:2	okeey	erwärme vorsichtig	f17v.20:3	cheor	LOCAL_RIGHT			recorded
A	f17v|f17v.1-f17v.23	f17v.22:3	chey	prüfe	f17v.22:4	keeor	LOCAL_RIGHT			recorded
A	f17v|f17v.1-f17v.23	f17v.23:1	chkeey	zerreibe vollständig	f17v.23:2	okeor	LOCAL_RIGHT			recorded
B	f17v|f17v.1-f17v.23	f17v.5:1	ychol	trockne	f17v.5:4	tchol	LOCAL_RIGHT		UNREAD_BETWEEN:f17v.5:3	recorded
B	f17v|f17v.1-f17v.23	f17v.5:6	ckhy	stampfe	f17v.5:4	tchol	LOCAL_LEFT			recorded
B	f17v|f17v.1-f17v.23	f17v.7:2	chkeey	zerreibe vollständig	f17v.7:4	cheor	LOCAL_RIGHT		UNREAD_BETWEEN:f17v.7:3	recorded
B	f17v|f17v.1-f17v.23	f17v.8:1	qokeey	erhitze anhaltend	f17v.7:4	cheor	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f17v|f17v.1-f17v.23	f17v.15:1	ychor	nimm	f17v.15:2	cthy	LOCAL_RIGHT			recorded
B	f17v|f17v.1-f17v.23	f17v.17:3	she	lasse stehen	f17v.17:6	cthor	LOCAL_RIGHT		UNREAD_BETWEEN:f17v.17:5	recorded
B	f17v|f17v.1-f17v.23	f17v.19:2	chey	prüfe	f17v.19:4	cthor	LOCAL_RIGHT		UNREAD_BETWEEN:f17v.19:3	recorded
B	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	erwärme erneut	f17v.19:4	cthor	PARAGRAPH_CARRY		UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f17v|f17v.1-f17v.23	f17v.20:2	okeey	erwärme vorsichtig	f17v.20:3	cheor	LOCAL_RIGHT			recorded
B	f17v|f17v.1-f17v.23	f17v.22:3	chey	prüfe	f17v.22:4	keeor	LOCAL_RIGHT			recorded
B	f17v|f17v.1-f17v.23	f17v.23:1	chkeey	zerreibe vollständig	f17v.23:2	okeor	LOCAL_RIGHT			recorded
A	f19v|f19v.8-f19v.14	f19v.8:3	qo	nimm			MISSING		MISSING_PATIENT	recorded
B	f19v|f19v.8-f19v.14	f19v.8:3	qo	nimm			MISSING		MISSING_PATIENT	recorded
B	f19v|f19v.8-f19v.14	f19v.9:1	ychor	nimm	f19v.9:3	chor	LOCAL_RIGHT			recorded
A	f22v|f22v.6-f22v.16	f22v.8:1	qotchy	seihe ab	f22v.8:2	cthy	LOCAL_RIGHT		LIQUID_INPUT_NOT_BOUND	recorded
A	f22v|f22v.6-f22v.16	f22v.10:1	qokchy	mische ein	f22v.9:5	otaiin	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
A	f22v|f22v.6-f22v.16	f22v.15:4	qokchy	mische ein	f22v.15:2	cthy	LOCAL_LEFT	f22v.15:1	UNREAD_BETWEEN:f22v.15:3	recorded
B	f22v|f22v.6-f22v.16	f22v.7:1	ychor	nimm	f22v.7:2	chor	LOCAL_RIGHT			recorded
B	f22v|f22v.6-f22v.16	f22v.8:1	qotchy	seihe ab	f22v.8:2	cthy	LOCAL_RIGHT		LIQUID_INPUT_NOT_BOUND	recorded
B	f22v|f22v.6-f22v.16	f22v.10:1	qokchy	mische ein	f22v.9:5	otaiin	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
B	f22v|f22v.6-f22v.16	f22v.15:4	qokchy	mische ein	f22v.15:2	cthy	LOCAL_LEFT	f22v.15:1	UNREAD_BETWEEN:f22v.15:3	recorded
A	f23r|f23r.4-f23r.5	f23r.4:5	qokeey	erhitze anhaltend			MISSING		MISSING_PATIENT	recorded
B	f23r|f23r.4-f23r.5	f23r.4:5	qokeey	erhitze anhaltend			MISSING		MISSING_PATIENT	recorded
B	f23r|f23r.4-f23r.5	f23r.5:1	ychor	nimm	f23r.5:2	qokchol	LOCAL_RIGHT			recorded
A	f24r|f24r.1-f24r.20	f24r.1:6	she	lasse stehen	f24r.1:4	chor	LOCAL_LEFT		UNREAD_BETWEEN:f24r.1:5	recorded
A	f24r|f24r.1-f24r.20	f24r.3:5	ckhy	stampfe	f24r.3:3	okol	LOCAL_LEFT			recorded
A	f24r|f24r.1-f24r.20	f24r.5:4	chey	prüfe	f24r.5:5	cthy	LOCAL_RIGHT			recorded
A	f24r|f24r.1-f24r.20	f24r.6:5	qoky	erwärme mäßig	f24r.6:3	otal	LOCAL_LEFT		UNREAD_BETWEEN:f24r.6:4	recorded
A	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	mische ein	f24r.11:5	qokain	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
A	f24r|f24r.1-f24r.20	f24r.12:2	qotchy	seihe ab	f24r.12:3	tol	LOCAL_RIGHT		LIQUID_INPUT_NOT_BOUND	recorded
A	f24r|f24r.1-f24r.20	f24r.12:5	ckhy	stampfe	f24r.12:4	tod	LOCAL_LEFT			recorded
A	f24r|f24r.1-f24r.20	f24r.13:4	chey	prüfe	f24r.12:4	tod	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f24r|f24r.1-f24r.20	f24r.14:2	cheey	zerreibe fein	f24r.14:4	char	LOCAL_RIGHT		UNREAD_BETWEEN:f24r.14:3	recorded
B	f24r|f24r.1-f24r.20	f24r.1:6	she	lasse stehen	f24r.1:4	chor	LOCAL_LEFT		UNREAD_BETWEEN:f24r.1:5	recorded
B	f24r|f24r.1-f24r.20	f24r.3:5	ckhy	stampfe	f24r.3:3	okol	LOCAL_LEFT			recorded
B	f24r|f24r.1-f24r.20	f24r.5:4	chey	prüfe	f24r.5:5	cthy	LOCAL_RIGHT			recorded
B	f24r|f24r.1-f24r.20	f24r.6:5	qoky	erwärme mäßig	f24r.6:3	otal	LOCAL_LEFT		UNREAD_BETWEEN:f24r.6:4	recorded
B	f24r|f24r.1-f24r.20	f24r.8:1	ychor	nimm	f24r.8:6	qokeol	LOCAL_RIGHT		UNREAD_BETWEEN:f24r.8:3,f24r.8:4	recorded
B	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	mische ein	f24r.11:5	qokain	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
B	f24r|f24r.1-f24r.20	f24r.12:2	qotchy	seihe ab	f24r.12:3	tol	LOCAL_RIGHT		LIQUID_INPUT_NOT_BOUND	recorded
B	f24r|f24r.1-f24r.20	f24r.12:5	ckhy	stampfe	f24r.12:4	tod	LOCAL_LEFT			recorded
B	f24r|f24r.1-f24r.20	f24r.13:4	chey	prüfe	f24r.12:4	tod	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f24r|f24r.1-f24r.20	f24r.14:2	cheey	zerreibe fein	f24r.14:4	char	LOCAL_RIGHT		UNREAD_BETWEEN:f24r.14:3	recorded
A	f45v|f45v.5-f45v.11	f45v.9:4	qokom	erwärme portionsweise	f45v.9:2	cthy	LOCAL_LEFT			recorded
B	f45v|f45v.5-f45v.11	f45v.9:1	ychor	nimm	f45v.9:2	cthy	LOCAL_RIGHT			recorded
B	f45v|f45v.5-f45v.11	f45v.9:4	qokom	erwärme portionsweise	f45v.9:2	cthy	LOCAL_LEFT			recorded
A	f86v5|f86v5.18-f86v5.25	f86v5.19:3	chey	prüfe	f86v5.18:8	ody	PARAGRAPH_CARRY		UNREAD_BETWEEN:f86v5.18:10,f86v5.19:1,f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	kühle erneut	f86v5.21:4	okaiin	LOCAL_LEFT			recorded
A	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	kühle erneut	f86v5.21:6	ytaiin	LOCAL_LEFT		UNREAD_BETWEEN:f86v5.21:7	recorded
A	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	erwärme erneut	f86v5.22:1	ykaiin	LOCAL_LEFT			recorded
A	f86v5|f86v5.18-f86v5.25	f86v5.23:8	cheey	zerreibe fein	f86v5.23:7	qokar	LOCAL_LEFT			recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.19:3	chey	prüfe	f86v5.18:8	ody	PARAGRAPH_CARRY		UNREAD_BETWEEN:f86v5.18:10,f86v5.19:1,f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.20:1	ychor	nimm	f86v5.20:5	otaiin	LOCAL_RIGHT		UNREAD_BETWEEN:f86v5.20:4	recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	kühle erneut	f86v5.21:4	okaiin	LOCAL_LEFT			recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	kühle erneut	f86v5.21:6	ytaiin	LOCAL_LEFT		UNREAD_BETWEEN:f86v5.21:7	recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	erwärme erneut	f86v5.22:1	ykaiin	LOCAL_LEFT			recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.23:8	cheey	zerreibe fein	f86v5.23:7	qokar	LOCAL_LEFT			recorded
A	f93r|f93r.1-f93r.32	f93r.10:1	ychos	zerkleinere	f93r.8:3	chodaiin	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.8:5,f93r.9:1,f93r.9:2,f93r.9:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f93r|f93r.1-f93r.32	f93r.10:2	chey	prüfe	f93r.10:4	cheol	LOCAL_RIGHT		UNREAD_BETWEEN:f93r.10:3	recorded
A	f93r|f93r.1-f93r.32	f93r.12:1	qokor	erhitze	f93r.11:5	sheo	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.11:7;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f93r|f93r.1-f93r.32	f93r.13:2	qotchy	seihe ab	f93r.13:1	shodaiin	LOCAL_LEFT		LIQUID_INPUT_NOT_BOUND	recorded
A	f93r|f93r.1-f93r.32	f93r.16:2	qokor	erhitze	f93r.14:4	chr	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.15:1,f93r.15:2,f93r.15:4,f93r.16:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f93r|f93r.1-f93r.32	f93r.27:1	qokor	erhitze	f93r.27:2	cheo	LOCAL_RIGHT			recorded
A	f93r|f93r.1-f93r.32	f93r.30:2	qokcho	verarbeite warm	f93r.30:1	shodaiin	LOCAL_LEFT			recorded
B	f93r|f93r.1-f93r.32	f93r.10:1	ychos	zerkleinere	f93r.8:3	chodaiin	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.8:5,f93r.9:1,f93r.9:2,f93r.9:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f93r|f93r.1-f93r.32	f93r.10:2	chey	prüfe	f93r.10:4	cheol	LOCAL_RIGHT		UNREAD_BETWEEN:f93r.10:3	recorded
B	f93r|f93r.1-f93r.32	f93r.12:1	qokor	erhitze	f93r.11:5	sheo	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.11:7;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f93r|f93r.1-f93r.32	f93r.13:2	qotchy	seihe ab	f93r.13:1	shodaiin	LOCAL_LEFT		LIQUID_INPUT_NOT_BOUND	recorded
B	f93r|f93r.1-f93r.32	f93r.16:2	qokor	erhitze	f93r.14:4	chr	PARAGRAPH_CARRY		UNREAD_BETWEEN:f93r.15:1,f93r.15:2,f93r.15:4,f93r.16:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f93r|f93r.1-f93r.32	f93r.27:1	qokor	erhitze	f93r.27:2	cheo	LOCAL_RIGHT			recorded
B	f93r|f93r.1-f93r.32	f93r.28:1	ychor	nimm	f93r.28:2	odol	LOCAL_RIGHT			recorded
B	f93r|f93r.1-f93r.32	f93r.30:2	qokcho	verarbeite warm	f93r.30:1	shodaiin	LOCAL_LEFT			recorded
A	f99r|f99r.47-f99r.52	f99r.49:4	okeey	erwärme vorsichtig	f99r.49:6	okeol	LOCAL_RIGHT			recorded
A	f99r|f99r.47-f99r.52	f99r.50:2	okeey	erwärme vorsichtig	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f99r|f99r.47-f99r.52	f99r.50:3	qokeey	erhitze anhaltend	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f99r|f99r.47-f99r.52	f99r.51:7	okeey	erwärme vorsichtig	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1,f99r.50:4,f99r.50:5,f99r.50:7,f99r.51:1,f99r.51:2,f99r.51:3,f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f99r|f99r.47-f99r.52	f99r.49:4	okeey	erwärme vorsichtig	f99r.49:6	okeol	LOCAL_RIGHT			recorded
B	f99r|f99r.47-f99r.52	f99r.50:2	okeey	erwärme vorsichtig	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f99r|f99r.47-f99r.52	f99r.50:3	qokeey	erhitze anhaltend	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	erwärme vorsichtig	f99r.49:6	okeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f99r.49:9,f99r.49:10,f99r.50:1,f99r.50:4,f99r.50:5,f99r.50:7,f99r.51:1,f99r.51:2,f99r.51:3,f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f99r|f99r.47-f99r.52	f99r.52:1	ychor	nimm	f99r.52:2	ols	LOCAL_RIGHT			recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.30:7	sheey	benetze			MISSING		MISSING_PATIENT	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.31:2	ckhy	stampfe			MISSING		MISSING_PATIENT	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.33:1	qokeor	erhitze den Auszug	f102v2.33:2	sho	LOCAL_RIGHT		EXTRACT_PATIENT_NOT_BOUND	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	weiche ein	f102v2.35:4	sheeor	LOCAL_LEFT			recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	erwärme mäßig	f102v2.35:4	sheeor	LOCAL_LEFT			recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.36:2	cheey	zerreibe fein	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	erwärme vorsichtig	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.36:8	okeey	erwärme vorsichtig	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1,f102v2.36:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.36:9	qokeor	erhitze den Auszug	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1,f102v2.36:5;IMPLICIT_SUBJECT_CONTINUATION;EXTRACT_PATIENT_NOT_BOUND	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.37:3	chey	prüfe	f102v2.37:1	tchor	LOCAL_LEFT			recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.37:8	qokeey	erhitze anhaltend	f102v2.37:1	tchor	LOCAL_LEFT		UNREAD_BETWEEN:f102v2.37:4,f102v2.37:6,f102v2.37:7	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.38:2	cheey	zerreibe fein	f102v2.37:1	tchor	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.37:4,f102v2.37:6,f102v2.37:7,f102v2.37:9;IMPLICIT_SUBJECT_CONTINUATION	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.38:4	qokeor	erhitze den Auszug	f102v2.38:7	sho	LOCAL_RIGHT		UNREAD_BETWEEN:f102v2.38:6;EXTRACT_PATIENT_NOT_BOUND	recorded
A	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	erwärme erneut	f102v2.38:7	sho	LOCAL_LEFT			recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.30:7	sheey	benetze			MISSING		MISSING_PATIENT	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.31:2	ckhy	stampfe			MISSING		MISSING_PATIENT	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.33:1	qokeor	erhitze den Auszug	f102v2.33:2	sho	LOCAL_RIGHT		EXTRACT_PATIENT_NOT_BOUND	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.35:1	ychor	nimm	f102v2.35:2	sheol	LOCAL_RIGHT			recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	weiche ein	f102v2.35:4	sheeor	LOCAL_LEFT			recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	erwärme mäßig	f102v2.35:4	sheeor	LOCAL_LEFT			recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:2	cheey	zerreibe fein	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	erwärme vorsichtig	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:8	okeey	erwärme vorsichtig	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1,f102v2.36:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:9	qokeor	erhitze den Auszug	f102v2.35:9	qokeol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.36:1,f102v2.36:5;IMPLICIT_SUBJECT_CONTINUATION;EXTRACT_PATIENT_NOT_BOUND	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.37:3	chey	prüfe	f102v2.37:1	tchor	LOCAL_LEFT			recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.37:8	qokeey	erhitze anhaltend	f102v2.37:1	tchor	LOCAL_LEFT		UNREAD_BETWEEN:f102v2.37:4,f102v2.37:6,f102v2.37:7	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.38:2	cheey	zerreibe fein	f102v2.37:1	tchor	PARAGRAPH_CARRY		UNREAD_BETWEEN:f102v2.37:4,f102v2.37:6,f102v2.37:7,f102v2.37:9;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.38:4	qokeor	erhitze den Auszug	f102v2.38:7	sho	LOCAL_RIGHT		UNREAD_BETWEEN:f102v2.38:6;EXTRACT_PATIENT_NOT_BOUND	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	erwärme erneut	f102v2.38:7	sho	LOCAL_LEFT			recorded
A	f106r|f106r.8-f106r.9	f106r.8:6	oteedy	kühle vollständig			MISSING		MISSING_PATIENT	recorded
A	f106r|f106r.8-f106r.9	f106r.8:7	qotor	kühle ab			MISSING		MISSING_PATIENT	recorded
B	f106r|f106r.8-f106r.9	f106r.8:6	oteedy	kühle vollständig			MISSING		MISSING_PATIENT	recorded
