prediction_id	component_parse	predicted_reading_de	variant_rank	predicted_surface	renderer_rule_id	licensed_context	observed_surface_collision	collision_card_ids	status
P16	OL+AR	fortsetzen · von dort	1	olar	R04	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P16	OL+AR	fortsetzen · von dort	2	qolar	R04	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P17	OT+EEE+Y	danach · vollständig · dies	1	oteeey	R06	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P17	OT+EEE+Y	danach · vollständig · dies	2	qoteeey	R06	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P18	SOLK+EEE+Y	auffangen · vollständig · dies	1	solkeeey	R09	FULL_SOLK	NO	NONE	PREDICTED_NOT_SIGHTED
P18	SOLK+EEE+Y	auffangen · vollständig · dies	2	olkeeey	R09	INITIAL_S_DROPPED	NO	NONE	PREDICTED_NOT_SIGHTED
P19	OL+AIN	fortsetzen · Portion	1	olain	R04	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P19	OL+AIN	fortsetzen · Portion	2	qolain	R04	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P20	OL+AIR	fortsetzen · Lauf	1	olair	R04	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P20	OL+AIR	fortsetzen · Lauf	2	qolair	R04	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
