card_no	surfaces	graphic_component_parse	semantic_component_parse	consolidated_short_default_de	component_count	slot_signature	distinct_slots	repeated_slot	silent_fill_needed	occurrences	records	composition_status
PROC023	oykchor	O+Y+K+OR	O+Y+K+OR	GANG·DIES·ZUFUEHREN·ANSATZ	4	OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL
PROC024	kaiiin	K+IIN	K+IIN	ZUFUEHREN·STUFE	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL
PROC025	chodaiin	CH+O+AIIN	CH+O+AIIN	ABZIEHEN·GANG·MASS	3	ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL
PROC026	tshol	T+SH+OL	T+SH+OL	EINTRAGEN·HALTEN·FORTSETZEN	3	ACTION>ACTION>SEQUENCE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC027	schoal	SH+O+AL	SH+O+AL	HALTEN·GANG·ZIEL	3	ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET	3	NO	NONE	1	H3	COMPOSITIONAL
PROC028	cfhy	CFH+Y	CFH+Y	AUSWRINGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	PARTIAL_WITH_LEARNED_ATOM
PROC029	shfydaiin	SH+Y+AIIN	SH+Y+AIIN	HALTEN·DIES·MASS	3	ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC030	cphy	P+Y	P+Y	HINEIN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC031	cheey|shey	SH+EE+Y	SH+EE+Y	HALTEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	4	H3|B2|B4	COMPOSITIONAL
PROC032	tchody	T+CH+O+DY	T+CH+O+DY	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	4	ACTION>ACTION>OBJECT_MATERIAL>CLOSE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC033	shoyty	SH+O+Y+T+Y	SH+O+Y+T+Y	HALTEN·GANG·DIES·EINTRAGEN·DIES	5	ACTION>OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC034	dchol|schol	OL	OL	FORTSETZEN	1	SEQUENCE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H3|H5	COMPOSITIONAL
PROC035	kchy	K+Y	K+Y	ZUFUEHREN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC036	qotchy	OT+Y	OT+Y	DANACH·DIES	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H3	COMPOSITIONAL
PROC037	okchol	OK+OL	OK+OL	ANSETZEN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL
PROC038	okaiin|qokaiin	OK+AIIN	OK+AIIN	ANSETZEN·MASS	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	9	H4|B1|B2|B3	COMPOSITIONAL
PROC039	ykain	Y+K+AIN	Y+K+AIN	DIES·ZUFUEHREN·PORTION	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL
PROC040	ykan	Y+K+AIN	Y+K+AIN	DIES·ZUFUEHREN·PORTION	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL
PROC041	ody	O+DY	O+DY	GANG·SCHLUSS	2	OBJECT_MATERIAL>CLOSE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H4	COMPOSITIONAL
PROC042	chdy|chedy	CHD+Y	CHD+Y	UMSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	11	H4|B1|B3|B4|B5	COMPOSITIONAL
PROC043	talam	TALAM	TALAM	VERWAHREN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	LEARNED_WHOLE_CARD
PROC044	ykaiin	Y+K+AIIN	Y+K+AIIN	DIES·ZUFUEHREN·MASS	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL
PROC045	cheoar	CH+E+O+AR	CH+E+O+AR	ABZIEHEN·KURZ·GANG·QUELLE	4	ACTION>GRADE>OBJECT_MATERIAL>SOURCE_PATH_TARGET	4	NO	NONE	1	H4	COMPOSITIONAL
PROC046	cheeky	CHK+EE+Y	CHK+EE+Y	WAERMEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H4|B4	COMPOSITIONAL
PROC047	oldy	OL+DY	OL+DY	FORTSETZEN·SCHLUSS	2	SEQUENCE>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H4|B4	COMPOSITIONAL
PROC048	okal|qokal	OK+AL	OK+AL	ANSETZEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	6	H4|B1|B2|B3	COMPOSITIONAL
PROC049	oltchy	OL+T+Y	OL+T+Y	FORTSETZEN·EINTRAGEN·DIES	3	SEQUENCE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL
PROC050	orain	OR+AIN	OR+AIN	ANSATZ·PORTION	2	OBJECT_MATERIAL>QUANTITY_STAGE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H4	COMPOSITIONAL
PROC051	chochor	HO+CH+OR	HO+CH+OR	GABE·ABZIEHEN·ANSATZ	3	OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC052	cho|sho	HO	HO	GABE	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	4	H5	COMPOSITIONAL
PROC053	chodaly	HO+AL+Y	HO+AL+Y	GABE·ZIEL·DIES	3	OBJECT_MATERIAL>SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	YES	NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL
PROC054	kchol	K+OL	K+OL	ZUFUEHREN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC055	al|chal|cheal|dal|sal|tal	AL	AL	ZIEL	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	10	H5|B1|B2|B3|B4|B5	COMPOSITIONAL
PROC056	choy	HO+Y	HO+Y	GABE·DIES	2	OBJECT_MATERIAL>OBJECT_MATERIAL	1	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL
PROC057	cheeckhody	CH+EE+CKH+O+DY	CH+EE+CKH+O+DY	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	5	ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	5	NO	NONE	1	H5	COMPOSITIONAL
PROC058	sh	SH	SH	HALTEN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC059	kchey	K+E+Y	K+E+Y	ZUFUEHREN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC060	qokokchy	OK+OK+Y	OK+OK+Y	ANSETZEN·ANSETZEN·DIES	3	ACTION>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC061	chokcheo	OK+CH+E+O	OK+CH+E+O	ANSETZEN·ABZIEHEN·KURZ·GANG	4	ACTION>ACTION>GRADE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC062	kchal	K+AL	K+AL	ZUFUEHREN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	H5	COMPOSITIONAL
PROC063	kchoar	K+HO+AR	K+HO+AR	ZUFUEHREN·GABE·QUELLE	3	ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET	3	NO	NONE	1	H5	COMPOSITIONAL
PROC064	sotodan	OT+O+AIN	OT+O+AIN	DANACH·GANG·PORTION	3	SEQUENCE>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL
PROC065	otchey	OT+Y	OT+Y	DANACH·DIES	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H5|B4	COMPOSITIONAL
PROC066	keol	K+E+OL	K+E+OL	ZUFUEHREN·KURZ·FORTSETZEN	3	ACTION>GRADE>SEQUENCE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL
PROC067	qokedy	OK+E+DY	OK+E+DY	ANSETZEN·KURZ·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	8	B1|B3|B4	COMPOSITIONAL
PROC068	kair	K+AIR	K+AIR	ZUFUEHREN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL
PROC069	chkain|kain	K+AIN	K+AIN	ZUFUEHREN·PORTION	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3|B4	COMPOSITIONAL
PROC070	olkain|qolkain	OL+K+AIN	OL+K+AIN	FORTSETZEN·ZUFUEHREN·PORTION	3	SEQUENCE>ACTION>QUANTITY_STAGE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B4	COMPOSITIONAL
PROC071	rol	R+OL	R+OL	KUEHLEN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC072	dl	L	L	FUEHREN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1	COMPOSITIONAL
PROC073	sheckhal	SH+E+CKH+AL	SH+E+CKH+AL	HALTEN·KURZ·DURCHLASS·ZIEL	4	ACTION>GRADE>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	3	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL
PROC074	qokeedal	OK+EE+AL	OK+EE+AL	ANSETZEN·LANG·ZIEL	3	ACTION>GRADE>SOURCE_PATH_TARGET	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL
PROC075	chckhy|shckhy	CKH+Y	CKH+Y	DURCHLASS·DIES	2	SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	NO	NONACTION_ARGUMENT_OR_STATE_CARD	4	B1|B2	COMPOSITIONAL
PROC076	dchedy|schedy|tchedy	CHD+DY	CHD+DY	UMSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	4	B1|B2|B3	COMPOSITIONAL
PROC077	sshkchdy	SH+K+CHD+DY	SH+K+CHD+DY	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	4	ACTION>ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC078	cheedy|shedy|tedy	SHED+DY	SHED+DY	ABSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	12	B1|B2|B3|B4	COMPOSITIONAL
PROC079	olchedy|qolchedy	OL+CHD+DY	OL+CHD+DY	FORTSETZEN·UMSETZEN·SCHLUSS	3	SEQUENCE>ACTION>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B2|B3	COMPOSITIONAL
PROC080	okain|qokain	OK+AIN	OK+AIN	ANSETZEN·PORTION	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	7	B1|B2|B3|B4	COMPOSITIONAL
PROC081	ral	R+AL	R+AL	KUEHLEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL
PROC082	qokchdy	OK+CHD+DY	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3|B5	COMPOSITIONAL
PROC083	cheky	CHK+E+Y	CHK+E+Y	WAERMEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B4	COMPOSITIONAL
PROC084	lsho	LSH+O	LSH+O	WASCHEN·GANG	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC085	okey|qokey	OK+E+Y	OK+E+Y	ANSETZEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B2	COMPOSITIONAL
PROC086	lshedy	LSH+E+DY	LSH+E+DY	WASCHEN·KURZ·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1	COMPOSITIONAL
PROC087	qolky	SOLK+Y	SOLK+Y	AUFFANGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC088	lchedal	L+CHD+AL	L+CHD+AL	FUEHREN·UMSETZEN·ZIEL	3	ACTION>ACTION>SOURCE_PATH_TARGET	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL
PROC089	otar	OT+AR	OT+AR	DANACH·QUELLE	2	SEQUENCE>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	B1	COMPOSITIONAL
PROC090	ytey	T+E+Y	T+E+Y	EINTRAGEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC091	okchedy|qokchedy	OK+CHD+DY	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B3	COMPOSITIONAL
PROC092	okeey|qokeey	OK+EE+Y	OK+EE+Y	ANSETZEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	7	B1|B2|B3|B4	COMPOSITIONAL
PROC093	teol	E+OL	E+OL	KURZ·FORTSETZEN	2	GRADE>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B1	COMPOSITIONAL
PROC094	dchdy	CHD+DY	CHD+DY	UMSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC095	ly	L+Y	L+Y	FUEHREN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC096	dsheol	SH+E+OL	SH+E+OL	HALTEN·KURZ·FORTSETZEN	3	ACTION>GRADE>SEQUENCE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL
PROC097	oiiin|soiiin	O+IIN	O+IIN	GANG·STUFE	2	OBJECT_MATERIAL>QUANTITY_STAGE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B1|B3	COMPOSITIONAL
PROC098	olkeedy|solkeedy	SOLK+EE+DY	SOLK+EE+DY	AUFFANGEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3	COMPOSITIONAL
PROC099	shckhedy	SH+CKH+E+DY	SH+CKH+E+DY	HALTEN·DURCHLASS·KURZ·SCHLUSS	4	ACTION>SOURCE_PATH_TARGET>GRADE>CLOSE	4	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	3	B1|B4	COMPOSITIONAL
PROC100	qokeedy	OK+EE+DY	OK+EE+DY	ANSETZEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	10	B2|B3|B4	COMPOSITIONAL
PROC101	lcheckhy	L+CKH+Y	L+CKH+Y	FUEHREN·DURCHLASS·DIES	3	ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONE	1	B2	COMPOSITIONAL
PROC102	lched	L+CHD	L+CHD	FUEHREN·UMSETZEN	2	ACTION>ACTION	1	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL
