slot_signature	card_types	events	card_ids	example_surfaces	example_short_defaults_de	teaching_formula_de
SEQUENCE>GRADE>CLOSE	2	4	PROC129|PROC135	qoteedy|otedy	DANACH·LANG·SCHLUSS | DANACH·KURZ·SCHLUSS	FOLGE → GRAD → SCHLUSS
SEQUENCE>SOURCE_PATH_TARGET	2	4	PROC089|PROC131	otar|otal|qotal	DANACH·QUELLE | DANACH·ZIEL	FOLGE → ADRESSE
ACTION>ACTION>SOURCE_PATH_TARGET	3	3	PROC088|PROC123|PROC134	lchedal|lchedar|pchedal	FUEHREN·UMSETZEN·ZIEL | FUEHREN·UMSETZEN·QUELLE | HINEIN·UMSETZEN·ZIEL	HANDLUNG → HANDLUNG → ADRESSE
ACTION>GRADE>SEQUENCE	3	3	PROC066|PROC096|PROC158	keol|dsheol|okeeol	ZUFUEHREN·KURZ·FORTSETZEN | HALTEN·KURZ·FORTSETZEN | ANSETZEN·LANG·FORTSETZEN	HANDLUNG → GRAD → FOLGE
OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	3	PROC039|PROC040|PROC044	ykain|ykan|ykaiin	DIES·ZUFUEHREN·PORTION | DIES·ZUFUEHREN·PORTION | DIES·ZUFUEHREN·MASS	GEGENSTAND → HANDLUNG → MENGE_STUFE
OBJECT_MATERIAL>QUANTITY_STAGE	2	3	PROC050|PROC097	orain|oiiin|soiiin	ANSATZ·PORTION | GANG·STUFE	GEGENSTAND → MENGE_STUFE
SEQUENCE>ACTION>OBJECT_MATERIAL	2	3	PROC020|PROC049	otchor|qotchor|oltchy	DANACH·ABZIEHEN·ANSATZ | FORTSETZEN·EINTRAGEN·DIES	FOLGE → HANDLUNG → GEGENSTAND
SEQUENCE>QUANTITY_STAGE	1	3	PROC112	otaiin|sotaiin	DANACH·MASS	FOLGE → MENGE_STUFE
ACTION>ACTION>GRADE>CLOSE	2	2	PROC141|PROC159	qokshedy|lkedy	ANSETZEN·HALTEN·KURZ·SCHLUSS | FUEHREN·ZUFUEHREN·KURZ·SCHLUSS	HANDLUNG → HANDLUNG → GRAD → SCHLUSS
ACTION>ACTION>OBJECT_MATERIAL	2	2	PROC060|PROC116	qokokchy|lchy	ANSETZEN·ANSETZEN·DIES | FUEHREN·ABZIEHEN·DIES	HANDLUNG → HANDLUNG → GEGENSTAND
ACTION>OBJECT_MATERIAL>ACTION>CLOSE	2	2	PROC130|PROC155	lochedy|qokylddy	FUEHREN·GANG·UMSETZEN·SCHLUSS | ANSETZEN·DIES·BEFESTIGEN·SCHLUSS	HANDLUNG → GEGENSTAND → HANDLUNG → SCHLUSS
ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	2	2	PROC025|PROC029	chodaiin|shfydaiin	ABZIEHEN·GANG·MASS | HALTEN·DIES·MASS	HANDLUNG → GEGENSTAND → MENGE_STUFE
ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET	2	2	PROC027|PROC063	schoal|kchoar	HALTEN·GANG·ZIEL | ZUFUEHREN·GABE·QUELLE	HANDLUNG → GEGENSTAND → ADRESSE
GRADE>ACTION>OBJECT_MATERIAL	2	2	PROC010|PROC149	etyd|cheeety	KURZ·EINTRAGEN·DIES | VOLL·EINTRAGEN·DIES	GRAD → HANDLUNG → GEGENSTAND
SEQUENCE>ACTION>QUANTITY_STAGE	1	2	PROC070	olkain|qolkain	FORTSETZEN·ZUFUEHREN·PORTION	FOLGE → HANDLUNG → MENGE_STUFE
SEQUENCE>CLOSE	1	2	PROC047	oldy	FORTSETZEN·SCHLUSS	FOLGE → SCHLUSS
SEQUENCE>GRADE>OBJECT_MATERIAL	1	2	PROC109	oteey	DANACH·LANG·DIES	FOLGE → GRAD → GEGENSTAND
STATE>GRADE>OBJECT_MATERIAL	1	2	PROC117	qcthey|shcthey	BEREIT·KURZ·DIES	ZUSTAND → GRAD → GEGENSTAND
ACTION>ACTION	1	1	PROC102	lched	FUEHREN·UMSETZEN	HANDLUNG → HANDLUNG
ACTION>ACTION>ACTION>CLOSE	1	1	PROC077	sshkchdy	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	HANDLUNG → HANDLUNG → HANDLUNG → SCHLUSS
ACTION>ACTION>GRADE>OBJECT_MATERIAL	1	1	PROC061	chokcheo	ANSETZEN·ABZIEHEN·KURZ·GANG	HANDLUNG → HANDLUNG → GRAD → GEGENSTAND
ACTION>ACTION>GRADE>SOURCE_PATH_TARGET	1	1	PROC126	rsheal	KUEHLEN·HALTEN·KURZ·ZIEL	HANDLUNG → HANDLUNG → GRAD → ADRESSE
ACTION>ACTION>OBJECT_MATERIAL>CLOSE	1	1	PROC032	tchody	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	HANDLUNG → HANDLUNG → GEGENSTAND → SCHLUSS
ACTION>ACTION>SEQUENCE	1	1	PROC026	tshol	EINTRAGEN·HALTEN·FORTSETZEN	HANDLUNG → HANDLUNG → FOLGE
ACTION>GRADE>ACTION	1	1	PROC124	ches	ABZIEHEN·KURZ·TEILEN	HANDLUNG → GRAD → HANDLUNG
ACTION>GRADE>OBJECT_MATERIAL>SOURCE_PATH_TARGET	1	1	PROC045	cheoar	ABZIEHEN·KURZ·GANG·QUELLE	HANDLUNG → GRAD → GEGENSTAND → ADRESSE
ACTION>GRADE>SOURCE_PATH_TARGET	1	1	PROC074	qokeedal	ANSETZEN·LANG·ZIEL	HANDLUNG → GRAD → ADRESSE
ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL	1	1	PROC110	sheckhy	HALTEN·KURZ·DURCHLASS·DIES	HANDLUNG → GRAD → ADRESSE → GEGENSTAND
ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	1	1	PROC057	cheeckhody	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	HANDLUNG → GRAD → ADRESSE → GEGENSTAND → SCHLUSS
ACTION>GRADE>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	1	1	PROC073	sheckhal	HALTEN·KURZ·DURCHLASS·ZIEL	HANDLUNG → GRAD → ADRESSE → ADRESSE
ACTION>GRADE>STATE>ACTION>OBJECT_MATERIAL	1	1	PROC136	shecthedchy	HALTEN·KURZ·BEREIT·UMSETZEN·DIES	HANDLUNG → GRAD → ZUSTAND → HANDLUNG → GEGENSTAND
ACTION>GRADE>STATE>OBJECT_MATERIAL	1	1	PROC143	shecthy	HALTEN·KURZ·BEREIT·DIES	HANDLUNG → GRAD → ZUSTAND → GEGENSTAND
ACTION>OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	1	1	PROC033	shoyty	HALTEN·GANG·DIES·EINTRAGEN·DIES	HANDLUNG → GEGENSTAND → GEGENSTAND → HANDLUNG → GEGENSTAND
ACTION>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	1	1	PROC163	chckhal	ABZIEHEN·DURCHLASS·ZIEL	HANDLUNG → ADRESSE → ADRESSE
GRADE>ACTION>GRADE>OBJECT_MATERIAL	1	1	PROC171	qekey	KURZ·ZUFUEHREN·KURZ·DIES	GRAD → HANDLUNG → GRAD → GEGENSTAND
GRADE>SEQUENCE	1	1	PROC093	teol	KURZ·FORTSETZEN	GRAD → FOLGE
GRADE>SOURCE_PATH_TARGET	1	1	PROC146	cheedar	LANG·QUELLE	GRAD → ADRESSE
OBJECT_MATERIAL>ACTION>GRADE>OBJECT_MATERIAL	1	1	PROC015	ycheor	DIES·ABZIEHEN·KURZ·ANSATZ	GEGENSTAND → HANDLUNG → GRAD → GEGENSTAND
OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	1	1	PROC051	chochor	GABE·ABZIEHEN·ANSATZ	GEGENSTAND → HANDLUNG → GEGENSTAND
OBJECT_MATERIAL>CLOSE	1	1	PROC041	ody	GANG·SCHLUSS	GEGENSTAND → SCHLUSS
OBJECT_MATERIAL>OBJECT_MATERIAL	1	1	PROC056	choy	GABE·DIES	GEGENSTAND → GEGENSTAND
OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	1	1	PROC023	oykchor	GANG·DIES·ZUFUEHREN·ANSATZ	GEGENSTAND → GEGENSTAND → HANDLUNG → GEGENSTAND
OBJECT_MATERIAL>SOURCE_PATH_TARGET>GRADE>OBJECT_MATERIAL	1	1	PROC161	qockhey	GANG·DURCHLASS·KURZ·DIES	GEGENSTAND → ADRESSE → GRAD → GEGENSTAND
OBJECT_MATERIAL>SOURCE_PATH_TARGET>OBJECT_MATERIAL	1	1	PROC053	chodaly	GABE·ZIEL·DIES	GEGENSTAND → ADRESSE → GEGENSTAND
OBJECT_MATERIAL>STATE>GRADE>SEQUENCE	1	1	PROC106	octheol	GANG·BEREIT·KURZ·FORTSETZEN	GEGENSTAND → ZUSTAND → GRAD → FOLGE
OBJECT_MATERIAL>STATE>SEQUENCE>OBJECT_MATERIAL	1	1	PROC018	qoctholy	GANG·BEREIT·FORTSETZEN·DIES	GEGENSTAND → ZUSTAND → FOLGE → GEGENSTAND
QUANTITY_STAGE>QUANTITY_STAGE	1	1	PROC169	daiiin	ZWEIT·STUFE	MENGE_STUFE → MENGE_STUFE
SEQUENCE>ACTION>GRADE>CLOSE	1	1	PROC114	solshedy	FORTSETZEN·HALTEN·KURZ·SCHLUSS	FOLGE → HANDLUNG → GRAD → SCHLUSS
SEQUENCE>ACTION>SEQUENCE	1	1	PROC012	qotchol	DANACH·ABZIEHEN·FORTSETZEN	FOLGE → HANDLUNG → FOLGE
SEQUENCE>GRADE>QUANTITY_STAGE	1	1	PROC152	qotedaiin	DANACH·KURZ·MASS	FOLGE → GRAD → MENGE_STUFE
SEQUENCE>OBJECT_MATERIAL>ACTION>ACTION>SEQUENCE	1	1	PROC007	otytchol	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	FOLGE → GEGENSTAND → HANDLUNG → HANDLUNG → FOLGE
SEQUENCE>OBJECT_MATERIAL>QUANTITY_STAGE	1	1	PROC064	sotodan	DANACH·GANG·PORTION	FOLGE → GEGENSTAND → MENGE_STUFE
SEQUENCE>SEQUENCE	1	1	PROC021	otol	DANACH·FORTSETZEN	FOLGE → FOLGE
SEQUENCE>SOURCE_PATH_TARGET>OBJECT_MATERIAL	1	1	PROC153	olsaly	FORTSETZEN·ZIEL·DIES	FOLGE → ADRESSE → GEGENSTAND
SOURCE_PATH_TARGET>ACTION>CLOSE	1	1	PROC144	dalchdy	ZIEL·UMSETZEN·SCHLUSS	ADRESSE → HANDLUNG → SCHLUSS
SOURCE_PATH_TARGET>ACTION>OBJECT_MATERIAL	1	1	PROC148	chealror	ZIEL·KUEHLEN·ANSATZ	ADRESSE → HANDLUNG → GEGENSTAND
SOURCE_PATH_TARGET>CLOSE	1	1	PROC127	daldy	ZIEL·SCHLUSS	ADRESSE → SCHLUSS
SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	1	1	PROC162	dairydy	LAUF·DIES·SCHLUSS	ADRESSE → GEGENSTAND → SCHLUSS
STATE>OBJECT_MATERIAL>OBJECT_MATERIAL	1	1	PROC002	cthoor	BEREIT·GANG·ANSATZ	ZUSTAND → GEGENSTAND → GEGENSTAND
STATE>QUANTITY_STAGE	1	1	PROC017	cthaiin	BEREIT·MASS	ZUSTAND → MENGE_STUFE
