fusion_unit_order	fusion_unit_id	statement_id	record_unit_id	page	host_event_id	member_event_ids	member_surfaces	member_atomic_defaults	operation_chain_de	item_values_de	source_value_de	run_value_de	target_value_de	measure_values_de	grade_values_de	state_values_de	close	literal_workshop_clause_de	contains_resolved_forward_material
34	FU034	H5-S001	H5	f56r	E081	E080|E081|E082	otchor choky dal	danach+Ansatz | ansetzen+Posten | Ziel	folgen→ansetzen	Ansatz+Posten	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Ansatz+Posten; Ziel=gesetzt	NO
35	FU035	H5-S002	H5	f56r	E085	E083|E084|E085	schol choy choky	vorher | Zutat+Posten | ansetzen+Posten	zugeben→ansetzen	Vorposten+Zutat+Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=zugeben→ansetzen; Reihenfolge=vorher; Posten=Vorposten+Zutat+Posten	NO
36	FU036	H5-S002	H5	f56r	E086	E086	cheeckhody	länger+Durchlass+Zutat+Schluss	durchleiten→zugeben	Zutat	NONE	NONE	NONE	NONE	länger	NONE	YES	Vorgang=durchleiten→zugeben; Posten=Zutat; Grad=länger; Schluss	NO
37	FU037	H5-S003	H5	f56r	E087	E087	sh	halten	halten	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=halten	NO
38	FU038	H5-S003	H5	f56r	E089	E088|E089	cho kchey	Zutat | bearbeiten+kurz+Posten	zugeben→bearbeiten	Zutat+Posten	NONE	NONE	NONE	NONE	kurz	NONE	NO	Vorgang=zugeben→bearbeiten; Posten=Zutat+Posten; Grad=kurz	YES
39	FU039	H5-S003	H5	f56r	E090	E090	qokokchy	ansetzen+ansetzen+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten	NO
40	FU040	H5-S004	H5	f56r	E091	E091	okchy	ansetzen+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten	NO
41	FU041	H5-S004	H5	f56r	E092	E092	chokcheo	ansetzen+Auszug	ansetzen	Auszug	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Auszug	NO
42	FU042	H5-S004	H5	f56r	E093	E093	kchal	bearbeiten+Ziel	bearbeiten	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=bearbeiten; Ziel=gesetzt	NO
43	FU043	H5-S005	H5	f56r	E095	E094|E095	sho chokchy	Zutat | ansetzen+Posten	zugeben→ansetzen	Zutat+Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=zugeben→ansetzen; Posten=Zutat+Posten	NO
44	FU044	H5-S005	H5	f56r	E097	E096|E097	kchoar sotodan	Auszug+Quelle | danach+anwenden	folgen→anwenden	Auszug	Quelle	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=folgen→anwenden; Reihenfolge=danach; Posten=Auszug; Quelle=gesetzt	YES
45	FU045	H5-S006	H5	f56r	E099	E098|E099|E100	otchey keol daiin	danach+Posten | kurz+weiter | Sollmaß	folgen→weiterführen	Posten	NONE	NONE	NONE	Sollmaß	kurz	NONE	NO	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten; Wert=Sollmaß; Grad=kurz	NO
46	FU046	B1-S001	B1	f81v	E101	E101	qokedy	ansetzen+kurz+Schluss	ansetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=ansetzen; Grad=kurz; Schluss	NO
47	FU047	B1-S002	B1	f81v	E102	E102|E103	okaiin kair	ansetzen+Sollmaß | Lauf	ansetzen	NONE	NONE	Lauf	NONE	Sollmaß	NONE	NONE	NO	Vorgang=ansetzen; Lauf=gesetzt; Wert=Sollmaß	NO
48	FU048	B1-S002	B1	f81v	E104	E104|E105	okal sar	ansetzen+Ziel | Quelle	ansetzen	NONE	Quelle	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=ansetzen; Quelle=gesetzt; Ziel=gesetzt	NO
49	FU049	B1-S002	B1	f81v	E106	E106|E107	ol kain	weiter | Anteil	weiterführen	NONE	NONE	NONE	NONE	Anteil	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Wert=Anteil	NO
50	FU050	B1-S002	B1	f81v	E108	E108|E109	olkain al	weiter+Anteil | Ziel	weiterführen	NONE	NONE	NONE	Ziel	Anteil	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil	NO
51	FU051	B1-S002	B1	f81v	E110	E110	ol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
52	FU052	B1-S002	B1	f81v	E111	E111	rol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
53	FU053	B1-S002	B1	f81v	E113	E112|E113	dl olor	Zusatz | weiter+Ansatz	weiterführen	Zusatz+Ansatz	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Zusatz+Ansatz	YES
54	FU054	B1-S002	B1	f81v	E114	E114	ol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
55	FU055	B1-S002	B1	f81v	E115	E115|E116	sheckhal daiin	Durchlass+kurz+Ziel | Sollmaß	durchleiten	NONE	NONE	NONE	Ziel	Sollmaß	kurz	NONE	NO	Vorgang=durchleiten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz	NO
56	FU056	B1-S002	B1	f81v	E117	E117|E118	qokeedal daiin	ansetzen+länger+Ziel | Sollmaß	ansetzen	NONE	NONE	NONE	Ziel	Sollmaß	länger	NONE	NO	Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß; Grad=länger	NO
57	FU057	B1-S002	B1	f81v	E119	E119	chckhy	Durchlass+Posten	durchleiten	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=durchleiten; Posten=Posten	NO
58	FU058	B1-S002	B1	f81v	E120	E120	schedy	umsetzen+Schluss	umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=umsetzen; Schluss	NO
59	FU059	B1-S003	B1	f81v	E121	E121	qol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
60	FU060	B1-S003	B1	f81v	E122	E122	sshkchdy	halten+bearbeiten+umsetzen+Schluss	halten→bearbeiten→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=halten→bearbeiten→umsetzen; Schluss	NO
61	FU061	B1-S004	B1	f81v	E123	E123	chedy	umsetzen+Posten	umsetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=umsetzen; Posten=Posten	NO
62	FU062	B1-S004	B1	f81v	E124	E124	ol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
63	FU063	B1-S004	B1	f81v	E125	E125	shedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
64	FU064	B1-S005	B1	f81v	E126	E126	qolchedy	weiter+umsetzen+Schluss	weiterführen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss	NO
65	FU065	B1-S006	B1	f81v	E127	E127	qokain	ansetzen+Anteil	ansetzen	NONE	NONE	NONE	NONE	Anteil	NONE	NONE	NO	Vorgang=ansetzen; Wert=Anteil	NO
66	FU066	B1-S006	B1	f81v	E128	E128|E129|E130	shckhy dl ral	Durchlass+Posten | Zusatz | Ziel	durchleiten	Posten+Zusatz	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=durchleiten; Posten=Posten+Zusatz; Ziel=gesetzt	NO
67	FU067	B1-S007	B1	f81v	E131	E131	qokchdy	ansetzen+umsetzen+Schluss	ansetzen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=ansetzen→umsetzen; Schluss	NO
68	FU068	B1-S008	B1	f81v	E133	E132|E133	chey ol	Posten | weiter	weiterführen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten	NO
69	FU069	B1-S008	B1	f81v	E134	E134	cheky	wärmen+kurz+Posten	wärmen	Posten	NONE	NONE	NONE	NONE	kurz	NONE	NO	Vorgang=wärmen; Posten=Posten; Grad=kurz	NO
70	FU070	B1-S008	B1	f81v	E135	E135	ol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
71	FU071	B1-S008	B1	f81v	E136	E136	shedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
72	FU072	B1-S009	B1	f81v	E137	E137	qokedy	ansetzen+kurz+Schluss	ansetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=ansetzen; Grad=kurz; Schluss	NO
73	FU073	B1-S010	B1	f81v	E138	E138	qokedy	ansetzen+kurz+Schluss	ansetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=ansetzen; Grad=kurz; Schluss	NO
74	FU074	B1-S011	B1	f81v	E139	E139	chckhy	Durchlass+Posten	durchleiten	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=durchleiten; Posten=Posten	NO
75	FU075	B1-S011	B1	f81v	E140	E140	qoky	ansetzen+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten	NO
76	FU076	B1-S012	B1	f81v	E141	E141	lsho	waschen	waschen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=waschen	NO
77	FU077	B1-S012	B1	f81v	E142	E142	qokey	ansetzen+kurz+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	kurz	NONE	NO	Vorgang=ansetzen; Posten=Posten; Grad=kurz	NO
78	FU078	B1-S012	B1	f81v	E143	E143	lshedy	waschen+Schluss	waschen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=waschen; Schluss	NO
79	FU079	B1-S013	B1	f81v	E144	E144	lshedy	waschen+Schluss	waschen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=waschen; Schluss	NO
80	FU080	B1-S014	B1	f81v	E145	E145	chedy	umsetzen+Posten	umsetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=umsetzen; Posten=Posten	NO
81	FU081	B1-S014	B1	f81v	E146	E146	qolky	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
82	FU082	B1-S014	B1	f81v	E147	E147	lchedal	abführen+umsetzen+Ziel	abführen→umsetzen	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=abführen→umsetzen; Ziel=gesetzt	NO
83	FU083	B1-S014	B1	f81v	E148	E148|E149	qol otar	weiter | danach+Quelle	weiterführen→folgen	NONE	Quelle	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen→folgen; Reihenfolge=weiter+danach; Quelle=gesetzt	NO
84	FU084	B1-S015	B1	f81v	E151	E150|E151	ytey okchedy	Posten+kurz+Teil | ansetzen+umsetzen+Schluss	ansetzen→umsetzen	Posten+Teil	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=ansetzen→umsetzen; Posten=Posten+Teil; Grad=kurz; Schluss	NO
85	FU085	B1-S016	B1	f81v	E152	E152	qokal	ansetzen+Ziel	ansetzen	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=ansetzen; Ziel=gesetzt	NO
86	FU086	B1-S016	B1	f81v	E153	E153	okeey	ansetzen+länger+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	länger	NONE	NO	Vorgang=ansetzen; Posten=Posten; Grad=länger	NO
87	FU087	B1-S016	B1	f81v	E154	E154	qol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
88	FU088	B1-S016	B1	f81v	E155	E155	cheedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
89	FU089	B1-S017	B1	f81v	E157	E156|E157	sal teol	Ziel | kurz+weiter	weiterführen	NONE	NONE	NONE	Ziel	NONE	kurz	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Grad=kurz	NO
90	FU090	B1-S017	B1	f81v	E158	E158	dchdy	umsetzen+Schluss	umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=umsetzen; Schluss	NO
91	FU091	B1-S018	B1	f81v	E159	E159	ly	abführen+Posten	abführen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=abführen; Posten=Posten	NO
92	FU092	B1-S018	B1	f81v	E160	E160|E161	dsheol oiiin	halten+kurz+weiter | Stufe	halten→weiterführen	NONE	NONE	NONE	NONE	Stufe	kurz	NONE	NO	Vorgang=halten→weiterführen; Reihenfolge=weiter; Wert=Stufe; Grad=kurz	NO
93	FU093	B1-S018	B1	f81v	E162	E162	olkeedy	sammeln+länger+Schluss	sammeln	NONE	NONE	NONE	NONE	NONE	länger	NONE	YES	Vorgang=sammeln; Grad=länger; Schluss	NO
94	FU094	B1-S019	B1	f81v	E163	E163	tedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
95	FU095	B1-S020	B1	f81v	E164	E164	cheky	wärmen+kurz+Posten	wärmen	Posten	NONE	NONE	NONE	NONE	kurz	NONE	NO	Vorgang=wärmen; Posten=Posten; Grad=kurz	NO
96	FU096	B1-S020	B1	f81v	E165	E165	shckhedy	trennen+Schluss	trennen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=trennen; Schluss	NO
97	FU097	B1-S021	B1	f81v	E166	E166	chal	Ziel	BILDBESITZER-AKTION	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=BILDBESITZER-AKTION; Ziel=gesetzt	NO
98	FU098	B2-S001	B2	f82r	E167	E167	dchedy	umsetzen+Schluss	umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=umsetzen; Schluss	NO
99	FU099	B2-S002	B2	f82r	E168	E168	qolchedy	weiter+umsetzen+Schluss	weiterführen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss	NO
100	FU100	B2-S003	B2	f82r	E169	E169|E170	qokain dy	ansetzen+Anteil | Posten	ansetzen	Posten	NONE	NONE	NONE	Anteil	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten; Wert=Anteil	NO
101	FU101	B2-S003	B2	f82r	E171	E171	qokeedy	ansetzen+länger+Schluss	ansetzen	NONE	NONE	NONE	NONE	NONE	länger	NONE	YES	Vorgang=ansetzen; Grad=länger; Schluss	NO
102	FU102	B2-S004	B2	f82r	E172	E172	qokal	ansetzen+Ziel	ansetzen	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=ansetzen; Ziel=gesetzt	NO
103	FU103	B2-S004	B2	f82r	E173	E173	lcheckhy	abführen+Durchlass+Posten	abführen→durchleiten	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=abführen→durchleiten; Posten=Posten	NO
104	FU104	B2-S004	B2	f82r	E174	E174	lched	abführen+umsetzen	abführen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=abführen→umsetzen	NO
105	FU105	B2-S004	B2	f82r	E175	E175	qokeey	ansetzen+länger+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	länger	NONE	NO	Vorgang=ansetzen; Posten=Posten; Grad=länger	NO
106	FU106	B2-S004	B2	f82r	E176	E176	lcheckhedy	abführen+trennen+Schluss	abführen→trennen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=abführen→trennen; Schluss	NO
107	FU107	B2-S005	B2	f82r	E177	E177	qokaly	ansetzen+Ziel+Posten	ansetzen	Posten	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten; Ziel=gesetzt	NO
108	FU108	B2-S005	B2	f82r	E178	E178	solkaiin	sammeln+Sollmaß	sammeln	NONE	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=sammeln; Wert=Sollmaß	NO
109	FU109	B2-S005	B2	f82r	E179	E179	chckhy	Durchlass+Posten	durchleiten	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=durchleiten; Posten=Posten	NO
110	FU110	B2-S005	B2	f82r	E180	E180	qokaiin	ansetzen+Sollmaß	ansetzen	NONE	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=ansetzen; Wert=Sollmaß	NO
111	FU111	B2-S005	B2	f82r	E181	E181	qokaiin	ansetzen+Sollmaß	ansetzen	NONE	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=ansetzen; Wert=Sollmaß	NO
112	FU112	B2-S005	B2	f82r	E182	E182	octheol	bereit+weiter	bereithalten→weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	bereit	NO	Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Zustand=bereit	NO
