statement_order	statement_id	record_unit_id	page	fusion_unit_count	resolved_forward_units	generated_atomic_literal_de	current_card_near_reading_de	current_concrete_source_expansion_de	reconciliation_status
12	H4-S003	H4	f55v	2	0	Vorgang=wärmen; Posten=Posten+Auszug; Quelle=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter; Schluss.	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
13	H4-S004	H4	f55v	2	0	Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß. Vorgang=weiterführen→bereithalten; Reihenfolge=weiter; Posten=Posten+Ansatz; Wert=Anteil; Zustand=bereit.	Stelle das Sollmaß ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon eine Portion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
14	H5-S001	H5	f56r	2	0	Vorgang=zugeben→bearbeiten→weiterführen; Reihenfolge=weiter; Posten=Zutat+Ansatz+Posten; Ziel=gesetzt; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Ansatz+Posten; Ziel=gesetzt.	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, bearbeite die nächste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
15	H5-S002	H5	f56r	2	0	Vorgang=zugeben→ansetzen; Reihenfolge=vorher; Posten=Vorposten+Zutat+Posten. Vorgang=durchleiten→zugeben; Posten=Zutat; Grad=länger; Schluss.	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
16	H5-S003	H5	f56r	3	1	Vorgang=halten. Vorgang=zugeben→bearbeiten; Posten=Zutat+Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	Nimm den Stängel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	FORWARD_OBJECT_NOW_EXPLICIT
17	H5-S004	H5	f56r	3	0	Vorgang=ansetzen; Posten=Posten. Vorgang=ansetzen; Posten=Auszug. Vorgang=bearbeiten; Ziel=gesetzt.	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
18	H5-S005	H5	f56r	2	1	Vorgang=zugeben→ansetzen; Posten=Zutat+Posten. Vorgang=folgen→anwenden; Reihenfolge=danach; Posten=Auszug; Quelle=gesetzt.	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	FORWARD_OBJECT_NOW_EXPLICIT
19	H5-S006	H5	f56r	1	0	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten; Wert=Sollmaß; Grad=kurz.	Nimm den Folgeposten, führe ihn kurz weiter und stelle das Sollmaß ein.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
20	B1-S001	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
21	B1-S002	B1	f81v	12	1	Vorgang=ansetzen; Lauf=gesetzt; Wert=Sollmaß. Vorgang=ansetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Zusatz+Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=durchleiten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz. Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=durchleiten; Posten=Posten. Vorgang=umsetzen; Schluss.	Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	FORWARD_OBJECT_NOW_EXPLICIT
22	B1-S003	B1	f81v	2	0	Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=halten→bearbeiten→umsetzen; Schluss.	Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
23	B1-S004	B1	f81v	3	0	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
24	B1-S005	B1	f81v	1	0	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
25	B1-S006	B1	f81v	2	0	Vorgang=ansetzen; Wert=Anteil. Vorgang=durchleiten; Posten=Posten+Zusatz; Ziel=gesetzt.	Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
26	B1-S007	B1	f81v	1	0	Vorgang=ansetzen→umsetzen; Schluss.	Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
27	B1-S008	B1	f81v	4	0	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten. Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
28	B1-S009	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
29	B1-S010	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
30	B1-S011	B1	f81v	2	0	Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Posten=Posten.	Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
31	B1-S012	B1	f81v	3	0	Vorgang=waschen. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=waschen; Schluss.	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
32	B1-S013	B1	f81v	1	0	Vorgang=waschen; Schluss.	Wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
33	B1-S014	B1	f81v	4	0	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen→umsetzen; Ziel=gesetzt. Vorgang=weiterführen→folgen; Reihenfolge=weiter+danach; Quelle=gesetzt.	Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
34	B1-S015	B1	f81v	1	0	Vorgang=ansetzen→umsetzen; Posten=Posten+Teil; Grad=kurz; Schluss.	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
35	B1-S016	B1	f81v	4	0	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
36	B1-S017	B1	f81v	2	0	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Grad=kurz. Vorgang=umsetzen; Schluss.	Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
37	B1-S018	B1	f81v	3	0	Vorgang=abführen; Posten=Posten. Vorgang=halten→weiterführen; Reihenfolge=weiter; Wert=Stufe; Grad=kurz. Vorgang=sammeln; Grad=länger; Schluss.	Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
38	B1-S019	B1	f81v	1	0	Vorgang=absetzen; Grad=kurz; Schluss.	Lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
39	B1-S020	B1	f81v	2	0	Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=trennen; Schluss.	Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
40	B1-S021	B1	f81v	1	0	Vorgang=BILDBESITZER-AKTION; Ziel=gesetzt.	Führe den Posten dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
41	B2-S001	B2	f82r	1	0	Vorgang=umsetzen; Schluss.	Setze um und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
42	B2-S002	B2	f82r	1	0	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	Führe weiter und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
43	B2-S003	B2	f82r	2	0	Vorgang=ansetzen; Posten=Posten; Wert=Anteil. Vorgang=ansetzen; Grad=länger; Schluss.	Gib eine Portion zu, setze den Posten länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
44	B2-S004	B2	f82r	5	0	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=abführen→durchleiten; Posten=Posten. Vorgang=abführen→umsetzen. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen→trennen; Schluss.	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
45	B2-S005	B2	f82r	8	0	Vorgang=ansetzen; Posten=Posten; Ziel=gesetzt. Vorgang=sammeln; Wert=Sollmaß. Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Zustand=bereit. Vorgang=wärmen; Posten=Posten; Grad=länger. Vorgang=abführen; Schluss.	Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
46	B2-S006	B2	f82r	3	0	Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger. Vorgang=durchleiten; Posten=Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
47	B2-S007	B2	f82r	1	0	Vorgang=absetzen; Grad=kurz; Schluss.	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
48	B2-S008	B2	f82r	2	0	Vorgang=folgen→ansetzen; Reihenfolge=danach; Quelle=gesetzt; Wert=Sollmaß. Vorgang=absetzen; Grad=kurz; Schluss.	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
49	B2-S009	B2	f82r	1	0	Vorgang=weiterführen→absetzen; Reihenfolge=weiter; Schluss.	Lass weiter absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
50	B2-S010	B2	f82r	3	0	Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Posten=Posten. Vorgang=abführen; Posten=Ergebnis; Zustand=Ergebnis.	Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
51	B2-S011	B2	f82r	3	0	Vorgang=ansetzen; Quelle=gesetzt; Wert=Anteil. Vorgang=ansetzen; Wert=Anteil. Vorgang=ansetzen; Grad=länger; Schluss.	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
52	B2-S012	B2	f82r	5	1	Vorgang=abführen; Posten=Posten. Vorgang=bereithalten; Posten=Ergebnis+Posten; Grad=kurz; Zustand=bereit+Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen; Posten=Ergebnis; Wert=Sollmaß; Zustand=Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=vollständig; Schluss.	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	FORWARD_OBJECT_NOW_EXPLICIT
53	B2-S013	B2	f82r	1	0	Vorgang=abführen→umsetzen; Schluss.	Führe ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
54	B2-S014	B2	f82r	1	0	Vorgang=abführen; Quelle=gesetzt.	Führe von dort ab.	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
55	B2-S015	B2	f82r	1	0	Vorgang=ansetzen; Posten=Ergebnis; Grad=länger; Zustand=Ergebnis; Schluss.	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
56	B2-S016	B2	f82r	5	0	Vorgang=abführen→umsetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=teilen; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Wert=Sollmaß; Grad=länger. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=zuführen→umsetzen; Schluss.	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
57	B2-S017	B2	f82r	1	0	Vorgang=halten; Ziel=gesetzt; Grad=kurz; Schluss.	Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
58	B2-S018	B2	f82r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
59	B2-S019	B2	f82r	1	0	Vorgang=waschen; Schluss.	Führe den Waschgang aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
60	B2-S020	B2	f82r	1	0	Vorgang=folgen; Reihenfolge=danach; Grad=länger; Schluss.	Nimm die lange Folge und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
61	B2-S021	B2	f82r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
62	B2-S022	B2	f82r	1	0	Vorgang=abführen→umsetzen; Schluss.	Führe den Rest ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
