visible_action_ordinal	event_id	statement_id	physical_page	register	surface	recipe	written_action_roots	written_action_slot_count	effective_argument_roots	argument_source	rendered_action_chain_de	expanded_action_chain_de	visible_modifier_phrase_de	state_sequence_role	owner_free_microphrase_de	repeat_status	all_action_slots_retained	guard
20	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	CH	1	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten	nimm den Posten	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: nimm den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
21	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	CH	1	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten	nimm den Posten	auf Grad I	ADVANCE_TO_NEXT_OPERATION	Danach: nimm den Posten; auf Grad I.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
22	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	P|CH	2	Y	INHERITED_ARGUMENT_CONTEXT	setze den Posten ein und nimm den Posten	setze den Posten ein und nimm den Posten	zur Ausführung; hier	CONTINUE_CURRENT_OPERATION	Weiter: setze den Posten ein und nimm den Posten; zur Ausführung; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
23	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	T|CH	2	Y	VISIBLE_ARGUMENT_IN_CARD	stelle den Posten ein und nimm den Posten	stelle den Posten ein und nimm den Posten	NONE	ADVANCE_THEN_CONTINUE	Danach: stelle den Posten ein und nimm den Posten; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
24	G407-E0255	G407-S009	f10r	HERBAL	qotchol	OT+CH+OL	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm den Posten; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
25	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	CH|T	2	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten und stelle den Posten ein	nimm den Posten und stelle den Posten ein	am Beginn; zur Ausführung	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Posten und stelle den Posten ein; am Beginn; zur Ausführung.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
26	G407-E0268	G407-S009	f10r	HERBAL	qokchol	OK+OL	OK	1	Y	INHERITED_ARGUMENT_CONTEXT	setze den Posten	setze den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
27	G407-E0277	G407-S009	f10r	HERBAL	qotchor	OT+CH+OR	CH	1	OR	VISIBLE_ARGUMENT_IN_CARD	nimm die Einheit	nimm die Einheit	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: nimm die Einheit.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
28	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	CH|SH	2	OR	VISIBLE_ARGUMENT_IN_CARD	nimm die Einheit und halte die Einheit	nimm die Einheit und halte die Einheit	zur Ausführung	ADVANCE_TO_NEXT_OPERATION	Danach: nimm die Einheit und halte die Einheit; zur Ausführung.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
29	G407-E0307	G407-S010	f11r	HERBAL	tshol	T+SH+OL	T|SH	2	NONE	NO_ACTIVE_ARGUMENT	stelle ein und halte	stelle ein und halte	NONE	CONTINUE_CURRENT_OPERATION	Weiter: stelle ein und halte.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
30	G407-E0313	G407-S010	f11r	HERBAL	tchody	T+CH+O+DY	T|CH	2	Y	INHERITED_ARGUMENT_CONTEXT	stelle den Posten ein und nimm den Posten	stelle den Posten ein und nimm den Posten	zur Ausführung	CLOSE_CURRENT_OPERATION	Stelle den Posten ein und nimm den Posten; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
31	G407-E0322	G407-S011	f11r	HERBAL	kchol	K+OL	K	1	Y	INHERITED_ARGUMENT_CONTEXT	gib den Posten	gib den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
32	G407-E0329	G407-S011	f11r	HERBAL	choty	CH+OT+Y	CH	1	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten	nimm den Posten	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: nimm den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
33	G407-E0339	G407-S011	f11r	HERBAL	tchol	T+OL	T	1	AIIN	INHERITED_ARGUMENT_CONTEXT	stelle den Wert ein	stelle den Wert ein	NONE	CONTINUE_CURRENT_OPERATION	Weiter: stelle den Wert ein.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
34	G407-E0363	G407-S011	f11r	HERBAL	okchol	OK+OL	OK	1	Y	INHERITED_ARGUMENT_CONTEXT	setze den Posten	setze den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
35	G407-E0368	G407-S012	f13r	HERBAL	shol	SH+OL	SH	1	Y	INHERITED_ARGUMENT_CONTEXT	halte den Posten	halte den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
36	G407-E0371	G407-S012	f13r	HERBAL	shol	SH+OL	SH	1	Y	INHERITED_ARGUMENT_CONTEXT	halte den Posten	halte den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
37	G407-E0399	G407-S012	f13r	HERBAL	otchor	OT+CH+OR	CH	1	OR	VISIBLE_ARGUMENT_IN_CARD	nimm die Einheit	nimm die Einheit	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: nimm die Einheit.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
38	G407-E0403	G407-S012	f13r	HERBAL	kchol	K+OL	K	1	Y	INHERITED_ARGUMENT_CONTEXT	gib den Posten	gib den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
39	G407-E0406	G407-S012	f13r	HERBAL	otchol	OT+CH+OL	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm den Posten; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
40	G407-E0407	G407-S012	f13r	HERBAL	cfholdy	CH+LOCAL_CHAR_F+OL+DY	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	hier	CONTINUE_THEN_CLOSE	Weiter: nimm den Posten; hier; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
41	G407-E0411	G407-S013	f13r	HERBAL	qotchol	OT+CH+OL	CH	1	AIIN	INHERITED_ARGUMENT_CONTEXT	nimm den Wert	nimm den Wert	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm den Wert; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
42	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	K	1	Y|Y	VISIBLE_ARGUMENT_IN_CARD	gib die beiden Posten	gib die beiden Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib die beiden Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
43	G407-E0440	G407-S016	f13r	HERBAL	sotchy	S+OT+Y	S	1	Y	VISIBLE_ARGUMENT_IN_CARD	wähle den Posten	wähle den Posten	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: wähle den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
44	G407-E0443	G407-S017	f17r	HERBAL	fshody	LOCAL_CHAR_F+SH+O+DY	SH	1	NONE	NO_ACTIVE_ARGUMENT	halte	halte	hier; zur Ausführung	CLOSE_CURRENT_OPERATION	Halte; hier; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
45	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	P	1	Y	VISIBLE_ARGUMENT_IN_CARD	setze den Posten ein	setze den Posten ein	zur Ausführung	CLOSE_CURRENT_OPERATION	Setze den Posten ein; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
46	G407-E0450	G407-S019	f17r	HERBAL	otchy	OT+CH+Y	CH	1	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten	nimm den Posten	NONE	ADVANCE_TO_NEXT_OPERATION	Danach: nimm den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
47	G407-E0452	G407-S020	f17r	HERBAL	oldckhy	OL+D_ADDR+CH+K+Y	CH|K	2	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten und gib den Posten	nimm den Posten und gib den Posten	hier	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Posten und gib den Posten; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
48	G407-E0457	G407-S020	f17r	HERBAL	ckhody	CH+K+O+DY	CH|K	2	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten und gib den Posten	nimm den Posten und gib den Posten	zur Ausführung	CLOSE_CURRENT_OPERATION	Nimm den Posten und gib den Posten; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
49	G407-E0459	G407-S021	f17r	HERBAL	otchol	OT+CH+OL	CH	1	OR	INHERITED_ARGUMENT_CONTEXT	nimm die Einheit	nimm die Einheit	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm die Einheit; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
50	G407-E0470	G407-S021	f17r	HERBAL	shol	SH+OL	SH	1	OR	INHERITED_ARGUMENT_CONTEXT	halte die Einheit	halte die Einheit	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte die Einheit.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
51	G407-E0471	G407-S021	f17r	HERBAL	qokol	OK+OL	OK	1	OR	INHERITED_ARGUMENT_CONTEXT	setze die Einheit	setze die Einheit	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze die Einheit.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
52	G407-E0483	G407-S021	f17r	HERBAL	cphaldy	CH+P+AL+DY	CH|P	2	OR	INHERITED_ARGUMENT_CONTEXT	nimm die Einheit und setze die Einheit ein	nimm die Einheit und setze die Einheit ein	zum Zielort	CLOSE_CURRENT_OPERATION	Nimm die Einheit und setze die Einheit ein; zum Zielort; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
53	G407-E0494	G407-S023	f17r	HERBAL	choldshy	CH+OL+D_ADDR+SH+Y	CH|SH	2	Y	VISIBLE_ARGUMENT_IN_CARD	nimm den Posten und halte den Posten	nimm den Posten und halte den Posten	hier	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Posten und halte den Posten; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
54	G407-E0497	G407-S023	f17r	HERBAL	opchordy	O+P+CH+OR+DY	P|CH	2	OR	VISIBLE_ARGUMENT_IN_CARD	setze die Einheit ein und nimm die Einheit	setze die Einheit ein und nimm die Einheit	zur Ausführung	CLOSE_CURRENT_OPERATION	Setze die Einheit ein und nimm die Einheit; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
55	G407-E0513	G407-S024	f17r	HERBAL	otchol	OT+CH+OL	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm den Posten; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
56	G407-E0520	G407-S024	f17r	HERBAL	chotom	CH+OT+O+M_LOCAL	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	zur Ausführung; hier	ADVANCE_TO_NEXT_OPERATION	Danach: nimm den Posten; zur Ausführung; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
57	G407-E0521	G407-S025	f18r	HERBAL	pdrairdy	P+D_ADDR+R+AIR+DY	P|R	2	NONE	NO_ACTIVE_ARGUMENT	setze ein und markiere	setze ein und markiere	hier; entlang der Bahn	CLOSE_CURRENT_OPERATION	Setze ein und markiere; hier; entlang der Bahn; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
58	G407-E0524	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	K	1	Y	VISIBLE_ARGUMENT_IN_CARD	gib den Posten	gib den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
59	G407-E0530	G407-S026	f18r	HERBAL	otshol	OT+SH+OL	SH	1	OR	INHERITED_ARGUMENT_CONTEXT	halte die Einheit	halte die Einheit	NONE	ADVANCE_THEN_CONTINUE	Danach: halte die Einheit; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
60	G407-E0531	G407-S026	f18r	HERBAL	qokchol	OK+OL	OK	1	OR	INHERITED_ARGUMENT_CONTEXT	setze die Einheit	setze die Einheit	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze die Einheit.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
61	G407-E0543	G407-S026	f18r	HERBAL	qokchol	OK+OL	OK	1	Y	INHERITED_ARGUMENT_CONTEXT	setze den Posten	setze den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
62	G407-E0549	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	K	1	Y	VISIBLE_ARGUMENT_IN_CARD	gib den Posten	gib den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
63	G407-E0554	G407-S027	f18r	HERBAL	cthol	CH+T+OL	CH|T	2	AIIN	INHERITED_ARGUMENT_CONTEXT	nimm den Wert und stelle den Wert ein	nimm den Wert und stelle den Wert ein	NONE	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Wert und stelle den Wert ein.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
64	G407-E0560	G407-S027	f18r	HERBAL	ytol	Y+T+OL	T	1	Y	VISIBLE_ARGUMENT_IN_CARD	stelle den Posten ein	stelle den Posten ein	NONE	CONTINUE_CURRENT_OPERATION	Weiter: stelle den Posten ein.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
