actionless_link_ordinal	event_id	statement_id	physical_page	register	surface	recipe	gdt562_completeness_role	effective_action_root	effective_argument_roots	gdt562_microphrase_de	gdt563_microphrase_de	microphrase_byte_identical	source_link_status
37	G407-E0375	G407-S012	f13r	HERBAL	dchol	D_ADDR+OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten; hier.	Weiter: nimm den Posten; hier.	YES	EXACT_EVENT_JOIN
38	G407-E0376	G407-S012	f13r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
39	G407-E0377	G407-S012	f13r	HERBAL	dol	D_ADDR+OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten; hier.	Weiter: nimm den Posten; hier.	YES	EXACT_EVENT_JOIN
40	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	FULL_INHERITED_OPERATION	K	Y	Danach: gib den Posten.	Danach: gib den Posten.	YES	EXACT_EVENT_JOIN
41	G407-E0419	G407-S013	f13r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	OK	Y	Weiter: setze den Posten.	Weiter: setze den Posten.	YES	EXACT_EVENT_JOIN
42	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	FULL_INHERITED_OPERATION	OK	Y	Weiter: setze den Posten; abschließen.	Weiter: setze den Posten; abschließen.	YES	EXACT_EVENT_JOIN
43	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert; abschließen.	Weiter: setze den Wert; abschließen.	YES	EXACT_EVENT_JOIN
44	G407-E0435	G407-S015	f13r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	SH	Y	Weiter: halte den Posten.	Weiter: halte den Posten.	YES	EXACT_EVENT_JOIN
45	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	FULL_INHERITED_OPERATION	CH	Y	Nimm den Posten; zum Zielort; abschließen.	Nimm den Posten; zum Zielort; abschließen.	YES	EXACT_EVENT_JOIN
46	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	FULL_INHERITED_OPERATION	CH	Y	Nimm den Posten; hier; zur Ausführung; abschließen.	Nimm den Posten; hier; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
47	G407-E0462	G407-S021	f17r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten.	Weiter: wähle den Posten.	YES	EXACT_EVENT_JOIN
48	G407-E0473	G407-S021	f17r	HERBAL	olaiin	OL+AIIN	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_EVENT_JOIN
49	G407-E0486	G407-S022	f17r	HERBAL	qody	CARRIER_Q+O+DY	FULL_INHERITED_OPERATION	T	Y	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
50	G407-E0512	G407-S024	f17r	HERBAL	mol	M_LOCAL+OL	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten; hier.	Weiter: wähle den Posten; hier.	YES	EXACT_EVENT_JOIN
51	G407-E0516	G407-S024	f17r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_EVENT_JOIN
52	G407-E0536	G407-S026	f18r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
53	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	FULL_INHERITED_OPERATION	T	AIIN	Weiter: stelle den Wert ein; über die Verbindung.	Weiter: stelle den Wert ein; über die Verbindung.	YES	EXACT_EVENT_JOIN
54	G407-E0569	G407-S027	f18r	HERBAL	doldy	OL+DY	FULL_INHERITED_OPERATION	SH	Y	Weiter: halte den Posten; abschließen.	Weiter: halte den Posten; abschließen.	YES	EXACT_EVENT_JOIN
55	G407-E0570	G407-S028	f18r	HERBAL	doldaiin	OL+AIIN	FULL_INHERITED_OPERATION	SH	AIIN	Weiter: halte den Wert.	Weiter: halte den Wert.	YES	EXACT_EVENT_JOIN
56	G407-E0573	G407-S028	f18r	HERBAL	olody	OL+O+DY	FULL_INHERITED_OPERATION	K	OR	Weiter: gib die Einheit; zur Ausführung; abschließen.	Weiter: gib die Einheit; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
57	G407-E0577	G407-S029	f18r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	R	Y	Weiter: markiere den Posten.	Weiter: markiere den Posten.	YES	EXACT_EVENT_JOIN
58	G407-E0584	G407-S029	f18r	HERBAL	ol	OL	FULL_INHERITED_OPERATION	OK	OR	Weiter: setze die Einheit.	Weiter: setze die Einheit.	YES	EXACT_EVENT_JOIN
59	G407-E0621	G407-S031	f24v	HERBAL	otol	OT+OL	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit; weiterführen.	Danach: nimm die Einheit; weiterführen.	YES	EXACT_EVENT_JOIN
60	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	FULL_INHERITED_OPERATION	CH	AIN	Weiter: nimm den Anteil; zur Ausführung; hier.	Weiter: nimm den Anteil; zur Ausführung; hier.	YES	EXACT_EVENT_JOIN
61	G407-E0653	G407-S032	f24v	HERBAL	ychol	Y+OL	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten.	Weiter: wähle den Posten.	YES	EXACT_EVENT_JOIN
62	G407-E0654	G407-S032	f24v	HERBAL	chol	OL	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten.	Weiter: wähle den Posten.	YES	EXACT_EVENT_JOIN
63	G407-E0675	G407-S032	f24v	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
64	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	FULL_INHERITED_OPERATION	SH	OR	Danach: halte die Einheit; zur Ausführung; hier; zum Zielort; weiterführen.	Danach: halte die Einheit; zur Ausführung; hier; zum Zielort; weiterführen.	YES	EXACT_EVENT_JOIN
65	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	FULL_INHERITED_OPERATION	K	AIIN	Danach: gib den Wert; hier; weiterführen.	Danach: gib den Wert; hier; weiterführen.	YES	EXACT_EVENT_JOIN
66	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	FULL_INHERITED_OPERATION	K	AIIN	Gib den Wert; hier; zur Ausführung; hier; abschließen.	Gib den Wert; hier; zur Ausführung; hier; abschließen.	YES	EXACT_EVENT_JOIN
67	G407-E0705	G407-S034	f55v	HERBAL	qool	CARRIER_Q+O+OL	FULL_INHERITED_OPERATION	OK	AIN	Weiter: setze den Anteil; am Beginn; zur Ausführung.	Weiter: setze den Anteil; am Beginn; zur Ausführung.	YES	EXACT_EVENT_JOIN
68	G407-E0710	G407-S034	f55v	HERBAL	ol	OL	FULL_INHERITED_OPERATION	S	AIIN	Weiter: wähle den Wert.	Weiter: wähle den Wert.	YES	EXACT_EVENT_JOIN
69	G407-E0720	G407-S034	f55v	HERBAL	ody	O+DY	FULL_INHERITED_OPERATION	OK	AIN	Setze den Anteil; zur Ausführung; abschließen.	Setze den Anteil; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
70	G407-E0725	G407-S035	f55v	HERBAL	ody	O+DY	FULL_INHERITED_OPERATION	K	Y	Gib den Posten; zur Ausführung; abschließen.	Gib den Posten; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
71	G407-E0749	G407-S036	f55v	HERBAL	qol	OL	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_EVENT_JOIN
72	G407-E0750	G407-S036	f55v	HERBAL	otar	OT+AR	FULL_INHERITED_OPERATION	OK	AIIN	Danach: setze den Wert; vom Ausgang.	Danach: setze den Wert; vom Ausgang.	YES	EXACT_EVENT_JOIN
73	G407-E0767	G407-S036	f55v	HERBAL	ol	OL	FULL_INHERITED_OPERATION	K	AIIN	Weiter: gib den Wert.	Weiter: gib den Wert.	YES	EXACT_EVENT_JOIN
74	G407-E0773	G407-S036	f55v	HERBAL	otar	OT+AR	FULL_INHERITED_OPERATION	T	AIIN	Danach: stelle den Wert ein; vom Ausgang.	Danach: stelle den Wert ein; vom Ausgang.	YES	EXACT_EVENT_JOIN
75	G407-E0777	G407-S036	f55v	HERBAL	ol	OL	FULL_INHERITED_OPERATION	K	Y	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_EVENT_JOIN
76	G407-E0781	G407-S036	f55v	HERBAL	oldy	OL+DY	FULL_INHERITED_OPERATION	K	Y	Weiter: gib den Posten; abschließen.	Weiter: gib den Posten; abschließen.	YES	EXACT_EVENT_JOIN
77	G407-E0796	G407-S037	f55v	HERBAL	otam	OT+AM_ADDR	FULL_INHERITED_OPERATION	S	AIIN	Danach: wähle den Wert; hier.	Danach: wähle den Wert; hier.	YES	EXACT_EVENT_JOIN
78	G407-E0801	G407-S038	f56r	HERBAL	oty	OT+Y	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten.	Danach: wähle den Posten.	YES	EXACT_EVENT_JOIN
79	G407-E0808	G407-S039	f56r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
80	G407-E0809	G407-S039	f56r	HERBAL	choly	OL+Y	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
81	G407-E0814	G407-S039	f56r	HERBAL	olchey	OL+Y	FULL_INHERITED_OPERATION	OK	Y	Weiter: setze den Posten.	Weiter: setze den Posten.	YES	EXACT_EVENT_JOIN
82	G407-E0821	G407-S039	f56r	HERBAL	qot	OT	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten.	Danach: wähle den Posten.	YES	EXACT_EVENT_JOIN
83	G407-E0876	G407-S040	f56r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten.	Weiter: wähle den Posten.	YES	EXACT_EVENT_JOIN
84	G407-E0878	G407-S040	f56r	HERBAL	qotchy	OT+Y	FULL_INHERITED_OPERATION	CH	Y	Danach: nimm den Posten.	Danach: nimm den Posten.	YES	EXACT_EVENT_JOIN
85	G407-E0881	G407-S040	f56r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	T	Y	Weiter: stelle den Posten ein.	Weiter: stelle den Posten ein.	YES	EXACT_EVENT_JOIN
86	G407-E0883	G407-S040	f56r	HERBAL	qotchy	OT+Y	FULL_INHERITED_OPERATION	T	Y	Danach: stelle den Posten ein.	Danach: stelle den Posten ein.	YES	EXACT_EVENT_JOIN
87	G407-E0899	G407-S040	f56r	HERBAL	otchey	OT+Y	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten.	Danach: wähle den Posten.	YES	EXACT_EVENT_JOIN
88	G407-E0908	G407-S041	f67r2	CELESTIAL	oldy	OL+DY	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten; abschließen.	Weiter: wähle den Posten; abschließen.	YES	EXACT_EVENT_JOIN
89	G407-E0913	G407-S042	f67r2	CELESTIAL	otchey	OT+Y	FULL_INHERITED_OPERATION	K	Y	Danach: gib den Posten.	Danach: gib den Posten.	YES	EXACT_EVENT_JOIN
90	G407-E0943	G407-S045	f67r2	CELESTIAL	ochol	O+OL	FULL_INHERITED_OPERATION	S	AIIN	Weiter: wähle den Wert; zur Ausführung.	Weiter: wähle den Wert; zur Ausführung.	YES	EXACT_EVENT_JOIN
91	G407-E0944	G407-S045	f67r2	CELESTIAL	olol	OL+OL	FULL_INHERITED_OPERATION	S	AIIN	Weiter: wähle den Wert; nochmals weiterführen.	Weiter: wähle den Wert; nochmals weiterführen.	YES	EXACT_EVENT_JOIN
92	G407-E0952	G407-S047	f67r2	CELESTIAL	chol	OL	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_EVENT_JOIN
93	G407-E0975	G407-S048	f67r2	CELESTIAL	ofydy	O+LOCAL_CHAR_F+Y+DY	FULL_INHERITED_OPERATION	S	Y	Wähle den Posten; zur Ausführung; hier; abschließen.	Wähle den Posten; zur Ausführung; hier; abschließen.	YES	EXACT_EVENT_JOIN
94	G407-E1000	G407-S051	f67r2	CELESTIAL	ydoly	Y+D_ADDR+OL+Y	FULL_INHERITED_OPERATION	K	Y|Y	Weiter: gib den Posten und den Posten; hier.	Weiter: gib den Posten und den Posten; hier.	YES	EXACT_EVENT_JOIN
95	G407-E1002	G407-S051	f67r2	CELESTIAL	oly	OL+Y	FULL_INHERITED_OPERATION	S	Y	Weiter: wähle den Posten.	Weiter: wähle den Posten.	YES	EXACT_EVENT_JOIN
96	G407-E1014	G407-S051	f67r2	CELESTIAL	olar	OL+AR	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert; vom Ausgang.	Weiter: setze den Wert; vom Ausgang.	YES	EXACT_EVENT_JOIN
97	G407-E1034	G407-S052	f68r1	CELESTIAL	otor	OT+OR	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit.	Danach: nimm die Einheit.	YES	EXACT_EVENT_JOIN
98	G407-E1061	G407-S055	f71v	CELESTIAL	oteeodaiin	OT+EE+O+D_ADDR+AIIN	FULL_INHERITED_OPERATION	P	AIIN	Danach: setze den Wert ein; auf Grad II; zur Ausführung; hier.	Danach: setze den Wert ein; auf Grad II; zur Ausführung; hier.	YES	EXACT_EVENT_JOIN
99	G407-E1068	G407-S055	f71v	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	K	Y	Danach: gib den Posten; auf Grad II.	Danach: gib den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
100	G407-E1079	G407-S056	f71v	CELESTIAL	otar	OT+AR	FULL_INHERITED_OPERATION	CH	Y	Danach: nimm den Posten; vom Ausgang.	Danach: nimm den Posten; vom Ausgang.	YES	EXACT_EVENT_JOIN
101	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	FULL_INHERITED_OPERATION	OK	Y	Danach: setze den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	Danach: setze den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	YES	EXACT_EVENT_JOIN
102	G407-E1088	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	OK	Y	Danach: setze den Posten; auf Grad II.	Danach: setze den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
103	G407-E1090	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	T	Y	Danach: stelle den Posten ein; auf Grad II.	Danach: stelle den Posten ein; auf Grad II.	YES	EXACT_EVENT_JOIN
104	G407-E1093	G407-S056	f71v	CELESTIAL	arol	AR+OL	FULL_INHERITED_OPERATION	K	OR	Weiter: gib die Einheit; vom Ausgang.	Weiter: gib die Einheit; vom Ausgang.	YES	EXACT_EVENT_JOIN
105	G407-E1097	G407-S057	f71v	CELESTIAL	oteeos	OT+EE+O+S_ADDR	OBJECTLESS_INHERITED_OPERATION	CH	NONE	Danach: nimm; auf Grad II; zur Ausführung; hier.	Danach: nimm; auf Grad II; zur Ausführung; hier.	YES	EXACT_EVENT_JOIN
106	G407-E1104	G407-S057	f71v	CELESTIAL	oty	OT+Y	FULL_INHERITED_OPERATION	OK	Y	Danach: setze den Posten.	Danach: setze den Posten.	YES	EXACT_EVENT_JOIN
107	G407-E1105	G407-S057	f71v	CELESTIAL	oto	OT+O	FULL_INHERITED_OPERATION	OK	Y	Danach: setze den Posten; zur Ausführung.	Danach: setze den Posten; zur Ausführung.	YES	EXACT_EVENT_JOIN
108	G407-E1113	G407-S057	f71v	CELESTIAL	otor	OT+OR	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit.	Danach: nimm die Einheit.	YES	EXACT_EVENT_JOIN
109	G407-E1120	G407-S057	f71v	CELESTIAL	otal	OT+AL	FULL_INHERITED_OPERATION	SH	Y	Danach: halte den Posten; zum Zielort.	Danach: halte den Posten; zum Zielort.	YES	EXACT_EVENT_JOIN
110	G407-E1123	G407-S058	f71v	CELESTIAL	otaly	OT+AL+Y	FULL_INHERITED_OPERATION	SH	Y	Danach: halte den Posten; zum Zielort.	Danach: halte den Posten; zum Zielort.	YES	EXACT_EVENT_JOIN
111	G407-E1128	G407-S059	f71v	CELESTIAL	otaiin	OT+AIIN	FULL_INHERITED_OPERATION	S	AIIN	Danach: wähle den Wert.	Danach: wähle den Wert.	YES	EXACT_EVENT_JOIN
112	G407-E1135	G407-S059	f71v	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	CH	Y	Danach: nimm den Posten; auf Grad II.	Danach: nimm den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
113	G407-E1137	G407-S060	f72r	CELESTIAL	oteeo	OT+EE+O	FORMAL_RELATION_PROLOGUE	NONE	NONE	Danach: auf Grad II; zur Ausführung.	Danach: auf Grad II; zur Ausführung.	YES	EXACT_EVENT_JOIN
114	G407-E1139	G407-S060	f72r	CELESTIAL	chlol	L+OL	FULL_INHERITED_OPERATION	T	Y	Weiter: stelle den Posten ein; über die Verbindung.	Weiter: stelle den Posten ein; über die Verbindung.	YES	EXACT_EVENT_JOIN
115	G407-E1143	G407-S061	f72r	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	CH	Y	Danach: nimm den Posten; auf Grad II.	Danach: nimm den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
116	G407-E1145	G407-S061	f72r	CELESTIAL	oteedy	OT+EE+DY	FULL_INHERITED_OPERATION	CHD	Y	Danach: bearbeite den Posten; auf Grad II; abschließen.	Danach: bearbeite den Posten; auf Grad II; abschließen.	YES	EXACT_EVENT_JOIN
117	G407-E1147	G407-S062	f72r	CELESTIAL	chol	OL	FULL_INHERITED_OPERATION	OK	Y	Weiter: setze den Posten.	Weiter: setze den Posten.	YES	EXACT_EVENT_JOIN
118	G407-E1166	G407-S063	f72r	CELESTIAL	otam	OT+AM_ADDR	FULL_INHERITED_OPERATION	S	AIIN	Danach: wähle den Wert; hier.	Danach: wähle den Wert; hier.	YES	EXACT_EVENT_JOIN
119	G407-E1167	G407-S063	f72r	CELESTIAL	otam	OT+AM_ADDR	FULL_INHERITED_OPERATION	S	AIIN	Danach: wähle den Wert; hier.	Danach: wähle den Wert; hier.	YES	EXACT_EVENT_JOIN
120	G407-E1177	G407-S063	f72r	CELESTIAL	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	OK	Y	Danach: setze den Posten; auf Grad II.	Danach: setze den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
121	G407-E1179	G407-S064	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	FORMAL_RELATION_PROLOGUE	NONE	NONE	Danach: auf Grad I; zur Ausführung; hier; vom Ausgang.	Danach: auf Grad I; zur Ausführung; hier; vom Ausgang.	YES	EXACT_EVENT_JOIN
