recipe_profile_ordinal	recipe	event_count	physical_page_count	surface_count	distinct_microphrase_count	distinct_effective_action_signature_count	distinct_effective_argument_signature_count	resolution_mode_count	resolution_modes	context_variability_band	written_recipe_determines_microphrase	written_all_atom_default_de	most_common_microphrase_de	example_microphrases_de	example_event_ids	scope
11	SH+OL	27	15	1	4	1	4	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	halten; weiter	Weiter: halte den Posten.	Weiter: halte den Wert. | Weiter: halte. | Weiter: halte den Posten. | Weiter: halte die Einheit.	G407-E0005|G407-E0048|G407-E0137|G407-E0368|G407-E0371|G407-E0470|G407-E0651|G407-E0850|G407-E1159|G407-E1376	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
12	OT+AR	24	12	2	14	7	4	1	INHERITED_ACTION_FULL_OPERATION	OVER_TEN	NO	danach; vom Ausgang	Danach: setze den Posten; vom Ausgang.	Danach: stelle den Posten ein; vom Ausgang. | Danach: setze den Wert; vom Ausgang. | Danach: stelle den Wert ein; vom Ausgang. | Danach: nimm den Posten; vom Ausgang. | Danach: stelle die Einheit ein; vom Ausgang. | Danach: setze den Posten; vom Ausgang. | Danach: gib den Wert; vom Ausgang. | Danach: bearbeite den Posten; vom Ausgang. | Danach: halte die Einheit; vom Ausgang. | Danach: setze den Anteil; vom Ausgang. | Danach: halte den Anteil; vom Ausgang. | Danach: gib den Anteil; vom Ausgang. | Danach: wähle den Wert; vom Ausgang. | Danach: halte den Wert; vom Ausgang.	G407-E0302|G407-E0750|G407-E0773|G407-E1079|G407-E1192|G407-E1202|G407-E1238|G407-E1430|G407-E1504|G407-E1551	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
13	OT+EE+Y	23	9	3	7	7	1	2	ARGUMENT_REFERENCE_INITIALIZER|INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; auf Grad II; den Posten	Danach: setze den Posten; auf Grad II.	Danach: wähle den Posten; auf Grad II. | Danach: gib den Posten; auf Grad II. | Danach: setze den Posten; auf Grad II. | Danach: stelle den Posten ein; auf Grad II. | Danach: nimm den Posten; auf Grad II. | Danach: Bezug auf den Posten; auf Grad II. | Danach: halte den Posten; auf Grad II.	G407-E0032|G407-E1068|G407-E1088|G407-E1090|G407-E1135|G407-E1143|G407-E1177|G407-E1260|G407-E1284|G407-E1313	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
14	SH+E+OL	23	12	3	4	1	4	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	halten; auf Grad I; weiter	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Posten; auf Grad I. | Weiter: halte den Anteil; auf Grad I. | Weiter: halte; auf Grad I. | Weiter: halte den Wert; auf Grad I.	G407-E1316|G407-E1413|G407-E1648|G407-E1826|G407-E2182|G407-E2205|G407-E3170|G407-E3333|G407-E3763|G407-E3858	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
15	OT+AIIN	22	7	3	7	7	1	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; den Wert	Danach: nimm den Wert.	Danach: wähle den Wert. | Danach: setze den Wert. | Danach: halte den Wert. | Danach: nimm den Wert. | Danach: gib den Wert. | Danach: bearbeite den Wert. | Danach: stelle den Wert ein.	G407-E1128|G407-E1185|G407-E1187|G407-E1216|G407-E1240|G407-E1246|G407-E1272|G407-E1362|G407-E2405|G407-E2458	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
16	OT+E+Y	19	8	2	7	7	1	2	ARGUMENT_REFERENCE_INITIALIZER|INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; auf Grad I; den Posten	Danach: setze den Posten; auf Grad I.	Danach: stelle den Posten ein; auf Grad I. | Danach: setze den Posten; auf Grad I. | Danach: bearbeite den Posten; auf Grad I. | Danach: gib den Posten; auf Grad I. | Danach: wähle den Posten; auf Grad I. | Danach: halte den Posten; auf Grad I. | Danach: Bezug auf den Posten; auf Grad I.	G407-E1181|G407-E1271|G407-E1349|G407-E1510|G407-E1773|G407-E1876|G407-E1957|G407-E1984|G407-E2556|G407-E2702	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
17	OL+DY	18	10	4	11	8	3	1	INHERITED_ACTION_FULL_OPERATION	OVER_TEN	NO	weiter; abschließen	Weiter: halte den Posten; abschließen.	Weiter: setze den Posten; abschließen. | Weiter: setze den Wert; abschließen. | Weiter: halte den Posten; abschließen. | Weiter: gib den Posten; abschließen. | Weiter: wähle den Posten; abschließen. | Weiter: setze den Anteil; abschließen. | Weiter: gib den Anteil; abschließen. | Weiter: bearbeite den Posten; abschließen. | Weiter: setze den Anteil ein; abschließen. | Weiter: stelle den Posten ein; abschließen. | Weiter: nimm den Posten; abschließen.	G407-E0423|G407-E0433|G407-E0569|G407-E0781|G407-E0908|G407-E1436|G407-E1748|G407-E1797|G407-E1801|G407-E1908	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
18	SH+EE+DY	18	10	1	5	1	5	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	halten; auf Grad II; abschließen	Halte den Posten; auf Grad II; abschließen.	Halte den Posten; auf Grad II; abschließen. | Halte; auf Grad II; abschließen. | Halte den Wert; auf Grad II; abschließen. | Halte den Anteil; auf Grad II; abschließen. | Halte die Einheit; auf Grad II; abschließen.	G407-E1352|G407-E1565|G407-E1582|G407-E1673|G407-E2034|G407-E2049|G407-E2431|G407-E2608|G407-E2641|G407-E2788	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
19	OT+AIN	17	7	3	6	6	1	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; den Anteil	Danach: halte den Anteil.	Danach: halte den Anteil. | Danach: setze den Anteil. | Danach: bearbeite den Anteil. | Danach: stelle den Anteil ein. | Danach: wähle den Anteil. | Danach: gib den Anteil.	G407-E1586|G407-E1985|G407-E2016|G407-E2267|G407-E2293|G407-E2354|G407-E2494|G407-E2614|G407-E2779|G407-E2871	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
20	OT+AL	17	9	3	8	5	4	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; zum Zielort	Danach: bearbeite den Posten; zum Zielort.	Danach: halte den Posten; zum Zielort. | Danach: stelle den Posten ein; zum Zielort. | Danach: bearbeite den Anteil; zum Zielort. | Danach: setze den Wert; zum Zielort. | Danach: setze den Posten; zum Zielort. | Danach: bearbeite den Posten; zum Zielort. | Danach: gib die Einheit; zum Zielort. | Danach: gib den Posten; zum Zielort.	G407-E1120|G407-E1282|G407-E2244|G407-E2333|G407-E2565|G407-E2655|G407-E2846|G407-E3240|G407-E3254|G407-E3474	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
21	OK+E+OL	16	7	4	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	setzen; auf Grad I; weiter	Weiter: setze den Posten; auf Grad I.	Weiter: setze den Posten; auf Grad I. | Weiter: setze den Wert; auf Grad I.	G407-E1148|G407-E1227|G407-E2173|G407-E3169|G407-E3178|G407-E3827|G407-E3871|G407-E4080|G407-E4249|G407-E4272	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
22	D_ADDR+OL	15	10	2	9	6	2	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	hier; weiter	Weiter: nimm den Posten; hier.	Weiter: nimm den Wert; hier. | Weiter: nimm den Posten; hier. | Weiter: wähle den Posten; hier. | Weiter: setze den Wert; hier. | Weiter: setze den Posten; hier. | Weiter: gib den Posten; hier. | Weiter: markiere den Posten; hier. | Weiter: setze den Posten ein; hier. | Weiter: wähle den Wert; hier.	G407-E0334|G407-E0375|G407-E0377|G407-E2329|G407-E2529|G407-E2791|G407-E2887|G407-E3103|G407-E3376|G407-E3927	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
23	OL+AIIN	13	9	3	5	5	1	1	INHERITED_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	weiter; den Wert	Weiter: setze den Wert.	Weiter: setze den Wert. | Weiter: halte den Wert. | Weiter: nimm den Wert. | Weiter: wähle den Wert. | Weiter: bearbeite den Wert.	G407-E0473|G407-E0570|G407-E1299|G407-E1402|G407-E1418|G407-E1810|G407-E2044|G407-E2316|G407-E2369|G407-E2636	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
24	OL+CHD+DY	13	6	3	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	weiter; bearbeiten; abschließen	Weiter: bearbeite den Posten; abschließen.	Weiter: bearbeite den Posten; abschließen. | Weiter: bearbeite den Wert; abschließen.	G407-E1501|G407-E2008|G407-E2076|G407-E2219|G407-E2371|G407-E2373|G407-E2599|G407-E3080|G407-E3186|G407-E3266	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
25	L+OL	12	7	2	8	6	2	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	über die Verbindung; weiter	Weiter: setze den Posten; über die Verbindung.	Weiter: stelle den Wert ein; über die Verbindung. | Weiter: stelle den Posten ein; über die Verbindung. | Weiter: setze den Posten; über die Verbindung. | Weiter: bearbeite den Posten; über die Verbindung. | Weiter: halte den Posten; über die Verbindung. | Weiter: nimm den Posten; über die Verbindung. | Weiter: setze den Wert; über die Verbindung. | Weiter: gib den Posten; über die Verbindung.	G407-E0555|G407-E1139|G407-E1483|G407-E1762|G407-E2151|G407-E2257|G407-E2456|G407-E2464|G407-E2473|G407-E2572	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
26	OT+CH+OL	11	8	2	4	1	4	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	danach; nehmen; weiter	Danach: nimm den Posten; weiterführen.	Danach: nimm den Posten; weiterführen. | Danach: nimm den Wert; weiterführen. | Danach: nimm die Einheit; weiterführen. | Danach: nimm den Anteil; weiterführen.	G407-E0058|G407-E0255|G407-E0406|G407-E0411|G407-E0459|G407-E0513|G407-E0689|G407-E3847|G407-E4239|G515-E0019	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
27	OT+OL	11	10	2	8	5	4	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; weiter	Danach: gib den Posten; weiterführen.	Danach: gib den Posten; weiterführen. | Danach: nimm die Einheit; weiterführen. | Danach: wähle den Posten; weiterführen. | Danach: halte den Anteil; weiterführen. | Danach: halte den Wert; weiterführen. | Danach: halte den Posten; weiterführen. | Danach: nimm den Wert; weiterführen. | Danach: stelle den Posten ein; weiterführen.	G407-E0158|G407-E0279|G407-E0354|G407-E0621|G407-E1830|G407-E2449|G407-E3995|G407-E4177|G407-E4235|G515-E0081	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
28	P+CHD+DY	11	7	1	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	einsetzen; bearbeiten; abschließen	Setze den Posten ein und bearbeite den Posten; abschließen.	Setze den Posten ein und bearbeite den Posten; abschließen. | Setze den Anteil ein und bearbeite den Anteil; abschließen.	G407-E1477|G407-E1534|G407-E1666|G407-E2147|G407-E2327|G407-E2613|G407-E2765|G407-E2876|G407-E2931|G407-E3395	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
29	K+OL	9	8	2	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	geben; weiter	Weiter: gib den Posten.	Weiter: gib den Posten. | Weiter: gib den Wert.	G407-E0113|G407-E0322|G407-E0403|G407-E0840|G407-E0849|G407-E1162|G407-E1578|G515-E0087|G515-E0337	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
30	L+SH+E+DY	9	6	1	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	über die Verbindung; halten; auf Grad I; abschließen	Halte den Posten; über die Verbindung; auf Grad I; abschließen.	Halte den Posten; über die Verbindung; auf Grad I; abschließen. | Halte den Wert; über die Verbindung; auf Grad I; abschließen.	G407-E1492|G407-E2007|G407-E3072|G407-E3115|G407-E3116|G407-E3428|G407-E3734|G515-E0508|G515-E0565	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
31	OK+CHD+DY	9	5	3	3	1	3	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	setzen; bearbeiten; abschließen	Setze den Posten und bearbeite den Posten; abschließen.	Setze den Posten und bearbeite den Posten; abschließen. | Setze die Einheit und bearbeite die Einheit; abschließen. | Setze den Wert und bearbeite den Wert; abschließen.	G407-E1494|G407-E1561|G407-E1880|G407-E3085|G407-E3140|G407-E3531|G407-E3598|G407-E3770|G407-E4532	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
32	OT+OR	9	5	2	4	4	1	1	INHERITED_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	danach; die Einheit	Danach: stelle die Einheit ein.	Danach: stelle die Einheit ein. | Danach: nimm die Einheit. | Danach: halte die Einheit. | Danach: setze die Einheit ein.	G407-E0233|G407-E0293|G407-E0300|G407-E0306|G407-E1034|G407-E1113|G407-E3613|G407-E3666|G515-E0101	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
33	CH+T+OL	8	6	1	3	1	3	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	nehmen; einstellen; weiter	Weiter: nimm den Wert und stelle den Wert ein.	Weiter: nimm den Wert und stelle den Wert ein. | Weiter: nimm den Posten und stelle den Posten ein. | Weiter: nimm die Einheit und stelle die Einheit ein.	G407-E0187|G407-E0554|G407-E0592|G407-E0865|G407-E3211|G407-E3885|G515-E0013|G515-E0040	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
34	L+DY	8	6	1	6	4	3	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	über die Verbindung; abschließen	Setze den Posten; über die Verbindung; abschließen.	Halte den Anteil; über die Verbindung; abschließen. | Setze den Posten; über die Verbindung; abschließen. | Gib den Posten; über die Verbindung; abschließen. | Bearbeite den Wert; über die Verbindung; abschließen. | Setze den Anteil; über die Verbindung; abschließen. | Bearbeite den Posten; über die Verbindung; abschließen.	G407-E1720|G407-E1768|G407-E3202|G407-E3658|G407-E3710|G407-E4453|G515-E0203|G515-E0561	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
35	OL+K+EE+Y	8	7	2	1	1	1	1	VISIBLE_ACTION_FULL_OPERATION	ONE_MICROPHRASE	YES	weiter; geben; auf Grad II; den Posten	Weiter: gib den Posten; auf Grad II.	Weiter: gib den Posten; auf Grad II.	G407-E1632|G407-E1916|G407-E2604|G407-E2841|G407-E3095|G407-E3536|G407-E3780|G407-E3884	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
36	OT+CHD+DY	8	3	3	2	1	2	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	danach; bearbeiten; abschließen	Danach: bearbeite den Posten; abschließen.	Danach: bearbeite den Posten; abschließen. | Danach: bearbeite; abschließen.	G407-E3595|G407-E3651|G407-E3708|G407-E3769|G407-E4510|G515-E0524|G515-E0551|G515-E0577	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
37	T+OL	8	7	2	4	1	4	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	einstellen; weiter	Weiter: stelle den Posten ein.	Weiter: stelle den Posten ein. | Weiter: stelle den Wert ein. | Weiter: stelle den Anteil ein. | Weiter: stelle ein.	G407-E0150|G407-E0339|G407-E0852|G407-E0880|G407-E3683|G407-E4032|G407-E4218|G515-E0215	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
38	K+EE+DY	7	4	1	2	1	2	1	VISIBLE_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	geben; auf Grad II; abschließen	Gib den Posten; auf Grad II; abschließen.	Gib den Posten; auf Grad II; abschließen. | Gib den Anteil; auf Grad II; abschließen.	G407-E1535|G407-E1750|G407-E1780|G407-E1787|G407-E2338|G407-E2590|G407-E2926	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
39	OL+AIN	7	3	3	4	4	1	1	INHERITED_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	weiter; den Anteil	Weiter: bearbeite den Anteil.	Weiter: halte den Anteil. | Weiter: bearbeite den Anteil. | Weiter: setze den Anteil ein. | Weiter: wähle den Anteil.	G407-E0095|G407-E2026|G407-E2054|G407-E2077|G407-E2243|G407-E2303|G407-E4070	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
40	OT+AM_ADDR	7	6	2	5	3	4	1	INHERITED_ACTION_FULL_OPERATION	TWO_TO_FIVE	NO	danach; hier	Danach: wähle den Wert; hier.	Danach: wähle den Wert; hier. | Danach: setze den Anteil; hier. | Danach: wähle die Einheit; hier. | Danach: bearbeite den Posten; hier. | Danach: setze den Wert; hier.	G407-E0796|G407-E1166|G407-E1167|G407-E1809|G407-E3819|G407-E4167|G515-E0530	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
41	OT+E+O+S_ADDR	7	3	1	7	5	5	2	FORMAL_RELATION_PROLOGUE|INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; auf Grad I; zur Ausführung; hier	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier. | Danach: setze die Einheit; auf Grad I; zur Ausführung; hier. | Danach: auf Grad I; zur Ausführung; hier. | Danach: gib den Posten; auf Grad I; zur Ausführung; hier. | Danach: setze den Posten; auf Grad I; zur Ausführung; hier. | Danach: nimm den Anteil; auf Grad I; zur Ausführung; hier. | Danach: wähle den Wert; auf Grad I; zur Ausführung; hier.	G407-E0033|G407-E1213|G407-E1219|G407-E1357|G407-E1422|G407-E4182|G407-E4336	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
