master_card_id	master_form	card_value_de	surface_count	registered_surfaces	five_habit_classes	apprentice_rule	semantic_change
MC040	okal	dorthin einsetzen	2	okal|qokal	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC045	olkeedy	lange sammeln; Schluss	2	olkeedy|solkeedy	BARE_OR_INTERNAL|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC055	char	davon	3	char|dar|sar	HARD_D_T_ENTRY|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC059	dain	Einlage	1	dain	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC060	otaiin	Folgemaß	2	otaiin|sotaiin	BARE_OR_INTERNAL|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC073	qcthey	kurz vorbereiten	2	qcthey|shcthey	Q_CELL_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC074	chdy	überführen	2	chdy|chedy	OPEN_CH_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC080	chor	Ansatz	4	chor|or|shor|sor	BARE_OR_INTERNAL|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC082	qokeedy	lange einwirken; Schluss	1	qokeedy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC083	qokedy	kurz einwirken; Schluss	1	qokedy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC086	chety	Anteil	2	chety|chty	OPEN_CH_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC088	qokchdy	einführen; Schluss	1	qokchdy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC093	otal	danach dorthin	2	otal|qotal	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC097	olkain	weiterer Anteil	2	olkain|qolkain	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC103	chokchy	weiterbearbeiten	3	chokchy|okchy|qokchy	BARE_OR_INTERNAL|OPEN_CH_ENTRY|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC105	chkain	Anteil	2	chkain|kain	BARE_OR_INTERNAL|OPEN_CH_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC113	shedal	am Ziel absetzen	1	shedal	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC119	cheey	Klarauszug	2	cheey|shey	OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC120	okaiin	bemessen	2	okaiin|qokaiin	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC123	chey	dies	6	chey|chy|dy|shy|sy|y	BARE_OR_INTERNAL|HARD_D_T_ENTRY|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC128	cheedy	kurz absetzen; Schluss	3	cheedy|shedy|tedy	HARD_D_T_ENTRY|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC142	dchol	vom vorigen	2	dchol|schol	HARD_D_T_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC143	shckhedy	seihen; Schluss	1	shckhedy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC147	cheky	kurz wärmen	1	cheky	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC153	cheol	weiter	6	cheol|chol|ol|qol|sol|tol	BARE_OR_INTERNAL|HARD_D_T_ENTRY|OPEN_CH_ENTRY|Q_CELL_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC154	al	dorthin	6	al|chal|cheal|dal|sal|tal	BARE_OR_INTERNAL|HARD_D_T_ENTRY|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC155	lchedy	abführen; Schluss	1	lchedy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC157	cholor	derselbe Ansatz	2	cholor|olor	BARE_OR_INTERNAL|OPEN_CH_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC161	checthy	bereit	3	checthy|cthy|shcthy	BARE_OR_INTERNAL|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC171	otchey	das nächste	1	otchey	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC173	qoteedy	lange Folgestufe; Schluss	1	qoteedy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
