visible_surface	master_card_id	master_form	card_value_de	old_renderer_gesture	five_habit_class	old_family_class
chaiin	MC039	aiin	Sollmaß	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
daiin	MC039	aiin	Sollmaß	D_ENTRY	HARD_D_T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
saiin	MC039	aiin	Sollmaß	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
taiin	MC039	aiin	Sollmaß	T_ENTRY	HARD_D_T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
okal	MC040	okal	dorthin einsetzen	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokal	MC040	okal	dorthin einsetzen	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
olkeedy	MC045	olkeedy	lange sammeln; Schluss	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
solkeedy	MC045	olkeedy	lange sammeln; Schluss	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
char	MC055	char	davon	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
dar	MC055	char	davon	D_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
sar	MC055	char	davon	S_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
dain	MC059	dain	Einlage	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
otaiin	MC060	otaiin	Folgemaß	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
sotaiin	MC060	otaiin	Folgemaß	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
qcthey	MC073	qcthey	kurz vorbereiten	Q_ENTRY	Q_CELL_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
shcthey	MC073	qcthey	kurz vorbereiten	SH_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
chdy	MC074	chdy	überführen	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
chedy	MC074	chdy	überführen	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
chor	MC080	chor	Ansatz	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
or	MC080	chor	Ansatz	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
shor	MC080	chor	Ansatz	SH_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
sor	MC080	chor	Ansatz	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
qokeedy	MC082	qokeedy	lange einwirken; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
qokedy	MC083	qokedy	kurz einwirken; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
chety	MC086	chety	Anteil	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
chty	MC086	chety	Anteil	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
qokchdy	MC088	qokchdy	einführen; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
otal	MC093	otal	danach dorthin	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qotal	MC093	otal	danach dorthin	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
olkain	MC097	olkain	weiterer Anteil	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qolkain	MC097	olkain	weiterer Anteil	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
chokchy	MC103	chokchy	weiterbearbeiten	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
okchy	MC103	chokchy	weiterbearbeiten	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokchy	MC103	chokchy	weiterbearbeiten	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
chkain	MC105	chkain	Anteil	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
kain	MC105	chkain	Anteil	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
shedal	MC113	shedal	am Ziel absetzen	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
cheey	MC119	cheey	Klarauszug	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
shey	MC119	cheey	Klarauszug	SH_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
okaiin	MC120	okaiin	bemessen	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokaiin	MC120	okaiin	bemessen	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
chey	MC123	chey	dies	CH_ENTRY	OPEN_CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
chy	MC123	chey	dies	CH_ENTRY	OPEN_CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
dy	MC123	chey	dies	D_ENTRY	HARD_D_T_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
shy	MC123	chey	dies	SH_ENTRY	S_FLOW_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
sy	MC123	chey	dies	S_ENTRY	S_FLOW_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
y	MC123	chey	dies	ZERO	BARE_OR_INTERNAL	MINIMAL_HOST__LEARN_ALLOGRAPH_SET
cheedy	MC128	cheedy	kurz absetzen; Schluss	CH_ENTRY	OPEN_CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
shedy	MC128	cheedy	kurz absetzen; Schluss	SH_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
tedy	MC128	cheedy	kurz absetzen; Schluss	T_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
dchol	MC142	dchol	vom vorigen	D_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
schol	MC142	dchol	vom vorigen	S_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
shckhedy	MC143	shckhedy	seihen; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
cheky	MC147	cheky	kurz wärmen	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
cheol	MC153	cheol	weiter	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
chol	MC153	cheol	weiter	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
ol	MC153	cheol	weiter	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qol	MC153	cheol	weiter	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
sol	MC153	cheol	weiter	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
tol	MC153	cheol	weiter	T_ENTRY	HARD_D_T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
al	MC154	al	dorthin	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
chal	MC154	al	dorthin	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
cheal	MC154	al	dorthin	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
dal	MC154	al	dorthin	D_ENTRY	HARD_D_T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
sal	MC154	al	dorthin	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
tal	MC154	al	dorthin	T_ENTRY	HARD_D_T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
lchedy	MC155	lchedy	abführen; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
cholor	MC157	cholor	derselbe Ansatz	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
olor	MC157	cholor	derselbe Ansatz	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
checthy	MC161	checthy	bereit	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
cthy	MC161	checthy	bereit	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
shcthy	MC161	checthy	bereit	SH_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
otchey	MC171	otchey	das nächste	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
qoteedy	MC173	qoteedy	lange Folgestufe; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
