transition_no	record_unit_id	page	left_event_id	left_surface	predecessor_event_id	predecessor_surface	predecessor_slot	left_slot	predecessor_to_left_slot_drop	right_event_id	right_surface	same_exact_card	same_owner	same_statement	same_microcycle_across_margin	selected_pass358_decision	strict_predecessor_rule_decision	strict_rule_matches_selected	final_pass374_decision	pass373_rule_status
25	B2	f82r	E220	okey	E219	qokaiin	S2_MATERIAL_MASS	S4_DAUER_ZUSTAND	NO	E221	pchedy	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
26	B3	f83r	E238	dar	E237	qotal	S5_ZIEL_ANWENDUNG	S1_BEZUG_FOLGE	YES	E239	schedy	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
27	B3	f83r	E247	qoky	E246	lchedy	S3_PROZESS_TRANSFER	S5_ZIEL_ANWENDUNG	NO	E248	pchedal	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
28	B3	f83r	E253	chary	E252	chedy	S3_PROZESS_TRANSFER	S1_BEZUG_FOLGE	YES	E254	sor	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
29	B3	f83r	E263	lo	E262	lchedy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E264	qokchedy	NO	NO	YES	YES	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
30	B3	f83r	E273	sy	E272	dal	S5_ZIEL_ANWENDUNG	S1_BEZUG_FOLGE	YES	E274	saiin	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
31	B3	f83r	E282	lchedy	E281	qotchedy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E283	tchedy	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
32	B3	f83r	E290	chealror	E289	checthy	S6_BEREIT_ABSCHLUSS	S5_ZIEL_ANWENDUNG	YES	E291	solkeedy	NO	NO	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
33	B3	f83r	E299	saiin	E298	qoky	S5_ZIEL_ANWENDUNG	S2_MATERIAL_MASS	YES	E300	schedair	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
34	B3	f83r	E308	ldy	E307	otedy	S1_BEZUG_FOLGE	S3_PROZESS_TRANSFER	NO	E309	soiiin	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
35	B4	f83r	E320	otal	E319	chedy	S3_PROZESS_TRANSFER	S5_ZIEL_ANWENDUNG	NO	E321	otchey	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
36	B4	f83r	E326	qokylddy	E325	shedy	S3_PROZESS_TRANSFER	S6_BEREIT_ABSCHLUSS	NO	E327	dain	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
37	B4	f83r	E331	shckhedy	E330	shckhedy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E332	saiin	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
38	B4	f83r	E337	oldy	E336	shedy	S3_PROZESS_TRANSFER	S1_BEZUG_FOLGE	YES	E338	saiin	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
39	B4	f83r	E342	chdy	E341	okain	S2_MATERIAL_MASS	S3_PROZESS_TRANSFER	NO	E343	sol	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
40	B4	f83r	E347	shedy	E346	qokol	S5_ZIEL_ANWENDUNG	S3_PROZESS_TRANSFER	YES	E348	or	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
41	B4	f83r	E351	dairydy	E350	qockhey	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E352	qokain	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
42	B4	f83r	E355	chckhal	E354	kain	S2_MATERIAL_MASS	S3_PROZESS_TRANSFER	NO	E356	solkey	NO	NO	YES	YES	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
43	B4	f83r	E359	dal	E358	qolkain	S2_MATERIAL_MASS	S5_ZIEL_ANWENDUNG	NO	E360	skar	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
44	B5	f83r	E364	shedal	E363	qokchdy	S5_ZIEL_ANWENDUNG	S3_PROZESS_TRANSFER	YES	E365	dal	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
45	B5	f83r	E369	aiin	E368	chdal	S3_PROZESS_TRANSFER	S2_MATERIAL_MASS	YES	E370	sol	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
46	B6	f83r	E376	ol	E375	raly	S6_BEREIT_ABSCHLUSS	S1_BEZUG_FOLGE	YES	E377	daiin	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
