statement_id	record_unit_id	page	visible_surface_sequence	period_sized_card_chain_de	terse_workshop_clause_de	previous_fluent_expansion_de
H4-S002	H4	f55v	daiin chedy talam	Sollmaß | überführen | Zielstelle · verwahren	Sollmaß; überführen; Zielstelle · verwahren.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Posten · Sollmaß | Auszug · Ausgang | länger bearbeiten | fertig	Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand. Schließe den Arbeitsgang.
H4-S004	H4	f55v	aiin okal oltchy or y orain	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Ansatz | dies | Ansatz · Anteil	Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	Zutat · Ansatz | weitere Zutat | Zutat · Zielstelle · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | Folgeansatz | einsetzen | dorthin	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es kurz in Wasser ein und bereite daraus eine Waschung.
H5-S002	H5	f56r	schol choy choky cheeckhody	vom vorigen | Zutat · Posten | einsetzen | länger · Durchgang · Zutat; schließen	vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
H5-S003	H5	f56r	sh cho kchey qokokchy	halten | weitere Zutat | bearbeiten · kurz · Posten | einsetzen · einsetzen · Posten	halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
H5-S004	H5	f56r	okchy chokcheo kchal	weiterbearbeiten | einsetzen · Auszug | bearbeiten · Zielstelle	weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
H5-S005	H5	f56r	sho chokchy kchoar sotodan	weitere Zutat | weiterbearbeiten | Auszug · Ausgang | danach · anwenden	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
H5-S006	H5	f56r	otchey keol daiin	das nächste | kurz · weiter | Sollmaß	das nächste; kurz · weiter; Sollmaß.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
B1-S001	B1	f81v	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Flüssigkeitslauf | dorthin einsetzen | davon | weiter | Anteil | weiter · Anteil | dorthin | weiter | weiter | Zusatz | damit weiter | weiter | Durchgang · kurz · Zielstelle | Sollmaß | einsetzen · länger · Zielstelle | Sollmaß | durchleiten | überführen; Schluss	bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; damit weiter; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle auf Sollmaß, setze den Posten dort ein, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle auf Sollmaß, halte dort länger, leite durch, setze um und schließe.
B1-S003	B1	f81v	qol sshkchdy	weiter | halten · bearbeiten · übertragen; schließen	weiter; halten · bearbeiten · übertragen; schließen.	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
B1-S004	B1	f81v	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	überführen; weiter; kurz absetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, lass absetzen und schließe
B1-S005	B1	f81v	qolchedy	weiterführen; Schluss	weiterführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
B1-S006	B1	f81v	qokain shckhy dl ral	Anteil zugeben | durchleiten | Zusatz | Zielstelle	Anteil zugeben; durchleiten; Zusatz; Zielstelle.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
B1-S007	B1	f81v	qokchdy	einführen; Schluss	einführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
B1-S008	B1	f81v	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
B1-S009	B1	f81v	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S010	B1	f81v	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S011	B1	f81v	chckhy qoky	durchleiten | einsetzen	durchleiten; einsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze diesen Posten ein
B1-S012	B1	f81v	lsho qokey lshedy	waschen | kurz einwirken | waschen; schließen	waschen; kurz einwirken; waschen; schließen.	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
B1-S013	B1	f81v	lshedy	waschen; schließen	waschen; schließen.	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
B1-S014	B1	f81v	chedy qolky lchedal qol otar	überführen | weiter | abführen · übertragen · Zielstelle | weiter | danach · Ausgang	überführen; weiter; abführen · übertragen · Zielstelle; weiter; danach · Ausgang.	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.
B1-S015	B1	f81v	ytey okchedy	Posten · kurz · Teil | einführen; Schluss	Posten · kurz · Teil; einführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
B1-S016	B1	f81v	qokal okeey qol cheedy	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
B1-S017	B1	f81v	sal teol dchdy	dorthin | kurz · weiter | übertragen; schließen	dorthin; kurz · weiter; übertragen; schließen.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	abführen · Posten | halten · kurz · weiter | Arbeitsstufe | lange sammeln; Schluss	abführen · Posten; halten · kurz · weiter; Arbeitsstufe; lange sammeln; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
B1-S019	B1	f81v	tedy	kurz absetzen; Schluss	kurz absetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
B1-S020	B1	f81v	cheky shckhedy	kurz wärmen | seihen; Schluss	kurz wärmen; seihen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
B1-S021	B1	f81v	chal	dorthin	dorthin.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
B2-S001	B2	f82r	dchedy	überführen; Schluss	überführen; Schluss.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
B2-S002	B2	f82r	qolchedy	weiterführen; Schluss	weiterführen; Schluss.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
B2-S003	B2	f82r	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	Anteil zugeben; dies; lange einwirken; Schluss.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | abführen · Durchgang · Posten | abführen · übertragen | lange einwirken | abführen · trennen; schließen	dorthin einsetzen; abführen · Durchgang · Posten; abführen · übertragen; lange einwirken; abführen · trennen; schließen.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort ein, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	einsetzen · Zielstelle · Posten | auffangen · Sollmaß | durchleiten | bemessen | bemessen | bereitstellen · weiter | wärmen · länger · Posten | abziehen; Schluss	einsetzen · Zielstelle · Posten; auffangen · Sollmaß; durchleiten; bemessen; bemessen; bereitstellen · weiter; wärmen · länger · Posten; abziehen; Schluss.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle auf Sollmaß, führe bereit weiter, wärme länger, ziehe ab und schließe.
B2-S006	B2	f82r	oteey qokal sheckhy qoky	danach · länger · Posten | dorthin einsetzen | Durchgang · kurz · Posten | einsetzen	danach · länger · Posten; dorthin einsetzen; Durchgang · kurz · Posten; einsetzen.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort ein, leite ihn kurz durch und setze diesen Posten ein.
B2-S007	B2	f82r	dshedy	absetzen · kurz; schließen	absetzen · kurz; schließen.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.
B2-S008	B2	f82r	sotaiin qokar shedy	Folgemaß | einsetzen · Ausgang | kurz absetzen; Schluss	Folgemaß; einsetzen · Ausgang; kurz absetzen; Schluss.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.
B2-S009	B2	f82r	solshedy	weiter · absetzen; schließen	weiter · absetzen; schließen.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.
B2-S010	B2	f82r	qokeey qoky ls cheey	lange einwirken | einsetzen | abführen | Klarauszug	lange einwirken; einsetzen; abführen; Klarauszug.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
B2-S011	B2	f82r	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss.	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abführen · Posten | Klarauszug | bereitstellen · kurz · Posten | lange einwirken | abführen · Klarlauf | Sollmaß | dies | einsetzen · vollständig; schließen	abführen · Posten; Klarauszug; bereitstellen · kurz · Posten; lange einwirken; abführen · Klarlauf; Sollmaß; dies; einsetzen · vollständig; schließen.	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
B2-S013	B2	f82r	lchedy	abführen; Schluss	abführen; Schluss.	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.
B2-S014	B2	f82r	lar	abführen · Ausgang	abführen · Ausgang.	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.
B2-S015	B2	f82r	tshey qokeedy	Klarlauf | lange einwirken; Schluss	Klarlauf; lange einwirken; Schluss.	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | abführen · übertragen · Ausgang | teilen | Sollmaß | danach · länger · Posten | bemessen | kurz einwirken | zuführen · übertragen; schließen	dorthin; abführen · übertragen · Ausgang; teilen; Sollmaß; danach · länger · Posten; bemessen; kurz einwirken; zuführen · übertragen; schließen.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
B2-S017	B2	f82r	rsheal daldy	halten · kurz · Zielstelle | Zielstelle; schließen	halten · kurz · Zielstelle; Zielstelle; schließen.	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
B2-S018	B2	f82r	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss.	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S019	B2	f82r	rshedy	waschen; schließen	waschen; schließen.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.
B2-S020	B2	f82r	qoteedy	danach · länger; schließen	danach · länger; schließen.	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.
B2-S021	B2	f82r	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss.	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S022	B2	f82r	lochedy	abführen · übertragen; schließen	abführen · übertragen; schließen.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.
B3-S001	B3	f83r	olkeedy	lange sammeln; Schluss	lange sammeln; Schluss.	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.
B3-S002	B3	f83r	qotal chkeedy	danach dorthin | wärmen · länger; schließen	danach dorthin; wärmen · länger; schließen.	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.
B3-S003	B3	f83r	chey daiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	dies; Sollmaß; dies; abführen; Schluss.	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
B3-S004	B3	f83r	qokaiin qotal dar	bemessen | danach dorthin | davon	bemessen; danach dorthin; davon.	Für die Charge der oberen offenen Fächerstation: Stelle auf Sollmaß, führe danach dorthin und nimm daraus.
B3-S005	B3	f83r	schedy	überführen; Schluss	überführen; Schluss.	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.
B3-S006	B3	f83r	chedchy qokal olchedy	übertragen · Posten | dorthin einsetzen | weiterführen; Schluss	übertragen · Posten; dorthin einsetzen; weiterführen; Schluss.	Für die Charge des runden Randgefäßes: Übertrage dorthin, führe weiter und schließe.
B3-S007	B3	f83r	qokaiin chedy qokeedy	bemessen | überführen | lange einwirken; Schluss	bemessen; überführen; lange einwirken; Schluss.	Für die Charge des runden Randgefäßes: Stelle auf Sollmaß, übertrage, setze länger an und schließe.
B3-S008	B3	f83r	lchedy	abführen; Schluss	abführen; Schluss.	Für die Charge des runden Randgefäßes: Führe ab und schließe.
B3-S009	B3	f83r	qoky	einsetzen	einsetzen.	Für die Charge des runden Randgefäßes: Setze diesen Posten ein.
B3-S010	B3	f83r	pchedal otedy	zuführen · übertragen · Zielstelle | danach · kurz; schließen	zuführen · übertragen · Zielstelle; danach · kurz; schließen.	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.
B3-S011	B3	f83r	shecthedchy qoky chedy chary	bereitstellen · übertragen · Posten | einsetzen | überführen | Ausgang · Posten	bereitstellen · übertragen · Posten; einsetzen; überführen; Ausgang · Posten.	Für die Charge des unteren Korb-/Randgefäßes: Übertrage den bereiten Posten, setze ihn ein, setze erneut um und nimm daraus den folgenden Posten.
B3-S012	B3	f83r	sor shedy	Ansatz | kurz absetzen; Schluss	Ansatz; kurz absetzen; Schluss.	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	bemessen | Anteil | bereitstellen · kurz · Posten | kurz einwirken; Schluss	bemessen; Anteil; bereitstellen · kurz · Posten; kurz einwirken; Schluss.	Für die Charge des unteren Korb-/Randgefäßes: Stelle auf Sollmaß, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
B3-S014	B3	f83r	okair sheedy	einsetzen · Flüssigkeitslauf | absetzen · länger; schließen	einsetzen · Flüssigkeitslauf; absetzen · länger; schließen.	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.
B3-S015	B3	f83r	lchedy	abführen; Schluss	abführen; Schluss.	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.
B3-S016	B3	f83r	lo qokchedy	abführen | einführen; Schluss	abführen; einführen; Schluss.	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.
B3-S017	B3	f83r	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss.	Den örtlichen Übergangsansatz länger ansetzen und schließen.
B3-S018	B3	f83r	shedy	kurz absetzen; Schluss	kurz absetzen; Schluss.	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.
B3-S019	B3	f83r	qokshedy	einsetzen · absetzen; schließen	einsetzen · absetzen; schließen.	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.
B3-S020	B3	f83r	dal lchedy	dorthin | abführen; Schluss	dorthin; abführen; Schluss.	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	bemessen | bereit | dorthin | dies | Sollmaß | absetzen · Zielstelle | bereitstellen · kurz · Posten | dies | dorthin | bereit | Zielstelle · übertragen; schließen	bemessen; bereit; dorthin; dies; Sollmaß; absetzen · Zielstelle; bereitstellen · kurz · Posten; dies; dorthin; bereit; Zielstelle · übertragen; schließen.	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
B3-S022	B3	f83r	qotchedy	danach · übertragen; schließen	danach · übertragen; schließen.	Danach den nächsten Übergangsansatz umsetzen und schließen.
B3-S023	B3	f83r	lchedy	abführen; Schluss	abführen; Schluss.	Den Übergangsansatz abführen und schließen.
B3-S024	B3	f83r	tchedy	überführen; Schluss	überführen; Schluss.	Den Übergangsansatz umsetzen und schließen.
B3-S025	B3	f83r	qokchdy	einführen; Schluss	einführen; Schluss.	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.
B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	übertragen · Ausgang | absetzen · Sollmaß | überführen | Anteil zugeben | bereit | Zielstelle · Ansatz | lange sammeln; Schluss	übertragen · Ausgang; absetzen · Sollmaß; überführen; Anteil zugeben; bereit; Zielstelle · Ansatz; lange sammeln; Schluss.	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
B3-S027	B3	f83r	qoteedy	danach · länger; schließen	danach · länger; schließen.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.
B3-S028	B3	f83r	qokeey qokedy	lange einwirken | kurz einwirken; Schluss	lange einwirken; kurz einwirken; Schluss.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.
B3-S029	B3	f83r	sol cheeety qokedy	weiter | vollständig · Teil | kurz einwirken; Schluss	weiter; vollständig · Teil; kurz einwirken; Schluss.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
B3-S030	B3	f83r	qoky saiin schedair otchedy	einsetzen | Sollmaß | Flüssigkeitslauf | danach · übertragen; schließen	einsetzen; Sollmaß; Flüssigkeitslauf; danach · übertragen; schließen.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
B3-S031	B3	f83r	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	übertragen · Anteil | überführen | danach · kurz · Sollmaß | Folgemaß | danach · kurz; schließen	übertragen · Anteil; überführen; danach · kurz · Sollmaß; Folgemaß; danach · kurz; schließen.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Übertrage eine Portion, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
B3-S033	B3	f83r	ldy	abziehen; Schluss	abziehen; Schluss.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.
