event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	current_spoken_default_de	teaching_layer	drawer	previous_default_de
17	H2-S001	H2	f10r	chor	MC080	Ansatz	REVISED_SHARED_17	ACTIVE_CORE	Arbeitsansatz
18	H2-S001	H2	f10r	cthaiin	MC169	bereitstellen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	bereitstellen · Sollmaß
19	H2-S001	H2	f10r	qoctholy	MC115	bereitstellen · weiter · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	bereitstellen · weiter · Posten
20	H2-S001	H2	f10r	dy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
21	H2-S001	H2	f10r	chy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
23	H2-S001	H2	f10r	shy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	nächster Arbeitsansatz
25	H2-S002	H2	f10r	chor	MC080	Ansatz	REVISED_SHARED_17	ACTIVE_CORE	Arbeitsansatz
26	H2-S002	H2	f10r	otol	MC053	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	danach · weiter
27	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
28	H2-S002	H2	f10r	cholor	MC157	damit weiter	REVISED_SHARED_17	ACTIVE_CORE	damit weiter
29	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
31	H2-S002	H2	f10r	dar	MC055	davon	REVISED_SHARED_17	ACTIVE_CORE	davon
32	H2-S003	H2	f10r	oykchor	MC027	Posten · bearbeiten · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Posten · bearbeiten · Ansatz
33	H2-S003	H2	f10r	shor	MC080	Ansatz	REVISED_SHARED_17	ACTIVE_CORE	Arbeitsansatz
34	H2-S003	H2	f10r	chor	MC080	Ansatz	REVISED_SHARED_17	ACTIVE_CORE	Arbeitsansatz
35	H2-S003	H2	f10r	chy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
36	H2-S003	H2	f10r	kaiiin	MC048	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	Arbeitsstufe
37	H2-S003	H2	f10r	dy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
38	H2-S003	H2	f10r	chodaiin	MC087	Zutat · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Sollmaß
39	H3-S001	H3	f11r	tshol	MC098	Zutat · abführen	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · abführen
40	H3-S001	H3	f11r	schoal	MC049	Zutat · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Zielstelle
41	H3-S001	H3	f11r	cfhy	MC129	auswringen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	auswringen · Posten
42	H3-S001	H3	f11r	shfydaiin	MC111	halten · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	halten · Sollmaß
43	H3-S001	H3	f11r	cphy	MC156	nachseihen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	nachseihen · Posten
44	H3-S001	H3	f11r	shey	MC119	Klarauszug	REVISED_SHARED_17	ACTIVE_CORE	Klarlauf
45	H3-S001	H3	f11r	tchody	MC037	Zutat; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat; schließen
46	H3-S002	H3	f11r	shoyty	MC062	Zutat · Posten · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Posten · Teil
47	H3-S003	H3	f11r	dchol	MC142	vom vorigen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	vom vorigen Posten
48	H3-S003	H3	f11r	chy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
49	H3-S003	H3	f11r	kchy	MC117	bearbeiten · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION	bearbeiten · Posten
50	H3-S003	H3	f11r	dy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
51	H3-S003	H3	f11r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
52	H3-S004	H3	f11r	qotchy	MC107	danach · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	danach · Posten
53	H3-S004	H3	f11r	okchol	MC041	einsetzen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	einsetzen · weiter
54	H3-S004	H3	f11r	cthy	MC161	bereit	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten bereitstellen
55	H3-S004	H3	f11r	dy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
56	H4-S001	H4	f55v	qokaiin	MC120	bemessen	REVISED_SHARED_17	ACTIVE_CORE	auf Sollmaß stellen
57	H4-S001	H4	f55v	chaiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
58	H4-S001	H4	f55v	ykain	MC047	Posten · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	Posten · Anteil
59	H4-S001	H4	f55v	ykan	MC148	Posten · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	Posten · Anteil
60	H4-S001	H4	f55v	ody	MC100	kühlen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	kühlen
61	H4-S002	H4	f55v	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
62	H4-S002	H4	f55v	chedy	MC074	überführen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten übertragen
63	H4-S002	H4	f55v	talam	MC160	Zielstelle · verwahren	SPECIALIST_DRAWER_WHOLE_CARD	D7_APPLICATION_FASTEN_STORE	Zielstelle · verwahren
64	H4-S003	H4	f55v	ykaiin	MC170	Posten · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	Posten · Sollmaß
65	H4-S003	H4	f55v	cheoar	MC085	Auszug · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Auszug · Ausgang
66	H4-S003	H4	f55v	cheeky	MC032	länger bearbeiten	REVISED_SHARED_17	ACTIVE_CORE	länger bearbeiten
67	H4-S003	H4	f55v	oldy	MC019	fertig	REVISED_SHARED_17	ACTIVE_CORE	fortsetzen; abschließen
68	H4-S004	H4	f55v	aiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
69	H4-S004	H4	f55v	okal	MC040	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE	dorthin einsetzen
70	H4-S004	H4	f55v	oltchy	MC021	weiter · bereitstellen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	weiter · bereitstellen · Posten
71	H4-S004	H4	f55v	or	MC080	Ansatz	REVISED_SHARED_17	ACTIVE_CORE	Arbeitsansatz
72	H4-S004	H4	f55v	y	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
73	H4-S004	H4	f55v	orain	MC072	Ansatz · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Ansatz · Anteil
74	H5-S001	H5	f56r	chochor	MC125	Zutat · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Ansatz
75	H5-S001	H5	f56r	cho	MC034	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weitere Zutat
76	H5-S001	H5	f56r	chodaly	MC010	Zutat · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Zielstelle · Posten
77	H5-S001	H5	f56r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
78	H5-S001	H5	f56r	sho	MC034	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weitere Zutat
79	H5-S001	H5	f56r	kchol	MC090	bearbeiten · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	bearbeiten · weiter
80	H5-S001	H5	f56r	otchor	MC013	Folgeansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	nächster Arbeitsansatz
81	H5-S001	H5	f56r	choky	MC026	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten einsetzen
82	H5-S001	H5	f56r	dal	MC154	dorthin	REVISED_SHARED_17	ACTIVE_CORE	dorthin
83	H5-S002	H5	f56r	schol	MC142	vom vorigen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	vom vorigen Posten
84	H5-S002	H5	f56r	choy	MC131	Zutat · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Zutat · Posten
85	H5-S002	H5	f56r	choky	MC026	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten einsetzen
86	H5-S002	H5	f56r	cheeckhody	MC099	länger · Durchgang · Zutat; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	länger · Durchgang · Zutat; schließen
87	H5-S003	H5	f56r	sh	MC114	halten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	halten
88	H5-S003	H5	f56r	cho	MC034	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weitere Zutat
89	H5-S003	H5	f56r	kchey	MC122	bearbeiten · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	bearbeiten · kurz · Posten
90	H5-S003	H5	f56r	qokokchy	MC015	einsetzen · einsetzen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION	einsetzen · einsetzen · Posten
91	H5-S004	H5	f56r	okchy	MC103	weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	diesen Posten weiterbearbeiten
92	H5-S004	H5	f56r	chokcheo	MC006	einsetzen · Auszug	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	einsetzen · Auszug
93	H5-S004	H5	f56r	kchal	MC077	bearbeiten · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	bearbeiten · Zielstelle
94	H5-S005	H5	f56r	sho	MC034	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weitere Zutat
95	H5-S005	H5	f56r	chokchy	MC103	weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	diesen Posten weiterbearbeiten
96	H5-S005	H5	f56r	kchoar	MC136	Auszug · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Auszug · Ausgang
97	H5-S005	H5	f56r	sotodan	MC068	danach · anwenden	SPECIALIST_DRAWER_WHOLE_CARD	D7_APPLICATION_FASTEN_STORE	danach · anwenden
98	H5-S006	H5	f56r	otchey	MC171	das nächste	REVISED_SHARED_17	ACTIVE_CORE	der nächste Posten
99	H5-S006	H5	f56r	keol	MC104	kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	kurz · weiter
100	H5-S006	H5	f56r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
101	B1-S001	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz einwirken; schließen
102	B1-S002	B1	f81v	okaiin	MC120	bemessen	REVISED_SHARED_17	ACTIVE_CORE	auf Sollmaß stellen
103	B1-S002	B1	f81v	kair	MC023	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	Flüssigkeitslauf
104	B1-S002	B1	f81v	okal	MC040	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE	dorthin einsetzen
105	B1-S002	B1	f81v	sar	MC055	davon	REVISED_SHARED_17	ACTIVE_CORE	davon
106	B1-S002	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
107	B1-S002	B1	f81v	kain	MC105	Anteil	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	einen Anteil
108	B1-S002	B1	f81v	olkain	MC097	weiter · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	weiter · Anteil
109	B1-S002	B1	f81v	al	MC154	dorthin	REVISED_SHARED_17	ACTIVE_CORE	dorthin
110	B1-S002	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
111	B1-S002	B1	f81v	rol	MC016	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	weiter
112	B1-S002	B1	f81v	dl	MC012	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	Zusatz
113	B1-S002	B1	f81v	olor	MC157	damit weiter	REVISED_SHARED_17	ACTIVE_CORE	damit weiter
114	B1-S002	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
115	B1-S002	B1	f81v	sheckhal	MC058	Durchgang · kurz · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	Durchgang · kurz · Zielstelle
116	B1-S002	B1	f81v	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
117	B1-S002	B1	f81v	qokeedal	MC096	einsetzen · länger · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	einsetzen · länger · Zielstelle
118	B1-S002	B1	f81v	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
119	B1-S002	B1	f81v	chckhy	MC035	durchleiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	durchführen
120	B1-S002	B1	f81v	schedy	MC025	überführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	übertragen; schließen
121	B1-S003	B1	f81v	qol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
122	B1-S003	B1	f81v	sshkchdy	MC061	halten · bearbeiten · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	halten · bearbeiten · übertragen; schließen
123	B1-S004	B1	f81v	chedy	MC074	überführen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten übertragen
124	B1-S004	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
125	B1-S004	B1	f81v	shedy	MC128	kurz absetzen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz absetzen; schließen
126	B1-S005	B1	f81v	qolchedy	MC028	weiterführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weiter übertragen; schließen
127	B1-S006	B1	f81v	qokain	MC017	Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	einen Anteil zugeben
128	B1-S006	B1	f81v	shckhy	MC035	durchleiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	durchführen
129	B1-S006	B1	f81v	dl	MC012	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	Zusatz
130	B1-S006	B1	f81v	ral	MC056	Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	Zielstelle
131	B1-S007	B1	f81v	qokchdy	MC088	einführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	einsetzen, übertragen; schließen
132	B1-S008	B1	f81v	chey	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
133	B1-S008	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
134	B1-S008	B1	f81v	cheky	MC147	kurz wärmen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz wärmen
135	B1-S008	B1	f81v	ol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
136	B1-S008	B1	f81v	shedy	MC128	kurz absetzen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz absetzen; schließen
137	B1-S009	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz einwirken; schließen
138	B1-S010	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz einwirken; schließen
139	B1-S011	B1	f81v	chckhy	MC035	durchleiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	durchführen
140	B1-S011	B1	f81v	qoky	MC026	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten einsetzen
141	B1-S012	B1	f81v	lsho	MC130	waschen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	waschen
142	B1-S012	B1	f81v	qokey	MC007	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz einwirken
143	B1-S012	B1	f81v	lshedy	MC038	waschen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	waschen; schließen
144	B1-S013	B1	f81v	lshedy	MC038	waschen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	waschen; schließen
145	B1-S014	B1	f81v	chedy	MC074	überführen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten übertragen
146	B1-S014	B1	f81v	qolky	MC134	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	weiter
147	B1-S014	B1	f81v	lchedal	MC051	abführen · übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	abführen · übertragen · Zielstelle
148	B1-S014	B1	f81v	qol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
149	B1-S014	B1	f81v	otar	MC121	danach · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	danach · Ausgang
150	B1-S015	B1	f81v	ytey	MC109	Posten · kurz · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	Posten · kurz · Teil
151	B1-S015	B1	f81v	okchedy	MC005	einführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	einsetzen, übertragen; schließen
152	B1-S016	B1	f81v	qokal	MC040	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE	dorthin einsetzen
153	B1-S016	B1	f81v	okeey	MC002	lange einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	länger einwirken
154	B1-S016	B1	f81v	qol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
155	B1-S016	B1	f81v	cheedy	MC128	kurz absetzen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz absetzen; schließen
156	B1-S017	B1	f81v	sal	MC154	dorthin	REVISED_SHARED_17	ACTIVE_CORE	dorthin
157	B1-S017	B1	f81v	teol	MC106	kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	kurz · weiter
158	B1-S017	B1	f81v	dchdy	MC139	übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	übertragen; schließen
159	B1-S018	B1	f81v	ly	MC118	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	abführen · Posten
160	B1-S018	B1	f81v	dsheol	MC076	halten · kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	halten · kurz · weiter
161	B1-S018	B1	f81v	oiiin	MC033	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	Arbeitsstufe
162	B1-S018	B1	f81v	olkeedy	MC045	lange sammeln; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	länger auffangen; schließen
163	B1-S019	B1	f81v	tedy	MC128	kurz absetzen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz absetzen; schließen
164	B1-S020	B1	f81v	cheky	MC147	kurz wärmen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	kurz wärmen
165	B1-S020	B1	f81v	shckhedy	MC143	seihen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	seihen; schließen
166	B1-S021	B1	f81v	chal	MC154	dorthin	REVISED_SHARED_17	ACTIVE_CORE	dorthin
167	B2-S001	B2	f82r	dchedy	MC025	überführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	übertragen; schließen
168	B2-S002	B2	f82r	qolchedy	MC028	weiterführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	weiter übertragen; schließen
169	B2-S003	B2	f82r	qokain	MC017	Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	einen Anteil zugeben
170	B2-S003	B2	f82r	dy	MC123	dies	REVISED_SHARED_17	ACTIVE_CORE	dieser Posten
171	B2-S003	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	länger einwirken; schließen
172	B2-S004	B2	f82r	qokal	MC040	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE	dorthin einsetzen
173	B2-S004	B2	f82r	lcheckhy	MC168	abführen · Durchgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	abführen · Durchgang · Posten
174	B2-S004	B2	f82r	lched	MC127	abführen · übertragen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	abführen · übertragen
175	B2-S004	B2	f82r	qokeey	MC002	lange einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	länger einwirken
176	B2-S004	B2	f82r	lcheckhedy	MC133	abführen · trennen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	abführen · trennen; schließen
177	B2-S005	B2	f82r	qokaly	MC054	einsetzen · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	einsetzen · Zielstelle · Posten
178	B2-S005	B2	f82r	solkaiin	MC036	auffangen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	auffangen · Sollmaß
179	B2-S005	B2	f82r	chckhy	MC035	durchleiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	durchführen
180	B2-S005	B2	f82r	qokaiin	MC120	bemessen	REVISED_SHARED_17	ACTIVE_CORE	auf Sollmaß stellen
181	B2-S005	B2	f82r	qokaiin	MC120	bemessen	REVISED_SHARED_17	ACTIVE_CORE	auf Sollmaß stellen
182	B2-S005	B2	f82r	octheol	MC112	bereitstellen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	bereitstellen · weiter
183	B2-S005	B2	f82r	chkeey	MC166	wärmen · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	wärmen · länger · Posten
184	B2-S005	B2	f82r	ldy	MC004	abziehen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	abziehen; schließen
185	B2-S006	B2	f82r	oteey	MC063	danach · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	danach · länger · Posten
186	B2-S006	B2	f82r	qokal	MC040	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE	dorthin einsetzen
187	B2-S006	B2	f82r	sheckhy	MC132	Durchgang · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	Durchgang · kurz · Posten
188	B2-S006	B2	f82r	qoky	MC026	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten einsetzen
189	B2-S007	B2	f82r	dshedy	MC138	absetzen · kurz; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	absetzen · kurz; schließen
