visible_surface	register_status	learning_mode	visible_groups	short_spoken_value_de	component_hint
okody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Diagrammposten setzen oder aktivieren	OK
sho	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	2	Zutat	HO
ydaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Sollwert oder Grad eines Diagrammplatzes	AIIN
ykchey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Diagrammplatz berechnen oder bearbeiten	KCH
ykeody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	2	Klassenplatz fest eingetragen	NONE
ykor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Bedingungs-, Tabellen- oder Wahlansatz	OR
yto	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	2	aktueller Platz	NONE
ytody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	2	Platz fest eingetragen	NONE
a	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Hauptwert	NONE
airchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmels-, Ring- oder Zeigerlauf	AIR
aldy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
alys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
amy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktueller Aspektwert	NONE
aram	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
cfhy	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	aktuellen Posten auswringen	CFH+Y
ch	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Zustand	NONE
chda	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Wert oder Platzbezug uebertragen	CHD
chear	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
chees	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
cheeteey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe + lange oder volle Diagrammstufe	NONE
chekody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	abgeleiteter Klassenwert	CHK
cheody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ablesewert fest	CHEO
cheokorchey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Auszug/Ausgabe + Ansatz/Satz	CHEO+OR
cheos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	sekundärer Ablesewert	CHEO
ches	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	teilen	PARTITION
cheteeser	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
chetody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	abgeleiteter Platzwert	NONE
chety	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	1	Teil abtrennen	PARTITION+TY
cheyky	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Ablesung dieses Hauses	NONE
chkchdar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Bearbeiten + Quelle	KCH+AR
chkchykoly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Bearbeiten + Fortsetzen	KCH+OL
chky	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grad oder Diagrammzustand justieren	NONE
choaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Eingangsposten + Sollwert/Maß	HO+AIIN
choctheeey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Eingangsposten + Bereitwert	HO+CTH
chod	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
choeea	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe	HO
choer	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
chokal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Eingangsposten + Ziel	HO+AL
choly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	HO
choteey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe	HO
chpor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
chsdy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	sekundärer Zustand fest	NONE
chteey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
chty	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	1	Teil abtrennen	PARTITION+TY
chykar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
chykchs	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammplatz berechnen oder bearbeiten	KCH
cpheey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
cphocthy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	CTH
cphol	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	OL
cphy	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	aktuellen Posten nachseihen	CPH+Y
d	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Festwert	NONE
dadaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
daiial	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
daram	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
dary	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
dchdar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Umsetzen + Quelle	CHD+AR
dchetay	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	fester Hauptphasenwert	NONE
dchey	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	Wurzel als aktueller Posten	DCHE+Y
dchol	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	vorigen Posten fortsetzen	DCHOL
dchy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	fester Zustand	NONE
doair	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmels-, Ring- oder Zeigerlauf	AIR
doiin	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grad- oder Bedingungsstufe	NONE
doiir	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	fester Grundindex	NONE
dokan	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
dolchedy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Fortsetzen + Umsetzen	OL+CHD
dolchsody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	OL
dosar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
eckhear	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Seihen/Trennen + Quelle	CKHE+AR
eesydy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
es	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	ausgewählter Nebenwert	NONE
ey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktueller Auswahlwert	NONE
eykeody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	ausgewählter Klassenplatz	NONE
g	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Gradwert	NONE
giin	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grad- oder Bedingungsstufe	NONE
iokeeor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Aktivieren + Ansatz/Satz	OK+OR
lcheey	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	1	Klarlauf abfuehren	L+CHEEY
lkshy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Position oder Bedingung halten	NONE
lsho	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	Waschgang beginnen	WASH
oaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
oar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
oaram	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
ochol	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	HO
ochoyk	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
ocphy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grundauswahl	NONE
octhey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	ausgewählte Grundbedingung	CTH
octhole	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Bereitwert + Fortsetzen	CTH+OL
octhys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	sekundäre Grundbedingung	CTH
odaeiin	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grad- oder Bedingungsstufe	NONE
odaiiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Grad- oder Bedingungsstufe	IIN
odain	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	gezaehlter Teil oder Unterabschnitt	AIN
odair	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmels-, Ring- oder Zeigerlauf	AIR
odal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
odas	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	fester Nebenwert	NONE
odchecthy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	feste abgeleitete Bedingung	CTH
oear	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
oeeody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
oeeos	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
oeesy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
oekain	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	gezaehlter Teil oder Unterabschnitt	AIN
oeoldan	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	OL
oepchod	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
ofcheor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	CHEO
ofydy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	fester Grundlichtwert	NONE
og	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grundgrad	NONE
oiin	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grad- oder Bedingungsstufe	NONE
oiinar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Grad- oder Bedingungsstufe + Ausgangssektor, Ursprung oder Bezugswert	AR
okaiiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Aktivieren + Stufe	OK+IIN
okchdy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen	KCH
okcheys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammplatz berechnen oder bearbeiten	KCH
okchoal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Bearbeiten + Ziel	KCH+AL
okedy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
okeeos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe	OK
okeody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
okodchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
okoes	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
okoirsh	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren + Position oder Bedingung halten	OK
okolar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Aktivieren + Fortsetzen + Quelle	OK+OL+AR
okshor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Aktivieren + Eingangsposten	OK+HO
olol	ASTRO_ONLY	UNPROMOTED_MULTI_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	OL+OL
ols	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	OL
oly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	OL
oparchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
opcheeol	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	lange oder volle Diagrammstufe + im selben Ring, Band oder Satz fortsetzen	OL
opcholdy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	HO
opodchol	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	HO
oraly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Ansatz/Satz + Ziel	OR+AL
oran	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
osar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
osdaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
otaldal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Ziel + Ziel	OT+AL+AL
otaza	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung	OT
otcheody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Auszug/Ausgabe	OT+CHEO
otchl	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung	OT
otchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung	OT
oteeal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Ziel	OT+AL
oteeo	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe	OT
oteeys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe	OT
oteoarar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Quelle + Quelle	OT+AR+AR
oteody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung	OT
otochedy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Umsetzen	OT+CHD
otody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung	OT
otokeeey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Aktivieren	OT+OK
otolor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Fortsetzen + Ansatz/Satz	OT+OL+OR
otshey	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	naechster Platz oder folgende Bedingung + abgelesener oder freigegebener Wert	OT
oty	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Teilsektor oder Untereintrag	OT
otydy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Teilsektor oder Untereintrag	OT
otykchs	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Folge + Bearbeiten	OT+KCH
otys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Teilsektor oder Untereintrag	OT
oygy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktueller Grundgrad	NONE
qear	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
qeykeey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
qkoy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	neue Grundklasse	NONE
qocheey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	abgelesener oder freigegebener Wert	NONE
qockhy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	durch Sektor, Ring oder Pruefweg fuehren	CKH
qofair	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmels-, Ring- oder Zeigerlauf	AIR
qokeeody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe	OK
qokeochy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammposten setzen oder aktivieren	OK
qokoaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Aktivieren + Sollwert/Maß	OK+AIIN
qokylddy	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	aktuellen Posten befestigen; Schluss	OK+Y+LDDY
qopchy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	neuer Paarbezug	NONE
qsg	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	neuer Nebengrad	NONE
r	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Bezugswert	NONE
ror	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
rshedy	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	1	Waschgang abschließen	WASH+CLOSE
saiir	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	sekundärer Hauptindex	NONE
sain	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	gezaehlter Teil oder Unterabschnitt	AIN
saldal	ASTRO_ONLY	UNPROMOTED_MULTI_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	AL+AL
salsain	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Ziel + Portion	AL+AIN
sarydy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
schol	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	vorigen Posten fortsetzen	DCHOL
sh	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	halten	SH
shees	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Position oder Bedingung halten + lange oder volle Diagrammstufe	NONE
shekchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten	KCH
sheody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Position oder Bedingung halten	NONE
shokchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Eingangsposten + Bearbeiten	HO+KCH
shs	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Position oder Bedingung halten	NONE
skar	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	vom Ausgang ausgießen	SK+AR
sodar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
soear	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Ausgangssektor, Ursprung oder Bezugswert	AR
soeey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
soraiir	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
sosho	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
sotodan	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	danach anwenden	OT+DAN
sshey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	abgelesener oder freigegebener Wert	NONE
sykos	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	sekundäre Grundklasse	NONE
talam	PROSE_ONLY	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	1	am Ziel verwahren	AL+AM
teeo	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
tey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktueller Phasenwert	NONE
tochso	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Grundzustand dieses Platzes	NONE
