page_host	joint_tuple_id	surface_examples	v43_current_default	source_class	v43_confidence	fixed_panel_events	fixed_panel_pages	manuscript_events	manuscript_folios	coordinate_id	wrapper_classes	meaning_unit
ar	4d4559019a961b834aa1	char|dar|sar	Daraus, aus demselben Ansatz	SAME_PREPARED_BATCH_REFERENCE	.66	5	f10r|f81v|f82r|f83r	175	58	fb61c4e2699f5c505886	NONE|ch|che|d|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ary	0bdc8b6db811b4e67a63	chary	und lasse es abkühlen	APPLICATION_CLAUSE_END	.16	1	f83r	15	13	fb61c4e2699f5c505886	NONE|ch|d|s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cfhy	bdad9f9ea8b80f141496	cfhy	bevor sich die Blütenkrone öffnet	GATHERING_TIME	.33	1	f11r	4	4	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ch	601b77449028deed39de	otchdy	ziehe es ab und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	11	9	b4cf3d4564167ed1daee	NONE|q|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ch	d225b7a7b95da7aee437	dchdy	seihe es klar und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f81v	5	5	b13789bf2874739e46f6	d|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
che	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	APPARATUS_WASH_THROUGH_CLOSE	.61	4	f81v|f82r|f83r	28	14	b13789bf2874739e46f6	d|s|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
che	4de12cf322dfb76ded1e	otchedy|qotchedy	mische zu gleichen Teilen und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f83r	16	8	b4cf3d4564167ed1daee	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ched	b154ff779abe5f196c80	schedair	ziehe die klare Flüssigkeit ab	APPLICATION_CLAUSE_HEAD	.16	1	f83r	1	1	5db18e798bfd04493555	s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chey	65f320e75510b2f38182	dchey	Nimm die faserige untere Wurzel	PLANT_PART	.35	1	f10r	9	9	fb61c4e2699f5c505886	che|d|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chey	faf321940aed922846a9	otchey	Nimm den bezeichneten Anteil	FINAL_SHARE_INSTRUCTION	.42	2	f56r|f83r	19	15	f217eb91add9e43ad300	NONE|ch|che|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cho	2e2027b1951d79911e24	tchody	lasse die geseihte Flüssigkeit offen abkühlen	CLAUSE_CLOSURE	.33	1	f11r	4	4	b13789bf2874739e46f6	t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cho	428a5e3662aa57b4b256	schoal	vom schattigen Waldort	HABITAT	.34	1	f11r	1	1	9a86ad2c9bcdc4433a17	s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chol	d665560c8ff80799a82c	dchol|schol	von diesem abgebildeten Simplex	REFERENCE	.42	2	f11r|f56r	18	14	fb61c4e2699f5c505886	d|s|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chol	e8a6105b5c3a6220b440	qotchol	wende sie warm an	APPLICATION	.35	1	f10r	16	14	f217eb91add9e43ad300	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chor	10488b911aae52b3b334	otchor|qotchor	vor der Blüte gesammelt	GATHERING_TIME	.45	2	f10r|f56r	10	9	f217eb91add9e43ad300	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chor	b9d7b6d68209a9019e7a	chochor	sammle die Pflanze im Frühjahr	GATHERING_TIME	.35	1	f56r	5	5	c199e523e70f794422c4	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chy	5e8441397e7c0faf042b	chedchy	gieße das erwärmte Wasser ein	APPLICATION_CLAUSE_HEAD	.16	1	f83r	1	1	3733a056ae04c4305665	che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
chy	a48efd6c4491a046ba78	qotchy	bereite aus den Blättern einen warmen Umschlag	APPLICATION	.34	1	f11r	42	24	f217eb91add9e43ad300	NONE|ch|q|s|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ckh	21ed2873b71e57269c08	chckhal	für die angegebene Dauer	APPLICATION_CLAUSE_END	.16	1	f83r	3	3	9a86ad2c9bcdc4433a17	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ckhe	d68bc8de3bcee09db23c	shckhedy	seihe es einmal durch ein Tuch und beende den Schritt	CLOTH_STRAIN_CLOSE	.54	3	f81v|f83r	10	6	b13789bf2874739e46f6	ch|che|q|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ckhy	2cc8bb3c2af19607888f	chckhy|shckhy	durch die verbundenen Läufe	CHANNEL_ROUTE	.52	4	f81v|f82r	72	41	fb61c4e2699f5c505886	NONE|ch|che|d|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cphy	deb377381ceaf55ea310	cphy	seihe die Flüssigkeit ein zweites Mal	PREPARATION_ACTION	.35	1	f11r	7	6	fb61c4e2699f5c505886	NONE|ch|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cth	f3c23f42baf625639e1e	cthaiin	gib den ausgepressten Saft hinzu	PREPARATION_ACTION	.36	1	f10r	5	5	62c544e4108c60c3227b	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cthey	6b89d6dd70635bc60fe0	qcthey|shcthey	unter derselben Einstellung	APPLICATION_PHRASE	.24	2	f82r|f83r	21	17	fb61c4e2699f5c505886	NONE|ch|che|q|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cthoor	dedc383b600397a301ee	cthoor	wasche sie in fließendem Wasser	PREPARATION_ACTION	.34	1	f10r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
cthy	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	Sobald die Zubereitung gebrauchsfertig ist	READINESS_CONDITION	.55	7	f10r|f11r|f83r	100	50	fb61c4e2699f5c505886	NONE|ch|che|d|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
d	00d8ebe3c68294eeac39	chdal	mit der vorigen Mischung	APPLICATION_PHRASE	.16	1	f83r	11	9	9a86ad2c9bcdc4433a17	ch|che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
d	834825c61d048a6b5628	chodaiin	bewahre diesen Anteil unter Öl	STORAGE	.39	1	f10r	61	36	4ad4f33a1ebbfa6077c6	NONE|ch|che|q|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
d	d784b2abcaf1a3703de2	chedain	beginne die Spülung	APPLICATION_CLAUSE_HEAD	.16	1	f83r	8	6	fa436db0093634469c20	ch|che|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
e	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	lasse es bis zur Bereitschaft stehen und beende den Schritt	SETTLE_READY_CLOSE	.48	12	f81v|f82r|f83r	144	29	b13789bf2874739e46f6	che|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
e	c45ebac60774620561e2	otedy	lasse es bis zur Klarheit ziehen und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f83r	62	23	b4cf3d4564167ed1daee	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eckh	4eab1841ed655c20a348	sheckhal	eine mäßige Menge	APPLICATION_PHRASE	.16	1	f81v	2	2	9a86ad2c9bcdc4433a17	sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eckho	95987d6f198d6d247511	cheeckhody	lasse das Pflaster unbedeckt trocknen	APPLICATION	.35	1	f56r	1	1	b13789bf2874739e46f6	che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eckhy	c1913ec4ff84148da6d3	sheckhy	über der örtlich bezeichneten Stelle	APPLICATION_PHRASE	.16	1	f82r	15	9	fb61c4e2699f5c505886	sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ecthedchy	348e81ba084c5acdb32b	shecthedchy	wende es an der markierten Stelle an	APPLICATION_CLAUSE_HEAD	.16	1	f83r	1	1	fb61c4e2699f5c505886	sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ecthy	cb57b696b815fdef9cb7	shecthy	warmes Wasser	APPLICATION_PHRASE	.16	1	f83r	6	4	fb61c4e2699f5c505886	sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ed	1779decef17481ec2853	qotedaiin	das breite Gefäß	APPLICATION_PHRASE	.16	1	f83r	2	2	fd8993bdda8e52580636	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ed	342c3f0777337648f4b3	cheedar	setze die Person an das Becken	APPLICATION_CLAUSE_HEAD	.16	1	f83r	4	4	dda0ce94b28cdae70cfa	che|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ed	abb23e5e6936b4147f76	shedal	für einen Zeitabschnitt	APPLICATION_PHRASE	.24	2	f83r	5	2	9a86ad2c9bcdc4433a17	sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ee	03626ca94cb17800d767	sheedy	wasche einmal und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	37	21	b13789bf2874739e46f6	NONE|d|q|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ee	ff178343c18e287ce3b7	qoteedy	binde es auf die Stelle und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f82r|f83r	56	19	b4cf3d4564167ed1daee	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eety	9247e38d29c79a0d2fa5	cheeety	nach der ersten Spülung	APPLICATION_PHRASE	.16	1	f83r	4	3	fb61c4e2699f5c505886	che|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eey	5d5e0b288cf36864ed9d	oteey	das bereitete Öl	APPLICATION_PHRASE	.24	2	f82r	41	21	f217eb91add9e43ad300	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eey	92e43836d82f98bf02d3	sheey	die erste Öffnung	APPLICATION_PHRASE	.16	1	f83r	41	27	fb61c4e2699f5c505886	d|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ekey	43eb9aa12959b4d5cdc9	qekey	ohne Kochen	APPLICATION_PHRASE	.16	1	f83r	7	5	fb61c4e2699f5c505886	NONE|che|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eky	2c1a5fd92b9e3c762242	cheeky	solange es noch warm ist	PORTABLE_TECHNICAL_PHRASE	.24	2	f55v|f83r	13	10	fb61c4e2699f5c505886	che|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
eol	a06244ef1f2b37ca44c1	teol	die erste Öffnung	APPLICATION_PHRASE	.16	1	f81v	39	24	fb61c4e2699f5c505886	che|q|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
etyd	a6939862e33ece5a0483	etyd	bewahre die übrige Wurzel trocken auf	STORAGE	.34	1	f10r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ey	b5df9126607030b95175	cheey|shey	Bis die Flüssigkeit klar abläuft	CLARITY_GATE	.57	4	f11r|f82r|f83r	82	38	fb61c4e2699f5c505886	che|q|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
fyd	a8af08e69edab8e54f15	shfydaiin	presse die gequetschte Wurzel durch ein Tuch	PREPARATION_ACTION	.37	1	f11r	1	1	62c544e4108c60c3227b	sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
h	ad3581d3144f69a5912d	sh	ihren kleinen Samen- oder Knospenkopf	PLANT_PART	.32	1	f56r	4	4	fb61c4e2699f5c505886	s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
k	22fb87a5a83e5c3fb510	kair	der zurücklaufende Strom	APPLICATION_PHRASE	.16	1	f81v	4	3	5db18e798bfd04493555	NONE|d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
k	883a6708116c342cb10b	skar	gieße das erwärmte Wasser ein	APPLICATION_CLAUSE_HEAD	.16	1	f83r	19	13	dda0ce94b28cdae70cfa	NONE|ch|che|d|s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
k	9da1b6ac2c929daea697	chkain|kain	ein abgemessener Anteil	MEASURED_PORTION	.54	3	f81v|f83r	17	11	fa436db0093634469c20	NONE|ch|che|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kaiiin	409de02322e7b2ca0c62	kaiiin	bis ein bitterer Geschmack bleibt	PROCESS_CONDITION	.37	1	f10r	2	2	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kch	75a523fcf039b006f97b	kchal	bewahre den Rest trocken im Schatten	STORAGE	.35	1	f56r	1	1	9a86ad2c9bcdc4433a17	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kchey	b74e9e65637b7c8538dd	kchey	das getrocknete schmale Blatt	PLANT_PART	.35	1	f56r	6	5	fb61c4e2699f5c505886	NONE|che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kcho	c71c72da4e09e0833392	kchoar	mische es mit Honig	MEDIUM	.38	1	f56r	1	1	dda0ce94b28cdae70cfa	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kchol	893c570f3fa3fce99711	kchol	lasse es in Weißwein ziehen	MEDIUM	.36	1	f56r	11	9	fb61c4e2699f5c505886	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kchy	b2812c8283c3a62438bd	kchy	binde es auf die geschwollene Stelle	INDICATION	.38	1	f11r	10	9	fb61c4e2699f5c505886	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
kee	a84fbe3ad380df345b97	chkeedy	tauche vollständig ein und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	13	10	b13789bf2874739e46f6	NONE|ch|che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
keey	f0db6d30cd34f4cb2a4d	chkeey	das breite Gefäß	APPLICATION_PHRASE	.16	1	f82r	11	11	fb61c4e2699f5c505886	NONE|ch|d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
keol	9bb7122b386ebbc6138f	keol	die helle geöffnete Blüte	PLANT_PART	.34	1	f56r	3	3	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ky	d904bf7b044dd3922781	cheky	bei sanfter Wärme	GENTLE_HEAT	.55	3	f81v|f83r	27	21	fb61c4e2699f5c505886	NONE|ch|che|s|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
l	04a3877f0fc81b7597c9	ldy	ziehe es ab und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f82r|f83r	10	10	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
l	0f18de177ed7c878bf95	dl	das bereitete Öl	APPLICATION_PHRASE	.24	2	f81v	19	17	fb61c4e2699f5c505886	NONE|ch|d|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
l	1b1ffdd869fb1429ad03	oldy	koche sanft und beende diesen Arbeitsschritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f55v|f83r	13	9	fc65210860ff69184fdd	NONE|ch|che|d|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
l	29e0eb222ef2fb99523a	lar	schließe den unteren Ablauf	APPLICATION_CLAUSE_HEAD	.16	1	f82r	1	1	dda0ce94b28cdae70cfa	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
l	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	Mit der vorigen Zubereitung weiter	PREPARATION_REFERENCE	.67	19	f10r|f81v|f83r	413	81	c199e523e70f794422c4	NONE|ch|che|d|q|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lche	de7321bface5628e35d6	lchedy	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	DRAIN_TO_LOWER_RECEIVER_CLOSE	.71	8	f82r|f83r	42	18	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lcheckhe	c1db6b0a28d5cbb5d3d2	lcheckhedy	seihe es klar und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f82r	1	1	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lcheckhy	f329f2051370174e9a38	lcheckhy	die zweite Öffnung	APPLICATION_PHRASE	.16	1	f82r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lched	0f15effeca7ab10bb026	lchedar	kühles Wasser	APPLICATION_PHRASE	.16	1	f82r	2	2	dda0ce94b28cdae70cfa	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lched	433713294b25b0a12f66	lchedal	das untere Becken	APPLICATION_PHRASE	.16	1	f81v	1	1	9a86ad2c9bcdc4433a17	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lched	ba8142680851f24c9ff2	lched	und gehe zum nächsten Becken weiter	APPLICATION_CLAUSE_END	.16	1	f82r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lcheey	5fca8fc3dee57e1d8c1f	lcheey	der eingetauchte Teil	APPLICATION_PHRASE	.16	1	f82r	5	5	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lchy	0ab57b7166de99db3a55	lchy	ziehe die klare Flüssigkeit ab	APPLICATION_CLAUSE_HEAD	.16	1	f82r	4	3	fb61c4e2699f5c505886	NONE|d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ld	d72f71baff01cd0a0406	chldaiin	nach dem Absetzen	APPLICATION_PHRASE	.16	1	f83r	1	1	62c544e4108c60c3227b	ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ldalor	97ddca78c9ebcc956d04	ldalor	an der bezeichneten Stelle	APPLICATION_CLAUSE_END	.16	1	f83r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lke	b958a512ca6a3559e86e	lkedy	wasche zweimal und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	9	7	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lo	2b7fa918d1b2f5c656e3	lo	schließe den unteren Ablauf	APPLICATION_CLAUSE_HEAD	.16	1	f83r	3	3	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
loche	f2af6326898fb5b490a4	lochedy	mische zu gleichen Teilen und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f82r	1	1	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lol	8c97dfde96fbc78e3355	lol	bis es warm ist	APPLICATION_PHRASE	.16	1	f83r	13	11	fb61c4e2699f5c505886	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ls	5eff216ba51fbfb21f22	ls	die erste Öffnung	APPLICATION_PHRASE	.16	1	f82r	3	3	fb61c4e2699f5c505886	NONE|d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lshe	2e7e89e0bd12b999c280	lshedy	wasche einmal und beende diesen Durchgang	SINGLE_WASH_CLOSE	.55	2	f81v	13	11	b13789bf2874739e46f6	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
lsho	be0974b366c981dc1eef	lsho	beginne die Spülung	APPLICATION_CLAUSE_HEAD	.16	1	f81v	2	2	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ly	b38d70daefd663d74625	ly	fülle danach das Gefäß	APPLICATION_CLAUSE_HEAD	.16	1	f81v	5	4	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
o	2cc054357a929df85f64	cho|sho	nimm danach den folgenden Zusatz oder Pflanzenteil	PREPARATION_ACTION	.65	4	f56r	81	44	fb61c4e2699f5c505886	NONE|ch|che|d|q|s|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
o	807591efc3d3f7ddbfab	cheoar	gib Weißwein hinzu	MEDIUM	.37	1	f55v	11	9	dda0ce94b28cdae70cfa	NONE|ch|che|q|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
o	97cc9ac109148723c472	ody	lasse es ziehen, bis die Flüssigkeit klar ist	CLAUSE_CLOSURE	.36	1	f55v	76	41	b13789bf2874739e46f6	NONE|ch|che|d|q|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ockhey	ecce30bc8dcc400bf2c8	qockhey	über der örtlich bezeichneten Stelle	APPLICATION_PHRASE	.16	1	f83r	6	5	fb61c4e2699f5c505886	NONE|ch|q|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
octheol	a8f891de626fc00028e9	octheol	unter derselben Einstellung	APPLICATION_PHRASE	.16	1	f82r	1	1	fb61c4e2699f5c505886	NONE	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
octholy	af816c04e65874a0f2fa	qoctholy	koche es sanft	PREPARATION_ACTION	.36	1	f10r	1	1	fb61c4e2699f5c505886	q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
odaly	0ec6a45e2950e8e7061d	chodaly	die dünne untere Wurzel	PLANT_PART	.35	1	f56r	4	4	fb61c4e2699f5c505886	NONE|ch	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
oiiin	2c82523794dcb7d2b343	oiiin|soiiin	bis es klar ist	APPLICATION_PHRASE	.24	2	f81v|f83r	7	7	fb61c4e2699f5c505886	NONE|q|s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ok	1645e612504fcef59ced	okain|qokain	gib einen abgemessenen Anteil in das Gefäß	MEASURED_ADDITION	.55	7	f81v|f82r|f83r	123	28	fa436db0093634469c20	NONE|ch|che|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ok	308e8ea2d5d190c498e8	okal|qokal	mische beide Anteile zusammen	COMBINE_PORTIONS	.54	6	f55v|f81v|f82r|f83r	71	32	9a86ad2c9bcdc4433a17	NONE|ch|q|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ok	3ae9a121ba0045b913e8	qokar	über der örtlich bezeichneten Stelle	APPLICATION_PHRASE	.16	1	f82r	74	30	dda0ce94b28cdae70cfa	NONE|ch|q|s|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ok	7d2404c835b10a2c06af	okair	öffne danach den oberen Lauf	APPLICATION_CLAUSE_HEAD	.16	1	f83r	6	6	5db18e798bfd04493555	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ok	b5fcea1eaed06b2f2291	okaiin|qokaiin	beginne den nächsten abgemessenen Posten	ENTRY_INSTRUCTION	.58	9	f55v|f81v|f82r|f83r	157	43	62c544e4108c60c3227b	NONE|ch|che|q|s|sh	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
okaly	4a7a6326ac95a8809302	qokaly	fahre am zweiten Lauf fort	APPLICATION_CLAUSE_HEAD	.16	1	f82r	14	13	fb61c4e2699f5c505886	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
okch	87411f84689b4f93a303	qokchdy	erwärme es einmal und beende den Schritt	HEAT_ONCE_CLOSE	.49	3	f81v|f83r	19	13	b13789bf2874739e46f6	NONE|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
okche	07913ef9b1fb773cd325	okchedy|qokchedy	lasse es abkühlen und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f81v|f83r	16	10	b13789bf2874739e46f6	NONE|ch|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
okcheo	087a47b5423438cd6b6a	chokcheo	trinke es bei Magenschmerz	INDICATION	.36	1	f56r	3	3	fb61c4e2699f5c505886	ch|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
okchol	322281bd391aa621f568	okchol	lege ihn warm auf	APPLICATION	.35	1	f11r	10	9	fb61c4e2699f5c505886	NONE|ch|q	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
