page_host	host_inventory_occurrences	host_inventory_folios	v43_joint_tuple_cards	v43_fixed_events	distinct_source_classes	source_class_entropy_bits	modal_source_class	modal_class_fraction	surface_examples	v43_meanings	host_semantic_status
oke	121	30	1	8	1	-0.000000	LOCAL_RINSE_CLOSE	1.000000	qokedy	spüle die bezeichnete Stelle einmal und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
ot	253	57	3	7	3	1.584963	DURATION_REFERENCE	0.333333	otaiin|sotaiin || otal|qotal || otar	für dieselbe Dauer wie zuvor || zum unteren Ablauf hin || benutze danach den unteren Ablauf	UNASSIGNED_MULTI_CARD_CONTAINER
cthy	100	50	1	7	1	-0.000000	READINESS_CONDITION	1.000000	checthy|cthy|shcthy	Sobald die Zubereitung gebrauchsfertig ist	ONE_CARD_ONLY_IN_FIXED_PANEL
okeey	115	29	1	7	1	-0.000000	TEMPER_LUKEWARM	1.000000	okeey|qokeey	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	ONE_CARD_ONLY_IN_FIXED_PANEL
o	207	67	3	6	3	1.584963	PREPARATION_ACTION	0.333333	cho|sho || cheoar || ody	nimm danach den folgenden Zusatz oder Pflanzenteil || gib Weißwein hinzu || lasse es ziehen, bis die Flüssigkeit klar ist	UNASSIGNED_MULTI_CARD_CONTAINER
che	49	22	2	6	2	1.000000	APPARATUS_WASH_THROUGH_CLOSE	0.500000	dchedy|schedy|tchedy || otchedy|qotchedy	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt || mische zu gleichen Teilen und beende den Schritt	UNASSIGNED_MULTI_CARD_CONTAINER
k	76	33	3	5	3	1.584963	APPLICATION_PHRASE	0.333333	kair || skar || chkain|kain	der zurücklaufende Strom || gieße das erwärmte Wasser ein || ein abgemessener Anteil	UNASSIGNED_MULTI_CARD_CONTAINER
ar	188	58	1	5	1	-0.000000	SAME_PREPARED_BATCH_REFERENCE	1.000000	char|dar|sar	Daraus, aus demselben Ansatz	ONE_CARD_ONLY_IN_FIXED_PANEL
ed	37	17	3	4	2	0.918296	APPLICATION_PHRASE	0.666667	qotedaiin || cheedar || shedal	das breite Gefäß || setze die Person an das Becken || für einen Zeitabschnitt	UNASSIGNED_MULTI_CARD_CONTAINER
ckhy	72	41	1	4	1	-0.000000	CHANNEL_ROUTE	1.000000	chckhy|shckhy	durch die verbundenen Läufe	ONE_CARD_ONLY_IN_FIXED_PANEL
ey	82	38	1	4	1	-0.000000	CLARITY_GATE	1.000000	cheey|shey	Bis die Flüssigkeit klar abläuft	ONE_CARD_ONLY_IN_FIXED_PANEL
d	189	61	3	3	3	1.584963	APPLICATION_PHRASE	0.333333	chdal || chodaiin || chedain	mit der vorigen Mischung || bewahre diesen Anteil unter Öl || beginne die Spülung	UNASSIGNED_MULTI_CARD_CONTAINER
lched	4	3	3	3	2	0.918296	APPLICATION_PHRASE	0.666667	lchedar || lchedal || lched	kühles Wasser || das untere Becken || und gehe zum nächsten Becken weiter	UNASSIGNED_MULTI_CARD_CONTAINER
chey	34	23	2	3	2	1.000000	PLANT_PART	0.500000	dchey || otchey	Nimm die faserige untere Wurzel || Nimm den bezeichneten Anteil	UNASSIGNED_MULTI_CARD_CONTAINER
chol	37	25	2	3	2	1.000000	REFERENCE	0.500000	dchol|schol || qotchol	von diesem abgebildeten Simplex || wende sie warm an	UNASSIGNED_MULTI_CARD_CONTAINER
chor	32	19	2	3	1	-0.000000	GATHERING_TIME	1.000000	otchor|qotchor || chochor	vor der Blüte gesammelt || sammle die Pflanze im Frühjahr	UNASSIGNED_MULTI_CARD_CONTAINER
ee	103	31	2	3	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	sheedy || qoteedy	wasche einmal und beende den Schritt || binde es auf die Stelle und beende den Schritt	UNASSIGNED_MULTI_CARD_CONTAINER
eey	86	37	2	3	1	-0.000000	APPLICATION_PHRASE	1.000000	oteey || sheey	das bereitete Öl || die erste Öffnung	UNASSIGNED_MULTI_CARD_CONTAINER
olk	41	20	2	3	1	-0.000000	APPLICATION_PHRASE	1.000000	solkaiin || olkain|qolkain	durch ein Tuch || das untere Becken	UNASSIGNED_MULTI_CARD_CONTAINER
ckhe	10	6	1	3	1	-0.000000	CLOTH_STRAIN_CLOSE	1.000000	shckhedy	seihe es einmal durch ein Tuch und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
ky	27	21	1	3	1	-0.000000	GENTLE_HEAT	1.000000	cheky	bei sanfter Wärme	ONE_CARD_ONLY_IN_FIXED_PANEL
okch	27	19	1	3	1	-0.000000	HEAT_ONCE_CLOSE	1.000000	qokchdy	erwärme es einmal und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
okchy	35	24	1	3	1	-0.000000	PREPARATION_ACTION	1.000000	chokchy|okchy|qokchy	gebrauche die frisch bereitete Arznei	ONE_CARD_ONLY_IN_FIXED_PANEL
olche	22	13	1	3	1	-0.000000	RESERVE_MIXED_LIQUID_CLOSE	1.000000	olchedy|qolchedy	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
olkee	15	10	1	3	1	-0.000000	SETTLE_LIQUID_CLOSE	1.000000	olkeedy|solkeedy	lasse die Flüssigkeit sich setzen und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
ch	39	31	2	2	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	otchdy || dchdy	ziehe es ab und beende den Schritt || seihe es klar und beende den Schritt	UNASSIGNED_MULTI_CARD_CONTAINER
cho	15	11	2	2	2	1.000000	CLAUSE_CLOSURE	0.500000	tchody || schoal	lasse die geseihte Flüssigkeit offen abkühlen || vom schattigen Waldort	UNASSIGNED_MULTI_CARD_CONTAINER
chy	62	32	2	2	2	1.000000	APPLICATION_CLAUSE_HEAD	0.500000	chedchy || qotchy	gieße das erwärmte Wasser ein || bereite aus den Blättern einen warmen Umschlag	UNASSIGNED_MULTI_CARD_CONTAINER
rshe	4	3	2	2	2	1.000000	COMMITTED_TECHNICAL_INSTRUCTION	0.500000	rshedy || rsheal	trinke den angegebenen Anteil und beende den Schritt || gieße das erwärmte Wasser ein	UNASSIGNED_MULTI_CARD_CONTAINER
yk	27	19	2	2	2	1.000000	PREPARATION_ACTION	0.500000	ykain || ykaiin	koche das breite Blatt sanft || für den zweiten Arzneigebrauch	UNASSIGNED_MULTI_CARD_CONTAINER
ain	90	48	1	2	1	-0.000000	APPLICATION_PHRASE	1.000000	dain	durch ein Tuch	ONE_CARD_ONLY_IN_FIXED_PANEL
cthey	21	17	1	2	1	-0.000000	APPLICATION_PHRASE	1.000000	qcthey|shcthey	unter derselben Einstellung	ONE_CARD_ONLY_IN_FIXED_PANEL
eky	13	10	1	2	1	-0.000000	PORTABLE_TECHNICAL_PHRASE	1.000000	cheeky	solange es noch warm ist	ONE_CARD_ONLY_IN_FIXED_PANEL
lshe	13	11	1	2	1	-0.000000	SINGLE_WASH_CLOSE	1.000000	lshedy	wasche einmal und beende diesen Durchgang	ONE_CARD_ONLY_IN_FIXED_PANEL
oiiin	7	7	1	2	1	-0.000000	APPLICATION_PHRASE	1.000000	oiiin|soiiin	bis es klar ist	ONE_CARD_ONLY_IN_FIXED_PANEL
okche	17	11	1	2	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	okchedy|qokchedy	lasse es abkühlen und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
okey	40	22	1	2	1	-0.000000	APPLICATION_PHRASE	1.000000	okey|qokey	warmes Wasser	ONE_CARD_ONLY_IN_FIXED_PANEL
olor	11	9	1	2	1	-0.000000	PORTABLE_TECHNICAL_PHRASE	1.000000	cholor|olor	Aus dem vorigen Ansatz entnehmen	ONE_CARD_ONLY_IN_FIXED_PANEL
ty	10	10	1	2	1	-0.000000	PROCESS_CONDITION	1.000000	chety|chty	Gleichmäßig bearbeiten	ONE_CARD_ONLY_IN_FIXED_PANEL
aiiin	21	15	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	daiiin	die zweite Öffnung	ONE_CARD_ONLY_IN_FIXED_PANEL
air	43	27	1	1	1	-0.000000	MEDIUM	1.000000	chair	gib Rotwein hinzu	ONE_CARD_ONLY_IN_FIXED_PANEL
airy	5	4	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	dairydy	gebrauche sie sofort und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
ala	4	4	1	1	1	-0.000000	APPLICATION	1.000000	talam	wasche die wunde Stelle einmal	ONE_CARD_ONLY_IN_FIXED_PANEL
alch	2	2	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	dalchdy	behalte den Rückstand und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
alror	1	1	1	1	1	-0.000000	APPLICATION_CLAUSE_END	1.000000	chealror	bis der Strom klar wird	ONE_CARD_ONLY_IN_FIXED_PANEL
ary	15	13	1	1	1	-0.000000	APPLICATION_CLAUSE_END	1.000000	chary	und lasse es abkühlen	ONE_CARD_ONLY_IN_FIXED_PANEL
cfhy	4	4	1	1	1	-0.000000	GATHERING_TIME	1.000000	cfhy	bevor sich die Blütenkrone öffnet	ONE_CARD_ONLY_IN_FIXED_PANEL
ched	9	4	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	schedair	ziehe die klare Flüssigkeit ab	ONE_CARD_ONLY_IN_FIXED_PANEL
ckh	15	12	1	1	1	-0.000000	APPLICATION_CLAUSE_END	1.000000	chckhal	für die angegebene Dauer	ONE_CARD_ONLY_IN_FIXED_PANEL
cphy	7	6	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	cphy	seihe die Flüssigkeit ein zweites Mal	ONE_CARD_ONLY_IN_FIXED_PANEL
cth	19	14	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	cthaiin	gib den ausgepressten Saft hinzu	ONE_CARD_ONLY_IN_FIXED_PANEL
cthoor	1	1	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	cthoor	wasche sie in fließendem Wasser	ONE_CARD_ONLY_IN_FIXED_PANEL
eckh	2	2	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	sheckhal	eine mäßige Menge	ONE_CARD_ONLY_IN_FIXED_PANEL
eckho	1	1	1	1	1	-0.000000	APPLICATION	1.000000	cheeckhody	lasse das Pflaster unbedeckt trocknen	ONE_CARD_ONLY_IN_FIXED_PANEL
eckhy	15	9	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	sheckhy	über der örtlich bezeichneten Stelle	ONE_CARD_ONLY_IN_FIXED_PANEL
ecthedchy	1	1	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	shecthedchy	wende es an der markierten Stelle an	ONE_CARD_ONLY_IN_FIXED_PANEL
ecthy	6	4	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	shecthy	warmes Wasser	ONE_CARD_ONLY_IN_FIXED_PANEL
eety	4	3	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	cheeety	nach der ersten Spülung	ONE_CARD_ONLY_IN_FIXED_PANEL
ekey	7	5	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	qekey	ohne Kochen	ONE_CARD_ONLY_IN_FIXED_PANEL
eol	50	29	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	teol	die erste Öffnung	ONE_CARD_ONLY_IN_FIXED_PANEL
etyd	1	1	1	1	1	-0.000000	STORAGE	1.000000	etyd	bewahre die übrige Wurzel trocken auf	ONE_CARD_ONLY_IN_FIXED_PANEL
fyd	1	1	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	shfydaiin	presse die gequetschte Wurzel durch ein Tuch	ONE_CARD_ONLY_IN_FIXED_PANEL
h	4	4	1	1	1	-0.000000	PLANT_PART	1.000000	sh	ihren kleinen Samen- oder Knospenkopf	ONE_CARD_ONLY_IN_FIXED_PANEL
kaiiin	2	2	1	1	1	-0.000000	PROCESS_CONDITION	1.000000	kaiiin	bis ein bitterer Geschmack bleibt	ONE_CARD_ONLY_IN_FIXED_PANEL
kch	7	6	1	1	1	-0.000000	STORAGE	1.000000	kchal	bewahre den Rest trocken im Schatten	ONE_CARD_ONLY_IN_FIXED_PANEL
kchey	6	5	1	1	1	-0.000000	PLANT_PART	1.000000	kchey	das getrocknete schmale Blatt	ONE_CARD_ONLY_IN_FIXED_PANEL
kcho	3	3	1	1	1	-0.000000	MEDIUM	1.000000	kchoar	mische es mit Honig	ONE_CARD_ONLY_IN_FIXED_PANEL
kchol	11	9	1	1	1	-0.000000	MEDIUM	1.000000	kchol	lasse es in Weißwein ziehen	ONE_CARD_ONLY_IN_FIXED_PANEL
kchy	10	9	1	1	1	-0.000000	INDICATION	1.000000	kchy	binde es auf die geschwollene Stelle	ONE_CARD_ONLY_IN_FIXED_PANEL
kee	15	12	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	chkeedy	tauche vollständig ein und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
keey	11	11	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	chkeey	das breite Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
keol	3	3	1	1	1	-0.000000	PLANT_PART	1.000000	keol	die helle geöffnete Blüte	ONE_CARD_ONLY_IN_FIXED_PANEL
lcheckhe	1	1	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	lcheckhedy	seihe es klar und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
lcheckhy	1	1	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	lcheckhy	die zweite Öffnung	ONE_CARD_ONLY_IN_FIXED_PANEL
lcheey	5	5	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	lcheey	der eingetauchte Teil	ONE_CARD_ONLY_IN_FIXED_PANEL
lchy	4	3	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	lchy	ziehe die klare Flüssigkeit ab	ONE_CARD_ONLY_IN_FIXED_PANEL
ld	2	2	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	chldaiin	nach dem Absetzen	ONE_CARD_ONLY_IN_FIXED_PANEL
ldalor	1	1	1	1	1	-0.000000	APPLICATION_CLAUSE_END	1.000000	ldalor	an der bezeichneten Stelle	ONE_CARD_ONLY_IN_FIXED_PANEL
lke	9	7	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	lkedy	wasche zweimal und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
lo	7	6	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	lo	schließe den unteren Ablauf	ONE_CARD_ONLY_IN_FIXED_PANEL
loche	1	1	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	lochedy	mische zu gleichen Teilen und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
lol	15	11	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	lol	bis es warm ist	ONE_CARD_ONLY_IN_FIXED_PANEL
ls	3	3	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	ls	die erste Öffnung	ONE_CARD_ONLY_IN_FIXED_PANEL
lsho	2	2	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	lsho	beginne die Spülung	ONE_CARD_ONLY_IN_FIXED_PANEL
ly	5	4	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	ly	fülle danach das Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
ockhey	6	5	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	qockhey	über der örtlich bezeichneten Stelle	ONE_CARD_ONLY_IN_FIXED_PANEL
octheol	1	1	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	octheol	unter derselben Einstellung	ONE_CARD_ONLY_IN_FIXED_PANEL
octholy	1	1	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	qoctholy	koche es sanft	ONE_CARD_ONLY_IN_FIXED_PANEL
odaly	4	4	1	1	1	-0.000000	PLANT_PART	1.000000	chodaly	die dünne untere Wurzel	ONE_CARD_ONLY_IN_FIXED_PANEL
okaly	14	13	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	qokaly	fahre am zweiten Lauf fort	ONE_CARD_ONLY_IN_FIXED_PANEL
okcheo	4	4	1	1	1	-0.000000	INDICATION	1.000000	chokcheo	trinke es bei Magenschmerz	ONE_CARD_ONLY_IN_FIXED_PANEL
okchol	10	9	1	1	1	-0.000000	APPLICATION	1.000000	okchol	lege ihn warm auf	ONE_CARD_ONLY_IN_FIXED_PANEL
okeed	14	8	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	qokeedal	der eingetauchte Teil	ONE_CARD_ONLY_IN_FIXED_PANEL
okeee	4	4	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	qokeeedy	tauche vollständig ein und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
okeeol	4	4	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	okeeol	das breite Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
okokchy	1	1	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	qokokchy	trockne es im Schatten	ONE_CARD_ONLY_IN_FIXED_PANEL
okol	48	32	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	qokol	lasse die Mischung einlaufen	ONE_CARD_ONLY_IN_FIXED_PANEL
okshe	5	5	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	qokshedy	koche sanft und beende diesen Arbeitsschritt	ONE_CARD_ONLY_IN_FIXED_PANEL
okyld	1	1	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	qokylddy	binde es auf die Stelle und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
ol	56	35	1	1	1	-0.000000	MEASURE	1.000000	otol	eine Handvoll	ONE_CARD_ONLY_IN_FIXED_PANEL
olchey	10	7	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	qolchey	fülle danach das Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
olkeey	16	12	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	solkeey	setze die Person an das Becken	ONE_CARD_ONLY_IN_FIXED_PANEL
olkey	4	3	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	solkey	öffne danach den oberen Lauf	ONE_CARD_ONLY_IN_FIXED_PANEL
olky	5	5	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	qolky	die betroffene Stelle	ONE_CARD_ONLY_IN_FIXED_PANEL
olsaly	1	1	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	olsaly	das untere Becken	ONE_CARD_ONLY_IN_FIXED_PANEL
olshe	9	5	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	solshedy	halte es warm und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
oltchy	1	1	1	1	1	-0.000000	STORAGE	1.000000	oltchy	bewahre es in einem bedeckten Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
os	23	20	1	1	1	-0.000000	PREPARATION_ACTION	1.000000	os	zerstoße sie zu grobem Pulver	ONE_CARD_ONLY_IN_FIXED_PANEL
otodan	1	1	1	1	1	-0.000000	CLAUSE_CLOSURE	1.000000	sotodan	gebrauche es frisch vermischt	ONE_CARD_ONLY_IN_FIXED_PANEL
otytchol	1	1	1	1	1	-0.000000	INDICATION	1.000000	otytchol	trinke es bei Magenschmerz	ONE_CARD_ONLY_IN_FIXED_PANEL
oykchor	1	1	1	1	1	-0.000000	PROCESS_CONDITION	1.000000	oykchor	wenn sich die Blüte geöffnet hat	ONE_CARD_ONLY_IN_FIXED_PANEL
oyty	1	1	1	1	1	-0.000000	PLANT_PART	1.000000	shoyty	behalte die Blütenkrone zurück	ONE_CARD_ONLY_IN_FIXED_PANEL
pche	11	8	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	pchedy	ziehe es ab und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
pched	6	6	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	pchedal	fülle danach das Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
r	40	25	1	1	1	-0.000000	APPLICATION_CLAUSE_END	1.000000	ral	und lasse es abkühlen	ONE_CARD_ONLY_IN_FIXED_PANEL
raly	1	1	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	raly	die erste Öffnung	ONE_CARD_ONLY_IN_FIXED_PANEL
rol	3	3	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	rol	bevor es abkühlt	ONE_CARD_ONLY_IN_FIXED_PANEL
s	65	42	1	1	1	-0.000000	APPLICATION_PHRASE	1.000000	ches	zu gleichen Anteilen	ONE_CARD_ONLY_IN_FIXED_PANEL
she	19	15	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	dshedy	gib sauberes Wasser hinzu und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
sheol	5	5	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	dsheol	wende es an der markierten Stelle an	ONE_CARD_ONLY_IN_FIXED_PANEL
shey	12	8	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	tshey	beginne die Spülung	ONE_CARD_ONLY_IN_FIXED_PANEL
shkch	1	1	1	1	1	-0.000000	COMMITTED_TECHNICAL_INSTRUCTION	1.000000	sshkchdy	halte es warm und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
shol	5	5	1	1	1	-0.000000	GATHERING_TIME	1.000000	tshol	sammle die Wurzel im Frühjahr	ONE_CARD_ONLY_IN_FIXED_PANEL
ycheor	3	3	1	1	1	-0.000000	HABITAT	1.000000	ycheor	sie wächst auf feuchtem Wiesengrund	ONE_CARD_ONLY_IN_FIXED_PANEL
ykan	1	1	1	1	1	-0.000000	MEDIUM	1.000000	ykan	in Weißwein	ONE_CARD_ONLY_IN_FIXED_PANEL
ytey	5	5	1	1	1	-0.000000	APPLICATION_CLAUSE_HEAD	1.000000	ytey	fülle danach das Gefäß	ONE_CARD_ONLY_IN_FIXED_PANEL
