rank	priority_tier	candidate_page_host	exact_card_types	events_on_ten_pages	surface_cards_and_tuple_ids	current_V43_defaults	shared_semantic_intersection	formal_coordinates_per_card	proposed_form_rule	counterevidence_or_exception	confidence	status
11	3	ot	3	7	otaiin|sotaiin [54d0e228ca346110af05] || otal|qotal [90bcf0a9ec0ef56399e6] || otar [b6b654722e55729cc947]	für dieselbe Dauer wie zuvor || zum unteren Ablauf hin || benutze danach den unteren Ablauf	ENTSPRECHENDER SEKUNDAER-/FOLGEBEZUG	54d0e228ca346110af05:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=s || 90bcf0a9ec0ef56399e6:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=q || b6b654722e55729cc947:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	ot bleibt Basis; rechte Familie aiin/al/ar bindet den Bezug an Zeitstandard oder unteren/zweiten Lauf.	Dauer und Ablauf haben nur den abstrakten Folge-/Korrespondenzbezug gemeinsam.	.44	MEDIUM_RELATIONAL_STEM_CANDIDATE
12	3	chor	2	3	otchor|qotchor [10488b911aae52b3b334] || chochor [b9d7b6d68209a9019e7a]	vor der Blüte gesammelt || sammle die Pflanze im Frühjahr	SAMMELZEIT/-ZUSTAND DER PFLANZE	10488b911aae52b3b334:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q || b9d7b6d68209a9019e7a:FRAME=O;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	chor erscheint in zwei Sammelkarten; Wrapper/frame teilen Vorbluete und Fruehjahr.	Nur Herbal-Lokalkontext und zwei Ereignisse.	.43	MEDIUM_LOCAL_HERBAL_STEM
13	3	che	2	6	dchedy|schedy|tchedy [259b2b3b0bf859882e2c] || otchedy|qotchedy [4de12cf322dfb76ded1e]	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt || mische zu gleichen Teilen und beende den Schritt	BEGRENZTE MANIPULATION MIT SCHRITTSCHLUSS	259b2b3b0bf859882e2c:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=s || 4de12cf322dfb76ded1e:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	che+DY bildet abgeschlossene Arbeitskarten; OT-frame waehlt die Gleichteil-/Mischvariante.	Nur zwei Karten, und der gemeinsame Gehalt kann fast vollstaendig von DY statt che stammen.	.40	MEDIUM_OPERATION_NUCLEUS
14	3	chy	2	2	chedchy [5e8441397e7c0faf042b] || qotchy [a48efd6c4491a046ba78]	gieße das erwärmte Wasser ein || bereite aus den Blättern einen warmen Umschlag	WARME FLUESSIGKEIT ZUFUEHREN/ANWENDEN	5e8441397e7c0faf042b:FRAME=NONE;INNER_D=1;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che || a48efd6c4491a046ba78:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	chy verbindet zwei warme Transfer-/Anwendungskarten; frame und inner-D spezialisieren Einguss gegen Umschlag.	Zwei Einzelvorkommen; 'warm' kann aus dem Bild-/Recordkontext eingetragen worden sein.	.35	WEAK_WARM_TRANSFER_CANDIDATE
15	3	ch	2	2	otchdy [601b77449028deed39de] || dchdy [d225b7a7b95da7aee437]	ziehe es ab und beende den Schritt || seihe es klar und beende den Schritt	ABZIEHEN/SEIHEN ALS ABGESCHLOSSENER SCHRITT	601b77449028deed39de:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE || d225b7a7b95da7aee437:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=d	ch erscheint hier nur in DY-geschlossenen Karten; Wrapper/frame unterscheiden Abziehen und Klarseihen.	Der gemeinsame Schlusscharakter ist wahrscheinlich DY, nicht PAGE_HOST ch.	.31	WEAK_OPERATION_NUCLEUS
16	3	k	3	5	chkain|kain [9da1b6ac2c929daea697] || kair [22fb87a5a83e5c3fb510] || skar [883a6708116c342cb10b]	ein abgemessener Anteil || der zurücklaufende Strom || gieße das erwärmte Wasser ein	BEMESSENE ODER FLIESSENDE EINHEIT	9da1b6ac2c929daea697:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 22fb87a5a83e5c3fb510:FRAME=NONE;INNER_D=0;RIGHT=air;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 883a6708116c342cb10b:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=s	k verbindet Mengenkarte und zwei Flusskarten; rechte Familie ain/air und Wrapper spezifizieren.	Die Schnittmenge ist schwach und kann reine Recordkohaerenz sein.	.28	WEAK_QUANTITY_FLOW_CANDIDATE
17	3	o	3	6	cho|sho [2cc054357a929df85f64] || cheoar [807591efc3d3f7ddbfab] || ody [97cc9ac109148723c472]	nimm danach den folgenden Zusatz oder Pflanzenteil || gib Weißwein hinzu || lasse es ziehen, bis die Flüssigkeit klar ist	NAECHSTER STOFF/NAECHSTER ZUBEREITUNGSSCHRITT	2cc054357a929df85f64:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch || 807591efc3d3f7ddbfab:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=che || 97cc9ac109148723c472:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	o erscheint als Stoffnahme, Zugabe und DY-geschlossener Ziehschritt; weitere Koordinaten tragen die konkrete Aktion.	Drei Bedeutungen sind zu verschieden fuer einen stabilen semantischen Kern.	.25	WEAK_PROCEDURAL_CORE
18	3	chol	2	3	dchol|schol [d665560c8ff80799a82c] || qotchol [e8a6105b5c3a6220b440]	von diesem abgebildeten Simplex || wende sie warm an	BEZUG AUF SIMPLEX/SEINE ZUBEREITUNG	d665560c8ff80799a82c:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d || e8a6105b5c3a6220b440:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	chol verbindet abgebildeten Simplex und warme Anwendung; Wrapper/frame spezialisieren.	Nur drei Ereignisse, lokaler Bildbezug gegen Prozessaktion.	.25	WEAK_SIMPLEX_REFERENCE
19	4	ain	1	2	dain [53cd0637c6820ba5e91f]	durch ein Tuch	DURCHGANG/ABGEMESSENE EINHEIT UNSICHER	53cd0637c6820ba5e91f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d	ain als PAGE_HOST (dain) getrennt von der gleich geschriebenen RIGHT_FAMILY ain behandeln.	PAGE_HOST-Default 'durch ein Tuch' widerspricht einer simplen Gleichsetzung mit der Masslesung der rechten Familie.	.24	HOMOGRAPHY_WARNING_NOT_STABLE_STEM
20	4	cth	1	1	cthaiin [f3c23f42baf625639e1e]	gib den ausgepressten Saft hinzu	ZUGABE EINES BEMESSENEN STOFFES	f3c23f42baf625639e1e:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	cth+RIGHT_Aiin ist eine einzelne Zugabekarte.	Ein einziges Ereignis; keine interne Familie.	.18	UNPOWERED_SINGLETON_STEM
21	4	ed	3	4	shedal [abb23e5e6936b4147f76] || qotedaiin [1779decef17481ec2853] || cheedar [342c3f0777337648f4b3]	für einen Zeitabschnitt || das breite Gefäß || setze die Person an das Becken	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	abb23e5e6936b4147f76:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=sh || 1779decef17481ec2853:FRAME=OT;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=q || 342c3f0777337648f4b3:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
22	4	d	3	3	chdal [00d8ebe3c68294eeac39] || chodaiin [834825c61d048a6b5628] || chedain [d784b2abcaf1a3703de2]	mit der vorigen Mischung || bewahre diesen Anteil unter Öl || beginne die Spülung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	00d8ebe3c68294eeac39:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=ch || 834825c61d048a6b5628:FRAME=O;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=ch || d784b2abcaf1a3703de2:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
23	4	ee	2	3	qoteedy [ff178343c18e287ce3b7] || sheedy [03626ca94cb17800d767]	binde es auf die Stelle und beende den Schritt || wasche einmal und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	ff178343c18e287ce3b7:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q || 03626ca94cb17800d767:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
24	4	eey	2	3	oteey [5d5e0b288cf36864ed9d] || sheey [92e43836d82f98bf02d3]	das bereitete Öl || die erste Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	5d5e0b288cf36864ed9d:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 92e43836d82f98bf02d3:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
25	4	lched	3	3	lchedar [0f15effeca7ab10bb026] || lchedal [433713294b25b0a12f66] || lched [ba8142680851f24c9ff2]	kühles Wasser || das untere Becken || und gehe zum nächsten Becken weiter	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	0f15effeca7ab10bb026:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 433713294b25b0a12f66:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || ba8142680851f24c9ff2:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
26	4	olk	2	3	olkain|qolkain [94df4847b7b16c98394a] || solkaiin [2d2e37ccb2dacc53ee5a]	das untere Becken || durch ein Tuch	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	94df4847b7b16c98394a:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 2d2e37ccb2dacc53ee5a:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
27	4	cho	2	2	tchody [2e2027b1951d79911e24] || schoal [428a5e3662aa57b4b256]	lasse die geseihte Flüssigkeit offen abkühlen || vom schattigen Waldort	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2e2027b1951d79911e24:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=t || 428a5e3662aa57b4b256:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
28	4	rshe	2	2	rshedy [7f68f60279efe6b28cd7] || rsheal [98bdc4244c84cbef3321]	trinke den angegebenen Anteil und beende den Schritt || gieße das erwärmte Wasser ein	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	7f68f60279efe6b28cd7:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE || 98bdc4244c84cbef3321:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
29	4	yk	2	2	ykain [403c1592f918c8f23b88] || ykaiin [f7dc90b2c31fd341f0a4]	koche das breite Blatt sanft || für den zweiten Arzneigebrauch	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	403c1592f918c8f23b88:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || f7dc90b2c31fd341f0a4:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.16	INVENTORY_ONLY_NO_STEM_CLAIM
30	5	okee	1	10	qokeedy [7d25241b0e56c836372a]	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	7d25241b0e56c836372a:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
31	5	oky	1	10	choky|oky|qoky [276a7c2d74d1143446f4]	Die aktive Portion verwenden	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	276a7c2d74d1143446f4:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
32	5	lche	1	8	lchedy [de7321bface5628e35d6]	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	de7321bface5628e35d6:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
33	5	oke	1	8	qokedy [7db18b2f0fb7ed0fcfd3]	spüle die bezeichnete Stelle einmal und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	7db18b2f0fb7ed0fcfd3:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
34	5	cthy	1	7	checthy|cthy|shcthy [e0b630cb1b5df5e7105b]	Sobald die Zubereitung gebrauchsfertig ist	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	e0b630cb1b5df5e7105b:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
