surface	target_occurrences	target_pages	target_physical_folios	target_registers	h3_right_count	h4_right_count	h3_right_share	h4_right_share	h4_minus_h3_share	h3_raw_rank	h4_raw_rank	h3_surface_equalized_mass	h4_surface_equalized_mass	h3_standardized_mass	h4_standardized_mass	contact_profile	h3_active_predecessor_forms_with_same_body	h4_active_predecessor_forms_with_same_body	semantic_family	candidate_whole_de	field_renderer_de	candidate_confidence	positive_evidence	counterevidence	candidate_source	expected_source_default_de	gdt734_expected_card_default_de	gdt734_same_surface_card_count	gdt734_same_surface_defaults	expected_source_default_matches_gdt734	existing_gdt775_selected	consume_right_token	scope_status	historical_field_type	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
olaiin	4	4	4	B|B|2|H|B|2|P|A|1|S|B|3	0	0	0.000000000	0.000000000	0.000000000	0	0	0	0	0	0	UNSEEN_IN_H3_H4	NONE	NONE	MATERIAL_VALUE	Stoff, Wert III	Materialangabe: Stoff, Wert III	C1	GDT737 later candidate repairs the inherited absolute three-portion reading; four medial targets	amount versus class remains open and old absolute number is unsupported	GDT737	drei Portionen Drogenstoff	drei Portionen Drogenstoff	1	drei Portionen Drogenstoff	1	1	1	EXACT_MEDIAL_OL_SPAN_REVISED	MATERIAL_AND_VALUE	0	0	0	0
r	3	3	3	B|B|2|S|B|3	1	1	0.009803922	0.002857143	-0.006946779	17	61	0.032258065	0.000288351	3.666666667	0.785714286	H3_ENRICHED	NONE	lr	LATE_REFERENCE	Spätbezugsfeld	Spätbezug: folgendes Wertfeld	C0	three medial targets plus GDT737 nested-H3 body candidate and H3 position role; two are followed by ain or aiin and have fused rain or raiin comparators	single-glyph segmentation open; reference versus close remains unresolved; no root or material semantics	GDT737	Wurzel / Wurzeldroge (nur als Kompositionskopf)	Wurzel / Wurzeldroge (nur als Kompositionskopf)	1	Wurzel / Wurzeldroge (nur als Kompositionskopf)	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	REFERENCE_OR_CLOSE	0	0	0	0
al	2	2	2	H|B|2|S|A|3	1	6	0.009803922	0.017142857	0.007338936	17	6	0.008064516	0.009772091	0.500000000	2.436847344	H4_ENRICHED	ral	lal	MATERIAL_VALUE	Rohstoffstufe I	Materialangabe: Rohstoffstufe I	C1	GDT734 exact whole plus GDT736 material-stage body and two medial targets	material versus grade dimension remains open	GDT734+GDT736	Material I	Material I	1	Material I	1	1	1	EXACT_MEDIAL_OL_SPAN	MATERIAL_OR_DEGREE	0	0	0	0
chdy	2	2	2	B|B|2|T|B|2	0	3	0.000000000	0.008571429	0.008571429	0	18	0	0.001732590	0	0.333333333	H4_ENRICHED	NONE	lchdy	DRY_RESULT	trockenes Ergebnis, Grundform	Zustand: trockenes Ergebnis, Grundform	C2	GDT734 exact whole plus GDT736 dry-result body and two medial targets	state versus completed process remains open	GDT734+GDT736	trockene Anfangsstufe erreicht	trockene Anfangsstufe erreicht	1	trockene Anfangsstufe erreicht	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
dain	2	2	2	B|B|2	0	0	0.000000000	0.000000000	0.000000000	0	0	0	0	0	0	UNSEEN_IN_H3_H4	NONE	NONE	VALUE_AMOUNT	Wertslot II	Wert: Stufe II	C0	GDT734 exact whole and two medial targets	new context exceeds named-field scope; dose versus value open	GDT734	Wert II	Wert II	1	Wert II	1	1	1	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0	0	0	0
dy	2	2	2	H|A|1	0	2	0.000000000	0.005714286	0.005714286	0	26	0	0.015212982	0	1.452380952	H4_ENRICHED	NONE	NONE	FIELD_CLOSE	Feldende	[FELDENDE]	C1	two medial targets plus two GDT734 structural whole cards	punctuation, clause close, and work-step boundary remain rivals	GDT734	[STRUKTUR: SATZSCHLUSS]	[STRUKTUR: SATZSCHLUSS]	2	[STRUKTUR: ARBEITSSCHRITT-TRENNER] || [STRUKTUR: SATZSCHLUSS]	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	FIELD_OR_ENTRY_CLOSE	0	0	0	0
kor	2	2	2	H|B|2	0	0	0.000000000	0.000000000	0.000000000	0	0	0	0	0	0	UNSEEN_IN_H3_H4	NONE	NONE	HEATED_PART	heiße Portion	Portion: heiß	C0	GDT734 weak exact whole and two medial targets	heat, portion, and morphology remain weakly grounded	GDT734	heiße Portion	heiße Portion	1	heiße Portion	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	MATERIAL_PART	0	0	0	0
oiin	2	2	2	B|B|2|H|A|1	0	1	0.000000000	0.002857143	0.002857143	0	61	0	0.000700280	0	0.095238095	H4_ENRICHED	NONE	loiin	PREPARATION_FORM	Zubereitungsform, Index III	Zubereitungsform: Index III	C1	GDT734 exact whole plus GDT736 preparation-form body and two medial targets	form versus value dimension remains open	GDT734+GDT736	Zubereitungsform III	Zubereitungsform III	1	Zubereitungsform III	1	1	1	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0	0	0	0
olor	2	2	1	B|B|2	0	0	0.000000000	0.000000000	0.000000000	0	0	0	0	0	0	UNSEEN_IN_H3_H4	NONE	NONE	MATERIAL_PART	Zutatenportion	Zutatenportion	C0	GDT734 exact whole plus high GDT737 body candidate and two medial targets	two targets share one physical folio; ingredient versus generic part open	GDT734+GDT737	Zutat	Zutat	1	Zutat	1	0	1	EXACT_MEDIAL_OL_SPAN_ONE_FOLIO	MATERIAL_PART	0	0	0	0
or	2	2	2	B|B|2	0	1	0.000000000	0.002857143	0.002857143	0	61	0	0.014705882	0	0	H4_ENRICHED	ror	lor	PART_CARRIER	Portionsträger	Portionsträger	C1	GDT734 exact whole plus GDT736 part-carrier body and two medial targets	part versus quantity carrier remains open	GDT734+GDT736	Drogenportion	Drogenportion	1	Drogenportion	1	1	1	EXACT_MEDIAL_OL_SPAN	MATERIAL_PART	0	0	0	0
oteedy	2	2	2	B|B|2	0	2	0.000000000	0.005714286	0.005714286	0	26	0	0.015294118	0	0.339080460	H4_ENRICHED	NONE	NONE	COOLED_PREPARATION	kalter Ansatz, Endform	Zubereitungszustand: kalt, Endform	C0	GDT734 exact whole and two medial targets; recurrent form-family prior	cold state versus cooling process and exact index remain open	GDT734	kalter Ansatz am Ende des Grades	kalter Ansatz am Ende des Grades	1	kalter Ansatz am Ende des Grades	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0	0	0	0
qoky	2	2	2	B|B|2	0	5	0.000000000	0.014285714	0.014285714	0	10	0	0.002895040	0	4.513167388	H4_ENRICHED	NONE	NONE	HEAT_STATE	heiße Anfangsform	Wärmezustand: heiß, Anfangsform	C1	GDT734 strong exact whole and two medial targets	state versus operation remains open	GDT734	heiß am Anfang des Grades	heiß am Anfang des Grades	1	heiß am Anfang des Grades	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0	0	0	0
s	2	2	2	B|B|2|H|A|1	0	1	0.000000000	0.002857143	0.002857143	0	61	0	0.002450980	0	0.095238095	H4_ENRICHED	NONE	NONE	SUBENTRY_OR_AMOUNT_LINK	Unterposten; weiteres Feld folgt	Unterposten: folgendes Feld	C0	two medial targets and the transferred H2 item/subentry position role; GDT759 licenses s as an amount/unit head specifically before value wholes	single-glyph segmentation open; at these two non-value contexts H2 subentry versus distributive or amount linkage is unresolved; retired seed/material-head reading forbidden	GDT736+GDT737+GDT759	Samenposten	Samenposten	1	Samenposten	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	SUBENTRY_OR_AMOUNT_FIELD	0	0	0	0
shey	2	2	2	B|B|2|S|B|3	4	2	0.039215686	0.005714286	-0.033501401	1	26	0.041300098	0.001095335	4.250000000	0.238095238	H3_ENRICHED	rshey	lshey	MOIST_STATE	feuchte Form I	Zustand: feuchte Form I	C1	GDT734 exact whole plus high GDT736/GDT737 moist-state body and two medial targets	moist versus soaked remains unresolved	GDT734+GDT736	feucht in der Mitte des Grades	feucht in der Mitte des Grades	1	feucht in der Mitte des Grades	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0	0	0	0
ydaiin	2	2	2	H|A|1|P|A|1	0	0	0.000000000	0.000000000	0.000000000	0	0	0	0	0	0	UNSEEN_IN_H3_H4	NONE	NONE	REFERENCE_VALUE	Bezugswert III	Bezugswert: Stufe III	C0	GDT734 weak exact whole and two medial targets	reference versus dose/value dimension remain open	GDT734	Bezugswert III	Bezugswert III	1	Bezugswert III	1	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	REFERENCE_OR_VALUE	0	0	0	0
