paragraph	locus	index	raw	D	H	status	U	R	C	row_status
f6v|f6v.6-f6v.21	f6v.10	2	ychear	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	ASSUMED	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	feines Pulver	feines Pulver	ASSUMED	feines Pulver	feines Pulver	feines Pulver	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	mit	mit	ASSUMED	mit	mit	mit	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	Blütenanteil	Blütenanteil	ASSUMED	Blütenanteil	Blütenanteil	Blütenanteil	recorded
f6v|f6v.6-f6v.21	f6v.11	3	otam	Ansatzmasse	Ansatzmasse	ASSUMED	Ansatzmasse	Ansatzmasse	Ansatzmasse	recorded
f6v|f6v.6-f6v.21	f6v.11	4	ctho	Krautmehl	Krautmehl	ASSUMED	Krautmehl	Krautmehl	Krautmehl	recorded
f6v|f6v.6-f6v.21	f6v.11	5	m	danach	danach	ASSUMED	danach	danach	danach	recorded
f6v|f6v.6-f6v.21	f6v.11	6	dy	fertig	fertig	ASSUMED	fertig	fertig	fertig	recorded
f6v|f6v.6-f6v.21	f6v.12	1	ytcho[s:r]	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	UNREAD	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	recorded
f6v|f6v.6-f6v.21	f6v.12	2	shy	feucht	feucht	ASSUMED	feucht	feucht	feucht	recorded
f6v|f6v.6-f6v.21	f6v.12	3	qokam	erwärme	erwärme	ASSUMED	erwärme	erwärme	erwärme	recorded
f6v|f6v.6-f6v.21	f6v.12	4	cthy	Kraut	Kraut	ASSUMED	Kraut	Kraut	Kraut	recorded
f6v|f6v.6-f6v.21	f6v.13	1	yodaiin	weitere Dosis Q	weitere Dosis Q	ASSUMED	weitere Dosis Q	weitere Dosis Q	weitere Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.13	2	cthy	Kraut	Kraut	ASSUMED	Kraut	Kraut	Kraut	recorded
f6v|f6v.6-f6v.21	f6v.13	3	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.13	4	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.13	5	oees	gemischt	gemischt	ASSUMED	gemischt	gemischt	gemischt	recorded
f6v|f6v.6-f6v.21	f6v.13	6	or	Anteil	Anteil	ASSUMED	Anteil	Anteil	Anteil	recorded
f6v|f6v.6-f6v.21	f6v.14	1	qokor	erhitze	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f6v|f6v.6-f6v.21	f6v.14	2	chol	trockne	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f6v|f6v.6-f6v.21	f6v.14	3	cthol	Krautpulver	Krautpulver	ASSUMED	Krautpulver	Krautpulver	Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.14	4	tchalody	fein gesiebt	fein gesiebt	ASSUMED	fein gesiebt	fein gesiebt	fein gesiebt	recorded
f6v|f6v.6-f6v.21	f6v.15	1	chockhy	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	ASSUMED	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	recorded
f6v|f6v.6-f6v.21	f6v.15	2	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.15	3	or	Anteil	Anteil	ASSUMED	Anteil	Anteil	Anteil	recorded
f6v|f6v.6-f6v.21	f6v.15	4	chy	heiß	heiß	ASSUMED	heiß	heiß	heiß	recorded
f6v|f6v.6-f6v.21	f6v.15	5	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.15	6	ain	Maßzahl P	Maßzahl P	ASSUMED	Maßzahl P	Maßzahl P	Maßzahl P	recorded
f6v|f6v.6-f6v.21	f6v.15	7	ar	Teil	Teil	ASSUMED	Teil	Teil	Teil	recorded
f6v|f6v.6-f6v.21	f6v.16	1	ochy	kühle	kühle	ASSUMED	kühle	kühle	kühle	recorded
f6v|f6v.6-f6v.21	f6v.16	2	cthar	kleine Kräuterportion	kleine Kräuterportion	ASSUMED	kleine Kräuterportion	kleine Kräuterportion	kleine Kräuterportion	recorded
f6v|f6v.6-f6v.21	f6v.16	3	cth[a:o]r	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	UNREAD	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	recorded
f6v|f6v.6-f6v.21	f6v.16	4	cthy	Kraut	Kraut	ASSUMED	Kraut	Kraut	Kraut	recorded
f6v|f6v.6-f6v.21	f6v.17	1	y	und	und	ASSUMED	und	und	und	recorded
f6v|f6v.6-f6v.21	f6v.17	2	chaies	weich	weich	ASSUMED	weich	weich	weich	recorded
f6v|f6v.6-f6v.21	f6v.17	3	ckhal	presse aus	presse aus	ASSUMED	presse aus	presse aus	presse aus	recorded
f6v|f6v.6-f6v.21	f6v.17	4	cthodam	Kräuterrückstand	Kräuterrückstand	ASSUMED	Kräuterrückstand	Kräuterrückstand	Kräuterrückstand	recorded
f6v|f6v.6-f6v.21	f6v.17	5	dy	fertig	fertig	ASSUMED	fertig	fertig	fertig	recorded
f6v|f6v.6-f6v.21	f6v.18	1	ytchocthol	benetztes Krautmehl	benetztes Krautmehl	ASSUMED	benetztes Krautmehl	benetztes Krautmehl	benetztes Krautmehl	recorded
f6v|f6v.6-f6v.21	f6v.18	2	ches	stampfe	stampfe	ASSUMED	stampfe	stampfe	stampfe	recorded
f6v|f6v.6-f6v.21	f6v.18	3	{ith}or	[ungelesen: {ith}or]	[ungelesen: {ith}or]	UNREAD	[ungelesen: {ith}or]	[ungelesen: {ith}or]	[ungelesen: {ith}or]	recorded
f6v|f6v.6-f6v.21	f6v.19	1	ocholy	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	ASSUMED	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	recorded
f6v|f6v.6-f6v.21	f6v.19	2	kchos	zerreibe	zerreibe	ASSUMED	zerreibe	zerreibe	zerreibe	recorded
f6v|f6v.6-f6v.21	f6v.19	3	chy	heiß	heiß	ASSUMED	heiß	heiß	heiß	recorded
f6v|f6v.6-f6v.21	f6v.19	4	dor	abgemessene Menge	abgemessene Menge	ASSUMED	abgemessene Menge	abgemessene Menge	abgemessene Menge	recorded
f6v|f6v.6-f6v.21	f6v.20	1	dchor	Blütenportion	Blütenportion	ASSUMED	Blütenportion	Blütenportion	Blütenportion	recorded
f6v|f6v.6-f6v.21	f6v.20	2	choldar	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	ASSUMED	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	recorded
f6v|f6v.6-f6v.21	f6v.20	3	okol	Grundansatz	Grundansatz	ASSUMED	Grundansatz	Grundansatz	Grundansatz	recorded
f6v|f6v.6-f6v.21	f6v.20	4	daiin	Dosis Q	Dosis Q	ASSUMED	Dosis Q	Dosis Q	Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.21	1	ycheor	zum Schluss	zum Schluss	ASSUMED	zum Schluss	zum Schluss	zum Schluss	recorded
f6v|f6v.6-f6v.21	f6v.21	2	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.21	3	octham	bewahre auf	bewahre auf	ASSUMED	bewahre auf	bewahre auf	bewahre auf	recorded
f9v|f9v.5-f9v.12	f9v.5	1	pchor	nimm	nimm	ASSUMED	nimm	nimm	nimm	recorded
f9v|f9v.5-f9v.12	f9v.5	2	ypcheey	[ungelesen: ypcheey]	[ungelesen: ypcheey]	UNREAD	[ungelesen: ypcheey]	[ungelesen: ypcheey]	[ungelesen: ypcheey]	recorded
f9v|f9v.5-f9v.12	f9v.5	3	qotor	kühle ab	kühle ab	ASSUMED	kühle ab	kühle ab	kühle ab	recorded
f9v|f9v.5-f9v.12	f9v.5	4	ypchy	[ungelesen: ypchy]	[ungelesen: ypchy]	UNREAD	[ungelesen: ypchy]	[ungelesen: ypchy]	[ungelesen: ypchy]	recorded
f9v|f9v.5-f9v.12	f9v.5	5	olcfholy	[ungelesen: olcfholy]	[ungelesen: olcfholy]	UNREAD	[ungelesen: olcfholy]	[ungelesen: olcfholy]	[ungelesen: olcfholy]	recorded
f9v|f9v.5-f9v.12	f9v.5	6	t[o:e]	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	UNREAD	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	recorded
f9v|f9v.5-f9v.12	f9v.5	7	ar	Teil	Teil	ASSUMED	Teil	Teil	Teil	recorded
f9v|f9v.5-f9v.12	f9v.5	8	chty	[ungelesen: chty]	[ungelesen: chty]	UNREAD	[ungelesen: chty]	[ungelesen: chty]	[ungelesen: chty]	recorded
f9v|f9v.5-f9v.12	f9v.5	9	daiiin	[ungelesen: daiiin]	[ungelesen: daiiin]	UNREAD	[ungelesen: daiiin]	[ungelesen: daiiin]	[ungelesen: daiiin]	recorded
f9v|f9v.5-f9v.12	f9v.6	1	odol	abgemessene Zubereitung	abgemessene Zubereitung	ASSUMED	abgemessene Zubereitung	abgemessene Zubereitung	abgemessene Zubereitung	recorded
f9v|f9v.5-f9v.12	f9v.6	2	choy	grob	grob	ASSUMED	grob	grob	grob	recorded
f9v|f9v.5-f9v.12	f9v.6	3	ksheody	[ungelesen: ksheody]	[ungelesen: ksheody]	UNREAD	[ungelesen: ksheody]	[ungelesen: ksheody]	[ungelesen: ksheody]	recorded
f9v|f9v.5-f9v.12	f9v.6	4	chody	getrocknetes Material	getrocknetes Material	ASSUMED	getrocknetes Material	getrocknetes Material	getrocknetes Material	recorded
f9v|f9v.5-f9v.12	f9v.6	5	da[in:iin]	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	UNREAD	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	recorded
f9v|f9v.5-f9v.12	f9v.6	6	otchy	[ungelesen: otchy]	[ungelesen: otchy]	UNREAD	[ungelesen: otchy]	[ungelesen: otchy]	[ungelesen: otchy]	recorded
f9v|f9v.5-f9v.12	f9v.6	7	cthod	[ungelesen: cthod]	[ungelesen: cthod]	UNREAD	[ungelesen: cthod]	[ungelesen: cthod]	[ungelesen: cthod]	recorded
f9v|f9v.5-f9v.12	f9v.6	8	yko	[ungelesen: yko]	[ungelesen: yko]	UNREAD	[ungelesen: yko]	[ungelesen: yko]	[ungelesen: yko]	recorded
f9v|f9v.5-f9v.12	f9v.7	1	qo	nimm	nimm	ASSUMED	nimm	nimm	nimm	recorded
f9v|f9v.5-f9v.12	f9v.7	2	chol	trockne	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f9v|f9v.5-f9v.12	f9v.7	3	chol	trockne	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f9v|f9v.5-f9v.12	f9v.7	4	{ct}chy	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	UNREAD	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	recorded
f9v|f9v.5-f9v.12	f9v.7	5	daiin	Dosis Q	Dosis Q	ASSUMED	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.7	6	otal	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	ASSUMED	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.7	7	dor	abgemessene Menge	abgemessene Menge	ASSUMED	abgemessene Menge	abgemessene Menge	abgemessene Menge	recorded
f9v|f9v.5-f9v.12	f9v.7	8	daim	[ungelesen: daim]	[ungelesen: daim]	UNREAD	[ungelesen: daim]	[ungelesen: daim]	[ungelesen: daim]	recorded
f9v|f9v.5-f9v.12	f9v.8	1	soiin	[ungelesen: soiin]	[ungelesen: soiin]	UNREAD	[ungelesen: soiin]	[ungelesen: soiin]	[ungelesen: soiin]	recorded
f9v|f9v.5-f9v.12	f9v.8	2	daiin	Dosis Q	Dosis Q	ASSUMED	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.8	3	qokcho	verarbeite warm	verarbeite warm	ASSUMED	verarbeite warm	verarbeite warm	verarbeite warm	recorded
f9v|f9v.5-f9v.12	f9v.8	4	rokyd	[ungelesen: rokyd]	[ungelesen: rokyd]	UNREAD	[ungelesen: rokyd]	[ungelesen: rokyd]	[ungelesen: rokyd]	recorded
f9v|f9v.5-f9v.12	f9v.8	5	daly	[ungelesen: daly]	[ungelesen: daly]	UNREAD	[ungelesen: daly]	[ungelesen: daly]	[ungelesen: daly]	recorded
f9v|f9v.5-f9v.12	f9v.9	1	daiin	Dosis Q	Dosis Q	ASSUMED	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.9	2	chy	heiß	heiß	ASSUMED	heiß	heiß	heiß	recorded
f9v|f9v.5-f9v.12	f9v.9	3	tor	[ungelesen: tor]	[ungelesen: tor]	UNREAD	[ungelesen: tor]	[ungelesen: tor]	[ungelesen: tor]	recorded
f9v|f9v.5-f9v.12	f9v.9	4	chyty	[ungelesen: chyty]	[ungelesen: chyty]	UNREAD	[ungelesen: chyty]	[ungelesen: chyty]	[ungelesen: chyty]	recorded
f9v|f9v.5-f9v.12	f9v.9	5	dary	[ungelesen: dary]	[ungelesen: dary]	UNREAD	[ungelesen: dary]	[ungelesen: dary]	[ungelesen: dary]	recorded
f9v|f9v.5-f9v.12	f9v.9	6	ytoldy	[ungelesen: ytoldy]	[ungelesen: ytoldy]	UNREAD	[ungelesen: ytoldy]	[ungelesen: ytoldy]	[ungelesen: ytoldy]	recorded
f9v|f9v.5-f9v.12	f9v.10	1	oty	kühl	kühl	ASSUMED	kühl	kühl	kühl	recorded
f9v|f9v.5-f9v.12	f9v.10	2	kchol	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	ASSUMED	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.10	3	chol	trockne	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f9v|f9v.5-f9v.12	f9v.10	4	chy	heiß	heiß	ASSUMED	heiß	heiß	heiß	recorded
f9v|f9v.5-f9v.12	f9v.10	5	kyty	[ungelesen: kyty]	[ungelesen: kyty]	UNREAD	[ungelesen: kyty]	[ungelesen: kyty]	[ungelesen: kyty]	recorded
f9v|f9v.5-f9v.12	f9v.11	1	ychor	nimm	nimm	TARGET_HYPOTHESES	nimm	nimm	nimm	recorded
f9v|f9v.5-f9v.12	f9v.11	2	chshoty	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	ASSUMED	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.11	3	oky	warm	warm	ASSUMED	warm	warm	warm	recorded
f9v|f9v.5-f9v.12	f9v.11	4	kaiin	Wärmestufe Q	Wärmestufe Q	ASSUMED	Wärmestufe Q	Wärmestufe Q	Wärmestufe Q	recorded
f9v|f9v.5-f9v.12	f9v.12	1	chkaiin	[ungelesen: chkaiin]	[ungelesen: chkaiin]	UNREAD	[ungelesen: chkaiin]	[ungelesen: chkaiin]	[ungelesen: chkaiin]	recorded
f9v|f9v.5-f9v.12	f9v.12	2	ckhy	stampfe	stampfe	ASSUMED	stampfe	stampfe	stampfe	recorded
f9v|f9v.5-f9v.12	f9v.12	3	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.1	1	pchodol	[ungelesen: pchodol]	[ungelesen: pchodol]	UNREAD	[ungelesen: pchodol]	[ungelesen: pchodol]	[ungelesen: pchodol]	recorded
f17v|f17v.1-f17v.23	f17v.1	2	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.1	3	pchy	[ungelesen: pchy]	[ungelesen: pchy]	UNREAD	[ungelesen: pchy]	[ungelesen: pchy]	[ungelesen: pchy]	recorded
f17v|f17v.1-f17v.23	f17v.1	4	opydaiin	[ungelesen: opydaiin]	[ungelesen: opydaiin]	UNREAD	[ungelesen: opydaiin]	[ungelesen: opydaiin]	[ungelesen: opydaiin]	recorded
f17v|f17v.1-f17v.23	f17v.1	5	odal	abgemessener Anteil	abgemessener Anteil	ASSUMED	abgemessener Anteil	abgemessener Anteil	abgemessener Anteil	recorded
f17v|f17v.1-f17v.23	f17v.1	6	dy	fertig	fertig	ASSUMED	fertig	fertig	fertig	recorded
f17v|f17v.1-f17v.23	f17v.2	1	ycheey	[ungelesen: ycheey]	[ungelesen: ycheey]	UNREAD	[ungelesen: ycheey]	[ungelesen: ycheey]	[ungelesen: ycheey]	recorded
f17v|f17v.1-f17v.23	f17v.2	2	keeor	Feinauszug	Feinauszug	ASSUMED	Feinauszug	Feinauszug	Feinauszug	recorded
f17v|f17v.1-f17v.23	f17v.2	3	cthodal	[ungelesen: cthodal]	[ungelesen: cthodal]	UNREAD	[ungelesen: cthodal]	[ungelesen: cthodal]	[ungelesen: cthodal]	recorded
f17v|f17v.1-f17v.23	f17v.2	4	okol	Grundansatz	Grundansatz	ASSUMED	Grundansatz	Grundansatz	Grundansatz	recorded
f17v|f17v.1-f17v.23	f17v.2	5	odaiin	zusätzliche Dosis Q	zusätzliche Dosis Q	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.2	6	okal	Ausgangsmaterial	Ausgangsmaterial	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	1	oldaig	[ungelesen: oldaig]	[ungelesen: oldaig]	UNREAD	[ungelesen: oldaig]	[ungelesen: oldaig]	[ungelesen: oldaig]	recorded
f17v|f17v.1-f17v.23	f17v.3	2	odaiin	zusätzliche Dosis Q	zusätzliche Dosis Q	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.3	3	okal	Ausgangsmaterial	Ausgangsmaterial	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	4	oldaiin	[ungelesen: oldaiin]	[ungelesen: oldaiin]	UNREAD	[ungelesen: oldaiin]	[ungelesen: oldaiin]	[ungelesen: oldaiin]	recorded
f17v|f17v.1-f17v.23	f17v.3	5	chockhol	[ungelesen: chockhol]	[ungelesen: chockhol]	UNREAD	[ungelesen: chockhol]	[ungelesen: chockhol]	[ungelesen: chockhol]	recorded
f17v|f17v.1-f17v.23	f17v.3	6	olol	[ungelesen: olol]	[ungelesen: olol]	UNREAD	[ungelesen: olol]	[ungelesen: olol]	[ungelesen: olol]	recorded
f17v|f17v.1-f17v.23	f17v.4	1	kchor	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	ASSUMED	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.4	2	fchol	[ungelesen: fchol]	[ungelesen: fchol]	UNREAD	[ungelesen: fchol]	[ungelesen: fchol]	[ungelesen: fchol]	recorded
f17v|f17v.1-f17v.23	f17v.4	3	cphol	[ungelesen: cphol]	[ungelesen: cphol]	UNREAD	[ungelesen: cphol]	[ungelesen: cphol]	[ungelesen: cphol]	recorded
f17v|f17v.1-f17v.23	f17v.4	4	olcheol	[ungelesen: olcheol]	[ungelesen: olcheol]	UNREAD	[ungelesen: olcheol]	[ungelesen: olcheol]	[ungelesen: olcheol]	recorded
f17v|f17v.1-f17v.23	f17v.4	5	ok[eee:eeee]y	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	UNREAD	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	recorded
f17v|f17v.1-f17v.23	f17v.5	1	ychol	trockne	trockne	ASSUMED	trockne	trockne	trockne	recorded
f17v|f17v.1-f17v.23	f17v.5	2	chol	trockne	erhitze	ASSUMED	erhitze	erhitze	erhitze	recorded
f17v|f17v.1-f17v.23	f17v.5	3	dolcheey	[ungelesen: dolcheey]	[ungelesen: dolcheey]	UNREAD	[ungelesen: dolcheey]	[ungelesen: dolcheey]	[ungelesen: dolcheey]	recorded
f17v|f17v.1-f17v.23	f17v.5	4	tchol	getrockneter Anteil	getrockneter Anteil	ASSUMED	getrockneter Anteil	getrockneter Anteil	getrockneter Anteil	recorded
f17v|f17v.1-f17v.23	f17v.5	5	dar	Teilmenge	Teilmenge	ASSUMED	Teilmenge	Teilmenge	Teilmenge	recorded
f17v|f17v.1-f17v.23	f17v.5	6	ckhy	stampfe	stampfe	ASSUMED	stampfe	stampfe	stampfe	recorded
f17v|f17v.1-f17v.23	f17v.6	1	oekor	[ungelesen: oekor]	[ungelesen: oekor]	UNREAD	[ungelesen: oekor]	[ungelesen: oekor]	[ungelesen: oekor]	recorded
f17v|f17v.1-f17v.23	f17v.6	2	or	Anteil	Anteil	ASSUMED	Anteil	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	3	okaiin	Dosis des Grundansatzes	Dosis des Grundansatzes	ASSUMED	Dosis des Grundansatzes	Dosis des Grundansatzes	Dosis des Grundansatzes	recorded
f17v|f17v.1-f17v.23	f17v.6	4	or	Anteil	Anteil	ASSUMED	Anteil	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	5	otaiin	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	ASSUMED	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.6	6	d	[ungelesen: d]	[ungelesen: d]	UNREAD	[ungelesen: d]	[ungelesen: d]	[ungelesen: d]	recorded
f17v|f17v.1-f17v.23	f17v.7	1	sor	weiterer Bestandteil	weiterer Bestandteil	ASSUMED	weiterer Bestandteil	weiterer Bestandteil	weiterer Bestandteil	recorded
f17v|f17v.1-f17v.23	f17v.7	2	chkeey	zerreibe vollständig	zerreibe vollständig	ASSUMED	zerreibe vollständig	zerreibe vollständig	zerreibe vollständig	recorded
f17v|f17v.1-f17v.23	f17v.7	3	poiis	[ungelesen: poiis]	[ungelesen: poiis]	UNREAD	[ungelesen: poiis]	[ungelesen: poiis]	[ungelesen: poiis]	recorded
f17v|f17v.1-f17v.23	f17v.7	4	cheor	Auszug	Auszug	ASSUMED	Auszug	Auszug	Auszug	recorded
f17v|f17v.1-f17v.23	f17v.7	5	os	zusammen	zusammen	ASSUMED	zusammen	zusammen	zusammen	recorded
f17v|f17v.1-f17v.23	f17v.7	6	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f17v|f17v.1-f17v.23	f17v.7	7	aiin	Maßzahl Q	Maßzahl Q	ASSUMED	Maßzahl Q	Maßzahl Q	Maßzahl Q	recorded
