edition	model	variant	paragraph	mention	form	role	meaning	interpretation	row_status
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	B	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	J	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	R	M	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	B	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	J	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.49:6	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.49:7	s	DISTRIBUTIVE	jeweils	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.49:8	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
ZL3b	C	M	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.49:3	keeor	MATERIAL	Feinauszug	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.49:7	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.52:2	ols	MATERIAL	Endzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	B	f99r|f99r.47-f99r.52	f99r.52:3	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.47:1	tol	MATERIAL	kühles Material [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.47:3	ctheey	MATERIAL	Krautzubereitung	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.48:2	okeol	MATERIAL	warme Flüssigkeit [nominale Qualität: Stoffkonstitution]	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.49:3	keeor	MATERIAL	Feinauszug	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.49:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.49:7	aiin	NUMBER	Maßzahl Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.50:6	sar	DISTRIBUTIVE	je Teil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.50:8	or	AMOUNT	Anteil	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.51:4	dy	STATE	fertig	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
IT2a	U	J	f99r|f99r.47-f99r.52	f99r.51:5	daiin	AMOUNT	Dosis Q	UNCHANGED_NO_NEW_STIR_DURATION_OR_CONTINUATION_BINDING	recorded
