surface	candidate_recipe	candidate_is_truth	gdt523_rank	gdt524_rank	positive_base_count	base_support_rank	base_surface	visible_insert	atom_insert	signature_support	license_bonus	route_trace
kchody	K+CH+O+D_ADDR+Y	YES	2	1	2	1	kchod	y	Y	69	1.021265415	kchod+y=>Y@RIGHT/RIGHT;n=69/72;p=0.952055;r=0.971831;b=1.021265
kchody	K+CH+O+D_ADDR+Y	YES	2	1	2	2	chody	k	K	32	0.952195193	chody+k=>K@LEFT/LEFT;n=32/34;p=0.915493;r=0.941176;b=0.952195
ld	L+D_ADDR	YES	2	1	2	1	d	l	L	43	0.987383798	d+l=>L@LEFT/LEFT;n=43/45;p=0.935484;r=0.955556;b=0.987384
ld	L+D_ADDR	YES	2	1	2	2	l	d	D_ADDR	10	0.707237976	l+d=>D_ADDR@RIGHT/RIGHT;n=10/12;p=0.777778;r=0.833333;b=0.707238
otcheo	OT+CH+E+O	YES	1	1	2	1	cheo	ot	OT	23	0.918991572	cheo+ot=>OT@LEFT/LEFT;n=23/25;p=0.903846;r=0.920000;b=0.918992
otcheo	OT+CH+E+O	YES	1	1	2	2	oteo	ch	CH	38	0.477054849	oteo+ch=>CH@INNER/INNER;n=38/67;p=0.550000;r=0.950000;b=0.477055
qotesy	OT+E+S+Y	YES	1	1	2	1	qotes	y	Y	69	1.021265415	qotes+y=>Y@RIGHT/RIGHT;n=69/72;p=0.952055;r=0.971831;b=1.021265
qotesy	OT+E+S+Y	YES	1	1	2	2	qotey	s	S	7	0.489997177	qotey+s=>S@INNER/INNER;n=7/11;p=0.625000;r=0.777778;b=0.489997
saly	S+AL+Y	YES	1	1	2	1	sal	y	Y	69	1.021265415	sal+y=>Y@RIGHT/RIGHT;n=69/72;p=0.952055;r=0.971831;b=1.021265
saly	S+AL+Y	YES	1	1	2	2	aly	s	S	25	0.661423629	aly+s=>S@LEFT/LEFT;n=25/36;p=0.680000;r=0.925926;b=0.661424
shekair	SH+E+K+AIR	YES	1	1	2	1	kair	she	SH+E	31	0.947874996	kair+she=>SH+E@LEFT/LEFT;n=31/33;p=0.913043;r=0.939394;b=0.947875
shekair	SH+E+K+AIR	YES	1	1	2	2	shek	air	AIR	5	0.613455674	shek+air=>AIR@RIGHT/RIGHT;n=5/6;p=0.785714;r=0.714286;b=0.613456
sheocthy	SH+E+O+CH+T+Y	YES	1	1	2	1	shecthy	o	O	46	0.718556005	shecthy+o=>O@INNER/INNER;n=46/61;p=0.704545;r=0.958333;b=0.718556
sheocthy	SH+E+O+CH+T+Y	YES	1	1	2	2	shocthy	e	E	78	0.626746633	shocthy+e=>E@INNER/INNER;n=78/117;p=0.633065;r=0.975000;b=0.626747
sheod	SH+E+O+D_ADDR	YES	1	1	2	1	shed	o	O	46	0.718556005	shed+o=>O@INNER/INNER;n=46/61;p=0.704545;r=0.958333;b=0.718556
sheod	SH+E+O+D_ADDR	YES	1	1	2	2	sheo	d	D_ADDR	10	0.707237976	sheo+d=>D_ADDR@RIGHT/RIGHT;n=10/12;p=0.777778;r=0.833333;b=0.707238
sheoy	SH+E+O+Y	YES	1	1	2	1	sheo	y	Y	69	1.021265415	sheo+y=>Y@RIGHT/RIGHT;n=69/72;p=0.952055;r=0.971831;b=1.021265
sheoy	SH+E+O+Y	YES	1	1	2	2	shey	o	O	46	0.718556005	shey+o=>O@INNER/INNER;n=46/61;p=0.704545;r=0.958333;b=0.718556
soaiin	S+O+AIIN	YES	1	1	2	1	saiin	o	O	46	0.718556005	saiin+o=>O@INNER/INNER;n=46/61;p=0.704545;r=0.958333;b=0.718556
soaiin	S+O+AIIN	YES	1	1	2	2	oaiin	s	S	25	0.661423629	oaiin+s=>S@LEFT/LEFT;n=25/36;p=0.680000;r=0.925926;b=0.661424
tcheo	T+CH+E+O	YES	1	1	2	1	cheo	t	T	20	0.732944438	cheo+t=>T@LEFT/LEFT;n=20/25;p=0.745455;r=0.909091;b=0.732944
tcheo	T+CH+E+O	YES	1	1	2	2	tcho	e	E	78	0.626746633	tcho+e=>E@INNER/INNER;n=78/117;p=0.633065;r=0.975000;b=0.626747
ykeedar	Y+K+EE+D_ADDR+AR	YES	1	1	2	1	ydar	kee	K+EE	5	0.613455674	ydar+kee=>K+EE@INNER/INNER;n=5/6;p=0.785714;r=0.714286;b=0.613456
ykeedar	Y+K+EE+D_ADDR+AR	YES	1	1	2	2	ykar	eed	EE+D_ADDR	4	0.026085360	ykar+eed=>EE+D_ADDR@INNER/INNER;n=4/10;p=0.346154;r=0.666667;b=0.026085
ykeol	Y+K+E+OL	YES	1	1	2	1	keol	y	Y	54	0.944193401	keol+y=>Y@LEFT/LEFT;n=54/59;p=0.886179;r=0.964286;b=0.944193
ykeol	Y+K+E+OL	YES	1	1	2	2	ykol	e	E	78	0.626746633	ykol+e=>E@INNER/INNER;n=78/117;p=0.633065;r=0.975000;b=0.626747
ykshedy	Y+K+SH+E+DY	YES	1	1	2	1	kshedy	y	Y	54	0.944193401	kshedy+y=>Y@LEFT/LEFT;n=54/59;p=0.886179;r=0.964286;b=0.944193
ykshedy	Y+K+SH+E+DY	YES	1	1	2	2	yshedy	k	K	30	0.577269388	yshedy+k=>K@INNER/INNER;n=30/45;p=0.616162;r=0.937500;b=0.577269
ypches	Y+P+CH+E+S	YES	1	1	2	1	ypch	es	E+S	5	0.474772806	ypch+es=>E+S@RIGHT/RIGHT;n=5/7;p=0.647059;r=0.714286;b=0.474773
ypches	Y+P+CH+E+S	YES	1	1	2	2	ches	yp	Y+P	2	0.155771320	ches+yp=>Y+P@LEFT/LEFT;n=2/4;p=0.454545;r=0.500000;b=0.155771
ytoy	Y+T+O+Y	YES	1	1	2	1	yto	y	Y	69	1.021265415	yto+y=>Y@RIGHT/RIGHT;n=69/72;p=0.952055;r=0.971831;b=1.021265
ytoy	Y+T+O+Y	YES	1	1	2	2	yty	o	O	46	0.718556005	yty+o=>O@INNER/INNER;n=46/61;p=0.704545;r=0.958333;b=0.718556
