statement_id	page	record	owner_noun_de	clean_instruction_de	recoded_family_sequence	packed_recipe_sequence	packed_canonical_card_ids	predicted_cards	attested_packed_cards	unpacked_components	observed_recipe_sequence_after_reveal	observed_card_ids_after_reveal	observed_cards	card_count_delta	exact_recipe_sequence	exact_recipe_multiset	generation_contract
H4-S002	f55v	H4	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	AIIN+Y+CHD+OT+TALAM	AIIN | CHD+Y | UNPACKED(OT) | TALAM	PROC009 | PROC042 | NONE | PROC043	4	3	OT	AIIN | CHD+Y | TALAM	PROC009 | PROC042 | PROC043	3	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H4-S003	f55v	H4	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	PROC044 | PROC045 | NONE | NONE | PROC047	5	3	EE+CHK	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	PROC044 | PROC045 | PROC046 | PROC047	4	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H4-S004	f55v	H4	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	AIIN+AL+OK+Y+OL+T+OR+OR	AIIN | OK+AL | OL+T+Y | OR | OR	PROC009 | PROC048 | PROC049 | PROC016 | PROC016	5	5	NONE	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	PROC009 | PROC048 | PROC049 | PROC016 | PROC019 | PROC050	6	-1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	HO+OR+CH+AL+AIIN+OL+K+OT+OR+CH+Y+AL+OK	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	PROC051 | PROC055 | PROC009 | PROC054 | PROC020 | PROC104	6	6	NONE	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	PROC051 | PROC052 | PROC053 | PROC009 | PROC052 | PROC054 | PROC020 | PROC008 | PROC055	9	-3	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	RESUME_CARD+HO+Y+OK+EE+O+CKH+CH+DY	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	PROC034 | PROC052 | PROC008 | PROC057	4	4	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	PROC034 | PROC056 | PROC008 | PROC057	4	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S003	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	HO+SH+Y+E+K+OK	HO | SH | K+E+Y | UNPACKED(OK)	PROC052 | PROC058 | PROC059 | NONE	4	3	OK	SH | HO | K+E+Y | OK+OK+Y	PROC058 | PROC052 | PROC059 | PROC060	4	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S004	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	Y+OK+E+O+OK+CH+AL+K	OK+Y | OK+CH+E+O | K+AL	PROC008 | PROC061 | PROC062	3	3	NONE	OK+Y | OK+CH+E+O | K+AL	PROC011 | PROC061 | PROC062	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	HO+CTH+Y+OK+HO+AR+K+OT+AIN+O	HO | UNPACKED(CTH) | OK+Y | K+HO+AR | OT+O+AIN	PROC052 | NONE | PROC008 | PROC063 | PROC064	5	4	CTH	HO | OK+Y | K+HO+AR | OT+O+AIN	PROC052 | PROC011 | PROC063 | PROC064	4	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H5-S006	f56r	H5	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	OT+Y+E+OL+K+AIIN	OT+Y | K+E+OL | AIIN	PROC065 | PROC066 | PROC009	3	3	NONE	OT+Y | K+E+OL | AIIN	PROC065 | PROC066 | PROC009	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	E+OK+DY	OK+E+DY	PROC067	1	1	NONE	OK+E+DY	PROC067	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	AIIN+OK+AIR+K+AL+AR+OL+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY	OK+AIIN | K+AIR | AL | AR | OL | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	PROC038 | PROC068 | PROC055 | PROC003 | PROC013 | PROC156 | PROC070 | PROC071 | PROC072 | PROC022 | PROC073 | PROC009 | PROC092 | NONE | PROC076	15	14	CKH	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	PROC038 | PROC068 | PROC048 | PROC003 | PROC013 | PROC069 | PROC070 | PROC055 | PROC013 | PROC071 | PROC072 | PROC022 | PROC013 | PROC073 | PROC009 | PROC074 | PROC009 | PROC075 | PROC076	19	-4	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	OL+SH+K+CHD+DY	OL | SH+K+CHD+DY	PROC013 | PROC077	2	2	NONE	OL | SH+K+CHD+DY	PROC013 | PROC077	2	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Y+CHD+OL+SHED+DY	CHD+Y | OL | SHED+DY	PROC042 | PROC013 | PROC078	3	3	NONE	CHD+Y | OL | SHED+DY	PROC042 | PROC013 | PROC078	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	OL+CHD+DY	OL+CHD+DY	PROC079	1	1	NONE	OL+CHD+DY	PROC079	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	AIN+OK+Y+CKH+L+AL+R	OK+AIN | L+CKH+Y | R+AL	PROC080 | PROC101 | PROC081	3	3	NONE	OK+AIN | CKH+Y | L | R+AL	PROC080 | PROC075 | PROC072 | PROC081	4	-1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	OK+CHD+DY	OK+CHD+DY	PROC082	1	1	NONE	OK+CHD+DY	PROC082	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	Y+OL+E+CHK+OL+SHED+DY	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	PROC019 | PROC093 | NONE | PROC013 | PROC078	5	4	CHK	Y | OL | CHK+E+Y | OL | SHED+DY	PROC019 | PROC013 | PROC083 | PROC013 | PROC078	5	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	E+OK+DY	OK+E+DY	PROC067	1	1	NONE	OK+E+DY	PROC067	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	E+OK+DY	OK+E+DY	PROC067	1	1	NONE	OK+E+DY	PROC067	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	Y+CKH+OK	CKH+Y | UNPACKED(OK)	PROC075 | NONE	2	1	OK	CKH+Y | OK+Y	PROC075 | PROC008	2	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	O+LSH+Y+E+OK+E+LSH+DY	LSH+O | OK+E+Y | LSH+E+DY	PROC084 | PROC085 | PROC086	3	3	NONE	LSH+O | OK+E+Y | LSH+E+DY	PROC084 | PROC085 | PROC086	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	E+LSH+DY	LSH+E+DY	PROC086	1	1	NONE	LSH+E+DY	PROC086	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	Y+CHD+SOLK+SH+AL+L+CHD+OL+OT+AR	CHD+Y | UNPACKED(SOLK) | SH | L+CHD+AL | OL | OT+AR	PROC042 | NONE | PROC058 | PROC088 | PROC013 | PROC089	6	5	SOLK	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	PROC042 | PROC087 | PROC088 | PROC013 | PROC089	5	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	E+Y+T+OK+CHD+DY	E+T+Y | OK+CHD+DY	PROC010 | PROC082	2	2	NONE	T+E+Y | OK+CHD+DY	PROC090 | PROC091	2	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	AL+OK+EE+Y+OK+OL+SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	PROC048 | PROC092 | PROC013 | PROC078	4	4	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	PROC048 | PROC092 | PROC013 | PROC078	4	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	AL+E+OL+CHD+DY	AL | E+OL | CHD+DY	PROC055 | PROC093 | PROC076	3	3	NONE	AL | E+OL | CHD+DY	PROC055 | PROC093 | PROC094	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	Y+L+E+OL+SH+O+IIN+EE+SOLK+SH+DY	L+Y | SH+E+OL | O+IIN | UNPACKED(EE) | UNPACKED(SOLK) | SH | UNPACKED(DY)	PROC095 | PROC096 | PROC097 | NONE | NONE | PROC058 | NONE	7	4	EE+SOLK+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	PROC095 | PROC096 | PROC097 | PROC098	4	3	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	SHED+DY	SHED+DY	PROC078	1	1	NONE	SHED+DY	PROC078	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	E+Y+CHK+E+CKH+SH+DY	CHK+E+Y | SH+CKH+E+DY	PROC083 | PROC099	2	2	NONE	CHK+E+Y | SH+CKH+E+DY	PROC083 | PROC099	2	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	AL	AL	PROC055	1	1	NONE	AL	PROC055	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	CHD+DY	CHD+DY	PROC076	1	1	NONE	CHD+DY	PROC076	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	OL+CHD+DY	OL+CHD+DY	PROC079	1	1	NONE	OL+CHD+DY	PROC079	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	AIN+OK+Y+EE+OK+DY	OK+AIN | Y | OK+EE+DY	PROC080 | PROC019 | PROC100	3	3	NONE	OK+AIN | Y | OK+EE+DY	PROC080 | PROC019 | PROC100	3	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	AL+OK+Y+CKH+L+CHD+EE+OK+OT+E+CKH+L+DY	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(OT) | L+CKH+E+DY	PROC048 | PROC075 | PROC102 | NONE | NONE | NONE | PROC103	7	4	EE+OK+OT	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	PROC048 | PROC101 | PROC102 | PROC092 | PROC103	5	2	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	Y+AL+OK+AIIN+SOLK+SH+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY	OK+AL+Y | SOLK+AIIN | SH | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	PROC104 | PROC105 | PROC058 | NONE | PROC038 | PROC106 | NONE | NONE | PROC108	9	6	CKH+EE+CHK	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	PROC104 | PROC105 | PROC075 | PROC038 | PROC038 | PROC106 | PROC107 | PROC108	8	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	OT+EE+Y+AL+OK+E+CKH+SH+OK	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	PROC109 | PROC048 | NONE | NONE | PROC058 | NONE	6	3	E+CKH+OK	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	PROC109 | PROC048 | PROC110 | PROC008	4	2	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	E+SH+DY	SH+E+DY	PROC111	1	1	NONE	SH+E+DY	PROC111	1	0	YES	YES	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
