statement_id	page	record	predicted_cards	observed_cards	card_count_delta	unpacked_components	packed_recipe_sequence	observed_recipe_sequence	repair_class
H4-S002	f55v	H4	4	3	1	OT	AIIN | CHD+Y | UNPACKED(OT) | TALAM	AIIN | CHD+Y | TALAM	SEMANTIC_CUE_GAP
H4-S003	f55v	H4	5	4	1	EE+CHK	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	SEMANTIC_CUE_GAP
H4-S004	f55v	H4	5	6	-1	NONE	AIIN | OK+AL | OL+T+Y | OR | OR	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	ALTERNATIVE_ATTESTED_PACKING
H5-S001	f56r	H5	6	9	-3	NONE	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	ALTERNATIVE_ATTESTED_PACKING
H5-S002	f56r	H5	4	4	0	NONE	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	ALTERNATIVE_ATTESTED_PACKING
H5-S003	f56r	H5	4	4	0	OK	HO | SH | K+E+Y | UNPACKED(OK)	SH | HO | K+E+Y | OK+OK+Y	SEMANTIC_CUE_GAP
H5-S005	f56r	H5	5	4	1	CTH	HO | UNPACKED(CTH) | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	SEMANTIC_CUE_GAP
B1-S002	f81v	B1	15	19	-4	CKH	OK+AIIN | K+AIR | AL | AR | OL | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	SEMANTIC_CUE_GAP
B1-S006	f81v	B1	3	4	-1	NONE	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	ALTERNATIVE_ATTESTED_PACKING
B1-S008	f81v	B1	5	5	0	CHK	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	SEMANTIC_CUE_GAP
B1-S011	f81v	B1	2	2	0	OK	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y	SEMANTIC_CUE_GAP
B1-S014	f81v	B1	6	5	1	SOLK	CHD+Y | UNPACKED(SOLK) | SH | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	SEMANTIC_CUE_GAP
B1-S015	f81v	B1	2	2	0	NONE	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	ALTERNATIVE_ATTESTED_PACKING
B1-S018	f81v	B1	7	4	3	EE+SOLK+DY	L+Y | SH+E+OL | O+IIN | UNPACKED(EE) | UNPACKED(SOLK) | SH | UNPACKED(DY)	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	SEMANTIC_CUE_GAP
B2-S004	f82r	B2	7	5	2	EE+OK+OT	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(OT) | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	SEMANTIC_CUE_GAP
B2-S005	f82r	B2	9	8	1	CKH+EE+CHK	OK+AL+Y | SOLK+AIIN | SH | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	SEMANTIC_CUE_GAP
B2-S006	f82r	B2	6	4	2	E+CKH+OK	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	SEMANTIC_CUE_GAP
B2-S010	f82r	B2	3	4	-1	NONE	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	ALTERNATIVE_ATTESTED_PACKING
B2-S012	f82r	B2	11	8	3	EE+E+CTH+EE+OK+EE	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | SH | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	SEMANTIC_CUE_GAP
B2-S016	f82r	B2	10	8	2	EE+E+OK	AL | L+CHD+AR | CH+E+S | AIIN | Y | UNPACKED(EE) | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	SEMANTIC_CUE_GAP
B3-S001	f83r	B3	4	1	3	EE+SOLK+DY	UNPACKED(EE) | UNPACKED(SOLK) | SH | UNPACKED(DY)	SOLK+EE+DY	SEMANTIC_CUE_GAP
B3-S003	f83r	B3	3	4	-1	NONE	Y | OT+AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	ALTERNATIVE_ATTESTED_PACKING
B3-S004	f83r	B3	4	3	1	NONE	OK+AIIN | OT+AL | AR | OL	OK+AIIN | OT+AL | AR	ALTERNATIVE_ATTESTED_PACKING
B3-S011	f83r	B3	4	4	0	OK+CHD	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	SEMANTIC_CUE_GAP
B3-S013	f83r	B3	4	4	0	NONE	OK+AIIN | K+AIN | SH+E+CTH+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	ALTERNATIVE_ATTESTED_PACKING
B3-S021	f83r	B3	11	11	0	SHED+CTH	OK+AIIN | CTH+Y | SH | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | SH | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	SEMANTIC_CUE_GAP
B3-S026	f83r	B3	11	7	4	CTH+EE+SOLK+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | SH | AL+R+OR | UNPACKED(EE) | UNPACKED(SOLK) | SH | UNPACKED(DY)	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	SEMANTIC_CUE_GAP
B3-S030	f83r	B3	4	4	0	NONE	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	ALTERNATIVE_ATTESTED_PACKING
B3-S032	f83r	B3	5	5	0	DY	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	SEMANTIC_CUE_GAP
B3-S034	f83r	B3	8	6	2	T	O+IIN | CTH+Y | SH | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	SEMANTIC_CUE_GAP
B4-S002	f83r	B4	3	3	0	NONE	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	ALTERNATIVE_ATTESTED_PACKING
B4-S003	f83r	B4	6	7	-1	NONE	CHD+Y | OT+AL | OK+EE+Y | OK+OL | OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	ALTERNATIVE_ATTESTED_PACKING
B4-S008	f83r	B4	4	4	0	EE	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	SEMANTIC_CUE_GAP
B4-S014	f83r	B4	4	4	0	NONE	OR | O+CKH+E+Y | SH | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	ALTERNATIVE_ATTESTED_PACKING
B4-S015	f83r	B4	8	6	2	E+SOLK	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | SH | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	SEMANTIC_CUE_GAP
B4-S016	f83r	B4	4	4	0	NONE	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	ALTERNATIVE_ATTESTED_PACKING
B5-S003	f83r	B5	8	9	-1	NONE	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	ALTERNATIVE_ATTESTED_PACKING
B6-S001	f83r	B6	9	9	0	E+R	SOLK+EE+Y | SH | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	SEMANTIC_CUE_GAP
