component_bag	canonical_recipe	canonical_card_id	canonical_events	alternative_recipes	exact_cards_with_bag	packing_rule
E+T+Y	E+T+Y	PROC010	1	T+E+Y	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EEE+T+Y	EEE+T+Y	PROC149	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+HO+Y	HO+AL+Y	PROC053	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+HO+OR	HO+CH+OR	PROC051	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+K+OL	K+E+OL	PROC066	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+K+Y	K+E+Y	PROC059	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+HO+K	K+HO+AR	PROC063	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+L+OR	L+AL+OR	PROC173	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+L+Y	L+CH+Y	PROC116	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CHD+L	L+CHD+AL	PROC088	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+CHD+L	L+CHD+AR	PROC123	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+L	L+CHD+DY	PROC120	8	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+L+Y	L+CKH+Y	PROC101	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+L+Y	L+EE+Y	PROC118	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+LSH	LSH+E+DY	PROC086	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+OK+Y	OK+AL+Y	PROC104	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+OK	OK+CHD+DY	PROC082	3	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+OK	OK+E+DY	PROC067	8	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+OK+Y	OK+E+Y	PROC085	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+EE+OK	OK+EE+AL	PROC074	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+EE+OK	OK+EE+DY	PROC100	10	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+OK+OL	OK+EE+OL	PROC158	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+OK+Y	OK+EE+Y	PROC092	7	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+EEE+OK	OK+EEE+DY	PROC119	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OK+OK+Y	OK+OK+Y	PROC060	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+OL+Y	OL+AL+Y	PROC153	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+OL	OL+CHD+DY	PROC079	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+K+OL	OL+K+AIN	PROC070	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+T+Y	OL+T+Y	PROC049	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+OL+OT	OT+CH+OL	PROC012	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+OR+OT	OT+CH+OR	PROC020	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+OT	OT+CHD+DY	PROC145	2	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+E+OT	OT+E+AIIN	PROC152	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+OT	OT+E+DY	PROC135	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+EE+OT	OT+EE+DY	PROC129	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+OT+Y	OT+EE+Y	PROC109	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+O+OT	OT+O+AIN	PROC064	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CHD+P	P+CHD+AL	PROC134	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+P	P+CHD+DY	PROC125	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+R+Y	R+AL+Y	PROC172	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+R+SHED	R+SHED+DY	PROC128	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+SH	SH+E+DY	PROC111	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+OL+SH	SH+E+OL	PROC096	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+SH+Y	SH+E+Y	PROC122	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+EE+SH	SH+EE+DY	PROC139	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+SH+Y	SH+EE+Y	PROC031	4	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+O+SH	SH+O+AL	PROC027	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+SH+Y	SH+Y+AIIN	PROC029	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+SOLK+Y	SOLK+E+Y	PROC164	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+EE+SOLK	SOLK+EE+DY	PROC098	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
EE+SOLK+Y	SOLK+EE+Y	PROC170	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+SH+T	T+SH+OL	PROC026	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+K+Y	Y+K+AIIN	PROC044	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+K+Y	Y+K+AIN	PROC039	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AN+K+Y	Y+K+AN	PROC040	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+CH+E+O	CH+E+O+AR	PROC045	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+E+K+Y	E+K+E+Y	PROC171	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+DY+E+L	L+CKH+E+DY	PROC103	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+K+L	L+K+E+DY	PROC159	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+L+O	L+O+CHD+DY	PROC130	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+E+O+Y	O+CKH+E+Y	PROC161	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+E+O+OL	O+CTH+E+OL	PROC106	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+O+OL+Y	O+CTH+OL+Y	PROC018	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
K+O+OR+Y	O+Y+K+OR	PROC023	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+E+O+OK	OK+CH+E+O	PROC061	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+OK+SH	OK+SH+E+DY	PROC141	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+LD+OK+Y	OK+Y+LD+DY	PROC155	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+E+OL+SH	OL+SH+E+DY	PROC114	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+E+R+SH	R+SH+E+AL	PROC126	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+DY+E+SH	SH+CKH+E+DY	PROC099	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CKH+E+SH	SH+E+CKH+AL	PROC073	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+E+SH+Y	SH+E+CKH+Y	PROC110	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+E+SH+Y	SH+E+CTH+Y	PROC143	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY+K+SH	SH+K+CHD+DY	PROC077	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+DY+O+T	T+CH+O+DY	PROC032	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+E+OR+Y	Y+CH+E+OR	PROC015	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+CKH+DY+EE+O	CH+EE+CKH+O+DY	PROC057	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+OL+OT+T+Y	OT+Y+T+CH+OL	PROC007	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+CTH+E+SH+Y	SH+E+CTH+CHD+Y	PROC136	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
O+SH+T+Y+Y	SH+O+Y+T+Y	PROC033	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
