feature_class_id	feature_signature	contacts	targets	member_contact_ids_audit_only	member_dispatch_ids_audit_only	gdt741_role_patterns	gdt742_role_patterns	new_carrier_promotions	class_status	repeated_feature_class	literal_plaintext_claimed
G742-K11	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=CONFLICT;carrier_continuity=NONE	2	2	G740-C0020|G740-C0062	G739-D0038|G739-D0128	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
G742-K12	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=NONE;carrier_continuity=PARTIAL	1	1	G740-C0044	G739-D0079	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K13	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=1;intervening_another_gdt738_target=0;middle_barrier=STRICT_HEAD;axis_continuity=NONE;carrier_continuity=FULL_WANTED	1	1	G740-C0007	G739-D0015	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K14	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=CONFLICT;carrier_continuity=NONE	2	2	G740-C0077|G740-C0095	G739-D0145|G739-D0192	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
G742-K15	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0078	G739-D0151	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K16	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=PARTIAL;carrier_continuity=FULL_WANTED	1	1	G740-C0041	G739-D0075	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K17	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=PARTIAL;carrier_continuity=NONE	1	1	G740-C0022	G739-D0040	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K18	selected_roles=AXIS+CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=PROCESS_OR_PASS;axis_continuity=PARTIAL;carrier_continuity=NONE	1	1	G740-C0092	G739-D0184	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K19	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=0;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=UNKNOWN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0026	G739-D0048	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K20	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0045	G739-D0080	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K21	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=CONFLICT;carrier_continuity=NONE	1	1	G740-C0102	G739-D0201	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K22	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=CONFLICT;carrier_continuity=NONE	1	1	G740-C0039	G739-D0068	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K23	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=FULL_WANTED	2	2	G740-C0074|G740-C0086	G739-D0143|G739-D0164	A0C0	A0C1	2	REPEATED_ROLE_SEPARATION_PROMOTION	1	0
G742-K24	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0087	G739-D0166	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K25	selected_roles=AXIS+CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=PARTIAL	1	1	G740-C0032	G739-D0062	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K26	selected_roles=CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=CONFLICT;carrier_continuity=NONE	1	1	G740-C0057	G739-D0116	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K27	selected_roles=CARRIER;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0069	G739-D0137	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K28	selected_roles=CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=0;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=UNKNOWN;axis_continuity=NONE;carrier_continuity=NONE	2	2	G740-C0058|G740-C0088	G739-D0122|G739-D0169	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
G742-K29	selected_roles=CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=0;intervening_emits_own_unit=1;intervening_strict_initial_head=1;intervening_another_gdt738_target=0;middle_barrier=UNKNOWN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0052	G739-D0094	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K30	selected_roles=CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=CONFLICT;carrier_continuity=NONE	1	1	G740-C0048	G739-D0088	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K31	selected_roles=CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=FULL_WANTED	1	1	G740-C0061	G739-D0126	A0C1	A0C1	0	ACTIVE_STRICT_CLASS	0	0
G742-K32	selected_roles=CARRIER;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	2	2	G740-C0030|G740-C0064	G739-D0059|G739-D0134	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
