surface	side	occurrences	pages	fused_occurrences	separate_occurrences	cross_mode	core_quality_occurrences	known_part_role	known_part_status	example_loci
cheokchet	LEFT	1	1	0	1	0	0	OPEN	OPEN	f49v.38
cheor	LEFT	1	1	0	1	0	1	OPEN	OPEN	f15v.11
cheotol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f5v.5
chey	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f83r.54
chk	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f23r.2
chkal	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f107v.2
chockhol	RIGHT	1	1	1	0	0	0	OPEN	OPEN	f17v.3
chockhy	LEFT	1	1	0	1	0	1	OPEN	OPEN	f99v.12
chocthy	LEFT	1	1	0	1	0	1	OPEN	OPEN	f20v.10
chod	LEFT	1	1	0	1	0	1	OPEN	OPEN	f18v.7
chokain	LEFT	1	1	0	1	0	1	OPEN	OPEN	f47r.4
chol	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f24r.18
choldar	LEFT	1	1	0	1	0	1	OPEN	OPEN	f6v.20
cholor	LEFT	1	1	0	1	0	1	OPEN	OPEN	f10r.8
choly	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f58v.6
chr	LEFT	1	1	0	1	0	0	OPEN	OPEN	f111r.13
chy	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f20v.10
ckhear	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f25v.4
ckhey	LEFT	1	1	0	1	0	1	OPEN	OPEN	f47r.3
ckhy	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f37r.11
cpheodar	LEFT	1	1	1	0	0	1	OPEN	OPEN	f102r1.3
cpho	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f32v.10
daiinol	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f19r.12
daiiny	LEFT	1	1	0	1	0	1	OPEN	OPEN	f2r.7
daim	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f51r.9
daly	LEFT	1	1	0	1	0	1	OPEN	OPEN	f44v.2
dam	LEFT	1	1	0	1	0	1	OPEN	OPEN	f23r.2
dar	LEFT	1	1	0	1	0	0	OPEN	OPEN	f85r1.26
dckhy	LEFT	1	1	0	1	0	0	OPEN	OPEN	f107v.2
dodyd	RIGHT	1	1	1	0	0	1	OPEN	OPEN	f55v.1
dol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f93r.21
dsheey	LEFT	1	1	1	0	0	1	OPEN	OPEN	f8r.9
dy	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f49v.38
dykeor	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f102r1.15
ekey	LEFT	1	1	0	1	0	1	OPEN	OPEN	f102r1.5
fchod	RIGHT	1	1	1	0	0	1	OPEN	OPEN	f100r.22
folshody	LEFT	1	1	1	0	0	1	OPEN	OPEN	f100r.22
g	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f23r.2
kchdal	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f47r.4
kchol	LEFT	1	1	0	1	0	0	OPEN	OPEN	f22r.10
kchor	LEFT	1	1	0	1	0	1	OPEN	OPEN	f25v.3
kchy	LEFT	1	1	0	1	0	1	OPEN	OPEN	f15r.14
keol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f35v.19
octhody	RIGHT	1	1	1	0	0	0	OPEN	OPEN	f89v1.5
okaiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f17r.11
okchey	LEFT	1	1	0	1	0	1	OPEN	OPEN	f28r.8
okcho	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f47r.9
okol	LEFT	1	1	0	1	0	0	OPEN	OPEN	f45v.2
ol	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f81r.22
olaiin	LEFT	1	1	0	1	0	0	OPEN	OPEN	f40r.9
olchy	LEFT	1	1	0	1	0	0	OPEN	OPEN	f14r.3
olol	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f14r.3
olshly	LEFT	1	1	0	1	0	1	OPEN	OPEN	f22v.14
opshol	RIGHT	1	1	1	0	0	0	OPEN	OPEN	f95r1.1
opy	LEFT	1	1	0	1	0	0	OPEN	OPEN	f9v.1
opykey	LEFT	1	1	1	0	0	0	OPEN	OPEN	f88v.15
or	LEFT	1	1	0	1	0	1	OPEN	OPEN	f102r1.15
oraiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f85r2.4
otaiin	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f36v.2
otain	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f79v.35
otedy	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f81r.10
otol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f28v.5
otshor	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f23v.6
oty	LEFT	1	1	0	1	0	1	OPEN	OPEN	f15v.8
otykol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f51v.6
qkeeody	LEFT	1	1	0	1	0	1	OPEN	OPEN	f100r.25
qkol	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f102v1.13
qo	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f5v.3
qoaiin	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f45r.3
qocheor	LEFT	1	1	0	1	0	1	OPEN	OPEN	f3r.3
qockhor	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f53v.4
qokaiiin	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f29r.6
qokcho	LEFT	1	1	0	1	0	1	OPEN	OPEN	f25v.4
qokeeey	LEFT	1	1	0	1	0	1	OPEN	OPEN	f96r.8
qokeom	LEFT	1	1	0	1	0	1	OPEN	OPEN	f3r.16
qokol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f104v.11
qokol	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f18v.7
qokor	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f19v.10
qol	LEFT	1	1	0	1	0	0	OPEN	OPEN	f81r.22
qopchypcho	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f9v.1
qopol	LEFT	1	1	1	0	0	0	OPEN	OPEN	f89v1.5
qotcho	LEFT	1	1	0	1	0	0	OPEN	OPEN	f29v.7
qotchy	LEFT	1	1	0	1	0	0	OPEN	OPEN	f35r.14
qoteody	RIGHT	1	1	1	0	0	0	OPEN	OPEN	f88v.15
qotol	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f19v.3
qoty	LEFT	1	1	0	1	0	0	OPEN	OPEN	f2v.2
qoty	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f28v.4
s	LEFT	1	1	0	1	0	1	OPEN	OPEN	f49v.26
s	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f25v.2
sar	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f88r.8
shcfho	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f25v.3
shcthy	LEFT	1	1	0	1	0	1	OPEN	OPEN	f44v.3
shcthy	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f93r.21
sheaiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f47r.1
sheeos	LEFT	1	1	1	0	0	0	OPEN	OPEN	f89r1.6
shekor	LEFT	1	1	0	1	0	0	OPEN	OPEN	f88r.8
sheol	LEFT	1	1	0	1	0	0	OPEN	OPEN	f28v.4
sheor	LEFT	1	1	0	1	0	1	OPEN	OPEN	f49r.14
sheoty	LEFT	1	1	1	0	0	1	OPEN	OPEN	f49r.6
shey	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f111r.13
shkshy	LEFT	1	1	0	1	0	1	OPEN	OPEN	f23v.6
shodaiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f2r.5
shody	LEFT	1	1	0	1	0	1	OPEN	OPEN	f16r.8
shody	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f7r.7
shs	LEFT	1	1	1	0	0	0	OPEN	OPEN	f34v.9
shtaiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f4v.11
sody	RIGHT	1	1	1	0	0	0	OPEN	OPEN	f102r1.17
sol	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f23v.7
soleeg	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f3r.16
toiin	LEFT	1	1	0	1	0	0	OPEN	OPEN	f102v1.13
ty	LEFT	1	1	0	1	0	1	OPEN	OPEN	f14v.2
ycheol	LEFT	1	1	0	1	0	1	OPEN	OPEN	f24r.18
yd	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f37r.4
ykaiin	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f29v.7
ykchor	LEFT	1	1	0	1	0	0	OPEN	OPEN	f19r.12
ykoiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f5v.4
ytchaiin	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f2r.5
ytchoky	LEFT	1	1	0	1	0	1	OPEN	OPEN	f11r.2
yto	LEFT	1	1	0	1	0	1	OPEN	OPEN	f37v.23
