complete_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	written_carrier_count	written_carrier_roots	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt599_complete_clause_de	gdt599_new_completion
17	1740	G407-S085	2	f75r	ACTION:G407-E1440@1:OK	G407-E1440	RUNNING:G407-E1440@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	AIN	PORTION	Anwendungsportion	die Anwendungsportion	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1440@1:OK	Beschicke oder bereite die Anwendungsportion vor	Beschicke oder bereite die Anwendungsportion vor	YES
18	1741	G407-S085	3	f75r	ACTION:G407-E1441@1:CH	G407-E1441	RUNNING:G407-E1441@1	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	3	OR+Y+Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1441@1:CH	Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab	Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab	YES
19	1742	G407-S085	4	f75r	ACTION:G407-E1444@1:K	G407-E1444	RUNNING:G407-E1444@1	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	AIN	PORTION	Anwendungsportion	die Anwendungsportion	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1444@1:K	Führe die Anwendungsportion zu	Führe die Anwendungsportion zu	YES
20	1743	G407-S085	5	f75r	ACTION:G407-E1445@1:SH	G407-E1445	RUNNING:G407-E1445@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	0	NONE	PORTION	Anwendungsportion	dieselbe Anwendungsportion	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E1445:RUNNING:G407-E1444@2	Halte im Bad auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	NO
21	1744	G407-S085	6	f75r	ACTION:G407-E1445@3:K	G407-E1445	RUNNING:G407-E1445@3	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1445@3:K	Führe den Stationsansatz zu	Führe den Stationsansatz zu	YES
22	1745	G407-S085	7	f75r	ACTION:G407-E1446@2:T	G407-E1446	RUNNING:G407-E1446@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	1	AIN	PORTION	Anwendungsportion	die Anwendungsportion	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1446@2:T	Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung	Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung	NO
23	1747	G407-S085	9	f75r	ACTION:G407-E1447@2:K	G407-E1447	RUNNING:G407-E1447@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	OR	UNIT	Becken- oder Körpereinheit	die Becken- oder Körpereinheit	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1447@2:K	Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu	YES
24	1748	G407-S085	10	f75r	ACTION:G407-E1449@2:CH	G407-E1449	RUNNING:G407-E1449@2	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T04_RIGHT_SAME_EVENT_WRITTEN	Q02_RIGHT_DEFINITE	DEFINITE	ACTION:G407-E1449@3:K	Entnimm oder lass im zweiten Durchgang ab	Entnimm oder lass den Stationsansatz im zweiten Durchgang ab	YES
25	1749	G407-S085	11	f75r	ACTION:G407-E1449@3:K	G407-E1449	RUNNING:G407-E1449@3	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1449@3:K	Führe den Stationsansatz zu	Führe den Stationsansatz zu	YES
26	1750	G407-S085	12	f75r	ACTION:G407-E1450@2:K	G407-E1450	RUNNING:G407-E1450@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1449@3:K	Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu	Führe denselben Stationsansatz in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu	YES
27	1751	G407-S085	13	f75r	ACTION:G407-E1451@2:K	G407-E1451	RUNNING:G407-E1451@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	2	Y+Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1451@2:K	Führe den Stationsansatz auf Grad II zu	Führe den Stationsansatz auf Grad II zu	YES
28	1752	G407-S085	14	f75r	ACTION:G407-E1452@2:SH	G407-E1452	RUNNING:G407-E1452@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1452:RUNNING:G407-E1452@4	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO
29	1753	G407-S085	15	f75r	ACTION:G407-E1453@1:K	G407-E1453	RUNNING:G407-E1453@1	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1453@1:K	Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu	Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu	YES
30	1754	G407-S085	16	f75r	ACTION:G407-E1455@1:SH	G407-E1455	RUNNING:G407-E1455@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	1	Y	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1455:RUNNING:G407-E1455@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	NO
31	1755	G407-S085	17	f75r	ACTION:G407-E1456@1:OK	G407-E1456	RUNNING:G407-E1456@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	BODY	Körper	denselben Körper	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1455@1:SH	Beschicke oder bereite vor	Bereite denselben Körper vor	YES
32	1756	G407-S085	18	f75r	ACTION:G407-E1457@1:SH	G407-E1457	RUNNING:G407-E1457@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	1	Y	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1457:RUNNING:G407-E1457@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	NO
33	1757	G407-S085	19	f75r	ACTION:G407-E1458@1:OK	G407-E1458	RUNNING:G407-E1458@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	BODY	Körper	denselben Körper	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1457@1:SH	Beschicke oder bereite auf Grad II vor	Bereite denselben Körper auf Grad II vor	YES
34	1759	G407-S086	1	f75r	ACTION:G407-E1459@1:SH	G407-E1459	RUNNING:G407-E1459@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	1	Y	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1459:RUNNING:G407-E1459@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	NO
35	1760	G407-S086	2	f75r	ACTION:G407-E1460@1:K	G407-E1460	RUNNING:G407-E1460@1	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1460@1:K	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	YES
36	1761	G407-S086	3	f75r	ACTION:G407-E1462@1:CH	G407-E1462	RUNNING:G407-E1462@1	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T04_RIGHT_SAME_EVENT_WRITTEN	Q02_RIGHT_DEFINITE	DEFINITE	ACTION:G407-E1462@2:K	Entnimm oder lass ab	Entnimm oder lass den Stationsansatz ab	YES
37	1762	G407-S086	4	f75r	ACTION:G407-E1462@2:K	G407-E1462	RUNNING:G407-E1462@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1462@2:K	Führe den Stationsansatz auf Grad I zu	Führe den Stationsansatz auf Grad I zu	YES
38	1763	G407-S086	5	f75r	ACTION:G407-E1463@1:R	G407-E1463	RUNNING:G407-E1463@1	R	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	AIN	PORTION	Anwendungsportion	die Anwendungsportion	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1463@1:R	Kennzeichne oder prüfe die Anwendungsportion	Kennzeichne oder prüfe die Anwendungsportion	YES
39	1766	G407-S086	8	f75r	ACTION:G407-E1466@2:SH	G407-E1466	RUNNING:G407-E1466@2	SH	SH_REST_HOLD	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	PORTION	Anwendungsportion	dieselbe Anwendungsportion	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1463@1:R	Halte den Zustand	Halte dieselbe Anwendungsportion	YES
40	1769	G407-S087	1	f75r	ACTION:G407-E1467@1:OK	G407-E1467	RUNNING:G407-E1467@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1467@1:OK	Beschicke oder bereite den Stationsansatz auf Grad II vor	Beschicke oder bereite den Stationsansatz auf Grad II vor	YES
41	1770	G407-S087	2	f75r	ACTION:G407-E1468@1:OK	G407-E1468	RUNNING:G407-E1468@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1468@1:OK	Beschicke oder bereite den Stationsansatz vor	Beschicke oder bereite den Stationsansatz vor	YES
42	1771	G407-S087	3	f75r	ACTION:G407-E1469@1:P	G407-E1469	RUNNING:G407-E1469@1	P	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1469@1:P	Wende den Stationsansatz an	Wende den Stationsansatz an	YES
43	1772	G407-S087	4	f75r	ACTION:G407-E1469@3:K	G407-E1469	RUNNING:G407-E1469@3	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	OR	UNIT	Becken- oder Körpereinheit	die Becken- oder Körpereinheit	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1469@3:K	Führe die Becken- oder Körpereinheit auf Grad II zu	Führe die Becken- oder Körpereinheit auf Grad II zu	YES
44	1774	G407-S087	6	f75r	ACTION:G407-E1470@2:K	G407-E1470	RUNNING:G407-E1470@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1470@2:K	Führe den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken zu	YES
45	1775	G407-S087	7	f75r	ACTION:G407-E1472@1:OK	G407-E1472	RUNNING:G407-E1472@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1472@1:OK	Beschicke oder bereite den Stationsansatz auf Grad I vor	Beschicke oder bereite den Stationsansatz auf Grad I vor	YES
46	1776	G407-S087	8	f75r	ACTION:G407-E1473@1:OK	G407-E1473	RUNNING:G407-E1473@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	AIN	PORTION	Anwendungsportion	die Anwendungsportion	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1473@1:OK	Beschicke oder bereite die Anwendungsportion vor	Beschicke oder bereite die Anwendungsportion vor	YES
47	1777	G407-S087	9	f75r	ACTION:G407-E1474@1:CH	G407-E1474	RUNNING:G407-E1474@1	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T04_RIGHT_SAME_EVENT_WRITTEN	Q02_RIGHT_DEFINITE	DEFINITE	ACTION:G407-E1474@3:T	Entnimm oder lass ab	Entnimm oder lass den Stationsansatz ab	YES
48	1778	G407-S087	10	f75r	ACTION:G407-E1474@2:CH	G407-E1474	RUNNING:G407-E1474@2	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T04_RIGHT_SAME_EVENT_WRITTEN	Q02_RIGHT_DEFINITE	DEFINITE	ACTION:G407-E1474@3:T	Entnimm oder lass ab	Entnimm oder lass den Stationsansatz ab	YES
49	1779	G407-S087	11	f75r	ACTION:G407-E1474@3:T	G407-E1474	RUNNING:G407-E1474@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1474@3:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
50	1780	G407-S087	12	f75r	ACTION:G407-E1475@1:OK	G407-E1475	RUNNING:G407-E1475@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1474@3:T	Beschicke oder bereite auf Grad II vor	Beschicke oder bereite denselben Stationsansatz auf Grad II vor	YES
51	1782	G407-S088	1	f75r	ACTION:G407-E1476@1:OK	G407-E1476	RUNNING:G407-E1476@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1476@1:OK	Beschicke oder bereite den Stationsansatz vor	Beschicke oder bereite den Stationsansatz vor	YES
52	1783	G407-S088	2	f75r	ACTION:G407-E1477@1:P	G407-E1477	RUNNING:G407-E1477@1	P	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1476@1:OK	Wende an	Setze denselben Stationsansatz ein	YES
53	1784	G407-S088	3	f75r	ACTION:G407-E1477@2:CHD	G407-E1477	RUNNING:G407-E1477@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1476@1:OK	Behandle den Ansatz	Behandle denselben Stationsansatz	NO
54	1786	G407-S089	1	f75r	ACTION:G407-E1478@1:OK	G407-E1478	RUNNING:G407-E1478@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T07_ROOT_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:OK:STATION	Beschicke oder bereite vor	Beschicke oder bereite den Stationsansatz vor	YES
