aiin_binding_ordinal	primary_governor_key	statement_id	physical_page	action_root	written_carrier_roots	quantity_reading_de	substrate_object_class	substrate_object_lemma_de	substrate_source_pointer	substrate_selection_route	substrate_reference_mode	consecutive_quantity	substrate_override_id	literal_clause_de	quantity_clause_de	state_channel
15	ACTION:G407-E2609@1:OK	G407-S375	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2610@1:CHD	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
16	ACTION:G407-E2646@1:OK	G407-S384	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:OK:STATION_SUBSTRATE	ROOT_DEFAULT_STATION_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
17	ACTION:G407-E2676@1:R	G407-S392	f77r	R	AIIN	Maßangabe	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	NONE	Kennzeichne oder prüfe das Stations- oder Badmaß	Kennzeichne oder prüfe die Maßangabe	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
18	ACTION:G407-E2685@1:OK	G407-S392	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2682@1:SH	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
19	ACTION:G407-E2694@1:R	G407-S392	f77r	R	AIIN+AIIN	Maßangabe	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	NONE	Kennzeichne oder prüfe das Stations- oder Badmaß in Anwendungsform, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	Kennzeichne oder prüfe beide Maßangaben in Anwendungsform, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
20	ACTION:G407-E2903@2:K	G407-S434	f81r	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2902@2:T	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu	Führe eine abgemessene Menge desselben Stationsansatzes über den Stationskontakt oder die Leitung zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
21	ACTION:G407-E2911@1:K	G407-S436	f81r	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2912@3:SH	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Führe das Stations- oder Badmaß zu	Führe eine abgemessene Menge des Stationsansatzes zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
22	ACTION:G407-E2936@1:OK	G407-S444	f81v	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:OK:STATION_SUBSTRATE	MANUAL_AIIN_SUBSTRATE_OVERRIDE	DEFINITE	NO	A01	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
23	ACTION:G407-E2956@1:OK	G407-S447	f81v	OK	AIIN	abgemessene Menge	PORTION	Anwendungsportion	ACTION:G407-E2957@1:OK	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Anwendungsportion vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
24	ACTION:G407-E2972@1:K	G407-S448	f81v	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2971@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Führe das Stations- oder Badmaß von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe eine abgemessene Menge desselben Stationsansatzes von der Ausgangsstation oder aus dem Ausgangsbecken zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
25	ACTION:G407-E2976@1:OK	G407-S448	f81v	OK	AIIN	abgemessene Menge	PORTION	Anwendungsportion	ACTION:G407-E2975@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Anwendungsportion vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
26	ACTION:G407-E2988@4:K	G407-S449	f81v	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2992@2:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Führe das Stations- oder Badmaß zur Zielstation oder ins Zielbecken zu	Führe eine abgemessene Menge des Stationsansatzes zur Zielstation oder ins Zielbecken zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
27	ACTION:G407-E2990@1:OK	G407-S449	f81v	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2992@2:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	YES	NONE	Beschicke oder bereite das Stations- oder Badmaß auf Grad II und zur Zielstation oder ins Zielbecken vor	Bereite eine weitere abgemessene Menge des Stationsansatzes auf Grad II und zur Zielstation oder ins Zielbecken vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
28	ACTION:G407-E3178@1:OK	G407-S495	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3177@3:SH	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
29	ACTION:G407-E3196@2:K	G407-S498	f82r	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3195@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Führe das Stations- oder Badmaß zu	Führe eine abgemessene Menge desselben Stationsansatzes zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
30	ACTION:G407-E3198@1:OK	G407-S498	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3197@2:K	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
31	ACTION:G407-E3199@1:OK	G407-S498	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3197@2:K	LEFT_LIVE_SUBSTRATE	ANAPHORIC	YES	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine weitere abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
32	ACTION:G407-E3244@1:OK	G407-S507	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3243@8:T	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
33	ACTION:G407-E3248@1:OK	G407-S507	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3247@3:CH	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
34	ACTION:G407-E3280@1:OK	G407-S513	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3279@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
35	ACTION:G407-E3335@2:K	G407-S529	f82r	K	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3334@1:K	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu	Führe eine abgemessene Menge desselben Stationsansatzes über den Stationskontakt oder die Leitung zu	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
36	ACTION:G407-E3348@1:OK	G407-S531	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3346@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
37	ACTION:G407-E3351@1:OK	G407-S531	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3349@4:R	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
38	ACTION:G407-E3370@1:R	G407-S534	f82r	R	AIIN	Maßangabe	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	NONE	Kennzeichne oder prüfe das Stations- oder Badmaß	Kennzeichne oder prüfe die Maßangabe	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
39	ACTION:G407-E3393@1:OK	G407-S539	f82r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3394@1:OK	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
40	ACTION:G407-E3407@1:CH	G407-S548	f82r	CH	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3407@3:T	RIGHT_SAME_EVENT_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Entnimm oder lass das Stations- oder Badmaß ab	Lass eine abgemessene Menge des Stationsansatzes ab	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
41	ACTION:G407-E3464@1:OK	G407-S559	f83r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3461@4:CHD	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
42	ACTION:G407-E3480@1:OK	G407-S563	f83r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:OK:STATION_SUBSTRATE	ROOT_DEFAULT_STATION_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor	Bereite eine abgemessene Menge des Stationsansatzes an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
43	ACTION:G407-E3490@3:K	G407-S566	f83r	K	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:K:STATION_SUBSTRATE	ROOT_DEFAULT_STATION_SUBSTRATE	DEFINITE	NO	NONE	Führe das Stations- oder Badmaß auf Grad I und als neuer Bad- oder Stationsansatz zu	Führe eine abgemessene Menge des Stationsansatzes auf Grad I zu; übernimm das Ergebnis als neuen Bad- oder Stationsansatz	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
44	ACTION:G407-E3506@1:OK	G407-S570	f83r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3507@1:CHD	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
45	ACTION:G407-E3551@1:OK	G407-S580	f83r	OK	AIIN	abgemessene Menge	PORTION	Anwendungsportion	ACTION:G407-E3552@2:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Anwendungsportion vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
46	ACTION:G407-E3584@1:OK	G407-S593	f83r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E3585@3:T	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
