prompt_id	fresh_prompt_de	requested_recipe	encoding_mode	selected_card_sequence	selected_surface_families	output_component_sequence	card_count	requested_components_covered	requested_order_is_subsequence	added_components	reordering	observed_same_statement_pair_support	boundary_rule	compact_workshop_reading_de	fluent_paraphrase_de	new_card_or_surface_invented
P11	Kurz halten und den Schritt schliessen.	SH+E+DY	DIRECT_EXISTING_CARD	PROC111	dshedy	SH+E+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	HALTEN · KURZ · SCHLUSS	Kurz halten und den Schritt schliessen.	NO
P12	Absetzen und den Schritt schliessen.	SHED+DY	DIRECT_EXISTING_CARD	PROC078	cheedy|shedy|tedy	SHED+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ABSETZEN · SCHLUSS	Absetzen und den Schritt schliessen.	NO
P13	Diesen Posten kurz waermen.	CHK+E+Y	DIRECT_EXISTING_CARD	PROC083	cheky	CHK+E+Y	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	WAERMEN · KURZ · DIES	Diesen Posten kurz waermen.	NO
P14	Laenger waermen und den Schritt schliessen.	CHK+EE+DY	DIRECT_EXISTING_CARD	PROC132	chkeedy	CHK+EE+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	WAERMEN · LANG · SCHLUSS	Laenger waermen und den Schritt schliessen.	NO
P15	Diesen Posten einfuellen.	P+Y	DIRECT_EXISTING_CARD	PROC030	cphy	P+Y	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	EINFUELLEN · DIES	Diesen Posten einfuellen.	NO
P16	Weiterleiten, umsetzen und den Schritt schliessen.	L+CHD+DY	DIRECT_EXISTING_CARD	PROC120	lchedy	L+CHD+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	WEITERLEITEN · UMSETZEN · SCHLUSS	Weiterleiten, umsetzen und den Schritt schliessen.	NO
P17	Diesen Posten waschen.	LSH+Y	TWO_EXISTING_CARD_PARAPHRASE	PROC084|PROC019	lsho || chey|chy|dy|shy|sy|y	LSH+O | Y	2	YES	YES	O	NONE	0	NEW_STATEMENT_RESET	WASCHGANG; DIESEN POSTEN	Waschgang; dieser Bildposten ist gemeint.	NO
P18	Diesen Posten kuehlen.	R+Y	EXPANDED_EXISTING_CARD	PROC172	raly	R+AL+Y	1	YES	YES	AL	NONE	NA	ONE_EXPANDED_EXISTING_CARD	KUEHLEN · ZIEL · DIES	Diesen Posten an der bezeichneten Stelle kuehlen.	NO
P19	Eine Portion teilen.	S+AIN	TWO_EXISTING_CARD_PARAPHRASE	PROC156|PROC124	dain || ches	AIN | CH+E+S	2	YES	NO_REPHRASED	CH+E	REORDER_AIN_BEFORE_S	0	NEW_STATEMENT_RESET	PORTION; ABNEHMEN · KURZ · GETEILT	Eine Portion; kurz davon abnehmen: geteilt.	NO
P20	Eine Portion an der Zielstelle einfuellen.	P+AIN+AL	TWO_EXISTING_CARD_PARAPHRASE	PROC156|PROC134	dain || pchedal	AIN | P+CHD+AL	2	YES	NO_REPHRASED	CHD	REORDER_AIN_BEFORE_P	0	NEW_STATEMENT_RESET	PORTION; EINFUELLEN · UMSETZEN · ZIEL	Eine Portion; sie an der Zielstelle einfuellen und umsetzen.	NO
P21	Den Lauf weiterleiten.	L+AIR	TWO_EXISTING_CARD_PARAPHRASE	PROC072|PROC150	dl || schedair	L | CHD+AIR	2	YES	YES	CHD	NONE	0	ATTESTED_COMPONENT_JUNCTION	WEITERLEITEN; UMSETZEN · LAUF	Weiterleiten; den Lauf dabei umsetzen.	NO
P22	Den Ansatz kurz halten.	SH+E+OR	TWO_EXISTING_CARD_PARAPHRASE	PROC016|PROC122	chor|or|shor|sor || tshey	OR | SH+E+Y	2	YES	NO_REPHRASED	Y	REORDER_OR_BEFORE_SH	0	NEW_STATEMENT_RESET	ANSATZ; HALTEN · KURZ · DIES	Den Ansatz; diesen kurz halten.	NO
P23	Eine Nachgabe ansetzen.	OK+AN	TWO_EXISTING_CARD_PARAPHRASE	PROC008|PROC040	choky|oky|qoky || ykan	OK+Y | Y+K+AN	2	YES	YES	Y+Y+K	NONE	0	NEW_STATEMENT_RESET	ANSETZEN · DIES; DIES · ZUDOSIEREN · NACHGABE	Diesen Posten ansetzen; ihm eine Nachgabe zudosieren.	NO
P24	Auswringen und den Schritt schliessen.	CFH+DY	TWO_EXISTING_CARD_PARAPHRASE	PROC028|PROC041	cfhy || ody	CFH+Y | O+DY	2	YES	YES	Y+O	NONE	0	NEW_STATEMENT_RESET	AUSWRINGEN · DIES; GANG · SCHLUSS	Diesen Posten auswringen; den Arbeitsgang schliessen.	NO
