statement_id	record_unit_id	page	constituent_fields	event_count	event_serials	owner_bindings	owner_transition	concrete_station_statement	medical_statement_rival	formal_statement_rival	repair_cost_0_4	line_crossing	hardest_contradiction	direction_guard	semantic_ceiling
B1-S011	B1	f81v	F033	2	139|140	F033=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F033:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S011` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: führe die exemplarisch bestimmte örtliche Stationshandlung `B1-S011:ACTION_APPLY_01` am aktuellen Besitzer aus. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `B1:T010`, PREVIOUS `B1:I002`.	[EXEMPLAR:A010+A011+A020:durch die verbundenen Läufe ; Die aktive Portion verwenden]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S012	B1	f81v	F034	3	141|142|143	F034=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F034:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S012` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S012` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I004` und gegebenenfalls Ziel `B1-S012:TARGET_UNSET`. Endstand nur in B1: ACTIVE `B1:I004`, TARGET `UNSET`, PREVIOUS `B1:I003`.	[EXEMPLAR:A001+A005+A008+A009+A011+A015+A020:beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.21	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S013	B1	f81v	F035	1	144	F035=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F035:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S013` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S013` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I004` und gegebenenfalls Ziel `B1-S013:TARGET_UNSET`. Endstand nur in B1: ACTIVE `B1:I004`, TARGET `UNSET`, PREVIOUS `B1:I003`.	[EXEMPLAR:A001+A005+A009+A011+A015+A020:wasche einmal und beende diesen Durchgang]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.21	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S014	B1	f81v	F036	5	145|146|147|148|149	F036=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F036:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S014` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I004` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I004`, TARGET `B1:T013`, PREVIOUS `B1:I003`.	[EXEMPLAR:A001+A002+A003+A004+A007+A009+A010+A011+A012+A013+A020:rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.21	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S015	B1	f81v	F037	2	150|151	F037=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F037:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S015` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S015` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I005` und gegebenenfalls Ziel `B1-S015:TARGET_UNSET`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `UNSET`, PREVIOUS `B1:I004`.	[EXEMPLAR:A002+A008+A009+A011+A020:fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.24	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S016	B1	f81v	F038	4	152|153|154|155	F038=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F038:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S016` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: setze den lokalen Zielslot `B1-S016:TARGET` aus `B1-S016:TARGET_ASSIGN_01`; stelle den exemplarisch angegebenen örtlichen Zustands-/Temperaturwert `B1-S016:ACTION_TEMPER_01` ein; verknüpfe den laufenden Recordposten `B1:I005` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `UNSET`, PREVIOUS `B1:I004`.	[EXEMPLAR:A001+A007+A008+A009+A010+A011+A012+A013+A020:mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.24	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S017	B1	f81v	F039	3	156|157|158	F039=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F039:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S017` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: setze den lokalen Zielslot `B1:T015` aus `B1-S017:TARGET_ASSIGN_01`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `B1:T015`, PREVIOUS `B1:I004`.	[EXEMPLAR:A003+A004+A006+A009+A011+A012+A013+A014+A020:An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.24	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S018	B1	f81v	F040|F041	4	159|160|161|162	F040=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F041=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F040:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F041:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S018` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S018` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I005` und gegebenenfalls Ziel `B1:T016`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `B1:T016`, PREVIOUS `B1:I004`.	[EXEMPLAR:A001+A002+A004+A009+A011+A012+A014+A020:fülle danach das Gefäß; wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	3	YES:f81v.24→f81v.27; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S019	B1	f81v	F042	1	163	F042=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F042:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S019` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S019` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I005` und gegebenenfalls Ziel `B1:T016`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `B1:T016`, PREVIOUS `B1:I004`.	[EXEMPLAR:A011+A012+A020:lasse es bis zur Bereitschaft stehen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.27	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S020	B1	f81v	F043	2	164|165	F043=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F043:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S020` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S020` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I005` und gegebenenfalls Ziel `B1:T017`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `B1:T017`, PREVIOUS `B1:I004`.	[EXEMPLAR:A006+A009+A011+A020:bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.27	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S021	B1	f81v	F044	1	166	F044=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F044:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> RESET_AT_RECORD_END	Fortschreibe Buchung `B1-S021` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: setze den lokalen Zielslot `B1:T018` aus `B1-S021:TARGET_ASSIGN_01`. Endstand nur in B1: ACTIVE `B1:I005`, TARGET `B1:T018`, PREVIOUS `B1:I004`.	[EXEMPLAR:A004+A011+A013+A014+A020:An die bezeichnete Zielstelle führen]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	0	NO:f81v.27	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B2-S001	B2	f82r	F045	1	167	F045=DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RESET_RECORD -> SET_DIRECT_OWNER[F045:DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	Eröffne Buchung `B2-S001` beim Besitzerposten „oberen f82r-Figuren-/Zylinderkonfiguration“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B2-S001` aus dem Master; buche ihn recordlokal als ACTIVE `B2:I001` und gegebenenfalls Ziel `B2:T001`. Endstand nur in B2: ACTIVE `B2:I001`, TARGET `B2:T001`, PREVIOUS `UNSET`.	[EXEMPLAR:A001+A002+A003+A005+A009+A011+A015+A021:spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f82r.2	Bögen und Zylinder können ikonographische Bänder/Aufhängung sein; keine Kante führt zur nächsten Seitenstation.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
