bio_field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_local_owner	owner_status	owner_transition	visible_contact_basis	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	medical_application_model	bathhouse_operation_model	iconographic_formal_model	strongest_rival	contradiction	global_flow_claim	semantic_ceiling
30	F050	B2	f82r	f82r.3	B2-S005	4	177|178|179|180	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Bögen treffen den Zylinder; eine Hand hält ein Bogenende; der Text liegt im oberen Konfigurationsraum	E177:4a7a6326ac95a8809302 > E178:2d2e37ccb2dacc53ee5a > E179:2cc8bb3c2af19607888f > E180:b5fcea1eaed06b2f2291	E177=Fahre am zweiten, innerhalb dieser Station bezeichneten Lauf fort. | E178=Führe den lokalen Posten durch ein Tuch. | E179=Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. | E180=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift.	An derselben lokalen Station [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Fahre am zweiten, innerhalb dieser Station bezeichneten Lauf fort. Führe den lokalen Posten durch ein Tuch. Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.38	0.460	gekoppelte obere Teilbäder mit örtlichem Temperieren und Anwendungswechsel	zwei lokale Gefäße samt Mittelzylinder für Füllen, Halten und Entleeren	mehrere nur benachbarte Vignetten ohne gemeinsame Bedienung	Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Vorratscharge bereitstellen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Zuführung öffnen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Wasser in das Becken einlassen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Mengenbuch=B2:F050:M.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
31	F051	B2	f82r	f82r.4	B2-S005	4	181|182|183|184	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Bögen treffen den Zylinder; eine Hand hält ein Bogenende; der Text liegt im oberen Konfigurationsraum	E181:b5fcea1eaed06b2f2291 > E182:a8f891de626fc00028e9 > E183:f0db6d30cd34f4cb2a4d > E184:04a3877f0fc81b7597c9	E181=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E182=Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. | E183=Verwende das breite Gefäß dieser lokalen Station. | E184=Ziehe die örtliche Flüssigkeitsportion ab und beende den Schritt.	An derselben lokalen Station [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. Verwende das breite Gefäß dieser lokalen Station. Ziehe die örtliche Flüssigkeitsportion ab und beende den Schritt.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.470	gekoppelte obere Teilbäder mit örtlichem Temperieren und Anwendungswechsel	zwei lokale Gefäße samt Mittelzylinder für Füllen, Halten und Entleeren	mehrere nur benachbarte Vignetten ohne gemeinsame Bedienung	Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Mengenbuch=B2:F051:M. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Zuführung öffnen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Wasser in das Becken einlassen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Füllstand am Randzeichen prüfen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
32	F052	B2	f82r	f82r.4	B2-S006	4	185|186|187|188	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Bögen treffen den Zylinder; eine Hand hält ein Bogenende; der Text liegt im oberen Konfigurationsraum	E185:5d5e0b288cf36864ed9d > E186:308e8ea2d5d190c498e8 > E187:c1913ec4ff84148da6d3 > E188:276a7c2d74d1143446f4	E185=Verwende den vorbereiteten Bade- oder Waschzusatz. | E186=Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. | E187=Halte oder verwende den Posten über der örtlich bezeichneten Stelle. | E188=Gebrauche die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich.	An derselben lokalen Station [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Verwende den vorbereiteten Bade- oder Waschzusatz. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Halte oder verwende den Posten über der örtlich bezeichneten Stelle. Gebrauche die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich.	"{""EXEMPLAR_ONLY"": 2, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.510	gekoppelte obere Teilbäder mit örtlichem Temperieren und Anwendungswechsel	zwei lokale Gefäße samt Mittelzylinder für Füllen, Halten und Entleeren	mehrere nur benachbarte Vignetten ohne gemeinsame Bedienung	Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Arbeitsziel an der Station bereitstellen. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Zieladresse=dieser lokalen Station. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: Durchgang beobachten. Badehausbetrieb an [B2_UPPER_PAIRED_BASINS_AND_CYLINDER]: aktive Charge an technischem Stationsziel F052.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; LOKALEN_RELATIONSSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANWENDEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
33	F053	B2	f82r	f82r.7	B2-S007	1	189	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	DIRECT_VISIBLE	RESET_AT_V71_SCENE_GAP	Wellenlinien entspringen am Handgerät; der Doppelstrich läuft durch den Sternknoten	E189:cbb42a4fe68068325d6b	E189=Gib sauberes Wasser in diese lokale Station und beende den Schritt.	Setze den lokalen Besitzer [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE] (mittlere linke Ring-/Fächerstation samt horizontalem Inline-Knoten): Gib sauberes Wasser in diese lokale Station und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.48	0.480	örtliche Wasch-/Applikationsstation an Ring, Fächer und Inline-Knoten	kleines örtliches Verteil- oder Spülgerät	ikonographischer Strahl oder Stern an einem Schmuckband	Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Leitungszweig wählen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
34	F054	B2	f82r	f82r.7	B2-S008	3	190|191|192	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Wellenlinien entspringen am Handgerät; der Doppelstrich läuft durch den Sternknoten	E190:54d0e228ca346110af05 > E191:3ae9a121ba0045b913e8 > E192:bc4f1f5c006c74a4d26d	E190=Halte den lokalen Posten für dieselbe recordlokale Dauer wie zuvor. | E191=Halte oder verwende den Posten über der örtlich bezeichneten Stelle. | E192=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Halte den lokalen Posten für dieselbe recordlokale Dauer wie zuvor. Halte oder verwende den Posten über der örtlich bezeichneten Stelle. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	örtliche Wasch-/Applikationsstation an Ring, Fächer und Inline-Knoten	kleines örtliches Verteil- oder Spülgerät	ikonographischer Strahl oder Stern an einem Schmuckband	Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Filtertuch oder Sieb einsetzen. Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Charge durch den Filter führen. Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Rückstand vom Filter abnehmen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
35	F055	B2	f82r	f82r.7	B2-S009	1	193	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Wellenlinien entspringen am Handgerät; der Doppelstrich läuft durch den Sternknoten	E193:daa1347f456415fe8737	E193=Halte den örtlichen Posten warm und beende den Schritt.	An derselben lokalen Station [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Halte den örtlichen Posten warm und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	örtliche Wasch-/Applikationsstation an Ring, Fächer und Inline-Knoten	kleines örtliches Verteil- oder Spülgerät	ikonographischer Strahl oder Stern an einem Schmuckband	Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Arbeitsziel an der Station bereitstellen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
36	F056	B2	f82r	f82r.7	B2-S010	4	194|195|196|197	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	Wellenlinien entspringen am Handgerät; der Doppelstrich läuft durch den Sternknoten	E194:0275fbf14e07935b0a45 > E195:276a7c2d74d1143446f4 > E196:5eff216ba51fbfb21f22 > E197:b5df9126607030b95175	E194=Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. | E195=Gebrauche die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich. | E196=Verwende die erste, im Exemplar bezeichnete Öffnung dieser Station. | E197=Prüfe den örtlich vorgeschriebenen Zustand der Charge.	An derselben lokalen Station [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. Gebrauche die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich. Verwende die erste, im Exemplar bezeichnete Öffnung dieser Station. Prüfe den örtlich vorgeschriebenen Zustand der Charge.	"{""EXEMPLAR_ONLY"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 3}"	0.38	0.560	örtliche Wasch-/Applikationsstation an Ring, Fächer und Inline-Knoten	kleines örtliches Verteil- oder Spülgerät	ikonographischer Strahl oder Stern an einem Schmuckband	Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: aktive Charge an der Wärmestelle von dieser lokalen Station. Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: aktive Charge an technischem Stationsziel F056. Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Wärme mit der Handprobe prüfen. Badehausbetrieb an [B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]: Arbeitsstand der Charge an dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; TEMPERIEREN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANWENDEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; KLAR? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
37	F057	B2	f82r	f82r.19	B2-S011	4	198|199|200|201	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	UNRESOLVED	RESET_AT_V71_GAP_AND_MASTER_EXEMPLAR_OWNER_LOOKUP	horizontale Linie liegt nahe über dem Liegepodest, berührt es aber nicht sicher	E198:1645e612504fcef59ced > E199:4d4559019a961b834aa1 > E200:1645e612504fcef59ced > E201:7d25241b0e56c836372a	E198=Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. | E199=Nimm den nächsten Anteil aus demselben recordlokalen Ansatz. | E200=Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. | E201=Lasse die badende Person im temperierten Teilbad sitzen und beende den örtlichen Schritt.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] (örtliche mittlere f82r-Station, die nur das Exemplar zwischen Linie und Liegepodest entscheidet): Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. Nimm den nächsten Anteil aus demselben recordlokalen Ansatz. Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. Lasse die badende Person im temperierten Teilbad sitzen und beende den örtlichen Schritt.	"{""EXEMPLAR_ONLY"": 3, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.260	mögliche Liege- oder Teilbadstation, deren Zuordnung das Exemplar bestimmt	möglicher Inline-Knoten oder unabhängiges Podest	bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion	Ikonographisch/formal an [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]: bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]: bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]: bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]: bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
38	F058	B2	f82r	f82r.19	B2-S012	1	202	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	horizontale Linie liegt nahe über dem Liegepodest, berührt es aber nicht sicher	E202:0ab57b7166de99db3a55	E202=Ziehe die klare örtliche Flüssigkeit ab.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] (örtliche mittlere f82r-Station, die nur das Exemplar zwischen Linie und Liegepodest entscheidet): Ziehe die klare örtliche Flüssigkeit ab.	"{""EXEMPLAR_ONLY"": 1}"	0.26	0.260	mögliche Liege- oder Teilbadstation, deren Zuordnung das Exemplar bestimmt	möglicher Inline-Knoten oder unabhängiges Podest	bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion	Ikonographisch/formal an [B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]: bildlich unaufgelöster Zwischenposten ohne sicher bestimmbare Funktion; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
39	F059	B2	f82r	f82r.23	B2-S012	7	203|204|205|206|207|208|209	B2_LOWER_GREEN_MULTI_FIGURE_POOL	DIRECT_VISIBLE	RESET_AT_V71_SCENE_GAP	zahlreiche Figuren schneiden dieselbe unregelmäßige grüne Fläche; zwei Vertikalformen reichen an den Rand	E203:b5df9126607030b95175 > E204:6b89d6dd70635bc60fe0 > E205:0275fbf14e07935b0a45 > E206:5fca8fc3dee57e1d8c1f > E207:2f1c5e56e8f0ff459065 > E208:b921a237be883a820352 > E209:d25110e0d8488927278f	E203=Prüfe den örtlich vorgeschriebenen Zustand der Charge. | E204=Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. | E205=Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. | E206=Behandle den im Exemplar bezeichneten benetzten Körperbereich. | E207=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E208=Verwende nun diese aktive Bade- oder Waschportion. | E209=Benetze den bezeichneten Körperbereich vollständig und beende den örtlichen Schritt.	Setze den lokalen Besitzer [B2_LOWER_GREEN_MULTI_FIGURE_POOL] (unteres grünes Mehrfigurenfeld auf f82r): Prüfe den örtlich vorgeschriebenen Zustand der Charge. Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. Behandle den im Exemplar bezeichneten benetzten Körperbereich. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Verwende nun diese aktive Bade- oder Waschportion. Benetze den bezeichneten Körperbereich vollständig und beende den örtlichen Schritt.	"{""EXEMPLAR_ONLY"": 3, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.48	0.566	gemeinsames unteres Mehrpersonenbad mit lokalen Benetzungs- und Halteschritten	großes unteres Becken für Füllen, Temperieren und Ablassen	mehrere allegorische Figurenplätze ohne behauptete Badfunktion	Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Arbeitsstand der Charge an dieser lokalen Station. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Charge gelinde erwärmen. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: aktive Charge an der Wärmestelle von dieser lokalen Station. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: warmen Stand halten. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Mengenbuch=B2:F059:M. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Charge gelinde erwärmen. Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Wärme mit der Handprobe prüfen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; KLAR? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; TEMPERIEREN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; MASS? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; VORGABEPARAMETER? bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
40	F060	B2	f82r	f82r.23	B2-S013	1	210	B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	zahlreiche Figuren schneiden dieselbe unregelmäßige grüne Fläche; zwei Vertikalformen reichen an den Rand	E210:de7321bface5628e35d6	E210=Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	An derselben lokalen Station [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.58	0.580	gemeinsames unteres Mehrpersonenbad mit lokalen Benetzungs- und Halteschritten	großes unteres Becken für Füllen, Temperieren und Ablassen	mehrere allegorische Figurenplätze ohne behauptete Badfunktion	Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Unterlauf von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ABLASSEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
41	F061	B2	f82r	f82r.23	B2-S014	1	211	B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	zahlreiche Figuren schneiden dieselbe unregelmäßige grüne Fläche; zwei Vertikalformen reichen an den Rand	E211:29e0eb222ef2fb99523a	E211=Schließe den bezeichneten unteren Ablauf dieser Station.	An derselben lokalen Station [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Schließe den bezeichneten unteren Ablauf dieser Station.	"{""EXEMPLAR_ONLY"": 1}"	0.38	0.380	gemeinsames unteres Mehrpersonenbad mit lokalen Benetzungs- und Halteschritten	großes unteres Becken für Füllen, Temperieren und Ablassen	mehrere allegorische Figurenplätze ohne behauptete Badfunktion	Badehausbetrieb an [B2_LOWER_GREEN_MULTI_FIGURE_POOL]: Rücklaufleitung öffnen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
42	F062	B2	f82r	f82r.26	B2-S015	2	212|213	B2_LOWER_POOL_EDGE_STATIONS	DIRECT_VISIBLE	RESET_AT_V71_SCENE_GAP	kleine Gefäße und Figuren sind am gemeinsamen Feldrand wiederholt, aber nicht durch Leitungen gekoppelt	E212:d4a31dbcf1ed6d9e5aa9 > E213:7d25241b0e56c836372a	E212=Beginne die Spülung an dieser lokalen Station. | E213=Lasse die badende Person im temperierten Teilbad sitzen und beende den örtlichen Schritt.	Setze den lokalen Besitzer [B2_LOWER_POOL_EDGE_STATIONS] (lokale Figurenplätze am Rand des unteren f82r-Feldes): Beginne die Spülung an dieser lokalen Station. Lasse die badende Person im temperierten Teilbad sitzen und beende den örtlichen Schritt.	"{""EXEMPLAR_ONLY"": 1, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.48	0.480	mehrere lokale Wasch-, Tuch- oder Teilbadplätze am Beckenrand	Randposten eines größeren Beckens für portionsweise Bedienung	das ganze grüne Feld als ein Besitzer oder bloße Figurenornamentik	Badehausbetrieb an [B2_LOWER_POOL_EDGE_STATIONS]: Filtertuch oder Sieb einsetzen. Badehausbetrieb an [B2_LOWER_POOL_EDGE_STATIONS]: Charge durch den Filter führen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
