unsupported_noun	support_class	event_count	event_serials	records	pages	owners	rationale	semantic_ceiling
Bereitschaft	UNPICTURED_PARAMETER_OR_STATE	16	112|125|129|136|155|163|185|192|218|255|266|314|325|336|347|361	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_POOL_EDGE_STATIONS|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Maß, Dauer, Temperatur oder Prüfzustand ist ein unbebilderter Quellenwert.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Dauer	UNPICTURED_PARAMETER_OR_STATE	6	190|275|306|312|355|364	B2|B3|B4|B5	f82r|f83r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B5_LEFT_OPEN_FRINGE_STATION	Maß, Dauer, Temperatur oder Prüfzustand ist ein unbebilderter Quellenwert.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Klarzustand	UNPICTURED_PARAMETER_OR_STATE	9	158|161|176|202|249|290|300|307|309	B1|B2|B3	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	Maß, Dauer, Temperatur oder Prüfzustand ist ein unbebilderter Quellenwert.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Maß/Menge	UNPICTURED_PARAMETER_OR_STATE	14	107|115|127|169|198|200|228|257|281|288|301|341|352|354	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	Maß, Dauer, Temperatur oder Prüfzustand ist ein unbebilderter Quellenwert.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wärme/Temperatur	UNPICTURED_PARAMETER_OR_STATE	41	111|122|130|131|134|142|151|153|164|171|175|193|194|201|205|213|220|222|224|226|227|240|253|264|267|276|284|292|293|315|317|322|326|329|333|337|339|360|363|367|374	B1|B2|B3|B4|B5|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Maß, Dauer, Temperatur oder Prüfzustand ist ein unbebilderter Quellenwert.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Ansatz	UNPICTURED_SUBSTANCE_OR_PREPARATION	3	105|199|238	B1|B2|B3	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B3_UPPER_MARGIN_OPEN_FAN_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Anteil	UNPICTURED_SUBSTANCE_OR_PREPARATION	13	107|127|169|198|200|216|225|257|288|321|341|352|354	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Bade-/Waschzusatz	UNPICTURED_SUBSTANCE_OR_PREPARATION	6	112|129|185|218|267|337	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_POOL_EDGE_STATIONS|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_ARCH_LINKED_PAIR	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Badeflüssigkeit	UNPICTURED_SUBSTANCE_OR_PREPARATION	2	188|195	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Charge	UNPICTURED_SUBSTANCE_OR_PREPARATION	14	153|175|194|197|203|205|271|279|289|293|310|317|322|353	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Flüssigkeit	UNPICTURED_SUBSTANCE_OR_PREPARATION	15	162|202|210|229|235|246|262|269|282|291|300|315|329|345|357	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Mischung	UNPICTURED_SUBSTANCE_OR_PREPARATION	5	126|168|242|346|368	B1|B2|B3|B4|B5	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B5_LEFT_OPEN_FRINGE_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Portion	UNPICTURED_SUBSTANCE_OR_PREPARATION	9	132|170|208|232|234|273|277|349|380	B1|B2|B3|B4|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Posten	UNPICTURED_SUBSTANCE_OR_PREPARATION	52	102|104|106|109|110|113|114|116|118|121|124|133|135|148|152|154|156|166|172|180|181|186|207|214|217|219|233|236|241|243|254|256|268|270|272|274|278|295|299|324|332|338|343|348|359|365|366|369|370|376|377|378	B1|B2|B3|B4|B5|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Rückstand	UNPICTURED_SUBSTANCE_OR_PREPARATION	1	280	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Waschflotte	UNPICTURED_SUBSTANCE_OR_PREPARATION	11	101|137|138|247|251|259|294|297|298|318|335	B1|B3|B4	f81v|f83r	B1_SHARED_TWO_ROW_POOL|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wasser	UNPICTURED_SUBSTANCE_OR_PREPARATION	8	142|189|215|220|222|240|276|360	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Das Bild bestimmt weder Stoff noch Präparation; der Ausdruck stammt aus dem occurrence-gebundenen Badeexemplar.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Auflage	VISIBLE_FIGURE_THERAPEUTIC_STATUS_UNCERTAIN	2	315|329	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	Die Figur ist sichtbar; Patientstatus, Körperziel und therapeutische Handlung sind nicht sichtbar festgelegt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Badende	VISIBLE_FIGURE_THERAPEUTIC_STATUS_UNCERTAIN	5	171|201|213|224|227	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS	Die Figur ist sichtbar; Patientstatus, Körperziel und therapeutische Handlung sind nicht sichtbar festgelegt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Haut-/Wundstelle	VISIBLE_FIGURE_THERAPEUTIC_STATUS_UNCERTAIN	4	226|292|323|326	B2|B3|B4	f82r|f83r	B2_LOWER_POOL_EDGE_STATIONS|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	Die Figur ist sichtbar; Patientstatus, Körperziel und therapeutische Handlung sind nicht sichtbar festgelegt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Körperbereich	VISIBLE_FIGURE_THERAPEUTIC_STATUS_UNCERTAIN	8	206|209|245|247|251|265|298|302	B2|B3	f82r|f83r	B2_LOWER_GREEN_MULTI_FIGURE_POOL|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	Die Figur ist sichtbar; Patientstatus, Körperziel und therapeutische Handlung sind nicht sichtbar festgelegt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Waschung/Bad	VISIBLE_FIGURE_THERAPEUTIC_STATUS_UNCERTAIN	22	112|129|140|143|144|171|185|188|195|201|213|218|224|225|227|245|261|265|267|302|337|344	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	Die Figur ist sichtbar; Patientstatus, Körperziel und therapeutische Handlung sind nicht sichtbar festgelegt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
