candidate_id	surface	prefix_surface	prefix_reading_id	suffix_surface	suffix_reading_id	family	composition	working_meaning_de	spoken_render_de	working_model_score_0_100_not_probability	working_model_level	action_default_allowed	positive_evidence_de	counterevidence_de	open_semantic_slots	expected_occurrences	candidate_decision	composition_semantic_credit
G734-C11	qoteody	qo	qo#GLOBAL	teody	teody#GLOBAL	TAKE_COLD_PREPARATION_CLOSE	qo+teody	abgekühlten, fertigen Ansatz nehmen	abgekühlten, fertigen Ansatz nehmen	59	W2_PROVISIONAL_WORKING	1	Zehn Cache-Vorkommen und genau die Zweiteilung qo plus teody verbinden Nehmen mit einem kalten fertigen Ansatz.	Die Fassung behauptet keine serielle Abkühl- oder Abschlussaktion; derselbe Patient bleibt eine Arbeitshypothese.	ACTION_ORDER|SHARED_PATIENT	10	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C12	qoteol	qo	qo#GLOBAL	teol	teol#GLOBAL	TAKE_COLD_MATERIAL_MIDDLE	qo+teol	abgekühlten Drogenstoff nehmen	abgekühlten Drogenstoff nehmen	59	W2_PROVISIONAL_WORKING	1	Zehn Cache-Vorkommen und genau die Zweiteilung qo plus teol verbinden den starken Nehmen-Block mit einem bereits konkreten gekühlten Drogenstoff.	Drogenstoff bleibt eine Stoffklasse; die genaue Kühlstufe wird im portablen Renderer nicht als historisch identifiziertes Maß gesprochen.	MATERIAL_IDENTITY|EXACT_STAGE_NAME	10	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C13	shod	sh	sh#GLOBAL	od	od#GLOBAL	SOAK_AND_MEASURE_PREPARATION	sh+od	eingeweichter, abgemessener Ansatz	eingeweichter, abgemessener Ansatz	27	W1_WEAK_WORKING	0	Zehn Cache-Vorkommen stützen einen feuchten abgemessenen Ganzwortzustand.	Die eindeutige Zerlegung beweist weder serielle Handlung noch gemeinsamen Patienten; sie erhält keinen Kompositionskredit.	ACTION_ORDER|SHARED_PATIENT	10	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
G734-C14	qokl	qok	qok#GLOBAL	l	l#1	HEAT_WOOD_COMMAND	qok+l	holzigen Pflanzenteil erhitzen	holzigen Pflanzenteil erhitzen	37	W1_WEAK_WORKING	1	Neun Cache-Vorkommen und genau die Zweiteilung qok plus l verbinden den Heizbefehl mit dem gebundenen Kopf eines holzigen Pflanzenteils.	L ist allein nicht global exportierbar; Drogenholz bleibt ein Rivale dieser exakten Ganzform und wird nicht als freier Buchstabenwert exportiert.	WOOD_VS_WOODY_PART|BOUND_L_HEAD	9	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C15	lkchey	l	l#1	kchey	kchey#1	HOT_DRY_WOOD_MIDDLE	l+kchey	holziger Pflanzenteil, heiß-trocken, Mittelstufe	holziger Pflanzenteil, heiß-trocken, Mittelstufe	37	W1_WEAK_WORKING	0	Acht Cache-Vorkommen und genau die Zweiteilung l plus kchey verbinden den gebundenen Kopf eines holzigen Pflanzenteils mit einem bekannten heiß-trockenen Mittelzustand.	L bleibt gebunden; Drogenholz und die genaue Stufenbezeichnung bleiben Rivalen.	WOOD_VS_WOODY_PART|EXACT_STAGE_NAME	8	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C16	polaiin	pol	pol#1	aiin	aiin#1	POWDER_INDEX_III	pol+aiin	Pulver, Wert III	Pulver, Wert III	37	W1_WEAK_WORKING	0	Acht Cache-Vorkommen und genau die Zweiteilung pol plus aiin werden durch die cth/p/s-Kreuzmatrix als Pulverkopf plus dritter Wert gestützt.	Wert III entscheidet nicht zwischen Menge, Form, Charge oder Grad; deshalb wird keine konkrete Einheit erfunden.	INDEX_ROLE|UNIT_IDENTITY|POWDER_IDENTITY	8	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C17	qofchedy	qo	qo#GLOBAL	fchedy	fchedy#GLOBAL	TAKE_DRY_FLOWER_FRACTION	qo+fchedy	Blüten-/Fruchtfraktion nehmen; bis Mittelstufe trocknen und abschließen	Blüten-/Fruchtfraktion nehmen; bis Mittelstufe trocknen und abschließen	59	W2_PROVISIONAL_WORKING	1	Acht Cache-Vorkommen und genau die Zweiteilung qo plus fchedy verbinden den starken Nehmen-Block mit der Trocknung einer reproduktiven Pflanzenfraktion.	Blüte gegen Fruchtstand und die genaue Mittelstufe bleiben offen; das Semikolon hält die beiden sichtbaren Aktionskomponenten getrennt.	FLOWER_VS_FRUIT|ACTION_ORDER|EXACT_STAGE_NAME	8	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C18	shdar	sh	sh#GLOBAL	dar	dar#1	SOAK_SHARE_I	sh+dar	eingeweichter, abgemessener Anteil I	eingeweichter, abgemessener Anteil I	32	W1_WEAK_WORKING	0	Acht Cache-Vorkommen und die sh/dar-Familie stützen Feuchte, Abmessung und Anteil I als nominalen Ganzwortwert.	Ob der Anteil vor oder nach dem Einweichen abgemessen wird, bleibt offen; keine globale Aktionsfolge.	ACTION_ORDER|SHARE_VS_FRACTION	8	REVISE_ROLE_CONSTRAINED_WHOLE	1
G734-C19	lkeeey	l	l#1	keeey	keeey#1	STRONGLY_HEATED_WOOD_END	l+keeey	holziger Pflanzenteil, stark erhitzt, Endstufe	holziger Pflanzenteil, stark erhitzt, Endstufe	31	W1_WEAK_WORKING	0	Sieben Cache-Vorkommen und die l/keeey-Familie verbinden einen holzigen Kopf mit dem stark erhitzten Endzustand.	L bleibt gebunden; Drogenholz gegen anderen holzigen Pflanzenteil und eine numerische Stufe III bleiben offen.	WOOD_VS_WOODY_PART|EXACT_STAGE_NAME	7	REVISE_ROLE_CONSTRAINED_WHOLE	1
G734-C20	okcho	o	o#GLOBAL	kcho	kcho#GLOBAL	HOT_DRY_PREPARATION	o+kcho	heiß-trockene Zubereitung	heiß-trockene Zubereitung	20	W1_WEAK_WORKING	0	Sieben Cache-Vorkommen stützen die heiße trockene Zubereitung als Ganzwortdefault.	Der schwache o-Wert fügt keinen sicheren Slot hinzu; die Zerlegung erhält keinen Kompositionskredit.	O_CARRIER_IDENTITY|PRODUCT_HEAD_IDENTITY	7	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
