modifier_sequence_ordinal	bath_frame	modifier_id_sequence	modifier_root_sequence	rendered_suffix_de	occurrence_count	example_event_id
20	BAD	M01_FILL|M05_GRADE_I|M13_SOURCE	AIIN_FILL|E|AR	 bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	1	G407-E2508
21	BAD	M01_FILL|M05_GRADE_I|M14_CONTACT	AIIN_FILL|E|L	 bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	1	G407-E3341
22	BAD	M02_APPLY|M04_GRADE_II	O|EE	 in Anwendungsform und auf Grad II	1	G407-E2821
23	BAD	M02_APPLY|M04_GRADE_II|M07_NEW_BATCH|M10_WORK_SITE	O|EE|CARRIER_Q|D_ADDR	 in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	1	G407-E3177
24	BAD	M02_APPLY|M05_GRADE_I|M06_FINE|M08_MAIN_SITE|M14_CONTACT	O|E|LOCAL_CHAR_F|A_ADDR|L	 in Anwendungsform, auf Grad I, in Feinform, an der Stations-Hauptstelle und über den Stationskontakt oder die Leitung	1	G407-E2934
25	BAD	M02_APPLY|M05_GRADE_I|M10_WORK_SITE|M13_SOURCE|M14_CONTACT	O|E|D_ADDR|AR|L	 in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	1	G407-E1611
26	BAD	M02_APPLY|M06_FINE|M10_WORK_SITE	O|LOCAL_CHAR_F|D_ADDR	 in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	1	G407-E2719
27	BAD	M02_APPLY|M14_CONTACT	O|L	 in Anwendungsform und über den Stationskontakt oder die Leitung	1	G407-E3113
28	BAD	M04_GRADE_II|M03_GRADE_III|M07_NEW_BATCH|M10_WORK_SITE|M14_CONTACT	EE|EEE|CARRIER_Q|D_ADDR|L	 auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	1	G407-E3512
29	BAD	M04_GRADE_II|M07_NEW_BATCH|M10_WORK_SITE	EE|CARRIER_Q|D_ADDR	 auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	1	G407-E2468
30	BAD	M04_GRADE_II|M13_SOURCE|M14_CONTACT	EE|AR|L	 auf Grad II, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	1	G407-E3384
31	BAD	M05_GRADE_I|M08_MAIN_SITE|M09_SIDE_SITE|M10_WORK_SITE|M15_PATH	E|A_ADDR|AM_ADDR|D_ADDR|AIR	 auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals	1	G407-E3020
32	BAD	M05_GRADE_I|M10_WORK_SITE|M12_TARGET|M13_SOURCE	E|D_ADDR|AL|AR	 auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken	1	G407-E2539
33	BAD	M05_GRADE_I|M10_WORK_SITE|M12_TARGET|M13_SOURCE|M14_CONTACT	E|D_ADDR|AL|AR|L	 auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	1	G407-E1574
34	BAD	M05_GRADE_I|M13_SOURCE	E|AR	 auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	1	G407-E1719
35	BAD	M08_MAIN_SITE	A_ADDR	 an der Stations-Hauptstelle	1	G407-E3013
36	BAD	M08_MAIN_SITE|M10_WORK_SITE|M13_SOURCE	A_ADDR|D_ADDR|AR	 an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	1	G407-E1648
37	BAD	M10_WORK_SITE|M13_SOURCE	D_ADDR|AR	 an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	1	G407-E1503
38	BAD	M10_WORK_SITE|M14_CONTACT	D_ADDR|L	 an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	1	G407-E3611
39	BAD	M12_TARGET|M14_CONTACT	AL|L	 zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung	1	G407-E2843
40	BAD	M14_CONTACT	L	 über den Stationskontakt oder die Leitung	1	G407-E3329
