bath_action_ordinal	source_event_id	action_slot_id	statement_id	physical_page	locus	surface	component_recipe	upstream_selection_route	typing_card_id	reference_scope_card_id	typing_token	scope_source_pointer	reference_mode	object_class	object_lemma_de	grammatical_gender	determiner_de	rendered_object_np_de	participant_count	selected_participant_position	participant_np_sequence_de	bath_frame	modifier_id_sequence	modifier_root_sequence	modifier_group_count	modifier_suffix_de	gdt595_clause_de	gdt596_reconstructed_clause_de	exact_replay	host_attachment_rival	default_survives_with_rival	guard
11	G407-E1506	RUNNING:G407-E1506@1	G407-S096	f75r	f75r.10	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1506:RUNNING:G407-E1506@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
12	G407-E1520	RUNNING:G407-E1520@1	G407-S100	f75r	f75r.11	shedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1517	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
13	G407-E1523	RUNNING:G407-E1523@2	G407-S101	f75r	f75r.12	ssheckhy	S+SH+E+CH+K+Y	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_BATH_UNIT	GDT595:G407-E1523:RUNNING:G407-E1521@2	ANAPHORIC	BATH_UNIT	Becken- oder Körpereinheit	FEMININE	dieselbe	dieselbe Becken- oder Körpereinheit	1	1	dieselbe Becken- oder Körpereinheit	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
14	G407-E1526	RUNNING:G407-E1526@1	G407-S101	f75r	f75r.12	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1526:RUNNING:G407-E1526@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
15	G407-E1529	RUNNING:G407-E1529@1	G407-S101	f75r	f75r.12	cheey	SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1529:RUNNING:G407-E1529@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
16	G407-E1530	RUNNING:G407-E1530@1	G407-S101	f75r	f75r.12	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1530:RUNNING:G407-E1530@3|RUNNING:G407-E1531@1	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
17	G407-E1544	RUNNING:G407-E1544@3	G407-S109	f75r	f75r.14	keishy	K+E+SH+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1544:RUNNING:G407-E1544@4	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	NONE	NONE	0	NONE	Halte den Körper im Bad	Halte den Körper im Bad	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
18	G407-E1560	RUNNING:G407-E1560@1	G407-S110	f75r	f75r.15	shedy	SH+E+DY	GDT569_OR_UNIT_PROMOTION	T04_STABLE_AIN_OR_TYPE	Q01_LEFT_ANAPHORIC	OR_UNIT_DEFAULT	GDT593:G407-E1559:OR	ANAPHORIC	BATH_UNIT	Stationseinheit	FEMININE	dieselbe	dieselbe Stationseinheit	1	1	dieselbe Stationseinheit	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
19	G407-E1563	RUNNING:G407-E1563@1	G407-S112	f75r	f75r.16	dshedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1562	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
20	G407-E1565	RUNNING:G407-E1565@1	G407-S113	f75r	f75r.16	sheedy	SH+EE+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
21	G407-E1569	RUNNING:G407-E1569@2	G407-S114	f75r	f75r.16	okshedy	OK+SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1568	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
22	G407-E1573	RUNNING:G407-E1573@1	G407-S115	f75r	f75r.17	shepchy	SH+E+P+Y	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT595:G407-E1573:RUNNING:G407-E1571@2	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
23	G407-E1574	RUNNING:G407-E1574@2	G407-S115	f75r	f75r.17	lshedary	L+SH+E+D_ADDR+AR+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1574:RUNNING:G407-E1574@6	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I|M10_WORK_SITE|M12_TARGET|M13_SOURCE|M14_CONTACT	E|D_ADDR|AL|AR|L	5	 auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
24	G407-E1576	RUNNING:G407-E1576@1	G407-S115	f75r	f75r.17	shal	SH+AL	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1576:RUNNING:G407-E1577@1	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M12_TARGET	AL	1	 zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
25	G407-E1579	RUNNING:G407-E1579@1	G407-S115	f75r	f75r.17	shedy	SH+E+DY	EPISODE_CARRY	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	CARRY:G407-E1576	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
26	G407-E1582	RUNNING:G407-E1582@1	G407-S116	f75r	f75r.18	sheedy	SH+EE+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
27	G407-E1584	RUNNING:G407-E1584@1	G407-S117	f75r	f75r.18	shedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
28	G407-E1590	RUNNING:G407-E1590@2	G407-S118	f75r	f75r.19	qokshedy	OK+SH+E+DY	GDT569_Y_LOCAL_FLOW_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_FLOW	GDT594:G407-E1589	ANAPHORIC	FLOW	Strom	MASCULINE	denselben	denselben Strom	1	1	denselben Strom	BADBETRIEB	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Strom im Badbetrieb auf Grad I	Halte denselben Strom im Badbetrieb auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
29	G407-E1592	RUNNING:G407-E1592@1	G407-S119	f75r	f75r.19	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1592:RUNNING:G407-E1592@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
30	G407-E1594	RUNNING:G407-E1594@1	G407-S119	f75r	f75r.19	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1594:RUNNING:G407-E1594@3|RUNNING:G407-E1595@2	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
31	G407-E1599	RUNNING:G407-E1599@1	G407-S119	f75r	f75r.20	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1599:RUNNING:G407-E1599@3|RUNNING:G407-E1600@1|RUNNING:G407-E1601@1|RUNNING:G407-E1602@2|RUNNING:G407-E1604@1|RUNNING:G407-E1604@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	3	1	den Stationsansatz|die Badeinheit|die Anwendungsportion	BAD	M02_APPLY|M05_GRADE_I|M14_CONTACT	O|E|L	3	 in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz, die Badeinheit und die Anwendungsportion im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz, die Badeinheit und die Anwendungsportion im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
32	G407-E1605	RUNNING:G407-E1605@1	G407-S119	f75r	f75r.20	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1605:RUNNING:G407-E1605@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
