global_token_order	section	global_field_id	position_class	master_card_id	value_de	hand_a_surface	rule_applied	compressed_profile_surface	hand_c_surface	matches_hand_c	surface_registered
21	C	N06	MEDIAL	MC154	dorthin	dal	R3	al	al	YES	YES
22	C	N06	MEDIAL	MC119	Klarauszug	shey	DEFAULT_KEEP	shey	shey	YES	YES
23	C	N06	MEDIAL	MC039	Sollmaß	aiin	R2	daiin	daiin	YES	YES
24	C	N06	MEDIAL	MC059	Einlage	dain	DEFAULT_KEEP	dain	dain	YES	YES
25	C	N06	FINAL	MC143	durchlassen; Schluss	shckhedy	DEFAULT_KEEP	shckhedy	shckhedy	YES	YES
26	C	N07	INITIAL	MC107	Folgeposten	qotchy	DEFAULT_KEEP	qotchy	qotchy	YES	YES
27	C	N07	MEDIAL	MC093	danach dorthin	otal	R1	qotal	qotal	YES	YES
28	C	N07	MEDIAL	MC026	einsetzen	qoky	DEFAULT_KEEP	qoky	qoky	YES	YES
29	C	N07	FINAL	MC038	Waschgang; Schluss	lshedy	DEFAULT_KEEP	lshedy	lshedy	YES	YES
30	C	N08	INITIAL	MC105	Anteil	kain	DEFAULT_KEEP	kain	kain	YES	YES
31	C	N08	MEDIAL	MC160	Verwahrort	talam	DEFAULT_KEEP	talam	talam	YES	YES
32	C	N08	FINAL	MC019	fertig	oldy	DEFAULT_KEEP	oldy	oldy	YES	YES
33	B	N09	INITIAL	MC160	Verwahrort	talam	DEFAULT_KEEP	talam	talam	YES	YES
34	B	N09	MEDIAL	MC142	vom vorigen	dchol	DEFAULT_KEEP	dchol	dchol	YES	YES
35	B	N09	MEDIAL	MC170	Sollportion	ykaiin	DEFAULT_KEEP	ykaiin	ykaiin	YES	YES
36	B	N09	FINAL	MC152	Teilen	ches	DEFAULT_KEEP	ches	ches	YES	YES
37	B	N10	INITIAL	MC047	erste Portion	ykain	DEFAULT_KEEP	ykain	ykain	YES	YES
38	B	N10	FINAL	MC100	Abkühlen	ody	DEFAULT_KEEP	ody	ody	YES	YES
39	B	N11	INITIAL	MC160	Verwahrort	talam	DEFAULT_KEEP	talam	talam	YES	YES
40	B	N11	FINAL	MC019	fertig	oldy	DEFAULT_KEEP	oldy	oldy	YES	YES
41	B	N12	INITIAL	MC148	zweite Portion	ykan	DEFAULT_KEEP	ykan	ykan	YES	YES
42	B	N12	MEDIAL	MC147	kurz wärmen	cheky	DEFAULT_KEEP	cheky	cheky	YES	YES
43	B	N12	MEDIAL	MC040	dorthin einsetzen	okal	DEFAULT_KEEP	okal	okal	YES	YES
44	B	N12	FINAL	MC083	kurz einwirken; Schluss	qokedy	DEFAULT_KEEP	qokedy	qokedy	YES	YES
45	B	N13	INITIAL	MC107	Folgeposten	qotchy	DEFAULT_KEEP	qotchy	qotchy	YES	YES
46	B	N13	MEDIAL	MC093	danach dorthin	otal	R1	qotal	qotal	YES	YES
47	B	N13	MEDIAL	MC026	einsetzen	qoky	DEFAULT_KEEP	qoky	qoky	YES	YES
48	B	N13	FINAL	MC084	Waschschluss	rshedy	DEFAULT_KEEP	rshedy	rshedy	YES	YES
49	D	N14	INITIAL	MC080	Ansatz	chor	R4	or	or	YES	YES
50	D	N14	MEDIAL	MC055	davon	char	DEFAULT_KEEP	char	char	YES	YES
51	D	N14	MEDIAL	MC120	bemessen	okaiin	R1	qokaiin	qokaiin	YES	YES
52	D	N14	MEDIAL	MC012	Zusatz	dl	DEFAULT_KEEP	dl	dl	YES	YES
53	D	N14	MEDIAL	MC034	weitere Zutat	cho	DEFAULT_KEEP	cho	cho	YES	YES
54	D	N14	MEDIAL	MC073	kurz vorbereiten	qcthey	DEFAULT_KEEP	qcthey	qcthey	YES	YES
55	D	N14	FINAL	MC153	weiter	cheol	R4	ol	ol	YES	YES
56	D	N15	INITIAL	MC123	dies	chey	DEFAULT_KEEP	chey	chey	YES	YES
57	D	N15	MEDIAL	MC032	länger bearbeiten	cheeky	DEFAULT_KEEP	cheeky	cheeky	YES	YES
58	D	N15	MEDIAL	MC113	am Ziel absetzen	shedal	DEFAULT_KEEP	shedal	shedal	YES	YES
59	D	N15	FINAL	MC128	kurz absetzen; Schluss	cheedy	R5	shedy	shedy	YES	YES
60	D	N16	INITIAL	MC013	Folgeansatz	otchor	R1	qotchor	qotchor	YES	YES
61	D	N16	MEDIAL	MC017	Anteil zugeben	okain	DEFAULT_KEEP	okain	okain	YES	YES
62	D	N16	MEDIAL	MC033	Arbeitsstufe	oiiin	DEFAULT_KEEP	oiiin	oiiin	YES	YES
63	D	N16	MEDIAL	MC001	Zieltransfer	chdal	DEFAULT_KEEP	chdal	chdal	YES	YES
64	D	N16	FINAL	MC025	überführen; Schluss	dchedy	R5	schedy	schedy	YES	YES
65	D	N17	INITIAL	MC123	dies	chey	DEFAULT_KEEP	chey	chey	YES	YES
66	D	N17	MEDIAL	MC002	lange einwirken	okeey	R1	qokeey	qokeey	YES	YES
67	D	N17	MEDIAL	MC001	Zieltransfer	chdal	DEFAULT_KEEP	chdal	chdal	YES	YES
68	D	N17	FINAL	MC155	abführen; Schluss	lchedy	DEFAULT_KEEP	lchedy	lchedy	YES	YES
69	D	N18	INITIAL	MC013	Folgeansatz	otchor	R1	qotchor	qotchor	YES	YES
70	D	N18	MEDIAL	MC034	weitere Zutat	cho	DEFAULT_KEEP	cho	cho	YES	YES
71	D	N18	MEDIAL	MC073	kurz vorbereiten	qcthey	DEFAULT_KEEP	qcthey	qcthey	YES	YES
72	D	N18	MEDIAL	MC020	Langsammlung	solkeey	DEFAULT_KEEP	solkeey	solkeey	YES	YES
73	D	N18	FINAL	MC004	abziehen; Schluss	ldy	DEFAULT_KEEP	ldy	ldy	YES	YES
