occurrence	tuple_id	surface	page	locus	record_ordinal	field_ordinal	within_field_position	line_first	dy_closure	b3	boundary_before	boundary_after	complete_field_surface	complete_field_v17	preceding_physical_line	target_physical_line_v17	following_physical_line	immediate_before_state	selected_transition	immediate_after_state	rival_1_inserted_sequence	rival_2_inserted_sequence	rival_3_inserted_sequence	rewritten_target_line	process_before_class	process_after_class	visible_owner	silent_owner	fit
11	259b2b3b0bf859882e2c	dchedy	f82r	f82r.2	1	1	ONLY	1	1	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	dchedy	finish this treatment; end this instruction	PAGE_START	finish this treatment; end this instruction; reserve the mixed liquid; end this instruction; add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction; mix the two portions together; the second opening; and proceed to the next basin	keep it lukewarm; strain it clear; close the rubric; continue at the second conduit; through a cloth; through the connected channels; take up the next portion or instruction	page/record opening	wash the active vessel or conduit through once; close this step	reserve the mixed liquid; end this instruction	page/record opening -> [finish the current treatment] -> reserve the mixed liquid; end this instruction	page/record opening -> [strain the liquid once] -> reserve the mixed liquid; end this instruction	page/record opening -> [wash the active vessel or conduit through once] -> reserve the mixed liquid; end this instruction	wash the active vessel or conduit through once; close this step; set the prepared liquor aside in a receiving vessel; close this step; add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction; mix the two portions together; the second opening; and proceed to the next basin	a vessel/route is available, or a measured immersed portion has just passed through connected channels	the active vessel/route has been flushed once and is ready for the next liquid or heating cycle	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
12	28ffbc88b97772a75f1e	qolchedy	f82r	f82r.2	1	2	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qolchedy	reserve the mixed liquid; end this instruction	PAGE_START	finish this treatment; end this instruction; reserve the mixed liquid; end this instruction; add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction; mix the two portions together; the second opening; and proceed to the next basin	keep it lukewarm; strain it clear; close the rubric; continue at the second conduit; through a cloth; through the connected channels; take up the next portion or instruction	finish this treatment; end this instruction	set the prepared liquor aside in a receiving vessel; close this step	add one measured portion to the vessel	finish this treatment; end this instruction -> [set the prepared liquor aside in a receiving vessel] -> add one measured portion to the vessel	finish this treatment; end this instruction -> [draw off the clear upper liquor into a receiver] -> add one measured portion to the vessel	finish this treatment; end this instruction -> [retain the entire mixture in the same vessel] -> add one measured portion to the vessel	wash the active vessel or conduit through once; close this step; set the prepared liquor aside in a receiving vessel; close this step; add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction; mix the two portions together; the second opening; and proceed to the next basin	a warmed, stirred or freshly mixed working liquor has been completed	the prepared liquor is reserved in a receiver while the scribe advances to the next addition or conduit step	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
13	0275fbf14e07935b0a45	qokeey	f82r	f82r.3	1	1	FIRST	1	0	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qokeey lcheckhedy	keep it lukewarm; strain it clear; close the rubric	finish this treatment; end this instruction; reserve the mixed liquid; end this instruction; add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction; mix the two portions together; the second opening; and proceed to the next basin	keep it lukewarm; strain it clear; close the rubric; continue at the second conduit; through a cloth; through the connected channels; take up the next portion or instruction	take up the next portion or instruction; under the same setting; the broad vessel; draw it off; close the rubric; the prepared oil; mix the two portions together; over the local place; apply or use this portion	and proceed to the next basin	top up the active bath with warmed water	strain it clear; close the rubric	and proceed to the next basin -> [keep the active preparation lukewarm] -> strain it clear; close the rubric	and proceed to the next basin -> [mix the active preparation thoroughly] -> strain it clear; close the rubric	and proceed to the next basin -> [top up the active bath with warmed water] -> strain it clear; close the rubric	top up the active bath with warmed water; strain it clear; close the rubric; continue at the second conduit; through a cloth; through the connected channels; take up the next portion or instruction	active bath or working liquid is mixed, cooled, marked or awaiting reuse	bath volume and warmth are restored for straining, immersion, rinsing or application	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
14	0275fbf14e07935b0a45	qokeey	f82r	f82r.7	1	4	FIRST	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qokeey qoky ls cheey	keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear	take up the next portion or instruction; under the same setting; the broad vessel; draw it off; close the rubric; the prepared oil; mix the two portions together; over the local place; apply or use this portion	add clean water; close the rubric; for the same interval as before; over the local place; let it stand until ready; end this instruction; keep it warm; close the rubric; keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear	add one measured portion to the vessel; from the same batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction; draw off the clear liquid	keep it warm; close the rubric	top up the active bath with warmed water	apply or use this portion	keep it warm; close the rubric -> [keep the active preparation lukewarm] -> apply or use this portion	keep it warm; close the rubric -> [mix the active preparation thoroughly] -> apply or use this portion	keep it warm; close the rubric -> [top up the active bath with warmed water] -> apply or use this portion	add clean water; close the rubric; for the same interval as before; over the local place; let it stand until ready; end this instruction; keep it warm; close the rubric; top up the active bath with warmed water; apply or use this portion; the first opening; until the liquid runs clear	active bath or working liquid is mixed, cooled, marked or awaiting reuse	bath volume and warmth are restored for straining, immersion, rinsing or application	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
15	4d4559019a961b834aa1	char	f82r	f82r.19	1	1	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	okain char okain qokeedy	add one measured portion to the vessel; from the same batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction	add clean water; close the rubric; for the same interval as before; over the local place; let it stand until ready; end this instruction; keep it warm; close the rubric; keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear	add one measured portion to the vessel; from the same batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction; draw off the clear liquid	until the liquid runs clear; under the same setting; keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric; leave it standing in the lower vessel; end this instruction; close the lower outlet	add one measured portion to the vessel	take it from the same preparation or batch	add one measured portion to the vessel	add one measured portion to the vessel -> [take it from the same preparation or batch] -> add one measured portion to the vessel	add one measured portion to the vessel -> [continue with the next step] -> add one measured portion to the vessel	add one measured portion to the vessel -> [repeat the whole foregoing preparation] -> add one measured portion to the vessel	add one measured portion to the vessel; take it from the same preparation or batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction; draw off the clear liquid	a named simple, working batch, flow or measured addition is active	the next amount/action inherits that same material source rather than starting a fresh batch	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
16	0275fbf14e07935b0a45	qokeey	f82r	f82r.23	1	1	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	cheey qcthey qokeey lcheey daiin chey qokeeedy	until the liquid runs clear; under the same setting; keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric	add one measured portion to the vessel; from the same batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction; draw off the clear liquid	until the liquid runs clear; under the same setting; keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric; leave it standing in the lower vessel; end this instruction; close the lower outlet	begin the rinsing; bathe or immerse in the tempered warm liquid; end this instruction; at the place indicated by the drawing; cool water; in equal portions; in the stated or usual measure; the prepared oil; take up the next portion or instruction; warm water	under the same setting	top up the active bath with warmed water	the immersed part	under the same setting -> [keep the active preparation lukewarm] -> the immersed part	under the same setting -> [mix the active preparation thoroughly] -> the immersed part	under the same setting -> [top up the active bath with warmed water] -> the immersed part	until the liquid runs clear; under the same setting; top up the active bath with warmed water; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric; let the whole liquid drain into the lower receiving vessel; close this step; close the lower outlet	active bath or working liquid is mixed, cooled, marked or awaiting reuse	bath volume and warmth are restored for straining, immersion, rinsing or application	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
17	de7321bface5628e35d6	lchedy	f82r	f82r.23	1	2	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	lchedy	leave it standing in the lower vessel; end this instruction	add one measured portion to the vessel; from the same batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction; draw off the clear liquid	until the liquid runs clear; under the same setting; keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric; leave it standing in the lower vessel; end this instruction; close the lower outlet	begin the rinsing; bathe or immerse in the tempered warm liquid; end this instruction; at the place indicated by the drawing; cool water; in equal portions; in the stated or usual measure; the prepared oil; take up the next portion or instruction; warm water	immerse fully; close the rubric	let the whole liquid drain into the lower receiving vessel; close this step	close the lower outlet	immerse fully; close the rubric -> [leave it standing in the lower vessel] -> close the lower outlet	immerse fully; close the rubric -> [let the whole liquid drain into the lower receiving vessel] -> close the lower outlet	immerse fully; close the rubric -> [cool it to the ordinary base setting] -> close the lower outlet	until the liquid runs clear; under the same setting; top up the active bath with warmed water; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric; let the whole liquid drain into the lower receiving vessel; close this step; close the lower outlet	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
18	de7321bface5628e35d6	lchedy	f83r	f83r.3	1	3	LAST	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	chey daiin chey lchedy	this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction	PAGE_START	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; toward the lower outlet; from the same batch	finish this treatment; end this instruction; pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; leave it standing in the lower vessel; end this instruction; apply or use this portion	this present portion	let the whole liquid drain into the lower receiving vessel; close this step	take up the next portion or instruction	this present portion -> [leave it standing in the lower vessel] -> take up the next portion or instruction	this present portion -> [let the whole liquid drain into the lower receiving vessel] -> take up the next portion or instruction	this present portion -> [cool it to the ordinary base setting] -> take up the next portion or instruction	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; let the whole liquid drain into the lower receiving vessel; close this step; take up the next portion or instruction; toward the lower outlet; take it from the same preparation or batch	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
19	4d4559019a961b834aa1	dar	f83r	f83r.3	1	4	LAST	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	LINE_END	qokaiin qotal dar	take up the next portion or instruction; toward the lower outlet; from the same batch	PAGE_START	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; toward the lower outlet; from the same batch	finish this treatment; end this instruction; pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; leave it standing in the lower vessel; end this instruction; apply or use this portion	toward the lower outlet	take it from the same preparation or batch	finish this treatment; end this instruction	toward the lower outlet -> [take it from the same preparation or batch] -> finish this treatment; end this instruction	toward the lower outlet -> [continue with the next step] -> finish this treatment; end this instruction	toward the lower outlet -> [repeat the whole foregoing preparation] -> finish this treatment; end this instruction	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; let the whole liquid drain into the lower receiving vessel; close this step; take up the next portion or instruction; toward the lower outlet; take it from the same preparation or batch	a named simple, working batch, flow or measured addition is active	the next amount/action inherits that same material source rather than starting a fresh batch	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
20	259b2b3b0bf859882e2c	schedy	f83r	f83r.6	1	1	ONLY	1	1	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	schedy	finish this treatment; end this instruction	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; toward the lower outlet; from the same batch	finish this treatment; end this instruction; pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; leave it standing in the lower vessel; end this instruction; apply or use this portion	then fill the vessel; steep until clear; close the rubric; apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool	from the same batch	wash the active vessel or conduit through once; close this step	pour in the warmed water	from the same batch -> [finish the current treatment] -> pour in the warmed water	from the same batch -> [strain the liquid once] -> pour in the warmed water	from the same batch -> [wash the active vessel or conduit through once] -> pour in the warmed water	wash the active vessel or conduit through once; close this step; pour in the warmed water; mix the two portions together; set the prepared liquor aside in a receiving vessel; close this step; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; let the whole liquid drain into the lower receiving vessel; close this step; apply or use this portion	a vessel/route is available, or a measured immersed portion has just passed through connected channels	the active vessel/route has been flushed once and is ready for the next liquid or heating cycle	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
21	28ffbc88b97772a75f1e	olchedy	f83r	f83r.6	1	2	LAST	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	chedchy qokal olchedy	pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; toward the lower outlet; from the same batch	finish this treatment; end this instruction; pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; leave it standing in the lower vessel; end this instruction; apply or use this portion	then fill the vessel; steep until clear; close the rubric; apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool	mix the two portions together	set the prepared liquor aside in a receiving vessel; close this step	take up the next portion or instruction	mix the two portions together -> [set the prepared liquor aside in a receiving vessel] -> take up the next portion or instruction	mix the two portions together -> [draw off the clear upper liquor into a receiver] -> take up the next portion or instruction	mix the two portions together -> [retain the entire mixture in the same vessel] -> take up the next portion or instruction	wash the active vessel or conduit through once; close this step; pour in the warmed water; mix the two portions together; set the prepared liquor aside in a receiving vessel; close this step; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; let the whole liquid drain into the lower receiving vessel; close this step; apply or use this portion	a warmed, stirred or freshly mixed working liquor has been completed	the prepared liquor is reserved in a receiver while the scribe advances to the next addition or conduit step	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
22	de7321bface5628e35d6	lchedy	f83r	f83r.6	1	4	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	lchedy	leave it standing in the lower vessel; end this instruction	let the liquid settle; end this instruction; toward the lower outlet; immerse fully; close the rubric; this present portion; in the stated or usual measure; this present portion; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; toward the lower outlet; from the same batch	finish this treatment; end this instruction; pour in the warmed water; mix the two portions together; reserve the mixed liquid; end this instruction; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; leave it standing in the lower vessel; end this instruction; apply or use this portion	then fill the vessel; steep until clear; close the rubric; apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool	bathe or immerse in the tempered warm liquid; end this instruction	let the whole liquid drain into the lower receiving vessel; close this step	apply or use this portion	bathe or immerse in the tempered warm liquid; end this instruction -> [leave it standing in the lower vessel] -> apply or use this portion	bathe or immerse in the tempered warm liquid; end this instruction -> [let the whole liquid drain into the lower receiving vessel] -> apply or use this portion	bathe or immerse in the tempered warm liquid; end this instruction -> [cool it to the ordinary base setting] -> apply or use this portion	wash the active vessel or conduit through once; close this step; pour in the warmed water; mix the two portions together; set the prepared liquor aside in a receiving vessel; close this step; take up the next portion or instruction; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction; let the whole liquid drain into the lower receiving vessel; close this step; apply or use this portion	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
23	de7321bface5628e35d6	lchedy	f83r	f83r.11	1	4	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	lchedy	leave it standing in the lower vessel; end this instruction	then fill the vessel; steep until clear; close the rubric; apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool	the prepared decoction or working liquid; let it stand until ready; end this instruction; take up the next portion or instruction; one measured portion; under the same setting; rinse the indicated place once; end this instruction; next open the upper channel; wash once; close the rubric; leave it standing in the lower vessel; end this instruction; close the lower outlet	let it cool; close the rubric; bathe or immerse in the tempered warm liquid; end this instruction; let it stand until ready; end this instruction; boil gently; close the rubric; at the place indicated by the drawing; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; when the preparation is ready; at the place indicated by the drawing; this present portion	wash once; close the rubric	let the whole liquid drain into the lower receiving vessel; close this step	close the lower outlet	wash once; close the rubric -> [leave it standing in the lower vessel] -> close the lower outlet	wash once; close the rubric -> [let the whole liquid drain into the lower receiving vessel] -> close the lower outlet	wash once; close the rubric -> [cool it to the ordinary base setting] -> close the lower outlet	the prepared decoction or working liquid; let it stand until ready; end this instruction; take up the next portion or instruction; one measured portion; under the same setting; rinse the indicated place once; end this instruction; next open the upper channel; wash once; close the rubric; let the whole liquid drain into the lower receiving vessel; close this step; close the lower outlet	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
24	de7321bface5628e35d6	lchedy	f83r	f83r.14	1	5	LAST	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	dal lchedy	at the place indicated by the drawing; leave it standing in the lower vessel; end this instruction	the prepared decoction or working liquid; let it stand until ready; end this instruction; take up the next portion or instruction; one measured portion; under the same setting; rinse the indicated place once; end this instruction; next open the upper channel; wash once; close the rubric; leave it standing in the lower vessel; end this instruction; close the lower outlet	let it cool; close the rubric; bathe or immerse in the tempered warm liquid; end this instruction; let it stand until ready; end this instruction; boil gently; close the rubric; at the place indicated by the drawing; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; when the preparation is ready; at the place indicated by the drawing; this present portion	in the stated or usual measure; for one interval; warm water; this present portion; at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric; mix in equal shares; close the rubric; leave it standing in the lower vessel; end this instruction	at the place indicated by the drawing	let the whole liquid drain into the lower receiving vessel; close this step	take up the next portion or instruction	at the place indicated by the drawing -> [leave it standing in the lower vessel] -> take up the next portion or instruction	at the place indicated by the drawing -> [let the whole liquid drain into the lower receiving vessel] -> take up the next portion or instruction	at the place indicated by the drawing -> [cool it to the ordinary base setting] -> take up the next portion or instruction	let it cool; close the rubric; bathe or immerse in the tempered warm liquid; end this instruction; let it stand until ready; end this instruction; boil gently; close the rubric; at the place indicated by the drawing; let the whole liquid drain into the lower receiving vessel; close this step; take up the next portion or instruction; when the preparation is ready; at the place indicated by the drawing; this present portion	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
25	de7321bface5628e35d6	lchedy	f83r	f83r.15	1	3	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	LINE_END	lchedy	leave it standing in the lower vessel; end this instruction	let it cool; close the rubric; bathe or immerse in the tempered warm liquid; end this instruction; let it stand until ready; end this instruction; boil gently; close the rubric; at the place indicated by the drawing; leave it standing in the lower vessel; end this instruction; take up the next portion or instruction; when the preparation is ready; at the place indicated by the drawing; this present portion	in the stated or usual measure; for one interval; warm water; this present portion; at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric; mix in equal shares; close the rubric; leave it standing in the lower vessel; end this instruction	finish this treatment; end this instruction; heat it once; end this instruction; place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears	mix in equal shares; close the rubric	let the whole liquid drain into the lower receiving vessel; close this step	finish this treatment; end this instruction	mix in equal shares; close the rubric -> [leave it standing in the lower vessel] -> finish this treatment; end this instruction	mix in equal shares; close the rubric -> [let the whole liquid drain into the lower receiving vessel] -> finish this treatment; end this instruction	mix in equal shares; close the rubric -> [cool it to the ordinary base setting] -> finish this treatment; end this instruction	in the stated or usual measure; for one interval; warm water; this present portion; at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric; mix in equal shares; close the rubric; let the whole liquid drain into the lower receiving vessel; close this step	an immersed, washed or mixed liquid occupies the working place or upper vessel	the working place is emptied and the lower receiver holds the whole run; the substep is committed	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
26	259b2b3b0bf859882e2c	tchedy	f83r	f83r.16	1	1	ONLY	1	1	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	tchedy	finish this treatment; end this instruction	in the stated or usual measure; for one interval; warm water; this present portion; at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric; mix in equal shares; close the rubric; leave it standing in the lower vessel; end this instruction	finish this treatment; end this instruction; heat it once; end this instruction; place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears	let the liquid settle; end this instruction; bind upon the place; close the rubric; keep it lukewarm; rinse the indicated place once; end this instruction; with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction; apply or use this portion; in the stated or usual measure	leave it standing in the lower vessel; end this instruction	wash the active vessel or conduit through once; close this step	heat it once; end this instruction	leave it standing in the lower vessel; end this instruction -> [finish the current treatment] -> heat it once; end this instruction	leave it standing in the lower vessel; end this instruction -> [strain the liquid once] -> heat it once; end this instruction	leave it standing in the lower vessel; end this instruction -> [wash the active vessel or conduit through once] -> heat it once; end this instruction	wash the active vessel or conduit through once; close this step; heat it once; end this instruction; place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears	a vessel/route is available, or a measured immersed portion has just passed through connected channels	the active vessel/route has been flushed once and is ready for the next liquid or heating cycle	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
27	0275fbf14e07935b0a45	qokeey	f83r	f83r.20	1	3	FIRST	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qokeey qokedy	keep it lukewarm; rinse the indicated place once; end this instruction	finish this treatment; end this instruction; heat it once; end this instruction; place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears	let the liquid settle; end this instruction; bind upon the place; close the rubric; keep it lukewarm; rinse the indicated place once; end this instruction; with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction; apply or use this portion; in the stated or usual measure	draw off the clear liquid; mix in equal shares; close the rubric; bathe or immerse in the tempered warm liquid; end this instruction; begin the rinsing; stir until evenly mixed; the broad vessel; for the same interval as before; steep until clear; close the rubric; draw it off; close the rubric	bind upon the place; close the rubric	top up the active bath with warmed water	rinse the indicated place once; end this instruction	bind upon the place; close the rubric -> [keep the active preparation lukewarm] -> rinse the indicated place once; end this instruction	bind upon the place; close the rubric -> [mix the active preparation thoroughly] -> rinse the indicated place once; end this instruction	bind upon the place; close the rubric -> [top up the active bath with warmed water] -> rinse the indicated place once; end this instruction	let the liquid settle; end this instruction; bind upon the place; close the rubric; top up the active bath with warmed water; rinse the indicated place once; end this instruction; with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction; apply or use this portion; in the stated or usual measure	active bath or working liquid is mixed, cooled, marked or awaiting reuse	bath volume and warmth are restored for straining, immersion, rinsing or application	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
