statement_id	record_unit_id	page	physical_loci	event_count	visible_surface_sequence	primitive_sequence	primitive_count	macro_id	macro_reading_de	full_statement_reading_de	exact_phrase_recurrence	owner_rule
B2-S009	B2	f82r	f82r.7	1	solshedy	SETTLE>CLOSE	2	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S010	B2	f82r	f82r.7	4	qokeey qoky ls cheey	SET>DURATION_GRADE>DRAIN>PASS_STRAIN	4	FILTER_PASS_CELL	Arbeitsflüssigkeit durch den lokalen Durchlass führen	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S011	B2	f82r	f82r.19	4	okain char okain qokeedy	PORTION_ADD>SET>DURATION_GRADE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S012	B2	f82r	f82r.19|f82r.23	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	DRAIN>PASS_STRAIN>DURATION_GRADE>READY>SET>DURATION_GRADE>DRAIN>PASS_STRAIN>MEASURE>DURATION_GRADE>CLOSE	11	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S013	B2	f82r	f82r.23	1	lchedy	DRAIN>CLOSE	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S014	B2	f82r	f82r.23	1	lar	DRAIN>TARGET	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S015	B2	f82r	f82r.26	2	tshey qokeedy	DRAIN>PORTION_ADD>PASS_STRAIN>SET>DURATION_GRADE>CLOSE	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S016	B2	f82r	f82r.26|f82r.27	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	DRAIN>TRANSFER>TARGET>MEASURE>ORDER_CONTINUE>SET>DURATION_GRADE>CLOSE	8	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S017	B2	f82r	f82r.27	2	rsheal daldy	DURATION_GRADE>TARGET>SETTLE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S018	B2	f82r	f82r.27	1	qokeedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S019	B2	f82r	f82r.27	1	rshedy	WASH>CLOSE	2	WASH_CELL	örtlichen Wasch-/Spülgang ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S020	B2	f82r	f82r.27	1	qoteedy	DURATION_GRADE>ORDER_CONTINUE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe	2	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S021	B2	f82r	f82r.27	1	qokeedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S022	B2	f82r	f82r.27	1	lochedy	DRAIN>CLOSE	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S001	B3	f83r	f83r.3	1	olkeedy	DURATION_GRADE>CLOSE	2	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Sammle länger und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S002	B3	f83r	f83r.3	2	qotal chkeedy	TRANSFER>TARGET>HEAT>DURATION_GRADE>CLOSE	5	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S003	B3	f83r	f83r.3	4	chey daiin chey lchedy	MEASURE>DRAIN>CLOSE	3	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S004	B3	f83r	f83r.3	3	qokaiin qotal dar	MEASURE>TRANSFER>TARGET	3	MEASURED_CHARGE_CELL	Portion oder Sollstufe einstellen und zugeben	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S005	B3	f83r	f83r.6	1	schedy	TRANSFER>MEASURE>PORTION_ADD>CLOSE	4	MEASURED_CHARGE_CELL	Portion oder Sollstufe einstellen und zugeben	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze die entnommene Sollmaßportion um und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S006	B3	f83r	f83r.6	3	chedchy qokal olchedy	TRANSFER>TARGET>ORDER_CONTINUE>CLOSE	4	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S007	B3	f83r	f83r.6	3	qokaiin chedy qokeedy	MEASURE>TRANSFER>SET>DURATION_GRADE>CLOSE	5	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S008	B3	f83r	f83r.6	1	lchedy	DRAIN>CLOSE	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S009	B3	f83r	f83r.6	1	qoky	SET	1	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S010	B3	f83r	f83r.8	2	pchedal otedy	SET>DURATION_GRADE>ORDER_CONTINUE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S011	B3	f83r	f83r.8	4	shecthedchy qoky chedy chary	TRANSFER>READY>SET>TRANSFER>ORDER_CONTINUE	5	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S012	B3	f83r	f83r.11	2	sor shedy	HEAT>SET>SETTLE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S013	B3	f83r	f83r.11	4	qokaiin chkain shcthey qokedy	MEASURE>PORTION_ADD>DURATION_GRADE>READY>SET>DURATION_GRADE>CLOSE	7	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S014	B3	f83r	f83r.11	2	okair sheedy	PORTION_ADD>DURATION_GRADE>SETTLE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S015	B3	f83r	f83r.11	1	lchedy	DRAIN>CLOSE	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S016	B3	f83r	f83r.11|f83r.14	2	lo qokchedy	DRAIN>TRANSFER>CLOSE	3	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S017	B3	f83r	f83r.14	1	qokeedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S018	B3	f83r	f83r.14	1	shedy	SETTLE>CLOSE	2	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S019	B3	f83r	f83r.14	1	qokshedy	SETTLE>CLOSE	2	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S020	B3	f83r	f83r.14	2	dal lchedy	TRANSFER>TARGET>DRAIN>CLOSE	4	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S021	B3	f83r	f83r.14|f83r.15	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	MEASURE>READY>TRANSFER>TARGET>SETTLE>DURATION_GRADE>READY>TRANSFER>TARGET>TRANSFER>CLOSE	11	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S022	B3	f83r	f83r.15	1	qotchedy	ORDER_CONTINUE>TRANSFER>CLOSE	3	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe	2	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S023	B3	f83r	f83r.15	1	lchedy	DRAIN>CLOSE	2	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	5	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S024	B3	f83r	f83r.16	1	tchedy	TRANSFER>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B3-S025	B3	f83r	f83r.16	1	qokchdy	TRANSFER>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
