unified_serial	section	page	unit_id	local_id	surface_display_only	read_aloud_de	copy_rule_de	owner_or_namespace	meaning_or_use_de	meaning_layer
11	HERBAL	f10r	H1	E011	qokchy	ansetzen · dieser Posten	am Recordmelodieplatz RM01:2 schreibe qokchy	abgebildete breit gezähnte radialblütige Pflanze	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	COMPOSITIONAL_PROSE
12	HERBAL	f10r	H1	E012	qotchol	danach · abziehen · fortsetzen	schreibe die globale Vorzugsform qotchol	abgebildete breit gezähnte radialblütige Pflanze	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	COMPOSITIONAL_PROSE
13	HERBAL	f10r	H1	E013	chol	fortsetzen	schreibe die globale Vorzugsform chol	abgebildete breit gezähnte radialblütige Pflanze	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	COMPOSITIONAL_PROSE
14	HERBAL	f10r	H1	E014	cthy	bereit · dieser Posten	schreibe die globale Vorzugsform cthy	abgebildete breit gezähnte radialblütige Pflanze	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	COMPOSITIONAL_PROSE
15	HERBAL	f10r	H2	E015	ycheor	dieser Posten · abziehen · kurz · Ansatz	schreibe die globale Vorzugsform ycheor	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
16	HERBAL	f10r	H2	E016	cthy	bereit · dieser Posten	schreibe die globale Vorzugsform cthy	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
17	HERBAL	f10r	H2	E017	chor	Ansatz	schreibe die globale Vorzugsform chor	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
18	HERBAL	f10r	H2	E018	cthaiin	bereit · vorgeschriebenes Maß	schreibe die globale Vorzugsform cthaiin	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
19	HERBAL	f10r	H2	E019	qoctholy	Arbeitsgang · bereit · fortsetzen · dieser Posten	schreibe die globale Vorzugsform qoctholy	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
20	HERBAL	f10r	H2	E020	dy	dieser Posten	in der gelernten Formelkadenz FC01 schreibe dy	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
21	HERBAL	f10r	H2	E021	chy	dieser Posten	schreibe die globale Vorzugsform chy	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
22	HERBAL	f10r	H2	E022	taiin	vorgeschriebenes Maß	in der gelernten Formelkadenz FC01 schreibe taiin	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
23	HERBAL	f10r	H2	E023	shy	dieser Posten	in der gelernten Formelkadenz FC01 schreibe shy	abgebildete breit gezähnte radialblütige Pflanze	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	COMPOSITIONAL_PROSE
24	HERBAL	f10r	H2	E024	qotchor	danach · abziehen · Ansatz	in der gelernten Formelkadenz FC02 schreibe qotchor	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
25	HERBAL	f10r	H2	E025	chor	Ansatz	schreibe die globale Vorzugsform chor	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
26	HERBAL	f10r	H2	E026	otol	danach · fortsetzen	schreibe die globale Vorzugsform otol	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
27	HERBAL	f10r	H2	E027	chol	fortsetzen	schreibe die globale Vorzugsform chol	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
28	HERBAL	f10r	H2	E028	cholor	fortsetzen · Ansatz	in der gelernten Formelkadenz FC02 schreibe cholor	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
29	HERBAL	f10r	H2	E029	chol	fortsetzen	schreibe die globale Vorzugsform chol	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
30	HERBAL	f10r	H2	E030	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
31	HERBAL	f10r	H2	E031	dar	von dort	wenn der unmittelbare Kontext WR04 ausloest, schreibe dar	abgebildete breit gezähnte radialblütige Pflanze	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	COMPOSITIONAL_PROSE
32	HERBAL	f10r	H2	E032	oykchor	Arbeitsgang · dieser Posten · zuführen · Ansatz	schreibe die globale Vorzugsform oykchor	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
33	HERBAL	f10r	H2	E033	shor	Ansatz	in der gelernten Formelkadenz FC03 schreibe shor	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
34	HERBAL	f10r	H2	E034	chor	Ansatz	schreibe die globale Vorzugsform chor	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
35	HERBAL	f10r	H2	E035	chy	dieser Posten	schreibe die globale Vorzugsform chy	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
36	HERBAL	f10r	H2	E036	kaiiin	zuführen · Sollstufe	schreibe die globale Vorzugsform kaiiin	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
37	HERBAL	f10r	H2	E037	dy	dieser Posten	in der gelernten Formelkadenz FC03 schreibe dy	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
38	HERBAL	f10r	H2	E038	chodaiin	abziehen · Arbeitsgang · vorgeschriebenes Maß	schreibe die globale Vorzugsform chodaiin	abgebildete breit gezähnte radialblütige Pflanze	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	COMPOSITIONAL_PROSE
39	HERBAL	f11r	H3	E039	tshol	eintragen · halten · fortsetzen	schreibe die globale Vorzugsform tshol	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
40	HERBAL	f11r	H3	E040	schoal	halten · Arbeitsgang · bezeichnete Stelle	schreibe die globale Vorzugsform schoal	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
41	HERBAL	f11r	H3	E041	cfhy	auswringen · dieser Posten	schreibe die globale Vorzugsform cfhy	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
42	HERBAL	f11r	H3	E042	shfydaiin	halten · dieser Posten · vorgeschriebenes Maß	schreibe die globale Vorzugsform shfydaiin	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
43	HERBAL	f11r	H3	E043	cphy	hineingeben · dieser Posten	schreibe die globale Vorzugsform cphy	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
44	HERBAL	f11r	H3	E044	shey	halten · länger · dieser Posten	wenn der unmittelbare Kontext WR03 ausloest, schreibe shey	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
45	HERBAL	f11r	H3	E045	tchody	eintragen · abziehen · Arbeitsgang · Schluss	schreibe die globale Vorzugsform tchody	abgebildete dicht blau blühende Kronenpflanze	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	COMPOSITIONAL_PROSE
46	HERBAL	f11r	H3	E046	shoyty	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	schreibe die globale Vorzugsform shoyty	abgebildete dicht blau blühende Kronenpflanze	Halte den nächsten Posten und trage ihn in denselben Gang ein.	COMPOSITIONAL_PROSE
47	HERBAL	f11r	H3	E047	dchol	fortsetzen	schreibe die globale Vorzugsform dchol	abgebildete dicht blau blühende Kronenpflanze	Gib davon nach Maß weiter zu.	COMPOSITIONAL_PROSE
48	HERBAL	f11r	H3	E048	chy	dieser Posten	schreibe die globale Vorzugsform chy	abgebildete dicht blau blühende Kronenpflanze	Gib davon nach Maß weiter zu.	COMPOSITIONAL_PROSE
49	HERBAL	f11r	H3	E049	kchy	zuführen · dieser Posten	schreibe die globale Vorzugsform kchy	abgebildete dicht blau blühende Kronenpflanze	Gib davon nach Maß weiter zu.	COMPOSITIONAL_PROSE
50	HERBAL	f11r	H3	E050	dy	dieser Posten	am Recordmelodieplatz RM02:1 schreibe dy	abgebildete dicht blau blühende Kronenpflanze	Gib davon nach Maß weiter zu.	COMPOSITIONAL_PROSE
51	HERBAL	f11r	H3	E051	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	abgebildete dicht blau blühende Kronenpflanze	Gib davon nach Maß weiter zu.	COMPOSITIONAL_PROSE
52	HERBAL	f11r	H3	E052	qotchy	danach · dieser Posten	schreibe die globale Vorzugsform qotchy	abgebildete dicht blau blühende Kronenpflanze	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	COMPOSITIONAL_PROSE
53	HERBAL	f11r	H3	E053	okchol	ansetzen · fortsetzen	schreibe die globale Vorzugsform okchol	abgebildete dicht blau blühende Kronenpflanze	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	COMPOSITIONAL_PROSE
54	HERBAL	f11r	H3	E054	cthy	bereit · dieser Posten	schreibe die globale Vorzugsform cthy	abgebildete dicht blau blühende Kronenpflanze	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	COMPOSITIONAL_PROSE
55	HERBAL	f11r	H3	E055	dy	dieser Posten	am Recordmelodieplatz RM02:2 schreibe dy	abgebildete dicht blau blühende Kronenpflanze	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	COMPOSITIONAL_PROSE
56	HERBAL	f55v	H4	E056	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	abgebildete breitblättrige rispige Pflanze	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	COMPOSITIONAL_PROSE
57	HERBAL	f55v	H4	E057	chaiin	vorgeschriebenes Maß	am Recordmelodieplatz RM03:1 schreibe chaiin	abgebildete breitblättrige rispige Pflanze	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	COMPOSITIONAL_PROSE
58	HERBAL	f55v	H4	E058	ykain	dieser Posten · zuführen · Portion	schreibe die globale Vorzugsform ykain	abgebildete breitblättrige rispige Pflanze	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	COMPOSITIONAL_PROSE
59	HERBAL	f55v	H4	E059	ykan	dieser Posten · zuführen · Portion	schreibe die globale Vorzugsform ykan	abgebildete breitblättrige rispige Pflanze	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	COMPOSITIONAL_PROSE
60	HERBAL	f55v	H4	E060	ody	Arbeitsgang · Schluss	schreibe die globale Vorzugsform ody	abgebildete breitblättrige rispige Pflanze	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	COMPOSITIONAL_PROSE
61	HERBAL	f55v	H4	E061	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	abgebildete breitblättrige rispige Pflanze	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	COMPOSITIONAL_PROSE
62	HERBAL	f55v	H4	E062	chedy	umsetzen · dieser Posten	schreibe die globale Vorzugsform chedy	abgebildete breitblättrige rispige Pflanze	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	COMPOSITIONAL_PROSE
63	HERBAL	f55v	H4	E063	talam	verwahren	schreibe die globale Vorzugsform talam	abgebildete breitblättrige rispige Pflanze	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	COMPOSITIONAL_PROSE
64	HERBAL	f55v	H4	E064	ykaiin	dieser Posten · zuführen · vorgeschriebenes Maß	schreibe die globale Vorzugsform ykaiin	abgebildete breitblättrige rispige Pflanze	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	COMPOSITIONAL_PROSE
65	HERBAL	f55v	H4	E065	cheoar	abziehen · kurz · Arbeitsgang · von dort	schreibe die globale Vorzugsform cheoar	abgebildete breitblättrige rispige Pflanze	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	COMPOSITIONAL_PROSE
66	HERBAL	f55v	H4	E066	cheeky	wärmen · länger · dieser Posten	schreibe die globale Vorzugsform cheeky	abgebildete breitblättrige rispige Pflanze	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	COMPOSITIONAL_PROSE
67	HERBAL	f55v	H4	E067	oldy	fortsetzen · Schluss	schreibe die globale Vorzugsform oldy	abgebildete breitblättrige rispige Pflanze	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	COMPOSITIONAL_PROSE
68	HERBAL	f55v	H4	E068	aiin	vorgeschriebenes Maß	am Recordmelodieplatz RM03:2 schreibe aiin	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
69	HERBAL	f55v	H4	E069	okal	ansetzen · bezeichnete Stelle	am Recordmelodieplatz RM03:2 schreibe okal	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
70	HERBAL	f55v	H4	E070	oltchy	fortsetzen · eintragen · dieser Posten	schreibe die globale Vorzugsform oltchy	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
71	HERBAL	f55v	H4	E071	or	Ansatz	wenn der unmittelbare Kontext WR02 ausloest, schreibe or	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
72	HERBAL	f55v	H4	E072	y	dieser Posten	am Recordmelodieplatz RM03:2 schreibe y	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
73	HERBAL	f55v	H4	E073	orain	Ansatz · Portion	schreibe die globale Vorzugsform orain	abgebildete breitblättrige rispige Pflanze	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	COMPOSITIONAL_PROSE
74	HERBAL	f56r	H5	E074	chochor	Gabe · abziehen · Ansatz	schreibe die globale Vorzugsform chochor	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
75	HERBAL	f56r	H5	E075	cho	Gabe	schreibe die globale Vorzugsform cho	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
76	HERBAL	f56r	H5	E076	chodaly	Gabe · bezeichnete Stelle · dieser Posten	schreibe die globale Vorzugsform chodaly	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
77	HERBAL	f56r	H5	E077	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
78	HERBAL	f56r	H5	E078	sho	Gabe	schreibe die globale Vorzugsform sho	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
79	HERBAL	f56r	H5	E079	kchol	zuführen · fortsetzen	schreibe die globale Vorzugsform kchol	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
80	HERBAL	f56r	H5	E080	otchor	danach · abziehen · Ansatz	schreibe die globale Vorzugsform otchor	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
81	HERBAL	f56r	H5	E081	choky	ansetzen · dieser Posten	schreibe die globale Vorzugsform choky	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
82	HERBAL	f56r	H5	E082	dal	bezeichnete Stelle	schreibe die globale Vorzugsform dal	abgebildete mehrköpfige stachelige Pflanze	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	COMPOSITIONAL_PROSE
83	HERBAL	f56r	H5	E083	schol	fortsetzen	am Recordmelodieplatz RM04:1 schreibe schol	abgebildete mehrköpfige stachelige Pflanze	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	COMPOSITIONAL_PROSE
84	HERBAL	f56r	H5	E084	choy	Gabe · dieser Posten	schreibe die globale Vorzugsform choy	abgebildete mehrköpfige stachelige Pflanze	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	COMPOSITIONAL_PROSE
85	HERBAL	f56r	H5	E085	choky	ansetzen · dieser Posten	schreibe die globale Vorzugsform choky	abgebildete mehrköpfige stachelige Pflanze	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	COMPOSITIONAL_PROSE
86	HERBAL	f56r	H5	E086	cheeckhody	abziehen · länger · Durchlass · Arbeitsgang · Schluss	schreibe die globale Vorzugsform cheeckhody	abgebildete mehrköpfige stachelige Pflanze	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	COMPOSITIONAL_PROSE
87	HERBAL	f56r	H5	E087	sh	halten	schreibe die globale Vorzugsform sh	abgebildete mehrköpfige stachelige Pflanze	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	COMPOSITIONAL_PROSE
88	HERBAL	f56r	H5	E088	cho	Gabe	schreibe die globale Vorzugsform cho	abgebildete mehrköpfige stachelige Pflanze	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	COMPOSITIONAL_PROSE
89	HERBAL	f56r	H5	E089	kchey	zuführen · kurz · dieser Posten	schreibe die globale Vorzugsform kchey	abgebildete mehrköpfige stachelige Pflanze	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	COMPOSITIONAL_PROSE
90	HERBAL	f56r	H5	E090	qokokchy	ansetzen · ansetzen · dieser Posten	schreibe die globale Vorzugsform qokokchy	abgebildete mehrköpfige stachelige Pflanze	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	COMPOSITIONAL_PROSE
91	HERBAL	f56r	H5	E091	okchy	ansetzen · dieser Posten	schreibe die globale Vorzugsform okchy	abgebildete mehrköpfige stachelige Pflanze	Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter.	COMPOSITIONAL_PROSE
92	HERBAL	f56r	H5	E092	chokcheo	ansetzen · abziehen · kurz · Arbeitsgang	schreibe die globale Vorzugsform chokcheo	abgebildete mehrköpfige stachelige Pflanze	Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter.	COMPOSITIONAL_PROSE
93	HERBAL	f56r	H5	E093	kchal	zuführen · bezeichnete Stelle	schreibe die globale Vorzugsform kchal	abgebildete mehrköpfige stachelige Pflanze	Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter.	COMPOSITIONAL_PROSE
94	HERBAL	f56r	H5	E094	sho	Gabe	schreibe die globale Vorzugsform sho	abgebildete mehrköpfige stachelige Pflanze	Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang.	COMPOSITIONAL_PROSE
95	HERBAL	f56r	H5	E095	chokchy	ansetzen · dieser Posten	am Recordmelodieplatz RM04:2 schreibe chokchy	abgebildete mehrköpfige stachelige Pflanze	Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang.	COMPOSITIONAL_PROSE
96	HERBAL	f56r	H5	E096	kchoar	zuführen · Gabe · von dort	schreibe die globale Vorzugsform kchoar	abgebildete mehrköpfige stachelige Pflanze	Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang.	COMPOSITIONAL_PROSE
