statement_id	page	record	silent_owner_de	formula_mode	event_count	meaning_line_de	spoken_component_line_de	card_identity_line	exact_surface_line	scribe_recitation_line	record_melody	all_events_bound
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	SIMPLE_ONE_EDIT_VARIANT	4	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	fortsetzen | Gabe · dieser Posten | ansetzen · dieser Posten | abziehen · länger · Durchlass · Arbeitsgang · Schluss	PROC034[OL] | PROC056[HO+Y] | PROC008[OK+Y] | PROC057[CH+EE+CKH+O+DY]	schol choy choky cheeckhody	RM04:1 | DEFAULT | DEFAULT | DEFAULT	s>ch	YES
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	SIMPLE_ONE_EDIT_VARIANT	4	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	halten | Gabe | zuführen · kurz · dieser Posten | ansetzen · ansetzen · dieser Posten	PROC058[SH] | PROC052[HO] | PROC059[K+E+Y] | PROC060[OK+OK+Y]	sh cho kchey qokokchy	DEFAULT | DEFAULT | DEFAULT | DEFAULT	s>ch	YES
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	EXTENDED_TWO_EDIT_VARIANT	3	Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter.	ansetzen · dieser Posten | ansetzen · abziehen · kurz · Arbeitsgang | zuführen · bezeichnete Stelle	PROC011[OK+Y] | PROC061[OK+CH+E+O] | PROC062[K+AL]	okchy chokcheo kchal	DEFAULT | DEFAULT | DEFAULT	s>ch	YES
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	SIMPLE_ONE_EDIT_VARIANT	4	Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang.	Gabe | ansetzen · dieser Posten | zuführen · Gabe · von dort | danach · Arbeitsgang · Portion	PROC052[HO] | PROC011[OK+Y] | PROC063[K+HO+AR] | PROC064[OT+O+AIN]	sho chokchy kchoar sotodan	DEFAULT | RM04:2 | DEFAULT | DEFAULT	s>ch	YES
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	TAUGHT_MACRO	3	Gib danach diesen Posten nach Maß zu.	danach · dieser Posten | zuführen · kurz · fortsetzen | vorgeschriebenes Maß	PROC065[OT+Y] | PROC066[K+E+OL] | PROC009[AIIN]	otchey keol daiin	DEFAULT | DEFAULT | DEFAULT	s>ch	YES
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	ansetzen · kurz · Schluss	PROC067[OK+E+DY]	qokedy	DEFAULT	q>s>q	YES
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	FREE_COMPOSITION	19	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	ansetzen · vorgeschriebenes Maß | zuführen · laufender Bestand | ansetzen · bezeichnete Stelle | von dort | fortsetzen | zuführen · Portion | fortsetzen · zuführen · Portion | bezeichnete Stelle | fortsetzen | abkühlen · fortsetzen | führen | fortsetzen · Ansatz | fortsetzen | halten · kurz · Durchlass · bezeichnete Stelle | vorgeschriebenes Maß | ansetzen · länger · bezeichnete Stelle | vorgeschriebenes Maß | Durchlass · dieser Posten | umsetzen · Schluss	PROC038[OK+AIIN] | PROC068[K+AIR] | PROC048[OK+AL] | PROC003[AR] | PROC013[OL] | PROC069[K+AIN] | PROC070[OL+K+AIN] | PROC055[AL] | PROC013[OL] | PROC071[R+OL] | PROC072[L] | PROC022[OL+OR] | PROC013[OL] | PROC073[SH+E+CKH+AL] | PROC009[AIIN] | PROC074[OK+EE+AL] | PROC009[AIIN] | PROC075[CKH+Y] | PROC076[CHD+DY]	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	FC04 | DEFAULT | FC04 | FC04 | DEFAULT | DEFAULT | DEFAULT | FC04 | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	q>s>q	YES
B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	2	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	fortsetzen | halten · zuführen · umsetzen · Schluss	PROC013[OL] | PROC077[SH+K+CHD+DY]	qol sshkchdy	RM05:1 | DEFAULT	q>s>q	YES
B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	3	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	umsetzen · dieser Posten | fortsetzen | absetzen · Schluss	PROC042[CHD+Y] | PROC013[OL] | PROC078[SHED+DY]	chedy ol shedy	DEFAULT | DEFAULT | DEFAULT	q>s>q	YES
B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	fortsetzen · umsetzen · Schluss	PROC079[OL+CHD+DY]	qolchedy	DEFAULT	q>s>q	YES
B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	4	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	ansetzen · Portion | Durchlass · dieser Posten | führen | abkühlen · bezeichnete Stelle	PROC080[OK+AIN] | PROC075[CKH+Y] | PROC072[L] | PROC081[R+AL]	qokain shckhy dl ral	DEFAULT | RM05:2 | DEFAULT | DEFAULT	q>s>q	YES
B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	ansetzen · umsetzen · Schluss	PROC082[OK+CHD+DY]	qokchdy	DEFAULT	q>s>q	YES
B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	5	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	dieser Posten | fortsetzen | wärmen · kurz · dieser Posten | fortsetzen | absetzen · Schluss	PROC019[Y] | PROC013[OL] | PROC083[CHK+E+Y] | PROC013[OL] | PROC078[SHED+DY]	chey ol cheky ol shedy	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	q>s>q	YES
B1-S009	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	ansetzen · kurz · Schluss	PROC067[OK+E+DY]	qokedy	DEFAULT	q>s>q	YES
B1-S010	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	ansetzen · kurz · Schluss	PROC067[OK+E+DY]	qokedy	DEFAULT	q>s>q	YES
B1-S011	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	2	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einleiten. Angaben: Durchlass · dies.	Durchlass · dieser Posten | ansetzen · dieser Posten	PROC075[CKH+Y] | PROC008[OK+Y]	chckhy qoky	DEFAULT | DEFAULT	q>s>q	YES
B1-S012	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	EXTENDED_TWO_EDIT_VARIANT	3	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: waschen → wirken lassen → durchwaschen.	waschen · Arbeitsgang | ansetzen · kurz · dieser Posten | waschen · kurz · Schluss	PROC084[LSH+O] | PROC085[OK+E+Y] | PROC086[LSH+E+DY]	lsho qokey lshedy	DEFAULT | RM05:3 | DEFAULT	q>s>q	YES
B1-S013	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: durchwaschen.	waschen · kurz · Schluss	PROC086[LSH+E+DY]	lshedy	DEFAULT	q>s>q	YES
B1-S014	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	5	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → auffangen → hinleiten + umfüllen. Angaben: fort | danach · davon.	umsetzen · dieser Posten | auffangen · dieser Posten | führen · umsetzen · bezeichnete Stelle | fortsetzen | danach · von dort	PROC042[CHD+Y] | PROC087[SOLK+Y] | PROC088[L+CHD+AL] | PROC013[OL] | PROC089[OT+AR]	chedy qolky lchedal qol otar	DEFAULT | DEFAULT | DEFAULT | RM05:3 | DEFAULT	q>s>q	YES
B1-S015	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	2	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: übertragen → einsetzen + überführen.	eintragen · kurz · dieser Posten | ansetzen · umsetzen · Schluss	PROC090[T+E+Y] | PROC091[OK+CHD+DY]	ytey okchedy	DEFAULT | DEFAULT	q>s>q	YES
B1-S016	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	4	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: anlegen → wirken lassen → absetzen lassen. Angaben: fort.	ansetzen · bezeichnete Stelle | ansetzen · länger · dieser Posten | fortsetzen | absetzen · Schluss	PROC048[OK+AL] | PROC092[OK+EE+Y] | PROC013[OL] | PROC078[SHED+DY]	qokal okeey qol cheedy	DEFAULT | FC05 | FC05 | FC05	q>s>q	YES
B1-S017	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	3	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umfüllen. Angaben: Ziel | kurz · fort.	bezeichnete Stelle | kurz · fortsetzen | umsetzen · Schluss	PROC055[AL] | PROC093[E+OL] | PROC094[CHD+DY]	sal teol dchdy	FC05 | DEFAULT | DEFAULT	q>s>q	YES
B1-S018	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	EXTENDED_TWO_EDIT_VARIANT	4	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führen → stehen lassen → auffangen und stehen lassen. Angaben: Gang · Sollstufe.	führen · dieser Posten | halten · kurz · fortsetzen | Arbeitsgang · Sollstufe | auffangen · länger · Schluss	PROC095[L+Y] | PROC096[SH+E+OL] | PROC097[O+IIN] | PROC098[SOLK+EE+DY]	ly dsheol oiiin olkeedy	DEFAULT | DEFAULT | DEFAULT | DEFAULT	q>s>q	YES
B1-S019	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: absetzen lassen.	absetzen · Schluss	PROC078[SHED+DY]	tedy	FC06	q>s>q	YES
B1-S020	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	TAUGHT_MACRO	2	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → zurückhalten.	wärmen · kurz · dieser Posten | halten · Durchlass · kurz · Schluss	PROC083[CHK+E+Y] | PROC099[SH+CKH+E+DY]	cheky shckhedy	DEFAULT | DEFAULT	q>s>q	YES
B1-S021	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	SIMPLE_ONE_EDIT_VARIANT	1	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nur die Angaben. Angaben: Ziel.	bezeichnete Stelle	PROC055[AL]	chal	FC06	q>s>q	YES
B2-S001	f82r	B2	oberes Beckenpaar mit Zylinder	TAUGHT_MACRO	1	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	umsetzen · Schluss	PROC076[CHD+DY]	dchedy	RM06:1	d>s>Ø	YES
B2-S002	f82r	B2	oberes Beckenpaar mit Zylinder	TAUGHT_MACRO	1	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	fortsetzen · umsetzen · Schluss	PROC079[OL+CHD+DY]	qolchedy	DEFAULT	d>s>Ø	YES
B2-S003	f82r	B2	oberes Beckenpaar mit Zylinder	TAUGHT_MACRO	3	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: gib einen Teil hinein → einwirken lassen. Angaben: dies.	ansetzen · Portion | dieser Posten | ansetzen · länger · Schluss	PROC080[OK+AIN] | PROC019[Y] | PROC100[OK+EE+DY]	qokain dy qokeedy	DEFAULT | RM06:1 | DEFAULT	d>s>Ø	YES
B2-S004	f82r	B2	oberes Beckenpaar mit Zylinder	FREE_COMPOSITION	5	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten.	ansetzen · bezeichnete Stelle | führen · Durchlass · dieser Posten | führen · umsetzen | ansetzen · länger · dieser Posten | führen · Durchlass · kurz · Schluss	PROC048[OK+AL] | PROC101[L+CKH+Y] | PROC102[L+CHD] | PROC092[OK+EE+Y] | PROC103[L+CKH+E+DY]	qokal lcheckhy lched qokeey lcheckhedy	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	FREE_COMPOSITION	8	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort.	ansetzen · bezeichnete Stelle · dieser Posten | auffangen · vorgeschriebenes Maß | Durchlass · dieser Posten | ansetzen · vorgeschriebenes Maß | ansetzen · vorgeschriebenes Maß | Arbeitsgang · bereit · kurz · fortsetzen | wärmen · länger · dieser Posten | führen · Schluss	PROC104[OK+AL+Y] | PROC105[SOLK+AIIN] | PROC075[CKH+Y] | PROC038[OK+AIIN] | PROC038[OK+AIIN] | PROC106[O+CTH+E+OL] | PROC107[CHK+EE+Y] | PROC108[L+DY]	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S006	f82r	B2	oberes Beckenpaar mit Zylinder	EXTENDED_TWO_EDIT_VARIANT	4	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → zurückhalten → setze dies ein. Angaben: danach · länger · dies.	danach · länger · dieser Posten | ansetzen · bezeichnete Stelle | halten · kurz · Durchlass · dieser Posten | ansetzen · dieser Posten	PROC109[OT+EE+Y] | PROC048[OK+AL] | PROC110[SH+E+CKH+Y] | PROC008[OK+Y]	oteey qokal sheckhy qoky	DEFAULT | DEFAULT | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S007	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	TAUGHT_MACRO	1	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	halten · kurz · Schluss	PROC111[SH+E+DY]	dshedy	DEFAULT	d>s>Ø	YES
B2-S008	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	TAUGHT_MACRO	3	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	danach · vorgeschriebenes Maß | ansetzen · von dort | absetzen · Schluss	PROC112[OT+AIIN] | PROC113[OK+AR] | PROC078[SHED+DY]	sotaiin qokar shedy	RM06:2 | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S009	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	TAUGHT_MACRO	1	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	fortsetzen · halten · kurz · Schluss	PROC114[OL+SH+E+DY]	solshedy	DEFAULT	d>s>Ø	YES
B2-S010	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	EXTENDED_TWO_EDIT_VARIANT	4	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	ansetzen · länger · dieser Posten | ansetzen · dieser Posten | weiter | halten · länger · dieser Posten	PROC092[OK+EE+Y] | PROC008[OK+Y] | PROC115[LS] | PROC031[SH+EE+Y]	qokeey qoky ls cheey	DEFAULT | DEFAULT | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S011	f82r	B2	mittlere rechte unklare Station	TAUGHT_MACRO	4	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	ansetzen · Portion | von dort | ansetzen · Portion | ansetzen · länger · Schluss	PROC080[OK+AIN] | PROC003[AR] | PROC080[OK+AIN] | PROC100[OK+EE+DY]	okain char okain qokeedy	WR01 | DEFAULT | RM06:3 | DEFAULT	d>s>Ø	YES
B2-S012	f82r	B2	mittlere rechte unklare Station	FREE_COMPOSITION	8	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	führen · abziehen · dieser Posten | halten · länger · dieser Posten | bereit · kurz · dieser Posten | ansetzen · länger · dieser Posten | führen · länger · dieser Posten | vorgeschriebenes Maß | dieser Posten | ansetzen · vollständig · Schluss	PROC116[L+CH+Y] | PROC031[SH+EE+Y] | PROC117[CTH+E+Y] | PROC092[OK+EE+Y] | PROC118[L+EE+Y] | PROC009[AIIN] | PROC019[Y] | PROC119[OK+EEE+DY]	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	d>s>Ø	YES
B2-S013	f82r	B2	unteres grünes Mehrfigurenbecken	TAUGHT_MACRO	1	Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: abführen + überführen.	führen · umsetzen · Schluss	PROC120[L+CHD+DY]	lchedy	DEFAULT	d>s>Ø	YES
