card_no	surface	component_recipe	selected_fragments	renderer_rule_sequence	renderer_pieces	rule_families_used	exact_reconstruction	copy_instruction_de	events	pages
PROC016	chor	OR	or	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f55v|f83r
PROC016	or	OR	or	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f55v|f83r
PROC016	shor	OR	or	ENTRY_FRAME	PREFIX:sh	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f55v|f83r
PROC016	sor	OR	or	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f55v|f83r
PROC017	cthaiin	CTH+AIIN	cth-aiin	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC018	qoctholy	O+CTH+OL+Y	o-cth-ol-y	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC019	chey	Y	y	ENTRY_FRAME	PREFIX:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	chy	Y	y	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	dy	Y	y	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	shy	Y	y	ENTRY_FRAME	PREFIX:sh	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	sy	Y	y	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	y	Y	y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC020	otchor	OT+CH+OR	ot-ch-or	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f56r
PROC020	qotchor	OT+CH+OR	ot-ch-or	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f56r
PROC021	otol	OT+OL	ot-ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC022	cholor	OL+OR	ol-or	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f81v
PROC022	olor	OL+OR	ol-or	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f81v
PROC023	oykchor	O+Y+K+OR	o-y-k-or	TRANSFER_LINKER	K>OR:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC024	kaiiin	K+IIN	k-iin	IIN_STRETCH	K>IIN:ai	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC025	chodaiin	CH+O+AIIN	ch-o-aiin	ADDRESS_HINGE	O>AIIN:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC026	tshol	T+SH+OL	t-sh-ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC027	schoal	SH+O+AL	sch-o-al	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC028	cfhy	CFH+Y	cfh-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC029	shfydaiin	SH+Y+AIIN	sh-y-aiin	ITEM_CONTINUATION_CARRIER>ADDRESS_HINGE	SH>Y:f|Y>AIIN:d	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC030	cphy	P+Y	p-y	ENTRY_FRAME>ITEM_CONTINUATION_CARRIER	PREFIX:c|P>Y:h	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC031	cheey	SH+EE+Y	ch-ee-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f11r|f82r|f83r
PROC031	shey	SH+EE+Y	sh-e-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f11r|f82r|f83r
PROC032	tchody	T+CH+O+DY	t-ch-o-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC033	shoyty	SH+O+Y+T+Y	sh-o-y-t-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC034	dchol	RESUME_CARD	chol	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f11r|f56r
PROC034	schol	RESUME_CARD	chol	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f11r|f56r
PROC035	kchy	K+Y	k-y	ITEM_CONTINUATION_CARRIER	K>Y:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC036	qotchy	OT+Y	ot-y	ENTRY_FRAME>ITEM_CONTINUATION_CARRIER	PREFIX:q|OT>Y:ch	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC037	okchol	OK+OL	ok-ol	ITEM_CONTINUATION_CARRIER	OK>OL:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f11r
PROC038	okaiin	OK+AIIN	ok-aiin	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	9	f55v|f81v|f82r|f83r
PROC038	qokaiin	OK+AIIN	ok-aiin	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	9	f55v|f81v|f82r|f83r
PROC039	ykain	Y+K+AIN	y-k-ain	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC040	ykan	Y+K+AN	y-k-an	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC041	ody	O+DY	o-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC042	chdy	CHD+Y	ch-y	CHD_JOINT	CHD>Y:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	11	f55v|f81v|f83r
PROC042	chedy	CHD+Y	ch-y	CHD_JOINT	CHD>Y:ed	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	11	f55v|f81v|f83r
PROC043	talam	TALAM	talam	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC044	ykaiin	Y+K+AIIN	y-k-aiin	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC045	cheoar	CH+E+O+AR	ch-e-o-ar	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC046	cheeky	CHK+EE+Y	ch-ee-y	ITEM_CONTINUATION_CARRIER	EE>Y:k	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f55v|f83r
PROC047	oldy	OL+DY	ol-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f55v|f83r
PROC048	okal	OK+AL	ok-al	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	6	f55v|f81v|f82r|f83r
PROC048	qokal	OK+AL	ok-al	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	6	f55v|f81v|f82r|f83r
PROC049	oltchy	OL+T+Y	ol-t-y	ITEM_CONTINUATION_CARRIER	T>Y:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC050	orain	OR+AIN	or-ain	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f55v
PROC051	chochor	HO+CH+OR	ho-ch-or	ENTRY_FRAME	PREFIX:c	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC052	cho	HO	ho	ENTRY_FRAME	PREFIX:c	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f56r
PROC052	sho	HO	ho	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f56r
PROC053	chodaly	HO+AL+Y	ho-al-y	ENTRY_FRAME>ADDRESS_HINGE	PREFIX:c|HO>AL:d	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC054	kchol	K+OL	k-ol	TRANSFER_LINKER	K>OL:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC055	al	AL	al	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC055	chal	AL	al	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC055	cheal	AL	al	ENTRY_FRAME	PREFIX:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC055	dal	AL	al	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC055	sal	AL	al	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC055	tal	AL	al	ENTRY_FRAME	PREFIX:t	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f56r|f81v|f82r|f83r
PROC056	choy	HO+Y	ho-y	ENTRY_FRAME	PREFIX:c	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC057	cheeckhody	CH+EE+CKH+O+DY	ch-ee-ckh-o-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC058	sh	SH	sh	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC059	kchey	K+E+Y	k-e-y	TRANSFER_LINKER	K>E:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC060	qokokchy	OK+OK+Y	ok-ok-y	ENTRY_FRAME>ITEM_CONTINUATION_CARRIER	PREFIX:q|OK>Y:ch	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC061	chokcheo	OK+CH+E+O	ok-ch-e-o	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC062	kchal	K+AL	k-al	ADDRESS_HINGE	K>AL:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC063	kchoar	K+HO+AR	k-ho-ar	TRANSFER_LINKER	K>HO:c	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC064	sotodan	OT+O+AIN	ot-o-an	ENTRY_FRAME>ADDRESS_HINGE	PREFIX:s|O>AIN:d	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC065	otchey	OT+Y	ot-y	ITEM_CONTINUATION_CARRIER	OT>Y:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f56r|f83r
PROC066	keol	K+E+OL	k-e-ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f56r
PROC067	qokedy	OK+E+DY	ok-e-dy	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	8	f81v|f83r
PROC068	kair	K+AIR	k-air	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC069	chkain	K+AIN	k-ain	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f83r
PROC069	kain	K+AIN	k-ain	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f83r
PROC070	olkain	OL+K+AIN	ol-k-ain	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f83r
PROC070	qolkain	OL+K+AIN	ol-k-ain	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f83r
PROC071	rol	R+OL	r-ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC072	dl	L	l	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v
PROC073	sheckhal	SH+E+CKH+AL	sh-e-ckh-al	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC074	qokeedal	OK+EE+AL	ok-ee-al	ENTRY_FRAME>ADDRESS_HINGE	PREFIX:q|EE>AL:d	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC075	chckhy	CKH+Y	ckh-y	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f81v|f82r
PROC075	shckhy	CKH+Y	ckh-y	ENTRY_FRAME	PREFIX:sh	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f81v|f82r
PROC076	dchedy	CHD+DY	ch-dy	ENTRY_FRAME>CHD_JOINT	PREFIX:d|CHD>DY:e	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f81v|f82r|f83r
PROC076	schedy	CHD+DY	ch-dy	ENTRY_FRAME>CHD_JOINT	PREFIX:s|CHD>DY:e	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f81v|f82r|f83r
PROC076	tchedy	CHD+DY	ch-dy	ENTRY_FRAME>CHD_JOINT	PREFIX:t|CHD>DY:e	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	4	f81v|f82r|f83r
PROC077	sshkchdy	SH+K+CHD+DY	sh-k-ch-dy	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC078	cheedy	SHED+DY	chee-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	12	f81v|f82r|f83r
PROC078	shedy	SHED+DY	she-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	12	f81v|f82r|f83r
PROC078	tedy	SHED+DY	te-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	12	f81v|f82r|f83r
PROC079	olchedy	OL+CHD+DY	ol-ch-dy	CHD_JOINT	CHD>DY:e	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f82r|f83r
PROC079	qolchedy	OL+CHD+DY	ol-ch-dy	ENTRY_FRAME>CHD_JOINT	PREFIX:q|CHD>DY:e	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f82r|f83r
PROC080	okain	OK+AIN	ok-ain	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f81v|f82r|f83r
PROC080	qokain	OK+AIN	ok-ain	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f81v|f82r|f83r
PROC081	ral	R+AL	r-al	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC082	qokchdy	OK+CHD+DY	ok-ch-dy	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f83r
PROC083	cheky	CHK+E+Y	ch-e-y	ITEM_CONTINUATION_CARRIER	E>Y:k	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f81v|f83r
PROC084	lsho	LSH+O	lsh-o	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC085	okey	OK+E+Y	ok-e-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f82r
PROC085	qokey	OK+E+Y	ok-e-y	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f82r
PROC086	lshedy	LSH+E+DY	lsh-e-dy	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v
PROC087	qolky	SOLK+Y	olk-y	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC088	lchedal	L+CHD+AL	l-ch-al	CHD_JOINT	CHD>AL:ed	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC089	otar	OT+AR	ot-ar	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC090	ytey	T+E+Y	t-e-y	ENTRY_FRAME	PREFIX:y	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC091	okchedy	OK+CHD+DY	ok-ch-dy	CHD_JOINT	CHD>DY:e	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f83r
PROC091	qokchedy	OK+CHD+DY	ok-ch-dy	ENTRY_FRAME>CHD_JOINT	PREFIX:q|CHD>DY:e	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f81v|f83r
PROC092	okeey	OK+EE+Y	ok-ee-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f81v|f82r|f83r
PROC092	qokeey	OK+EE+Y	ok-ee-y	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f81v|f82r|f83r
PROC093	teol	E+OL	e-ol	ENTRY_FRAME	PREFIX:t	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
PROC094	dchdy	CHD+DY	ch-dy	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f81v
