surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
cpholdy	1	f4r	CH+P+OL+DY	1	78	1	CH+P+OL+DY	1	CH+P+OL+DY	1	CH+P+OL+DY	CH+P+OL+DY | CH+P+OL | CH+P+OL+Y | CH+P+OL+D_ADDR+Y | CH+P+SH+OL+DY	2.008574805	2.547061046	3.283378808	2.154335802	2.008574805	2.547061046	3.283378808	2.154335802	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cthdy	1	f66r	CH+T+D_ADDR+Y	1	17	1	CH+T+D_ADDR+Y	1	CH+T+D_ADDR+Y	1	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y | LOCAL_C+T+D_ADDR+Y | CH+T+Y | CH+T+DY | CH+CH+T+D_ADDR+Y	1.047368796	2.397796508	2.866835456	1.178984595	1.047368796	2.397796508	2.866835456	1.178984595	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cthom	1	f4r	CH+T+O+M_LOCAL	1	14	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	CH+T+O+AM_ADDR | CH+T+O+M_LOCAL | O+CH+T+AM_ADDR | O+CH+T+M_LOCAL | CH+T+O+D_ADDR+AM_ADDR	2.439585339	3.076988960	3.270547326	3.291420927	1.672112586	2.683273170	3.090683614	1.816461505	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
da	1	f31r	DA	1	4	1	DA	1	DA	1	DA	DA | D_ADDR | CHD+A_ADDR | D_ADDR+A_ADDR	0.803012910	4.403739451	3.969946828	1.012355067	0.803012910	4.403739451	3.969946828	1.012355067	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairal	1	f66r	D_ADDR+AIR+AL	1	100	1	D_ADDR+AIR+AL	1	D_ADDR+AIR+AL	1	D_ADDR+AIR+AL	D_ADDR+AIR+AL | AIR+AL | D_ADDR+AIR+A_ADDR+AL | DA+AIR+AL | CHD+AIR+AL	1.640508156	2.975624564	3.494415702	1.802259163	1.640508156	2.975624564	3.494415702	1.802259163	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairody	1	f66r	D_ADDR+AIR+O+DY	1	100	2	D_ADDR+AIR+O+D_ADDR+Y	1	D_ADDR+AIR+O+DY	1	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY | D_ADDR+AIR+O+D_ADDR+Y | AIR+O+DY | D_ADDR+AIR+O+Y | D_ADDR+AIR+A_ADDR+O+DY	1.897709980	2.856341497	3.411444214	2.747551804	1.897709980	2.856341497	3.411444214	2.747551804	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	1	100	5	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S | AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+S | D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S | AIR+Y+K+O+D_ADDR+S	5.078966513	3.218293214	3.673158193	6.860690711	4.232014649	3.380596381	3.689570163	4.408768813	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalalshedy	1	f66r	AL+AL+SH+E+DY	1	100	1	AL+AL+SH+E+DY	1	AL+AL+SH+E+DY	1	AL+AL+SH+E+DY	AL+AL+SH+E+DY | AL+A_ADDR+L+SH+E+DY | D_ADDR+AL+AL+SH+E+DY | D_ADDR+AL+L+SH+E+DY | DA+AL+L+SH+E+DY	3.083700522	2.511337088	2.948584302	3.220198557	3.083700522	2.511337088	2.948584302	3.220198557	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	1	100	56	AL+CH+E+K+EE+Y	5	AL+EEE+K+Y	5	AL+EEE+K+Y	AL+EEE+K+Y | AL+LOCAL_C+EEE+K+Y | D_ADDR+AL+EEE+K+Y | AL+CH+E+EE+K+Y | AL+CH+EEE+K+Y	2.555581908	3.141407478	3.419548006	6.744957486	2.370726753	2.876814098	3.349563954	3.219533384	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalky	1	f66r	AL+K+Y	1	10	1	AL+K+Y	1	AL+K+Y	1	AL+K+Y	AL+K+Y | D_ADDR+AL+K+Y | DA+AL+K+Y | DA+L+K+Y | CHD+AL+K+Y	1.307266151	2.600257499	3.268513975	1.453985438	1.307266151	2.600257499	3.268513975	1.453985438	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalol	1	f66r	AL+OL	1	44	1	AL+OL	1	AL+OL	1	AL+OL	AL+OL | D_ADDR+AL+OL | D_ADDR+OL | CHD+AL+OL | DA+AL+OL	0.974053207	2.904441002	3.787450062	1.141350484	0.974053207	2.904441002	3.787450062	1.141350484	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dard	1	f66r	D_ADDR+AR+D_ADDR	1	18	1	D_ADDR+AR+D_ADDR	1	D_ADDR+AR+D_ADDR	1	D_ADDR+AR+D_ADDR	D_ADDR+AR+D_ADDR | D_ADDR+AR+CHD | DA+AR+D_ADDR | CHD+AR+D_ADDR | DA+R+D_ADDR	1.609409269	3.188348756	3.402885033	1.774190114	1.609409269	3.188348756	3.402885033	1.774190114	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheey	1	f31r	D_ADDR+CH+EE+Y	1	36	2	D_ADDR+SH+EE+Y	1	D_ADDR+CH+EE+Y	1	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y | D_ADDR+SH+EE+Y | D_ADDR+EE+Y | D_ADDR+LOCAL_C+EE+Y | CH+EE+Y	1.231723069	2.407247828	3.090852525	2.062322758	1.231723069	2.407247828	3.090852525	2.062322758	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheol	1	f66r	D_ADDR+CH+E+O+L	1	45	1	D_ADDR+CH+E+O+L	3	D_ADDR+CH+E+OL	3	D_ADDR+CH+E+OL	D_ADDR+CH+E+OL | CH+E+OL | D_ADDR+CH+E+O+L | D_ADDR+LOCAL_C+E+OL | D_ADDR+E+OL	3.279389683	2.670012385	2.967666479	3.420331655	1.452617285	2.539490604	3.111496384	2.692504248	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dkar	1	f66r	D_ADDR+K+AR	1	19	1	D_ADDR+K+AR	1	D_ADDR+K+AR	1	D_ADDR+K+AR	D_ADDR+K+AR | K+AR | CHD+K+AR | D_ADDR+K+R | D_ADDR+K+A_ADDR+AR	1.035032738	3.005525073	3.711595018	1.202960740	1.035032738	3.005525073	3.711595018	1.202960740	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
doiiin	1	f20v	D_ADDR+O+IIN	1	100	1	D_ADDR+O+IIN	1	D_ADDR+O+IIN	1	D_ADDR+O+IIN	D_ADDR+O+IIN | D_ADDR+O+IIN+IIN | D_ADDR+O+IIN+AIN | D_ADDR+O+LOCAL_CHAR_I+IIN | CHD+O+IIN	0.570941308	3.164706304	3.339035142	0.733534844	0.570941308	3.164706304	3.339035142	0.733534844	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dolarshy	1	f66r	D_ADDR+OL+AR+SH+Y	1	100	2	D_ADDR+OL+AR+Y	1	D_ADDR+OL+AR+SH+Y	1	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y | D_ADDR+OL+AR+Y | OL+AR+SH+Y | OL+AR+Y | D_ADDR+OL+A_ADDR+AR+SH+Y	1.608215587	3.262823326	3.467808627	2.469628566	1.608215587	3.262823326	3.467808627	2.469628566	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dsholdaiir	1	f66r	D_ADDR+SH+OL+D_ADDR+IIN+R	1	100	1	D_ADDR+SH+OL+D_ADDR+IIN+R	1	D_ADDR+SH+OL+D_ADDR+IIN+R	1	D_ADDR+SH+OL+D_ADDR+IIN+R	D_ADDR+SH+OL+D_ADDR+IIN+R | SH+OL+D_ADDR+IIN+R | D_ADDR+SH+OL+D_ADDR+AIIN+R | D_ADDR+SH+OL+IIN+R | SH+OL+D_ADDR+AIIN+R	3.908755951	3.488128845	3.707637428	4.088650108	3.908755951	3.488128845	3.707637428	4.088650108	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dyky	1	f66r	D_ADDR+Y+K+Y	1	8	2	DY+K+Y	3	Y+K+Y	3	Y+K+Y	Y+K+Y | DY+K+Y | D_ADDR+Y+K+Y | CHD+Y+K+Y | D_ADDR+Y+K+Y+CH	1.745376471	2.216257303	3.140793596	2.572449924	0.773743382	2.096496414	2.705498749	1.992405550	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
