surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
keody	3	f20v|f66r	K+E+O+D_ADDR+Y	3	11	2	K+E+O+DY	2	K+E+O+DY	2	K+E+O+DY	K+E+O+DY | K+E+O+D_ADDR+Y | K+E+O+Y | O+D_ADDR+Y | OK+E+DY	2.458483962	2.046976766	3.009611091	3.278045839	1.948075531	3.085399102	3.591786946	2.115005182	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ld	1	f66r	L+D_ADDR	1	6	3	L	3	L	3	L	L | AL | L+D_ADDR | L+CHD | AL+D_ADDR	1.410199596	3.441734566	3.885012908	2.691980572	0.433685932	2.782076363	3.514605907	0.591102988	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qef	1	f31r	E+LOCAL_CHAR_F	1	4	3	CARRIER_Q+E+LOCAL_CHAR_F	3	CARRIER_Q+E+LOCAL_CHAR_F	3	CARRIER_Q+E+LOCAL_CHAR_F	CARRIER_Q+E+LOCAL_CHAR_F | CARRIER_Q+D_ADDR | E+LOCAL_CHAR_F | CARRIER_Q+CH+E+LOCAL_CHAR_F	1.930598048	4.564723828	4.025275546	3.243960321	1.964636143	4.064747558	3.811238407	2.161535792	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	1	93	4	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+DY | O+CH+T+E+DY | CARRIER_Q+O+CH+T+E+Y | CARRIER_Q+O+CH+T+E+D_ADDR+Y | O+CH+T+E+Y	2.728702653	2.334814650	2.645461647	4.239503922	2.323529449	2.908250613	3.329657914	2.479477162	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokchey	1	f66r	OK+CH+E+Y	1	39	4	OK+Y	2	OK+Y	2	OK+Y	OK+Y | OK+CH+E+Y | OK+E+Y | OK+LOCAL_C+E+Y | OK+CHD+Y	1.338958119	1.890317410	2.687599584	2.839700405	2.409868091	1.643182903	2.362225160	2.510003293	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shckheody	1	f66r	SH+CH+K+E+O+DY	1	100	2	SH+CH+K+E+O+D_ADDR+Y	2	SH+CH+K+E+O+D_ADDR+Y	2	SH+CH+K+E+O+D_ADDR+Y	SH+CH+K+E+O+D_ADDR+Y | SH+CH+K+E+O+DY | SH+CH+K+E+O+Y | SH+CH+K+E+O+R | S+SH+CH+K+E+O+DY	2.048029353	2.198945144	2.962870980	2.870221937	2.652171289	2.491559760	3.014061726	2.789811826	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shddy	1	f66r	SH+D_ADDR+DY	1	32	1	SH+D_ADDR+DY	2	SH+D_ADDR+Y	2	SH+D_ADDR+Y	SH+D_ADDR+Y | SH+D_ADDR+DY | SH+D_ADDR+D_ADDR+Y | SH+CHD+D_ADDR+Y | O+D_ADDR+Y	2.637169899	2.764759424	3.661195514	2.797818773	0.938288299	3.000125862	3.509079290	2.199630717	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekeefy	1	f66r	SH+E+K+EE+LOCAL_CHAR_F+Y	1	100	3	SH+E+K+E+D_ADDR+Y	2	SH+E+K+EE+Y	2	SH+E+K+EE+Y	SH+E+K+EE+Y | SH+E+K+EE+LOCAL_CHAR_F+Y | SH+E+K+E+D_ADDR+Y | SH+SH+E+K+EE+Y | S+SH+E+K+EE+Y	2.555994651	2.666773047	3.594665531	3.811142904	2.338138937	2.019374214	2.915724927	3.154663596	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shyshol	1	f4r	SH+Y+SH+OL	1	74	2	Y+SH+OL	2	Y+SH+OL	2	Y+SH+OL	Y+SH+OL | SH+Y+SH+OL | SH+Y+OL | Y+SH+SH+OL | SH+Y+SH+OL+D_ADDR	1.703738608	2.997278640	3.305719236	2.554460736	2.051680776	2.886880498	3.121387761	2.201887482	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shytchy	1	f4r	SH+Y+T+CH+Y	1	60	2	SH+Y+T+Y	2	SH+Y+T+Y	2	SH+Y+T+Y	SH+Y+T+Y | SH+Y+T+CH+Y | Y+T+Y | SH+Y+T+LOCAL_C+Y | Y+T+CH+Y	1.725123603	2.782579851	3.436454747	2.573746649	1.671909838	2.451688594	3.209069625	1.813428793	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
