register_replay_event_id	event_id	held_register	physical_page	statement_id	locus	surface	source_component_recipe	component_recipe	component_atom_count	surface_recipe_correction	all_atoms_on_fixed_sheet	outside_surface_registers	outside_surface_pages	outside_recipe_registers	outside_recipe_pages	register_replay_result
P1025-E0024	P912-E0024	HERBAL	f10r	P1009-S001	f10r.3	qotchy	OT+Y	OT+Y	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL|CELESTIAL	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0025	P912-E0025	HERBAL	f10r	P1009-S001	f10r.3	chol	OL	OL	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f76r|f77r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0026	P912-E0026	HERBAL	f10r	P1009-S001	f10r.3	or	OR	OR	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0027	P912-E0027	HERBAL	f10r	P1009-S001	f10r.3	yty	Y+T+Y	Y+T+Y	3	UNCHANGED	YES	PHARMA	f89r	PHARMA	f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0028	P912-E0028	HERBAL	f10r	P1009-S001	f10r.3	dy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0029	P912-E0029	HERBAL	f10r	P1009-S001	f10r.3	dy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0030	P912-E0030	HERBAL	f10r	P1009-S001	f10r.4	sor	S+OR	S+OR	2	UNCHANGED	YES	BIOLOGICAL|CELESTIAL	f67r2|f75r|f76r|f83r	BIOLOGICAL|CELESTIAL	f67r2|f72r|f75r|f76r|f83r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0031	P912-E0031	HERBAL	f10r	P1009-S001	f10r.4	chaiin	CH+AIIN	CH+AIIN	2	UNCHANGED	YES	NONE	NONE	PHARMA	f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0032	P912-E0032	HERBAL	f10r	P1009-S001	f10r.4	chcthy	CH+CH+T+Y	CH+CH+T+Y	4	UNCHANGED	YES	BIOLOGICAL	f75r|f76r|f77r|f81v	BIOLOGICAL	f75r|f76r|f77r|f81v	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0033	P912-E0033	HERBAL	f10r	P1009-S001	f10r.4	ctho	CH+T+O	CH+T+O	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0034	P912-E0034	HERBAL	f10r	P1009-S001	f10r.4	ckhy	CH+K+Y	CH+K+Y	3	UNCHANGED	YES	BIOLOGICAL	f81v	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0035	P912-E0035	HERBAL	f10r	P1009-S001	f10r.4	or	OR	OR	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0036	P912-E0036	HERBAL	f10r	P1009-S001	f10r.4	aiin	AIIN	AIIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0037	P912-E0037	HERBAL	f10r	P1009-S001	f10r.4	chtchor	CH+T+CH+OR	CH+T+CH+OR	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0038	P912-E0038	HERBAL	f10r	P1009-S001	f10r.4	doiir	D_ADDR+O+IIN+R	D_ADDR+O+IIN+R	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0039	P912-E0039	HERBAL	f10r	P1009-S001	f10r.4	ody	O+DY	O+DY	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0040	P912-E0040	HERBAL	f10r	P1009-S002	f10r.5	qokchy	OK+Y	OK+Y	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0041	P912-E0041	HERBAL	f10r	P1009-S002	f10r.5	qotchol	OT+CH+OL	OT+CH+OL	3	UNCHANGED	YES	NONE	NONE	PHARMA	f88r|f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0042	P912-E0042	HERBAL	f10r	P1009-S002	f10r.5	chol	OL	OL	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f76r|f77r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0043	P912-E0043	HERBAL	f10r	P1009-S002	f10r.5	cthy	CH+T+Y	CH+T+Y	3	UNCHANGED	YES	NONE	NONE	BIOLOGICAL	f75r|f76r|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0044	P912-E0044	HERBAL	f10r	P1009-S002	f10r.6	ycheor	Y+CH+E+O+R	Y+CH+E+O+R	5	UNCHANGED	YES	NONE	NONE	PHARMA	f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0045	P912-E0045	HERBAL	f10r	P1009-S002	f10r.6	cthy	CH+T+Y	CH+T+Y	3	UNCHANGED	YES	NONE	NONE	BIOLOGICAL	f75r|f76r|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0046	P912-E0046	HERBAL	f10r	P1009-S002	f10r.6	chor	CH+OR	CH+OR	2	UNCHANGED	YES	PHARMA	f88r|f88v|f89r	PHARMA	f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0047	P912-E0047	HERBAL	f10r	P1009-S002	f10r.6	cthaiin	CH+T+AIIN	CH+T+AIIN	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0048	P912-E0048	HERBAL	f10r	P1009-S002	f10r.6	qoctholy	CARRIER_Q+O+CH+T+OL+Y	CARRIER_Q+O+CH+T+OL+Y	6	UNCHANGED	YES	NONE	NONE	PHARMA	f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0049	P912-E0049	HERBAL	f10r	P1009-S002	f10r.6	dy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0050	P912-E0050	HERBAL	f10r	P1009-S002	f10r.6	chy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f81v|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0051	P912-E0051	HERBAL	f10r	P1009-S002	f10r.6	taiin	T+AIIN	T+AIIN	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f82r|f89r	BIOLOGICAL|PHARMA	f82r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0052	P912-E0052	HERBAL	f10r	P1009-S002	f10r.6	shy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f83r|f88r|f88v	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0053	P912-E0053	HERBAL	f10r	P1009-S002	f10r.7	dchy	D_ADDR+Y	D_ADDR+Y	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0054	P912-E0054	HERBAL	f10r	P1009-S002	f10r.7	qokchol	OK+OL	OK+OL	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f77r|f83r|f88r|f88v|f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0055	P912-E0055	HERBAL	f10r	P1009-S002	f10r.7	y	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f76r|f77r|f81v|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0056	P912-E0056	HERBAL	f10r	P1009-S002	f10r.7	kchaiin	K+CH+AIIN	K+CH+AIIN	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0057	P912-E0057	HERBAL	f10r	P1009-S002	f10r.7	yty	Y+T+Y	Y+T+Y	3	UNCHANGED	YES	PHARMA	f89r	PHARMA	f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0058	P912-E0058	HERBAL	f10r	P1009-S002	f10r.7	daiin	AIIN	AIIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0059	P912-E0059	HERBAL	f10r	P1009-S002	f10r.7	cth	CH+T	CH+T	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0060	P912-E0060	HERBAL	f10r	P1009-S002	f10r.7	dain	AIN	AIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f75r|f76r|f81v|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f75r|f76r|f77r|f81v|f83r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0061	P912-E0061	HERBAL	f10r	P1009-S002	f10r.7	dair	D_ADDR+AIR	D_ADDR+AIR	2	UNCHANGED	YES	PHARMA	f88v|f89r	PHARMA	f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0062	P912-E0062	HERBAL	f10r	P1009-S002	f10r.7	am	AM_ADDR	AM_ADDR	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL	f67r2|f72r|f75r	BIOLOGICAL|CELESTIAL	f67r2|f72r|f75r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0063	P912-E0063	HERBAL	f10r	P1009-S002	f10r.8	qotchor	OT+CH+OR	OT+CH+OR	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0064	P912-E0064	HERBAL	f10r	P1009-S002	f10r.8	chor	CH+OR	CH+OR	2	UNCHANGED	YES	PHARMA	f88r|f88v|f89r	PHARMA	f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0065	P912-E0065	HERBAL	f10r	P1009-S002	f10r.8	otol	OT+OL	OT+OL	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f75r|f88v|f89r	BIOLOGICAL|PHARMA	f75r|f77r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0066	P912-E0066	HERBAL	f10r	P1009-S002	f10r.8	chol	OL	OL	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f76r|f77r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0067	P912-E0067	HERBAL	f10r	P1009-S002	f10r.8	cholor	OL+OR	OL+OR	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL|CELESTIAL	f72r|f75r|f76r|f81v	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0068	P912-E0068	HERBAL	f10r	P1009-S002	f10r.8	chol	OL	OL	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f76r|f77r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0069	P912-E0069	HERBAL	f10r	P1009-S002	f10r.8	daiin	AIIN	AIIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0070	P912-E0070	HERBAL	f10r	P1009-S002	f10r.8	dar	D_ADDR+AR	D_ADDR+AR	2	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0071	P912-E0071	HERBAL	f10r	P1009-S002	f10r.9	oykchor	O+Y+K+CH+OR	O+Y+K+CH+OR	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0072	P912-E0072	HERBAL	f10r	P1009-S002	f10r.9	shor	SH+OR	SH+OR	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f77r|f88v|f89r	BIOLOGICAL|PHARMA	f77r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0073	P912-E0073	HERBAL	f10r	P1009-S002	f10r.9	chor	CH+OR	CH+OR	2	UNCHANGED	YES	PHARMA	f88r|f88v|f89r	PHARMA	f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0074	P912-E0074	HERBAL	f10r	P1009-S002	f10r.9	chy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f81v|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0075	P912-E0075	HERBAL	f10r	P1009-S002	f10r.9	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	K+A_ADDR+LOCAL_CHAR_I+IIN	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0076	P912-E0076	HERBAL	f10r	P1009-S002	f10r.9	dy	Y	Y	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0077	P912-E0077	HERBAL	f10r	P1009-S002	f10r.9	chodaiin	CH+O+D_ADDR+AIIN	CH+O+D_ADDR+AIIN	4	UNCHANGED	YES	BIOLOGICAL|PHARMA	f76r|f89r	BIOLOGICAL|PHARMA	f76r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0078	P912-E0078	HERBAL	f10r	P1009-S002	f10r.10	oqotor	O+OT+OR	O+OT+OR	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0079	P912-E0079	HERBAL	f10r	P1009-S002	f10r.10	otor	OT+OR	OT+OR	2	UNCHANGED	YES	BIOLOGICAL|CELESTIAL	f68r1|f71v|f83r	BIOLOGICAL|CELESTIAL	f68r1|f71v|f83r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0080	P912-E0080	HERBAL	f10r	P1009-S002	f10r.10	cfhy	CH+LOCAL_CHAR_F+Y	CH+LOCAL_CHAR_F+Y	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0081	P912-E0081	HERBAL	f10r	P1009-S002	f10r.10	cthor	CH+T+OR	CH+T+OR	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0082	P912-E0082	HERBAL	f10r	P1009-S002	f10r.10	osain	O+S+AIN	O+S+AIN	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0083	P912-E0083	HERBAL	f10r	P1009-S002	f10r.10	ytoiin	Y+T+O+IIN	Y+T+O+IIN	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0084	P912-E0084	HERBAL	f10r	P1009-S002	f10r.11	otchoshor	OT+CH+O+SH+OR	OT+CH+O+SH+OR	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0085	P912-E0085	HERBAL	f10r	P1009-S002	f10r.11	qoty	OT+Y	OT+Y	2	UNCHANGED	YES	BIOLOGICAL	f75r|f76r|f77r|f81v|f82r|f83r	BIOLOGICAL|CELESTIAL	f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0086	P912-E0086	HERBAL	f10r	P1009-S002	f10r.11	qotor	OT+OR	OT+OR	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL|CELESTIAL	f68r1|f71v|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0087	P912-E0087	HERBAL	f10r	P1009-S002	f10r.11	cthyd	CH+T+Y+D_ADDR	CH+T+Y+D_ADDR	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0088	P912-E0088	HERBAL	f10r	P1009-S002	f10r.11	otar	OT+AR	OT+AR	2	UNCHANGED	YES	BIOLOGICAL|CELESTIAL	f71v|f72r|f75r|f76r|f81v	BIOLOGICAL|CELESTIAL	f71v|f72r|f75r|f76r|f81v|f83r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0089	P912-E0089	HERBAL	f10r	P1009-S002	f10r.12	odaiin	O+D_ADDR+AIIN	O+D_ADDR+AIIN	3	UNCHANGED	YES	PHARMA	f88v	PHARMA	f88v	EXACT_SURFACE_FROM_OTHER_REGISTER
