category_id	category_type	graphic_signs	short_value_de	syntax_role	support_registers	support_register_count	unsupported_used_register_holdouts	survives_every_register_where_used	herbal_atom_mentions	herbal_event_count	biological_atom_mentions	biological_event_count	celestial_atom_mentions	celestial_event_count	pharma_atom_mentions	pharma_event_count
CORE_15	PORTABLE_CORE	T	EINSTELLEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	74	74	97	96	36	36	20	20
CORE_16	PORTABLE_CORE	AIN	ANTEIL	ARGUMENT	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	14	14	146	146	8	8	19	19
CORE_17	PORTABLE_CORE	R	MARKIEREN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	10	10	59	59	13	13	19	19
CORE_18	PORTABLE_CORE	P	EINSETZEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	25	25	67	67	16	16	15	15
CORE_19	PORTABLE_CORE	AIR	LAUF	RELATION	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	10	10	10	10	6	6	12	12
CONTROL_01	FORMAL_CONTROL	E	GRAD I	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	34	31	512	497	106	101	183	179
CONTROL_02	FORMAL_CONTROL	EE	GRAD II	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	15	15	300	300	88	87	61	61
CONTROL_03	FORMAL_CONTROL	EEE	GRAD III	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	3	3	11	11	6	6	3	3
CONTROL_04	FORMAL_CONTROL	DY	SCHLUSS	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	23	23	499	499	19	19	27	27
CONTROL_05	FORMAL_CONTROL	O	AUSFÜHRUNG	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	97	94	108	108	145	138	186	184
CONTROL_06	FORMAL_CONTROL	CARRIER_Q	BEGINNMARKER	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	5	5	33	33	6	6	16	16
CONTROL_07	FORMAL_CONTROL	IIN	STUFE	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	6	6	16	16	9	9	6	6
CONTROL_08	FORMAL_CONTROL	DA	ZWEITE STUFE	STEUERUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	5	5	12	12	9	9	8	8
CHANNEL_01	LOCAL_CHANNEL	D_ADDR|AM_ADDR|A_ADDR|S_ADDR|LOCAL_CHAR_F|D_LABEL|S_LABEL|M_LOCAL|Z_ADDR	HIER	LOCAL_PLACE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	104	100	183	169	74	73	112	108
CHANNEL_02	LOCAL_CHANNEL	G_LABEL|LOCAL_CHAR_G|LOCAL_CHAR_I|LOCAL_CHAR_B|LOCAL_CHAR_J|LOCAL_CHAR_Z	VARIANTE	LOCAL_INDEX	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	7	7	5	5	6	6	6	5
CHANNEL_03	LOCAL_CHANNEL	HO|AN	KLASSE	LOCAL_CLASS	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	13	13	3	3	1	1	6	6
CHANNEL_04	LOCAL_CHANNEL	OS|RESUME_CARD	VORBEZUG	LOCAL_REFERENCE	HERBAL|CELESTIAL	2	NONE	YES	3	3	0	0	4	4	0	0
