statement_id	page	record	phase_signature	phrasebook_mode	macro_id	compact_formula_or_expansion_de	values_preserved	nearest_macro	edit_distance	edit_operations	revised_learning_mode
H4-S003	f55v	H4	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	dosiert zugeben → entnehmen → temperieren	YES	WM05	2	INSERT_MATERIAL_PREP|SUBSTITUTE_HOLD_WITH_THERMAL	EXTENDED_TWO_EDIT_VARIANT
H4-S004	f55v	H4	APPLY>MATERIAL_PREP	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → eintragen	YES	WM10	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT
H5-S001	f56r	H5	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	COMPOSE_ONCE_FROM_CORE	NONE	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben	YES	WM01	3	INSERT_MATERIAL_PREP|INSERT_MATERIAL_PREP|SUBSTITUTE_CLOSE_WITH_SPECIALIST	FREE_COMPOSITION
H5-S002	f56r	H5	APPLY>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → ablaufen lassen	YES	WM01	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT
H5-S003	f56r	H5	HOLD>MEASURE_CHARGE	COMPOSE_ONCE_FROM_CORE	NONE	ziehen lassen → zugeben → einsetzen + einsetzen	YES	WM02	1	SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	SIMPLE_ONE_EDIT_VARIANT
H5-S004	f56r	H5	SPECIALIST>MATERIAL_PREP>ROUTE	COMPOSE_ONCE_FROM_CORE	NONE	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen	YES	WM10	2	INSERT_SPECIALIST|INSERT_ROUTE	EXTENDED_TWO_EDIT_VARIANT
H5-S005	f56r	H5	SPECIALIST>MEASURE_CHARGE	COMPOSE_ONCE_FROM_CORE	NONE	ansetzen → zugeben	YES	WM04	1	INSERT_SPECIALIST	SIMPLE_ONE_EDIT_VARIANT
H5-S006	f56r	H5	MEASURE_CHARGE	USE_TAUGHT_MACRO	WM04	setze oder gib nach Maß/Teil	YES	WM04	0	NONE	TAUGHT_MACRO
B1-S001	f81v	B1	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B1-S002	f81v	B1	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	YES	WM13	6	INSERT_MEASURE_CHARGE|INSERT_APPLY|INSERT_THERMAL|INSERT_ROUTE|INSERT_HOLD|INSERT_APPLY	FREE_COMPOSITION
B1-S003	f81v	B1	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	halten + zugeben + überführen	YES	WM06	1	INSERT_HOLD	SIMPLE_ONE_EDIT_VARIANT
B1-S004	f81v	B1	ROUTE>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM14	führe oder setze um → setze ab oder fange auf → schließe	YES	WM14	0	NONE	TAUGHT_MACRO
B1-S005	f81v	B1	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B1-S006	f81v	B1	MEASURE_CHARGE>ROUTE>THERMAL	COMPOSE_ONCE_FROM_CORE	NONE	eine Portion einfüllen → durchleiten → abkühlen lassen	YES	WM06	1	SUBSTITUTE_CLOSE_WITH_THERMAL	SIMPLE_ONE_EDIT_VARIANT
B1-S007	f81v	B1	MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM06	setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM06	0	NONE	TAUGHT_MACRO
B1-S008	f81v	B1	HOLD>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM09	halte kurz/länger → setze ab oder fange auf → schließe	YES	WM09	0	NONE	TAUGHT_MACRO
B1-S009	f81v	B1	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B1-S010	f81v	B1	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B1-S011	f81v	B1	ROUTE	USE_TAUGHT_MACRO	WM12	führe oder setze um	YES	WM12	0	NONE	TAUGHT_MACRO
B1-S012	f81v	B1	WASH>HOLD>WASH>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	waschen → wirken lassen → durchwaschen	YES	WM02	2	INSERT_WASH|INSERT_WASH	EXTENDED_TWO_EDIT_VARIANT
B1-S013	f81v	B1	WASH>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	durchwaschen	YES	WM01	1	SUBSTITUTE_ROUTE_WITH_WASH	SIMPLE_ONE_EDIT_VARIANT
B1-S014	f81v	B1	ROUTE>SETTLE>ROUTE	COMPOSE_ONCE_FROM_CORE	NONE	umschöpfen → auffangen → hinleiten + umfüllen	YES	WM14	1	SUBSTITUTE_CLOSE_WITH_ROUTE	SIMPLE_ONE_EDIT_VARIANT
B1-S015	f81v	B1	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM13	führe oder setze um → setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM13	0	NONE	TAUGHT_MACRO
B1-S016	f81v	B1	APPLY>HOLD>SETTLE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → wirken lassen → absetzen lassen	YES	WM09	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT
B1-S017	f81v	B1	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B1-S018	f81v	B1	ROUTE>HOLD>SETTLE>HOLD>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	führen → stehen lassen → auffangen und stehen lassen	YES	WM09	2	INSERT_ROUTE|INSERT_HOLD	EXTENDED_TWO_EDIT_VARIANT
B1-S019	f81v	B1	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B1-S020	f81v	B1	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B1-S021	f81v	B1	STATE_ONLY	COMPOSE_ONCE_FROM_CORE	NONE	NO_EXPLICIT_ACTION_CARD	YES	WM04	1	SUBSTITUTE_MEASURE_CHARGE_WITH_STATE_ONLY	SIMPLE_ONE_EDIT_VARIANT
B2-S001	f82r	B2	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B2-S002	f82r	B2	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B2-S003	f82r	B2	MEASURE_CHARGE>HOLD>CLOSE	USE_TAUGHT_MACRO	WM05	setze oder gib nach Maß/Teil → halte kurz/länger → schließe	YES	WM05	0	NONE	TAUGHT_MACRO
B2-S004	f82r	B2	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten	YES	WM13	3	INSERT_APPLY|INSERT_SPECIALIST|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD	FREE_COMPOSITION
B2-S005	f82r	B2	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen	YES	WM13	3	INSERT_APPLY|INSERT_SETTLE|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD	FREE_COMPOSITION
B2-S006	f82r	B2	APPLY>HOLD>MEASURE_CHARGE	COMPOSE_ONCE_FROM_CORE	NONE	anlegen → zurückhalten → den Arbeitsstoff einsetzen	YES	WM02	2	INSERT_APPLY|SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT
B2-S007	f82r	B2	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B2-S008	f82r	B2	MEASURE_CHARGE>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM08	setze oder gib nach Maß/Teil → setze ab oder fange auf → schließe	YES	WM08	0	NONE	TAUGHT_MACRO
B2-S009	f82r	B2	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B2-S010	f82r	B2	HOLD>MEASURE_CHARGE>HOLD	COMPOSE_ONCE_FROM_CORE	NONE	wirken lassen → den Arbeitsstoff einsetzen → stehen lassen	YES	WM02	2	INSERT_MEASURE_CHARGE|SUBSTITUTE_CLOSE_WITH_HOLD	EXTENDED_TWO_EDIT_VARIANT
B2-S011	f82r	B2	MEASURE_CHARGE>HOLD>CLOSE	USE_TAUGHT_MACRO	WM05	setze oder gib nach Maß/Teil → halte kurz/länger → schließe	YES	WM05	0	NONE	TAUGHT_MACRO
B2-S012	f82r	B2	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	führen + abnehmen → stehen lassen → wirken lassen → führen → vollständig beschicken und abschließen	YES	WM13	3	INSERT_MATERIAL_PREP|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD|INSERT_MEASURE_CHARGE	FREE_COMPOSITION
B2-S013	f82r	B2	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B2-S014	f82r	B2	ROUTE	USE_TAUGHT_MACRO	WM12	führe oder setze um	YES	WM12	0	NONE	TAUGHT_MACRO
B2-S015	f82r	B2	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B2-S016	f82r	B2	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	ableiten + umfüllen → abnehmen + abteilen → bis zum Sollmaß beschicken → wirken lassen → einfüllen + überführen	YES	WM13	3	INSERT_MATERIAL_PREP|INSERT_MEASURE_CHARGE|INSERT_HOLD	FREE_COMPOSITION
B2-S017	f82r	B2	THERMAL>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM15	wärme oder kühle → setze ab oder fange auf → schließe	YES	WM15	0	NONE	TAUGHT_MACRO
B2-S018	f82r	B2	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B2-S019	f82r	B2	THERMAL>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM15	wärme oder kühle → setze ab oder fange auf → schließe	YES	WM15	0	NONE	TAUGHT_MACRO
B2-S020	f82r	B2	CLOSE	USE_TAUGHT_MACRO	WM07	schließe	YES	WM07	0	NONE	TAUGHT_MACRO
B2-S021	f82r	B2	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B2-S022	f82r	B2	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S001	f83r	B3	SETTLE>HOLD>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	auffangen und stehen lassen	YES	WM02	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT
B3-S002	f83r	B3	THERMAL>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	anwärmen	YES	WM01	1	SUBSTITUTE_ROUTE_WITH_THERMAL	SIMPLE_ONE_EDIT_VARIANT
B3-S003	f83r	B3	ROUTE>MEASURE_CHARGE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	abführen + abmessen und umsetzen	YES	WM01	1	INSERT_MEASURE_CHARGE	SIMPLE_ONE_EDIT_VARIANT
B3-S004	f83r	B3	MEASURE_CHARGE	USE_TAUGHT_MACRO	WM04	setze oder gib nach Maß/Teil	YES	WM04	0	NONE	TAUGHT_MACRO
B3-S005	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S006	f83r	B3	ROUTE>APPLY>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	umschöpfen → anlegen → in die nächste Station weitergeben	YES	WM13	1	SUBSTITUTE_MEASURE_CHARGE_WITH_APPLY	SIMPLE_ONE_EDIT_VARIANT
B3-S007	f83r	B3	MEASURE_CHARGE>ROUTE>HOLD>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	bis zum Sollmaß beschicken → umschöpfen → einwirken lassen	YES	WM05	1	INSERT_ROUTE	SIMPLE_ONE_EDIT_VARIANT
B3-S008	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S009	f83r	B3	MEASURE_CHARGE	USE_TAUGHT_MACRO	WM04	setze oder gib nach Maß/Teil	YES	WM04	0	NONE	TAUGHT_MACRO
B3-S010	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM06	setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM06	0	NONE	TAUGHT_MACRO
B3-S011	f83r	B3	HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE	COMPOSE_ONCE_FROM_CORE	NONE	halten + umsetzen → den Arbeitsstoff einsetzen → umschöpfen	YES	WM02	3	INSERT_SPECIALIST|INSERT_MEASURE_CHARGE|SUBSTITUTE_CLOSE_WITH_ROUTE	FREE_COMPOSITION
B3-S012	f83r	B3	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B3-S013	f83r	B3	MEASURE_CHARGE>HOLD>CLOSE	USE_TAUGHT_MACRO	WM05	setze oder gib nach Maß/Teil → halte kurz/länger → schließe	YES	WM05	0	NONE	TAUGHT_MACRO
B3-S014	f83r	B3	ROUTE>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM14	führe oder setze um → setze ab oder fange auf → schließe	YES	WM14	0	NONE	TAUGHT_MACRO
B3-S015	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S016	f83r	B3	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM13	führe oder setze um → setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM13	0	NONE	TAUGHT_MACRO
B3-S017	f83r	B3	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B3-S018	f83r	B3	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B3-S019	f83r	B3	HOLD>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM09	halte kurz/länger → setze ab oder fange auf → schließe	YES	WM09	0	NONE	TAUGHT_MACRO
B3-S020	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S021	f83r	B3	MEASURE_CHARGE>SETTLE>HOLD>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	bis zum Sollmaß beschicken → ablagern → stehen lassen → umfüllen	YES	WM05	2	INSERT_SETTLE|INSERT_ROUTE	EXTENDED_TWO_EDIT_VARIANT
B3-S022	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S023	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S024	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S025	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM06	setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM06	0	NONE	TAUGHT_MACRO
B3-S026	f83r	B3	ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	ableiten → umschöpfen → eine Portion einfüllen → abkühlen lassen → auffangen und stehen lassen	YES	WM05	3	INSERT_ROUTE|INSERT_THERMAL|INSERT_SETTLE	FREE_COMPOSITION
B3-S027	f83r	B3	CLOSE	USE_TAUGHT_MACRO	WM07	schließe	YES	WM07	0	NONE	TAUGHT_MACRO
B3-S028	f83r	B3	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B3-S029	f83r	B3	MEASURE_CHARGE>HOLD>CLOSE	USE_TAUGHT_MACRO	WM05	setze oder gib nach Maß/Teil → halte kurz/länger → schließe	YES	WM05	0	NONE	TAUGHT_MACRO
B3-S030	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM06	setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM06	0	NONE	TAUGHT_MACRO
B3-S031	f83r	B3	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B3-S032	f83r	B3	MEASURE_CHARGE>CLOSE	USE_TAUGHT_MACRO	WM11	setze oder gib nach Maß/Teil → schließe	YES	WM11	0	NONE	TAUGHT_MACRO
B3-S033	f83r	B3	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B3-S034	f83r	B3	MEASURE_CHARGE>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM08	setze oder gib nach Maß/Teil → setze ab oder fange auf → schließe	YES	WM08	0	NONE	TAUGHT_MACRO
B4-S001	f83r	B4	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B4-S002	f83r	B4	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B4-S003	f83r	B4	ROUTE>APPLY>MEASURE_CHARGE>SETTLE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	umschöpfen → anlegen → den Arbeitsstoff einsetzen → absetzen lassen	YES	WM08	2	INSERT_ROUTE|INSERT_APPLY	EXTENDED_TWO_EDIT_VARIANT
B4-S004	f83r	B4	MEASURE_CHARGE>APPLY>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	einsetzen + festbinden	YES	WM05	1	SUBSTITUTE_HOLD_WITH_APPLY	SIMPLE_ONE_EDIT_VARIANT
B4-S005	f83r	B4	MEASURE_CHARGE>HOLD>CLOSE	USE_TAUGHT_MACRO	WM05	setze oder gib nach Maß/Teil → halte kurz/länger → schließe	YES	WM05	0	NONE	TAUGHT_MACRO
B4-S006	f83r	B4	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B4-S007	f83r	B4	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B4-S008	f83r	B4	HOLD>CLOSE	USE_TAUGHT_MACRO	WM02	halte kurz/länger → schließe	YES	WM02	0	NONE	TAUGHT_MACRO
B4-S009	f83r	B4	SETTLE>CLOSE	USE_TAUGHT_MACRO	WM03	setze ab oder fange auf → schließe	YES	WM03	0	NONE	TAUGHT_MACRO
B4-S010	f83r	B4	CLOSE	USE_TAUGHT_MACRO	WM07	schließe	YES	WM07	0	NONE	TAUGHT_MACRO
B4-S011	f83r	B4	HOLD>MEASURE_CHARGE>ROUTE>MEASURE_CHARGE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	warm halten → wirken lassen → eine Portion einfüllen → umschöpfen → abführen + zugeben	YES	WM06	2	INSERT_HOLD|INSERT_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT
B4-S012	f83r	B4	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B4-S013	f83r	B4	MEASURE_CHARGE>SETTLE>CLOSE	USE_TAUGHT_MACRO	WM08	setze oder gib nach Maß/Teil → setze ab oder fange auf → schließe	YES	WM08	0	NONE	TAUGHT_MACRO
B4-S014	f83r	B4	CLOSE	USE_TAUGHT_MACRO	WM07	schließe	YES	WM07	0	NONE	TAUGHT_MACRO
B4-S015	f83r	B4	MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	eine Portion einfüllen → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen	YES	WM05	4	INSERT_MEASURE_CHARGE|INSERT_ROUTE|INSERT_SETTLE|INSERT_ROUTE	FREE_COMPOSITION
B4-S016	f83r	B4	MEASURE_CHARGE>ROUTE>SETTLE>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	dosiert zugeben → zuführen → absetzen lassen	YES	WM06	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT
B5-S001	f83r	B5	ROUTE>CLOSE	USE_TAUGHT_MACRO	WM01	führe oder setze um → schließe	YES	WM01	0	NONE	TAUGHT_MACRO
B5-S002	f83r	B5	MEASURE_CHARGE>ROUTE>CLOSE	USE_TAUGHT_MACRO	WM06	setze oder gib nach Maß/Teil → führe oder setze um → schließe	YES	WM06	0	NONE	TAUGHT_MACRO
B5-S003	f83r	B5	SETTLE>ROUTE>MEASURE_CHARGE	COMPOSE_ONCE_FROM_CORE	NONE	ablagern → hinleiten → umfüllen → abmessen und umsetzen	YES	WM01	2	INSERT_SETTLE|SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT
B6-S001	f83r	B6	SETTLE>MEASURE_CHARGE>THERMAL>ROUTE	COMPOSE_ONCE_FROM_CORE	NONE	auffangen → zugeben → abkühlen lassen → hinleiten	YES	WM03	3	INSERT_MEASURE_CHARGE|INSERT_THERMAL|SUBSTITUTE_CLOSE_WITH_ROUTE	FREE_COMPOSITION
