crop_id	canvas_id	full_image_sha256	image_width	image_height	crop_x	crop_y	crop_w	crop_h	target_x	target_y	target_w	target_h	confidence	note
CX58E4234D4247	1006204	2552b2eafb7948d182e52ec49e96a5d92a774917924aea594fb1ac3af3bfcdc5	5976	3794	4920	850	650	600	154	173	25	37	MEDIUM	Outer-label at fixed clockwise ordinal, second symbol of isolated label.
CX5E9770253F6E	1006233	3b553c70d0c068cb39a276d391127165c5d9d868ec08e7f5eb2e73b32bb95d1e	9078	3777	0	0	9078	3777	NA	NA	NA	NA	LOW	First prose line localized on right foldout panel but fold junction prevents secure ninth-group fourth-symbol box.
CXB57F878B56C2	1006185	d92ba733bf53dc49e8d81df2d1873d5f36c52f98cf67292ea43e66a844a61cc9	2979	3769	300	300	1900	700	1120	460	43	72	MEDIUM	Fourth running-text line at top; group 5 immediately before drawing interruption, second symbol.
CXB72F10258A4E	1006218	81223a0b0aa0a24fe821cf62a9bdf4ac504f222ab3cfcb89fcedd7946bceada0	2793	3733	150	1050	2450	500	785	110	46	83	HIGH	Line 18 in upper prose block, fourth group, fourth symbol.
CXAC0BA739286E	1006120	3700fe396154e836b0acd3da86aef1d307f9d2da773208e476ee9db2e80de9e6	2688	3719	250	1150	1400	550	925	426	42	73	MEDIUM	Line 13 at end of left text block, final group, first symbol.
CXEB1DA54A19A7	1006213	e2e2f629753bfe6a9c111d8157ac63cfc4524966cbf367ddaaffece07cffdab2	2861	3697	350	2350	1100	450	510	205	42	65	HIGH	Line 33 near lower-left figure, group 3, symbol 2.
CX67765DD298FB	1006192	47d6a239bb7dbdc8d5e1a2238f2e10cf533d8abb409338017761bd3aed0a7554	2793	3707	100	2250	2500	600	430	90	40	69	MEDIUM	Line 78 in lower prose block, group 2, symbol 1.
CX2D84886AE82D	1006248	6dcf72a0d7eac14da2232987c9cc1521e6d70c9f0f92d3eb39b55fc075520429	2676	3756	200	2200	2350	1000	NA	NA	NA	NA	LOW	Line 26 identifiable in lower text block but exact seventh-group third-symbol box not secure.
CX822468B7F26F	1006143	564412e99b04406f51afe2c8f9ab20320518b3e71b91deee48fb16ee1ad3ffbd	2853	3769	250	750	1900	650	770	233	40	73	HIGH	Line 9 in upper text block, group 3, symbol 1.
CX180693E37C14	1006259	540787c3d0aa7a13c1cc620fe222a13d0b2409eaa69e19de56d2544cfdf3c678	2663	3701	200	600	2300	700	1400	355	42	74	MEDIUM	Line 10, seventh group, symbol 2.
CXC9FB82B926E3	1006229	dde619e85e35601b9206051389873f6cb092a17f04a8fcd02b32fe3961ea37ce	7754	3890	5350	1650	2000	500	NA	NA	NA	NA	LOW	Final group of foldout locus not conservatively secured; no target box.
