reviewer	review_id	localization_state	confidence	main_vertical_stems	closed_loops	left_extension	right_extension	descender	separated_dot	visible_note
CROP_ONLY_REVIEWER_2	RV831077BF6316A5	ONE_CLEAR_VISIBLE_UNIT	MEDIUM	ZERO	NONE	YES	NO	NO	NO	A low rounded ink lobe has a short leftward horizontal stroke and lies close to the lower boundary.
CROP_ONLY_REVIEWER_2	RV8A866F844CA372	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	NO	NO	NO	An incomplete rounded ink segment is truncated by the right boundary.
CROP_ONLY_REVIEWER_2	RV9B80CF27CBA3F2	DAMAGED_RETRACED_OR_AMBIGUOUS	MEDIUM	ONE	NONE	YES	NO	NO	NO	A faded arch-like stroke rises from a leftward horizontal and descends on the right.
CROP_ONLY_REVIEWER_3	RVA7643D54CCB19E	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	NO	NO	NO	Only very faint discontinuous traces and two darker remnants near the upper border are visible; no full contour is recoverable.
CROP_ONLY_REVIEWER_3	RVB9587466B0BF1F	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	NONE	YES	YES	NO	YES	A low horizontal trace runs toward both sides, with one central rising stroke and a detached small dark point just to its left.
CROP_ONLY_REVIEWER_3	RVBF8A3A4E9EE4E2	DAMAGED_RETRACED_OR_AMBIGUOUS	MEDIUM	ZERO	NONE	YES	NO	NO	YES	An open curved stroke appears beside a detached small point below-left; an additional short fragment enters at upper left.
CROP_ONLY_REVIEWER_3	RVD52CEF421CA6E1	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	YES	NO	NO	NO	A faint diagonal trace rises from the lower-left edge, while a separate dark fragment is clipped at right; no bounded unit is clear.
CROP_ONLY_REVIEWER_3	RVE6BC10CAF73800	ONE_CLEAR_VISIBLE_UNIT	HIGH	TWO_PLUS	NONE	NO	NO	NO	NO	A single angled trough has a taller left arm and a shorter upright right arm, with no enclosed area.
CROP_ONLY_REVIEWER_3	RVEACA4EACF16525	ONE_CLEAR_VISIBLE_UNIT	HIGH	ONE	ONE	NO	NO	NO	NO	One heavy upright enters from above and joins a broad closed lower loop with uneven thickening.
CROP_ONLY_REVIEWER_3	RVF39DA49760F09B	DAMAGED_RETRACED_OR_AMBIGUOUS	MEDIUM	ONE	NONE	YES	YES	YES	NO	A broad doubled near-vertical stroke continues below lateral curves, with a stronger leftward branch and faint rightward trace.
CROP_ONLY_REVIEWER_3	RVFEFE2471A66714	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	YES	NO	NO	Only a partial rounded ink fragment is visible at the lower-right corner, clipped by both the lower and right borders.
