atom_occurrence_serial	event_serial	atom_position_in_card	atom	atomic_default_de	domain	record_unit_id	page	statement_id	visible_surface	master_card_id
41	24	2	OR	Ansatz	HERBAL	H2	f10r	H2-S002	qotchor	MC013
42	25	1	OR	Ansatz	HERBAL	H2	f10r	H2-S002	chor	MC080
43	26	1	OT	danach	HERBAL	H2	f10r	H2-S002	otol	MC053
44	26	2	OL	weiter	HERBAL	H2	f10r	H2-S002	otol	MC053
45	27	1	OL	weiter	HERBAL	H2	f10r	H2-S002	chol	MC153
46	28	1	OL	weiter	HERBAL	H2	f10r	H2-S002	cholor	MC157
47	28	2	OR	Ansatz	HERBAL	H2	f10r	H2-S002	cholor	MC157
48	29	1	OL	weiter	HERBAL	H2	f10r	H2-S002	chol	MC153
49	30	1	AIIN	Sollmaß	HERBAL	H2	f10r	H2-S002	daiin	MC039
50	31	1	AR	Quelle	HERBAL	H2	f10r	H2-S002	dar	MC055
51	32	1	Y	Posten	HERBAL	H2	f10r	H2-S003	oykchor	MC027
52	32	2	KCH	bearbeiten	HERBAL	H2	f10r	H2-S003	oykchor	MC027
53	32	3	OR	Ansatz	HERBAL	H2	f10r	H2-S003	oykchor	MC027
54	33	1	OR	Ansatz	HERBAL	H2	f10r	H2-S003	shor	MC080
55	34	1	OR	Ansatz	HERBAL	H2	f10r	H2-S003	chor	MC080
56	35	1	Y	Posten	HERBAL	H2	f10r	H2-S003	chy	MC123
57	36	1	IIN	Stufe	HERBAL	H2	f10r	H2-S003	kaiiin	MC048
58	37	1	Y	Posten	HERBAL	H2	f10r	H2-S003	dy	MC123
59	38	1	HO	Zutat	HERBAL	H2	f10r	H2-S003	chodaiin	MC087
60	38	2	AIIN	Sollmaß	HERBAL	H2	f10r	H2-S003	chodaiin	MC087
61	39	1	HO	Zutat	HERBAL	H3	f11r	H3-S001	tshol	MC098
62	39	2	L	abführen	HERBAL	H3	f11r	H3-S001	tshol	MC098
63	40	1	HO	Zutat	HERBAL	H3	f11r	H3-S001	schoal	MC049
64	40	2	AL	Ziel	HERBAL	H3	f11r	H3-S001	schoal	MC049
65	41	1	CFH	auswringen	HERBAL	H3	f11r	H3-S001	cfhy	MC129
66	41	2	Y	Posten	HERBAL	H3	f11r	H3-S001	cfhy	MC129
67	42	1	SH	halten	HERBAL	H3	f11r	H3-S001	shfydaiin	MC111
68	42	2	AIIN	Sollmaß	HERBAL	H3	f11r	H3-S001	shfydaiin	MC111
69	43	1	CPH	nachseihen	HERBAL	H3	f11r	H3-S001	cphy	MC156
70	43	2	Y	Posten	HERBAL	H3	f11r	H3-S001	cphy	MC156
71	44	1	CHEEY	Ergebnis	HERBAL	H3	f11r	H3-S001	shey	MC119
72	45	1	HO	Zutat	HERBAL	H3	f11r	H3-S001	tchody	MC037
73	45	2	CLOSE	Schluss	HERBAL	H3	f11r	H3-S001	tchody	MC037
74	46	1	HO	Zutat	HERBAL	H3	f11r	H3-S002	shoyty	MC062
75	46	2	Y	Posten	HERBAL	H3	f11r	H3-S002	shoyty	MC062
76	46	3	TY	Teil	HERBAL	H3	f11r	H3-S002	shoyty	MC062
77	47	1	DCHOL	vorher	HERBAL	H3	f11r	H3-S003	dchol	MC142
78	48	1	Y	Posten	HERBAL	H3	f11r	H3-S003	chy	MC123
79	49	1	KCH	bearbeiten	HERBAL	H3	f11r	H3-S003	kchy	MC117
80	49	2	Y	Posten	HERBAL	H3	f11r	H3-S003	kchy	MC117
81	50	1	Y	Posten	HERBAL	H3	f11r	H3-S003	dy	MC123
82	51	1	AIIN	Sollmaß	HERBAL	H3	f11r	H3-S003	daiin	MC039
83	52	1	OT	danach	HERBAL	H3	f11r	H3-S004	qotchy	MC107
84	52	2	Y	Posten	HERBAL	H3	f11r	H3-S004	qotchy	MC107
85	53	1	OK	ansetzen	HERBAL	H3	f11r	H3-S004	okchol	MC041
86	53	2	OL	weiter	HERBAL	H3	f11r	H3-S004	okchol	MC041
87	54	1	CTH	bereit	HERBAL	H3	f11r	H3-S004	cthy	MC161
88	54	2	Y	Posten	HERBAL	H3	f11r	H3-S004	cthy	MC161
89	55	1	Y	Posten	HERBAL	H3	f11r	H3-S004	dy	MC123
90	56	1	OK	ansetzen	HERBAL	H4	f55v	H4-S001	qokaiin	MC120
91	56	2	AIIN	Sollmaß	HERBAL	H4	f55v	H4-S001	qokaiin	MC120
92	57	1	AIIN	Sollmaß	HERBAL	H4	f55v	H4-S001	chaiin	MC039
93	58	1	Y	Posten	HERBAL	H4	f55v	H4-S001	ykain	MC047
94	58	2	AIN	Anteil	HERBAL	H4	f55v	H4-S001	ykain	MC047
95	59	1	Y	Posten	HERBAL	H4	f55v	H4-S001	ykan	MC148
96	59	2	AIN	Anteil	HERBAL	H4	f55v	H4-S001	ykan	MC148
97	60	1	ODY	kühlen	HERBAL	H4	f55v	H4-S001	ody	MC100
98	61	1	AIIN	Sollmaß	HERBAL	H4	f55v	H4-S002	daiin	MC039
99	62	1	CHD	umsetzen	HERBAL	H4	f55v	H4-S002	chedy	MC074
100	62	2	Y	Posten	HERBAL	H4	f55v	H4-S002	chedy	MC074
101	63	1	AL	Ziel	HERBAL	H4	f55v	H4-S002	talam	MC160
102	63	2	AM	verwahren	HERBAL	H4	f55v	H4-S002	talam	MC160
103	64	1	Y	Posten	HERBAL	H4	f55v	H4-S003	ykaiin	MC170
104	64	2	AIIN	Sollmaß	HERBAL	H4	f55v	H4-S003	ykaiin	MC170
105	65	1	CHEO	Auszug	HERBAL	H4	f55v	H4-S003	cheoar	MC085
106	65	2	AR	Quelle	HERBAL	H4	f55v	H4-S003	cheoar	MC085
107	66	1	CHK	wärmen	HERBAL	H4	f55v	H4-S003	cheeky	MC032
108	66	2	EE	länger	HERBAL	H4	f55v	H4-S003	cheeky	MC032
109	66	3	Y	Posten	HERBAL	H4	f55v	H4-S003	cheeky	MC032
110	67	1	OL	weiter	HERBAL	H4	f55v	H4-S003	oldy	MC019
111	67	2	CLOSE	Schluss	HERBAL	H4	f55v	H4-S003	oldy	MC019
112	68	1	AIIN	Sollmaß	HERBAL	H4	f55v	H4-S004	aiin	MC039
113	69	1	OK	ansetzen	HERBAL	H4	f55v	H4-S004	okal	MC040
114	69	2	AL	Ziel	HERBAL	H4	f55v	H4-S004	okal	MC040
115	70	1	OL	weiter	HERBAL	H4	f55v	H4-S004	oltchy	MC021
116	70	2	CTH	bereit	HERBAL	H4	f55v	H4-S004	oltchy	MC021
117	70	3	Y	Posten	HERBAL	H4	f55v	H4-S004	oltchy	MC021
118	71	1	OR	Ansatz	HERBAL	H4	f55v	H4-S004	or	MC080
119	72	1	Y	Posten	HERBAL	H4	f55v	H4-S004	y	MC123
120	73	1	OR	Ansatz	HERBAL	H4	f55v	H4-S004	orain	MC072
121	73	2	AIN	Anteil	HERBAL	H4	f55v	H4-S004	orain	MC072
122	74	1	HO	Zutat	HERBAL	H5	f56r	H5-S001	chochor	MC125
123	74	2	OR	Ansatz	HERBAL	H5	f56r	H5-S001	chochor	MC125
124	75	1	HO	Zutat	HERBAL	H5	f56r	H5-S001	cho	MC034
125	76	1	HO	Zutat	HERBAL	H5	f56r	H5-S001	chodaly	MC010
126	76	2	AL	Ziel	HERBAL	H5	f56r	H5-S001	chodaly	MC010
127	76	3	Y	Posten	HERBAL	H5	f56r	H5-S001	chodaly	MC010
128	77	1	AIIN	Sollmaß	HERBAL	H5	f56r	H5-S001	daiin	MC039
129	78	1	HO	Zutat	HERBAL	H5	f56r	H5-S001	sho	MC034
130	79	1	KCH	bearbeiten	HERBAL	H5	f56r	H5-S001	kchol	MC090
131	79	2	OL	weiter	HERBAL	H5	f56r	H5-S001	kchol	MC090
132	80	1	OT	danach	HERBAL	H5	f56r	H5-S001	otchor	MC013
133	80	2	OR	Ansatz	HERBAL	H5	f56r	H5-S001	otchor	MC013
134	81	1	OK	ansetzen	HERBAL	H5	f56r	H5-S001	choky	MC026
135	81	2	Y	Posten	HERBAL	H5	f56r	H5-S001	choky	MC026
136	82	1	AL	Ziel	HERBAL	H5	f56r	H5-S001	dal	MC154
137	83	1	DCHOL	vorher	HERBAL	H5	f56r	H5-S002	schol	MC142
138	84	1	HO	Zutat	HERBAL	H5	f56r	H5-S002	choy	MC131
139	84	2	Y	Posten	HERBAL	H5	f56r	H5-S002	choy	MC131
140	85	1	OK	ansetzen	HERBAL	H5	f56r	H5-S002	choky	MC026
141	85	2	Y	Posten	HERBAL	H5	f56r	H5-S002	choky	MC026
142	86	1	EE	länger	HERBAL	H5	f56r	H5-S002	cheeckhody	MC099
143	86	2	CKH	Durchlass	HERBAL	H5	f56r	H5-S002	cheeckhody	MC099
144	86	3	HO	Zutat	HERBAL	H5	f56r	H5-S002	cheeckhody	MC099
145	86	4	CLOSE	Schluss	HERBAL	H5	f56r	H5-S002	cheeckhody	MC099
146	87	1	SH	halten	HERBAL	H5	f56r	H5-S003	sh	MC114
147	88	1	HO	Zutat	HERBAL	H5	f56r	H5-S003	cho	MC034
148	89	1	KCH	bearbeiten	HERBAL	H5	f56r	H5-S003	kchey	MC122
149	89	2	E	kurz	HERBAL	H5	f56r	H5-S003	kchey	MC122
150	89	3	Y	Posten	HERBAL	H5	f56r	H5-S003	kchey	MC122
151	90	1	OK	ansetzen	HERBAL	H5	f56r	H5-S003	qokokchy	MC015
152	90	2	OK	ansetzen	HERBAL	H5	f56r	H5-S003	qokokchy	MC015
153	90	3	Y	Posten	HERBAL	H5	f56r	H5-S003	qokokchy	MC015
154	91	1	OK	ansetzen	HERBAL	H5	f56r	H5-S004	okchy	MC103
155	91	2	Y	Posten	HERBAL	H5	f56r	H5-S004	okchy	MC103
156	92	1	OK	ansetzen	HERBAL	H5	f56r	H5-S004	chokcheo	MC006
157	92	2	CHEO	Auszug	HERBAL	H5	f56r	H5-S004	chokcheo	MC006
158	93	1	KCH	bearbeiten	HERBAL	H5	f56r	H5-S004	kchal	MC077
159	93	2	AL	Ziel	HERBAL	H5	f56r	H5-S004	kchal	MC077
160	94	1	HO	Zutat	HERBAL	H5	f56r	H5-S005	sho	MC034
161	95	1	OK	ansetzen	HERBAL	H5	f56r	H5-S005	chokchy	MC103
162	95	2	Y	Posten	HERBAL	H5	f56r	H5-S005	chokchy	MC103
163	96	1	CHEO	Auszug	HERBAL	H5	f56r	H5-S005	kchoar	MC136
164	96	2	AR	Quelle	HERBAL	H5	f56r	H5-S005	kchoar	MC136
165	97	1	OT	danach	HERBAL	H5	f56r	H5-S005	sotodan	MC068
166	97	2	DAN	anwenden	HERBAL	H5	f56r	H5-S005	sotodan	MC068
167	98	1	OT	danach	HERBAL	H5	f56r	H5-S006	otchey	MC171
168	98	2	Y	Posten	HERBAL	H5	f56r	H5-S006	otchey	MC171
169	99	1	E	kurz	HERBAL	H5	f56r	H5-S006	keol	MC104
170	99	2	OL	weiter	HERBAL	H5	f56r	H5-S006	keol	MC104
171	100	1	AIIN	Sollmaß	HERBAL	H5	f56r	H5-S006	daiin	MC039
172	101	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S001	qokedy	MC083
173	101	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S001	qokedy	MC083
174	101	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S001	qokedy	MC083
175	102	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S002	okaiin	MC120
176	102	2	AIIN	Sollmaß	BIOLOGICAL	B1	f81v	B1-S002	okaiin	MC120
177	103	1	AIR	Lauf	BIOLOGICAL	B1	f81v	B1-S002	kair	MC023
178	104	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S002	okal	MC040
179	104	2	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S002	okal	MC040
180	105	1	AR	Quelle	BIOLOGICAL	B1	f81v	B1-S002	sar	MC055
181	106	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	ol	MC153
182	107	1	AIN	Anteil	BIOLOGICAL	B1	f81v	B1-S002	kain	MC105
183	108	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	olkain	MC097
184	108	2	AIN	Anteil	BIOLOGICAL	B1	f81v	B1-S002	olkain	MC097
185	109	1	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S002	al	MC154
186	110	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	ol	MC153
187	111	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	rol	MC016
188	112	1	LOCAL_WHOLE	Zusatz	BIOLOGICAL	B1	f81v	B1-S002	dl	MC012
189	113	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	olor	MC157
190	113	2	OR	Ansatz	BIOLOGICAL	B1	f81v	B1-S002	olor	MC157
191	114	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S002	ol	MC153
192	115	1	CKH	Durchlass	BIOLOGICAL	B1	f81v	B1-S002	sheckhal	MC058
193	115	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S002	sheckhal	MC058
194	115	3	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S002	sheckhal	MC058
195	116	1	AIIN	Sollmaß	BIOLOGICAL	B1	f81v	B1-S002	daiin	MC039
196	117	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S002	qokeedal	MC096
197	117	2	EE	länger	BIOLOGICAL	B1	f81v	B1-S002	qokeedal	MC096
198	117	3	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S002	qokeedal	MC096
199	118	1	AIIN	Sollmaß	BIOLOGICAL	B1	f81v	B1-S002	daiin	MC039
200	119	1	CKH	Durchlass	BIOLOGICAL	B1	f81v	B1-S002	chckhy	MC035
201	119	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S002	chckhy	MC035
202	120	1	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S002	schedy	MC025
203	120	2	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S002	schedy	MC025
204	121	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S003	qol	MC153
205	122	1	SH	halten	BIOLOGICAL	B1	f81v	B1-S003	sshkchdy	MC061
206	122	2	KCH	bearbeiten	BIOLOGICAL	B1	f81v	B1-S003	sshkchdy	MC061
207	122	3	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S003	sshkchdy	MC061
208	122	4	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S003	sshkchdy	MC061
209	123	1	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S004	chedy	MC074
210	123	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S004	chedy	MC074
211	124	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S004	ol	MC153
212	125	1	SHED	absetzen	BIOLOGICAL	B1	f81v	B1-S004	shedy	MC128
213	125	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S004	shedy	MC128
214	125	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S004	shedy	MC128
215	126	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S005	qolchedy	MC028
216	126	2	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S005	qolchedy	MC028
217	126	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S005	qolchedy	MC028
218	127	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S006	qokain	MC017
219	127	2	AIN	Anteil	BIOLOGICAL	B1	f81v	B1-S006	qokain	MC017
220	128	1	CKH	Durchlass	BIOLOGICAL	B1	f81v	B1-S006	shckhy	MC035
221	128	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S006	shckhy	MC035
222	129	1	LOCAL_WHOLE	Zusatz	BIOLOGICAL	B1	f81v	B1-S006	dl	MC012
223	130	1	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S006	ral	MC056
224	131	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S007	qokchdy	MC088
225	131	2	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S007	qokchdy	MC088
226	131	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S007	qokchdy	MC088
227	132	1	Y	Posten	BIOLOGICAL	B1	f81v	B1-S008	chey	MC123
228	133	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S008	ol	MC153
229	134	1	CHK	wärmen	BIOLOGICAL	B1	f81v	B1-S008	cheky	MC147
230	134	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S008	cheky	MC147
231	134	3	Y	Posten	BIOLOGICAL	B1	f81v	B1-S008	cheky	MC147
232	135	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S008	ol	MC153
233	136	1	SHED	absetzen	BIOLOGICAL	B1	f81v	B1-S008	shedy	MC128
234	136	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S008	shedy	MC128
235	136	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S008	shedy	MC128
236	137	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S009	qokedy	MC083
237	137	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S009	qokedy	MC083
238	137	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S009	qokedy	MC083
239	138	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S010	qokedy	MC083
240	138	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S010	qokedy	MC083
241	138	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S010	qokedy	MC083
242	139	1	CKH	Durchlass	BIOLOGICAL	B1	f81v	B1-S011	chckhy	MC035
243	139	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S011	chckhy	MC035
244	140	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S011	qoky	MC026
245	140	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S011	qoky	MC026
246	141	1	WASH	waschen	BIOLOGICAL	B1	f81v	B1-S012	lsho	MC130
247	142	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S012	qokey	MC007
248	142	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S012	qokey	MC007
249	142	3	Y	Posten	BIOLOGICAL	B1	f81v	B1-S012	qokey	MC007
250	143	1	WASH	waschen	BIOLOGICAL	B1	f81v	B1-S012	lshedy	MC038
251	143	2	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S012	lshedy	MC038
252	144	1	WASH	waschen	BIOLOGICAL	B1	f81v	B1-S013	lshedy	MC038
253	144	2	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S013	lshedy	MC038
254	145	1	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S014	chedy	MC074
255	145	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S014	chedy	MC074
256	146	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S014	qolky	MC134
257	147	1	L	abführen	BIOLOGICAL	B1	f81v	B1-S014	lchedal	MC051
258	147	2	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S014	lchedal	MC051
259	147	3	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S014	lchedal	MC051
260	148	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S014	qol	MC153
261	149	1	OT	danach	BIOLOGICAL	B1	f81v	B1-S014	otar	MC121
262	149	2	AR	Quelle	BIOLOGICAL	B1	f81v	B1-S014	otar	MC121
263	150	1	Y	Posten	BIOLOGICAL	B1	f81v	B1-S015	ytey	MC109
264	150	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S015	ytey	MC109
265	150	3	TY	Teil	BIOLOGICAL	B1	f81v	B1-S015	ytey	MC109
266	151	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S015	okchedy	MC005
267	151	2	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S015	okchedy	MC005
268	151	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S015	okchedy	MC005
269	152	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S016	qokal	MC040
270	152	2	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S016	qokal	MC040
271	153	1	OK	ansetzen	BIOLOGICAL	B1	f81v	B1-S016	okeey	MC002
272	153	2	EE	länger	BIOLOGICAL	B1	f81v	B1-S016	okeey	MC002
273	153	3	Y	Posten	BIOLOGICAL	B1	f81v	B1-S016	okeey	MC002
274	154	1	OL	weiter	BIOLOGICAL	B1	f81v	B1-S016	qol	MC153
275	155	1	SHED	absetzen	BIOLOGICAL	B1	f81v	B1-S016	cheedy	MC128
276	155	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S016	cheedy	MC128
277	155	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S016	cheedy	MC128
278	156	1	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S017	sal	MC154
279	157	1	E	kurz	BIOLOGICAL	B1	f81v	B1-S017	teol	MC106
280	157	2	OL	weiter	BIOLOGICAL	B1	f81v	B1-S017	teol	MC106
281	158	1	CHD	umsetzen	BIOLOGICAL	B1	f81v	B1-S017	dchdy	MC139
282	158	2	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S017	dchdy	MC139
283	159	1	L	abführen	BIOLOGICAL	B1	f81v	B1-S018	ly	MC118
284	159	2	Y	Posten	BIOLOGICAL	B1	f81v	B1-S018	ly	MC118
285	160	1	SH	halten	BIOLOGICAL	B1	f81v	B1-S018	dsheol	MC076
286	160	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S018	dsheol	MC076
287	160	3	OL	weiter	BIOLOGICAL	B1	f81v	B1-S018	dsheol	MC076
288	161	1	IIN	Stufe	BIOLOGICAL	B1	f81v	B1-S018	oiiin	MC033
289	162	1	SOLK	sammeln	BIOLOGICAL	B1	f81v	B1-S018	olkeedy	MC045
290	162	2	EE	länger	BIOLOGICAL	B1	f81v	B1-S018	olkeedy	MC045
291	162	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S018	olkeedy	MC045
292	163	1	SHED	absetzen	BIOLOGICAL	B1	f81v	B1-S019	tedy	MC128
293	163	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S019	tedy	MC128
294	163	3	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S019	tedy	MC128
295	164	1	CHK	wärmen	BIOLOGICAL	B1	f81v	B1-S020	cheky	MC147
296	164	2	E	kurz	BIOLOGICAL	B1	f81v	B1-S020	cheky	MC147
297	164	3	Y	Posten	BIOLOGICAL	B1	f81v	B1-S020	cheky	MC147
298	165	1	CKHE	trennen	BIOLOGICAL	B1	f81v	B1-S020	shckhedy	MC143
299	165	2	CLOSE	Schluss	BIOLOGICAL	B1	f81v	B1-S020	shckhedy	MC143
300	166	1	AL	Ziel	BIOLOGICAL	B1	f81v	B1-S021	chal	MC154
301	167	1	CHD	umsetzen	BIOLOGICAL	B2	f82r	B2-S001	dchedy	MC025
302	167	2	CLOSE	Schluss	BIOLOGICAL	B2	f82r	B2-S001	dchedy	MC025
303	168	1	OL	weiter	BIOLOGICAL	B2	f82r	B2-S002	qolchedy	MC028
304	168	2	CHD	umsetzen	BIOLOGICAL	B2	f82r	B2-S002	qolchedy	MC028
305	168	3	CLOSE	Schluss	BIOLOGICAL	B2	f82r	B2-S002	qolchedy	MC028
306	169	1	OK	ansetzen	BIOLOGICAL	B2	f82r	B2-S003	qokain	MC017
307	169	2	AIN	Anteil	BIOLOGICAL	B2	f82r	B2-S003	qokain	MC017
308	170	1	Y	Posten	BIOLOGICAL	B2	f82r	B2-S003	dy	MC123
309	171	1	OK	ansetzen	BIOLOGICAL	B2	f82r	B2-S003	qokeedy	MC082
310	171	2	EE	länger	BIOLOGICAL	B2	f82r	B2-S003	qokeedy	MC082
311	171	3	CLOSE	Schluss	BIOLOGICAL	B2	f82r	B2-S003	qokeedy	MC082
312	172	1	OK	ansetzen	BIOLOGICAL	B2	f82r	B2-S004	qokal	MC040
313	172	2	AL	Ziel	BIOLOGICAL	B2	f82r	B2-S004	qokal	MC040
314	173	1	L	abführen	BIOLOGICAL	B2	f82r	B2-S004	lcheckhy	MC168
315	173	2	CKH	Durchlass	BIOLOGICAL	B2	f82r	B2-S004	lcheckhy	MC168
316	173	3	Y	Posten	BIOLOGICAL	B2	f82r	B2-S004	lcheckhy	MC168
317	174	1	L	abführen	BIOLOGICAL	B2	f82r	B2-S004	lched	MC127
