event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	unchanged_card_value_de	selected_job	complete_clause_translation_de	dictionary_change
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
25	H2-S002	H2	f10r	chor	MC080	Ansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
26	H2-S002	H2	f10r	otol	MC053	Fortgang	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
27	H2-S002	H2	f10r	chol	MC153	weiter	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
28	H2-S002	H2	f10r	cholor	MC157	derselbe Ansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
29	H2-S002	H2	f10r	chol	MC153	weiter	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
31	H2-S002	H2	f10r	dar	MC055	davon	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NO
32	H2-S003	H2	f10r	oykchor	MC027	Arbeitsansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
33	H2-S003	H2	f10r	shor	MC080	Ansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
34	H2-S003	H2	f10r	chor	MC080	Ansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
35	H2-S003	H2	f10r	chy	MC123	dies	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
36	H2-S003	H2	f10r	kaiiin	MC048	Arbeitsstufe	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
37	H2-S003	H2	f10r	dy	MC123	dies	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
38	H2-S003	H2	f10r	chodaiin	MC087	Zugabemaß	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NO
74	H5-S001	H5	f56r	chochor	MC125	Zugabeansatz	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
75	H5-S001	H5	f56r	cho	MC034	weitere Zutat	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
76	H5-S001	H5	f56r	chodaly	MC010	Zielzugabe	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
77	H5-S001	H5	f56r	daiin	MC039	Sollmaß	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
78	H5-S001	H5	f56r	sho	MC034	weitere Zutat	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
79	H5-S001	H5	f56r	kchol	MC090	Weiterverarbeitung	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
80	H5-S001	H5	f56r	otchor	MC013	Folgeansatz	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
81	H5-S001	H5	f56r	choky	MC026	einsetzen	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
82	H5-S001	H5	f56r	dal	MC154	dorthin	REPEATED_TARGET_APPLICATION_ADDITIVE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NO
83	H5-S002	H5	f56r	schol	MC142	vom vorigen	REPEATED_TARGET_APPLICATION_ADDITIVE	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	NO
84	H5-S002	H5	f56r	choy	MC131	Zugabeposten	REPEATED_TARGET_APPLICATION_ADDITIVE	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	NO
85	H5-S002	H5	f56r	choky	MC026	einsetzen	REPEATED_TARGET_APPLICATION_ADDITIVE	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	NO
86	H5-S002	H5	f56r	cheeckhody	MC099	Langpassage; Schluss	REPEATED_TARGET_APPLICATION_ADDITIVE	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	NO
87	H5-S003	H5	f56r	sh	MC114	Halten	REPEATED_TARGET_APPLICATION_ADDITIVE	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	NO
88	H5-S003	H5	f56r	cho	MC034	weitere Zutat	REPEATED_TARGET_APPLICATION_ADDITIVE	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	NO
89	H5-S003	H5	f56r	kchey	MC122	Kurzbearbeitung	REPEATED_TARGET_APPLICATION_ADDITIVE	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	NO
90	H5-S003	H5	f56r	qokokchy	MC015	erneut einsetzen	REPEATED_TARGET_APPLICATION_ADDITIVE	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	NO
91	H5-S004	H5	f56r	okchy	MC103	weiterbearbeiten	REPEATED_TARGET_APPLICATION_ADDITIVE	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	NO
92	H5-S004	H5	f56r	chokcheo	MC006	Auszug einsetzen	REPEATED_TARGET_APPLICATION_ADDITIVE	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	NO
93	H5-S004	H5	f56r	kchal	MC077	Zielbearbeitung	REPEATED_TARGET_APPLICATION_ADDITIVE	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	NO
94	H5-S005	H5	f56r	sho	MC034	weitere Zutat	REPEATED_TARGET_APPLICATION_ADDITIVE	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	NO
95	H5-S005	H5	f56r	chokchy	MC103	weiterbearbeiten	REPEATED_TARGET_APPLICATION_ADDITIVE	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	NO
96	H5-S005	H5	f56r	kchoar	MC136	Quellauszug	REPEATED_TARGET_APPLICATION_ADDITIVE	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	NO
97	H5-S005	H5	f56r	sotodan	MC068	Folgeanwendung	REPEATED_TARGET_APPLICATION_ADDITIVE	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	NO
98	H5-S006	H5	f56r	otchey	MC171	das nächste	REPEATED_TARGET_APPLICATION_ADDITIVE	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	NO
99	H5-S006	H5	f56r	keol	MC104	Kurzfortsetzung	REPEATED_TARGET_APPLICATION_ADDITIVE	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	NO
100	H5-S006	H5	f56r	daiin	MC039	Sollmaß	REPEATED_TARGET_APPLICATION_ADDITIVE	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	NO
