owner_de	card_no	owner_default_surface	events	event_ids	observed_surfaces	owner_card_conflict	copy_rule_de
oberes Beckenpaar mit Zylinder	PROC076	dchedy	1	E167	dchedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
oberes Beckenpaar mit Zylinder	PROC019	dy	1	E170	dy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
mittleres linkes Handgerät mit Inline-Knoten	PROC112	sotaiin	1	E190	sotaiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
mittlere rechte unklare Station	PROC080	okain	1	E200	okain	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
kleine Randstationen des unteren Beckens	PROC055	cheal	1	E214	cheal	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
kleine Randstationen des unteren Beckens	PROC009	aiin	1	E217	aiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
mittlere Randfigur im runden Gefäß	PROC079	olchedy	1	E242	olchedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
untere Randfigur im korbartigen Gefäß	PROC016	sor	1	E254	sor	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
untere Randfigur im korbartigen Gefäß	PROC069	chkain	1	E257	chkain	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
untere Randfigur im korbartigen Gefäß	PROC117	shcthey	1	E258	shcthey	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC091	qokchedy	1	E264	qokchedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC014	shcthy	2	E271,E279	shcthy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC019	sy	1	E273	sy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC055	tal	1	E278	tal	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC145	qotchedy	1	E281	qotchedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
unverbundener Zwischenbereich	PROC076	tchedy	1	E283	tchedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC098	solkeedy	1	E291	solkeedy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC009	saiin	1	E299	saiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC097	soiiin	1	E309	soiiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC004	chety	1	E311	chety	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PROC131	otal	1	E320	otal	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PROC013	tol	1	E324	tol	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
linke Hauptstation mit offenem Fransenlauf	PROC042	chdy	1	E342	chdy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
rechte Hauptstation mit S-Lauf und Mehrarmknoten	PROC070	qolkain	1	E358	qolkain	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
linke Fransenstation im B5-Nachtrag	PROC013	cheol	1	E366	cheol	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
linke Fransenstation im B5-Nachtrag	PROC009	aiin	1	E369	aiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
rechter S-Lauf im B6-Nachtrag	PROC009	daiin	1	E377	daiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
